Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38
-5.515586e+02,-5.515586e+02,-5.515586e+02,-5.515586e+02,-5.515586e+02,-5.515586e+02,-5.515586e+02,-5.515586e+02,-5.515586e+02,-5.515586e+02,-5.515586e+02,-5.515586e+02,-5.515586e+02,-5.515586e+02,-5.515586e+02,-5.515586e+02,-3.916972e+02,-2.524823e+02,-2.232927e+02,-2.113548e+02,-1.929166e+02,-1.794410e+02,-1.779376e+02,-1.878037e+02,-2.186516e+02,-2.634587e+02,-3.308712e+02,-4.031972e+02,-4.594682e+02,-5.009870e+02,-5.417997e+02,-5.515586e+02,-5.515586e+02,-5.515586e+02,-5.515586e+02,-5.515586e+02,-5.515586e+02,-5.515586e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.724675e+01,1.033368e+02,1.363815e+02,1.776052e+02,1.882374e+02,1.979625e+02,2.141438e+02,2.291251e+02,2.352040e+02,2.347837e+02,2.106875e+02,1.590528e+02,1.066003e+02,6.201162e+01,1.321389e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-5.300903e+01,-8.212408e+01,-9.625334e+01,-8.128679e+01,-6.391026e+01,-6.007929e+01,-5.964606e+01,-4.916592e+01,-3.014993e+01,-6.115726e+00,2.633037e+01,4.923650e+01,5.210639e+01,3.907116e+01,1.157712e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-5.315859e+00,6.671069e+00,1.477448e+00,-3.280661e+01,-5.290710e+01,-5.711421e+01,-6.021461e+01,-6.158574e+01,-6.639806e+01,-7.487773e+01,-7.559586e+01,-3.515213e+01,2.000670e+00,1.509856e+01,9.219906e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.653567e+00,-8.070187e+00,-1.277571e+01,-3.059653e+01,-5.229570e+01,-6.352018e+01,-7.906112e+01,-8.425117e+01,-7.596448e+01,-7.024451e+01,-7.138861e+01,-4.846727e+01,-1.851738e+01,1.219871e-01,6.561933e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.670977e+00,-3.043620e+00,7.301717e+00,8.198429e+00,1.647736e+00,-2.037807e+00,-4.394640e+00,-1.958846e+01,-2.720966e+01,-2.674220e+01,-1.437416e+01,-1.601349e+01,-1.174221e+01,-4.360406e+00,3.989719e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.267489e+01,-8.767078e+00,2.782894e+00,-3.513525e+00,-5.159111e+00,-1.807892e+00,3.654016e+00,9.053444e+00,1.003654e+01,1.174828e+01,1.541370e+01,8.054489e+00,5.863610e-01,-3.908674e+00,1.775288e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.201815e+00,-5.822175e+00,-1.727635e+01,-3.002668e+01,-3.169393e+01,-2.494269e+01,-2.261111e+01,-3.140278e+01,-3.090955e+01,-2.128388e+01,-1.452775e+01,1.608955e-01,2.798123e-01,-4.565663e+00,5.523534e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.420420e-01,9.891926e+00,1.199291e+01,-4.703585e+00,-2.410658e+01,-2.778479e+01,-2.819449e+01,-3.318806e+01,-4.005495e+01,-4.556696e+01,-3.343644e+01,-2.024573e+01,-1.223169e+01,-7.736780e+00,-1.148248e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.756227e+00,1.165868e+01,-1.600657e+00,-7.401733e+00,-1.445389e+01,-1.648582e+01,-1.763463e+01,-1.484475e+01,-1.122909e+01,-1.111813e+01,-1.103216e+01,-2.552785e+01,-2.300316e+01,-1.062389e+01,-1.896583e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.751878e+00,-1.670075e+00,-2.255964e+00,-2.264035e+00,8.538952e+00,1.079706e+01,7.491345e+00,6.683185e+00,7.114293e+00,5.233891e+00,4.691417e-01,-1.218698e+01,-2.132930e+01,-1.049437e+01,-2.312434e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.656621e+00,1.513150e+01,3.354136e+00,-1.627531e+01,-1.597519e+01,-1.220233e+01,-1.884080e+01,-1.561897e+01,-1.286820e+01,-8.267632e+00,-1.688195e+00,2.431150e+00,-1.008708e+01,-7.858065e+00,-2.560315e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.848744e+00,2.135237e+00,-1.570063e+00,-1.231525e+01,-1.954768e+01,-1.091029e+01,-8.210691e+00,-9.911385e+00,-9.647909e+00,-2.662606e+00,2.342820e-02,4.146739e+00,-9.295427e-01,-5.671483e+00,-2.815418e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
