Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41,Coeff 42,Coeff 43
-5.439340e+02,-5.439340e+02,-5.439340e+02,-5.439340e+02,-5.439340e+02,-5.439340e+02,-5.439340e+02,-5.439340e+02,-5.439340e+02,-5.439340e+02,-5.439340e+02,-5.439340e+02,-5.439340e+02,-5.439340e+02,-5.439340e+02,-5.439340e+02,-5.439340e+02,-5.439340e+02,-4.326566e+02,-2.705900e+02,-2.274253e+02,-2.061327e+02,-1.571908e+02,-1.357619e+02,-1.403272e+02,-1.500544e+02,-1.826793e+02,-2.354503e+02,-2.986850e+02,-3.596227e+02,-4.037469e+02,-4.513183e+02,-5.025547e+02,-5.364489e+02,-5.439340e+02,-5.439340e+02,-5.439340e+02,-5.431488e+02,-5.425720e+02,-5.428406e+02,-5.420560e+02,-5.417574e+02,-5.414234e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.469402e+01,1.144715e+02,1.410754e+02,1.781919e+02,1.766775e+02,1.752296e+02,1.784715e+02,2.037742e+02,2.227569e+02,2.292601e+02,2.160307e+02,1.818411e+02,1.463773e+02,1.015633e+02,4.976364e+01,1.017043e+01,0.000000e+00,0.000000e+00,0.000000e+00,1.067544e+00,1.852063e+00,1.427815e+00,2.453154e+00,2.856571e+00,2.374970e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.062065e+01,-6.553875e+01,-8.844421e+01,-8.123746e+01,-7.109232e+01,-8.134354e+01,-8.357387e+01,-7.593353e+01,-5.519949e+01,-2.308304e+01,4.178861e+00,2.703061e+01,3.713152e+01,3.807256e+01,3.008383e+01,9.004648e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.422801e-01,1.635740e+00,1.090590e+00,1.875953e+00,2.223918e+00,1.340246e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-8.280240e+00,1.072818e+01,3.386701e+00,-3.777187e+01,-5.141373e+01,-4.684785e+01,-4.966325e+01,-5.667721e+01,-6.129663e+01,-7.042488e+01,-8.076620e+01,-6.635789e+01,-3.993885e+01,-1.051681e+01,1.264045e+01,7.307372e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.445211e-01,1.294279e+00,5.864838e-01,1.012753e+00,1.272738e+00,1.823828e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.655213e-01,-4.476607e+00,-8.978439e+00,-2.410946e+01,-4.499149e+01,-5.537738e+01,-5.703276e+01,-6.791069e+01,-7.389208e+01,-6.794628e+01,-6.328063e+01,-5.762760e+01,-4.303951e+01,-1.876466e+01,4.638467e+00,5.382959e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.898572e-01,8.546711e-01,-7.010013e-03,-4.231028e-03,1.418041e-01,9.354090e-01
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.587265e+01,-1.244914e+01,1.429300e+00,4.396631e+00,1.811715e+00,-4.789316e+00,-1.118049e+01,-9.741346e+00,-7.517769e+00,-1.335959e+01,-1.415436e+01,-8.726348e+00,-7.968253e+00,-3.428860e+00,2.343075e+00,3.546699e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.983249e-01,3.515763e-01,-5.987231e-01,-1.019346e+00,-1.004286e+00,-1.100912e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.478726e+01,-7.865933e+00,7.114779e-01,-1.351955e+01,-1.397620e+01,-2.463486e+00,2.727965e+00,1.750875e+00,5.577712e+00,9.491592e+00,5.876641e+00,7.488766e+00,7.248908e+00,3.144666e+00,-1.922342e+00,2.050076e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.071986e-01,-1.754855e-01,-1.097867e+00,-1.877412e+00,-1.999399e+00,-1.471945e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-7.066828e+00,-1.474001e+01,-1.765675e+01,-2.722536e+01,-2.051834e+01,-2.298256e+01,-2.645022e+01,-3.195889e+01,-4.115529e+01,-3.670981e+01,-2.356749e+01,-1.600780e+01,-1.151627e+01,-9.703812e+00,-9.824305e+00,1.024837e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.028323e-01,-6.853229e-01,-1.428017e+00,-2.447527e+00,-2.700288e+00,-1.431453e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.418555e+00,6.412405e+00,1.053525e+01,-7.768725e+00,-3.113344e+01,-3.510222e+01,-3.477634e+01,-3.193196e+01,-2.774295e+01,-3.310412e+01,-3.459266e+01,-3.361617e+01,-3.212069e+01,-2.480040e+01,-1.555590e+01,4.598547e-01,0.000000e+00,0.000000e+00,0.000000e+00,-6.655958e-01,-1.138392e+00,-1.538853e+00,-2.643125e+00,-3.007521e+00,-2.615428e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.104359e+01,9.986900e+00,-1.100812e+00,-5.915388e+00,2.123065e+00,-6.225635e-01,-8.060725e+00,-1.495906e+01,-1.083386e+01,-7.444544e+00,-1.399739e+01,-2.225533e+01,-2.628374e+01,-2.337760e+01,-1.363103e+01,2.156326e-01,0.000000e+00,0.000000e+00,0.000000e+00,-8.752379e-01,-1.499931e+00,-1.413863e+00,-2.435156e+00,-2.879809e+00,-2.944347e+00
