Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30
-5.171981e+02,-5.009130e+02,-4.981407e+02,-4.943114e+02,-4.877223e+02,-4.786650e+02,-4.709115e+02,-3.927615e+02,-2.246319e+02,-1.383474e+02,-9.591734e+01,-1.038983e+02,-1.352508e+02,-1.177476e+02,-1.168556e+02,-1.429690e+02,-1.893965e+02,-2.338580e+02,-2.927100e+02,-3.677686e+02,-4.326744e+02,-4.802146e+02,-4.913617e+02,-4.900626e+02,-4.929474e+02,-4.947838e+02,-4.941428e+02,-4.944895e+02,-4.979220e+02,-5.151160e+02
5.813982e+01,7.125777e+01,7.282349e+01,7.310332e+01,8.137671e+01,9.039095e+01,1.024119e+02,1.283402e+02,1.279249e+02,1.122272e+02,1.129445e+02,1.163503e+02,1.164678e+02,1.236531e+02,1.372341e+02,1.489087e+02,1.527370e+02,1.549382e+02,1.641928e+02,1.618102e+02,1.247972e+02,8.876755e+01,7.671002e+01,7.698000e+01,7.583224e+01,7.437276e+01,7.604317e+01,7.519749e+01,6.881149e+01,5.395842e+01
2.666385e+01,2.363090e+01,2.150621e+01,1.555455e+01,2.079004e+01,2.591323e+01,3.840114e+01,2.033232e+01,-2.215561e+01,-5.947679e+01,-8.500048e+01,-8.163498e+01,-5.969015e+01,-6.714798e+01,-7.704720e+01,-6.769789e+01,-4.343445e+01,-3.086587e+01,-1.633809e+01,-5.548810e+00,6.843730e+00,2.093107e+01,1.777565e+01,1.714264e+01,2.041666e+01,1.983243e+01,2.137719e+01,2.134800e+01,1.538239e+01,1.529161e+01
1.071542e+01,3.526519e+00,1.523799e+00,-1.590605e+00,-2.559845e-01,7.505476e+00,1.712127e+01,2.335168e+01,2.393745e+01,1.869679e+01,8.782248e+00,2.531307e+00,-8.939719e+00,-2.160396e+01,-3.780553e+01,-3.762515e+01,-3.160403e+01,-3.783259e+01,-4.776572e+01,-4.916014e+01,-3.211765e+01,-5.732458e+00,-1.129749e+00,3.824069e-01,2.974190e+00,2.256482e+00,2.068313e+00,4.158334e+00,2.274128e+00,5.748591e+00
1.003907e+01,7.931285e+00,9.810673e+00,1.173454e+01,1.064699e+01,1.942603e+01,2.525398e+01,1.049625e+01,-3.857473e+01,-4.346100e+01,-4.211705e+01,-3.873285e+01,-3.830835e+01,-4.700372e+01,-4.872144e+01,-4.246822e+01,-3.861049e+01,-2.445376e+01,-1.154914e+01,-1.032403e+01,-7.421470e+00,5.342855e+00,1.151220e+01,1.295750e+01,1.110950e+01,1.286365e+01,1.313830e+01,1.476097e+01,1.366959e+01,1.356270e+01
9.417209e+00,1.040571e+01,1.519828e+01,1.578199e+01,1.461191e+01,1.680145e+01,2.079850e+01,1.606817e+01,2.038919e+01,4.053204e+01,5.098105e+01,5.447845e+01,6.669604e+01,7.860226e+01,7.949127e+01,7.599520e+01,6.204711e+01,5.041119e+01,3.361646e+01,4.079139e+00,4.746736e+00,1.349719e+01,1.801592e+01,1.544369e+01,1.188873e+01,1.701844e+01,1.920078e+01,1.799937e+01,1.448256e+01,1.318403e+01
6.735001e+00,7.344105e+00,1.096407e+01,9.575670e+00,8.141349e+00,4.016385e+00,7.205675e+00,4.207685e+00,-2.176777e+01,-3.274107e+01,-3.377642e+01,-3.790444e+01,-4.261633e+01,-3.780915e+01,-3.329900e+01,-2.636713e+01,-2.729083e+01,-2.957381e+01,-2.267461e+01,-9.469570e+00,-4.016493e+00,9.596782e+00,1.458349e+01,9.987658e+00,7.787824e+00,1.198078e+01,1.308788e+01,1.110843e+01,7.496579e+00,8.129843e+00
5.929054e+00,6.039640e+00,7.460963e+00,9.612545e+00,5.105461e+00,8.720924e-01,3.174087e+00,-1.813270e-01,1.469418e+01,1.777862e+01,1.632291e+01,1.511589e+01,1.005154e+01,4.844989e+00,3.530235e+00,9.031405e-01,3.370391e+00,6.676521e+00,4.052983e+00,-5.318326e+00,-6.450695e+00,5.633134e+00,1.117475e+01,9.094604e+00,7.226800e+00,7.770570e+00,6.344434e+00,5.920174e+00,4.010640e+00,5.210850e+00
4.522997e+00,4.643501e+00,7.214636e+00,1.235730e+01,3.705093e+00,1.218545e+00,3.694805e+00,5.162227e+00,6.742705e+00,1.085038e+01,1.855401e+01,2.008179e+01,1.048710e+01,5.149084e+00,1.488170e+01,1.715528e+01,1.686438e+01,1.328714e+01,5.646925e+00,-4.991616e-01,4.243672e-02,4.292954e+00,6.370017e+00,7.347228e+00,5.875777e+00,4.512941e+00,3.133296e+00,3.886715e+00,1.881979e+00,-6.552815e-02
1.979291e+00,2.076877e+00,5.956652e+00,8.231585e+00,-1.540117e+00,-3.085874e+00,7.233371e-01,-2.249665e+00,-4.913056e+00,-2.618929e-01,5.415197e+00,3.895855e+00,4.348124e+00,2.047645e+00,7.418836e+00,5.677655e+00,5.518135e+00,8.857499e+00,1.143335e+01,1.024594e+01,6.552060e+00,3.921968e+00,1.614523e+00,3.462267e+00,4.440286e+00,2.911632e+00,2.813150e+00,4.266912e+00,8.924726e-01,-4.760595e+00
