Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26
-5.100389e+02,-4.915740e+02,-4.878441e+02,-4.750717e+02,-4.674121e+02,-3.519551e+02,-1.568945e+02,-8.739604e+01,-6.672726e+01,-7.794064e+01,-9.518533e+01,-8.544173e+01,-9.048465e+01,-1.148479e+02,-1.630312e+02,-2.255784e+02,-2.936743e+02,-3.638724e+02,-3.982379e+02,-4.172385e+02,-4.294400e+02,-4.415663e+02,-4.464590e+02,-4.514912e+02,-4.553134e+02,-4.639179e+02
7.133844e+01,8.421768e+01,8.895919e+01,1.047180e+02,1.150588e+02,9.513998e+01,5.760387e+01,3.808084e+01,2.680990e+01,3.126839e+01,4.289277e+01,4.550312e+01,5.498704e+01,7.428335e+01,1.025622e+02,1.298749e+02,1.421190e+02,1.402434e+02,1.235980e+02,1.016463e+02,9.008440e+01,7.801569e+01,6.970944e+01,6.481528e+01,6.276338e+01,6.535457e+01
2.269228e+01,1.713056e+01,2.229042e+01,3.593427e+01,4.498254e+01,3.810750e+01,1.495971e+01,1.245474e+00,-8.256151e+00,-1.027463e+01,-3.354314e+00,-9.853771e+00,-1.857121e+01,-1.375886e+01,-4.028003e+00,-1.222857e+00,3.902046e+00,3.643322e+00,-1.729898e+01,-3.259496e+01,-3.535390e+01,-1.947179e+01,-1.594377e+00,3.564528e+00,3.985654e+00,9.875063e+00
5.319384e+00,2.898493e-01,4.552905e+00,1.846181e+01,2.785773e+01,4.866835e+01,3.194175e+01,1.645039e+01,5.120667e+00,-2.978342e+00,-1.145999e+01,-1.544771e+01,-1.856956e+01,-1.632962e+01,-1.485704e+01,-1.373975e+01,-7.207336e+00,5.926946e-01,2.393375e+00,9.067240e+00,1.711819e+01,3.393857e+01,4.671394e+01,4.219195e+01,3.840152e+01,3.689036e+01
1.512925e+01,1.750276e+01,1.621496e+01,2.708045e+01,3.731028e+01,3.324461e+00,-3.132416e+01,-4.031941e+01,-3.785010e+01,-3.027467e+01,-2.691109e+01,-3.558601e+01,-3.569080e+01,-3.451202e+01,-3.357816e+01,-2.654250e+01,-1.625378e+01,-2.115732e+00,1.356943e+01,3.575987e+01,4.972237e+01,3.521892e+01,4.273824e+00,-1.450489e+01,-1.574372e+01,-9.743689e+00
2.023811e+01,2.093186e+01,1.634629e+01,2.056107e+01,2.787447e+01,3.298610e+01,2.928873e+01,3.875146e+01,5.668716e+01,6.825862e+01,8.048306e+01,8.251321e+01,7.792558e+01,7.367436e+01,7.258221e+01,6.247110e+01,4.329543e+01,1.605951e+01,1.359637e+00,4.611194e+00,8.780287e+00,9.622396e+00,7.244321e+00,8.467661e+00,1.166728e+01,1.557076e+01
1.437881e+01,1.261813e+01,1.004156e+01,9.216095e+00,1.427596e+01,7.928806e+00,-2.293090e+01,-3.407554e+01,-3.946782e+01,-4.223875e+01,-4.342296e+01,-4.390728e+01,-4.283377e+01,-4.190885e+01,-3.565145e+01,-3.265241e+01,-1.999568e+01,1.423172e+00,1.541773e+00,1.559427e+00,2.969546e+00,1.001566e+01,2.597715e+01,3.046075e+01,3.036086e+01,3.366813e+01
8.557119e+00,1.024409e+01,8.533030e+00,6.552943e+00,1.230035e+01,2.828011e+01,4.683945e+01,5.063283e+01,4.747120e+01,4.356969e+01,3.122867e+01,2.820361e+01,2.771587e+01,2.925481e+01,3.417046e+01,2.777209e+01,1.372335e+01,6.980825e+00,3.212326e+00,1.346404e+01,2.060008e+01,6.801501e+00,-6.000849e+00,-1.609815e+01,-1.537274e+01,-1.268289e+01
5.431848e+00,8.099156e+00,5.455928e+00,3.407131e+00,7.208632e+00,-6.891897e+00,-1.505882e+01,-1.404721e+01,-2.267859e+00,2.804743e+00,-4.985600e+00,-5.652411e+00,-2.742399e+00,-2.248970e+00,-8.502752e-01,1.404246e-01,1.150826e+00,1.699989e+00,1.015894e+01,1.150122e+01,1.327498e+01,1.573449e+01,1.547614e+01,1.545787e+01,1.343411e+01,1.030665e+01
3.311404e+00,2.531861e+00,2.096638e-01,-4.325552e+00,-2.982354e+00,-3.281238e-01,4.676231e+00,1.264173e+01,1.331976e+01,8.722189e+00,7.434332e+00,9.097730e+00,1.057994e+01,1.001481e+01,1.110720e+01,9.946978e+00,6.511066e+00,2.661207e+00,3.850231e+00,-4.466131e+00,-9.012894e+00,-3.270739e+00,5.356974e+00,1.327511e+01,1.041688e+01,9.845886e+00
