Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35
-5.341382e+02,-5.341382e+02,-5.341382e+02,-5.341382e+02,-5.341382e+02,-5.336561e+02,-5.309412e+02,-5.333420e+02,-5.341382e+02,-5.341382e+02,-5.063690e+02,-4.541679e+02,-4.391756e+02,-4.473560e+02,-2.863524e+02,-1.685373e+02,-1.096245e+02,-9.891077e+01,-1.309832e+02,-1.868394e+02,-2.569375e+02,-3.347155e+02,-3.944749e+02,-4.283221e+02,-4.794183e+02,-5.294944e+02,-5.225118e+02,-4.997524e+02,-4.952696e+02,-5.118275e+02,-5.216170e+02,-5.236317e+02,-5.266173e+02,-5.323678e+02,-5.341382e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-9.869538e-02,2.327148e-02,-1.635735e-01,0.000000e+00,0.000000e+00,3.611524e+01,9.926995e+01,1.155657e+02,1.032108e+02,1.273144e+02,1.288993e+02,1.316519e+02,1.473629e+02,1.590232e+02,1.622585e+02,1.503032e+02,1.291501e+02,9.142831e+01,6.586864e+01,3.468098e+01,4.996264e+00,1.604963e+01,4.680125e+01,5.318237e+01,3.119922e+01,1.760955e+01,1.480425e+01,1.060867e+01,2.500351e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-6.531171e-01,-3.065610e+00,-1.078202e+00,0.000000e+00,0.000000e+00,2.754182e+01,6.394587e+01,6.941333e+01,6.020356e+01,-2.627391e+01,-8.405766e+01,-1.167072e+02,-1.282213e+02,-1.158873e+02,-9.333039e+01,-7.145341e+01,-5.355079e+01,-5.085820e+01,-4.742474e+01,-2.550197e+01,1.699972e+00,1.491122e+01,4.161557e+01,4.809465e+01,3.016269e+01,1.731739e+01,1.464231e+01,1.052653e+01,2.490065e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.876443e-01,2.040219e+00,4.766271e-01,0.000000e+00,0.000000e+00,1.590620e+01,2.204754e+01,1.875201e+01,1.407814e+01,2.074047e+01,3.003103e+01,1.843395e+01,3.468227e+00,-1.258556e+01,-2.892768e+01,-3.950307e+01,-4.182883e+01,-4.282258e+01,-3.442892e+01,-1.916737e+01,-6.318157e-01,1.313766e+01,3.389772e+01,4.046309e+01,2.850609e+01,1.683771e+01,1.437538e+01,1.039068e+01,2.472980e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.693126e-01,2.922979e+00,9.388304e-01,0.000000e+00,0.000000e+00,4.163097e+00,-1.098019e+01,-1.612964e+01,-1.656399e+01,-3.783815e+01,-5.055999e+01,-5.105966e+01,-4.496488e+01,-3.757019e+01,-2.833347e+01,-1.641421e+01,1.931769e+00,1.462161e+01,2.274116e+01,1.742658e+01,-8.496794e-01,1.089263e+01,2.482143e+01,3.137807e+01,2.632722e+01,1.618118e+01,1.400787e+01,1.020269e+01,2.449185e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.520096e-01,-2.700642e+00,-7.486478e-01,0.000000e+00,0.000000e+00,-5.160914e+00,-2.684376e+01,-2.873724e+01,-2.397099e+01,-4.571240e+01,-3.695447e+01,-2.727252e+01,-1.778712e+01,-1.004920e+01,-5.784906e+00,-2.696586e+00,-3.589100e+00,7.717706e+00,1.211422e+01,1.364216e+01,-1.792770e-01,8.366018e+00,1.565957e+01,2.204767e+01,2.374728e+01,1.536233e+01,1.354582e+01,9.964706e+00,2.418808e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.377351e-01,-2.088614e+00,-7.201056e-01,0.000000e+00,0.000000e+00,-1.074832e+01,-2.699540e+01,-2.577576e+01,-2.179311e+01,-2.880625e+01,-4.163548e+01,-5.677731e+01,-5.560386e+01,-5.135522e+01,-4.587757e+01,-3.612794e+01,-2.083292e+01,-1.858064e+01,-1.739054e+01,-1.200556e+01,-4.121373e-01,5.744951e+00,7.529818e+00,1.357117e+01,2.089821e+01,1.439912e+01,1.299675e+01,9.679449e+00,2.382004e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.778083e-01,2.924201e+00,9.563251e-01,0.000000e+00,0.000000e+00,-1.273026e+01,-1.940195e+01,-1.817447e+01,-1.560107e+01,-1.600600e+01,-1.218189e+01,-1.016129e+01,-1.166363e+01,-1.935165e+01,-2.363655e+01,-2.552066e+01,-2.619130e+01,-1.603131e+01,-5.438694e+00,-1.037236e+01,-1.793933e+00,3.188353e+00,1.195795e+00,6.751726e+00,1.791032e+01,1.331252e+01,1.236954e+01,9.350157e+00,2.338964e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.697592e-01,9.434295e-01,4.410771e-01,0.000000e+00,0.000000e+00,-1.233540e+01,-1.250773e+01,-1.292216e+01,-1.196776e+01,-2.158739e+01,-7.833712e+00,7.359324e+00,1.487523e+01,1.498128e+01,1.015886e+01,-1.164595e+00,-9.624880e+00,4.008224e+00,1.138652e+01,3.991210e+00,-2.874752e+00,8.100458e-01,-3.033235e+00,1.986393e+00,1.490181e+01,1.212588e+01,1.167419e+01,8.980541e+00,2.289904e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-6.544393e-01,-3.045574e+00,-1.082030e+00,0.000000e+00,0.000000e+00,-1.115417e+01,-1.059546e+01,-1.136683e+01,-1.215797e+01,-3.330857e+01,-3.744627e+01,-2.437901e+01,-2.398427e+01,-2.513083e+01,-2.168911e+01,-1.618662e+01,5.734061e+00,1.562134e+01,2.561897e+00,-1.046544e+00,-2.163602e+00,-1.326898e+00,-5.289972e+00,-7.492003e-01,1.197170e+01,1.086432e+01,1.092168e+01,8.574745e+00,2.235101e+00,0.000000e+00
