Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38
-5.146588e+02,-5.146588e+02,-5.146588e+02,-5.146588e+02,-5.146588e+02,-5.146588e+02,-5.146588e+02,-5.146588e+02,-5.146588e+02,-5.146588e+02,-5.146588e+02,-5.146588e+02,-5.146588e+02,-5.069577e+02,-4.740536e+02,-4.384627e+02,-4.231762e+02,-4.162646e+02,-3.846763e+02,-2.145085e+02,-1.393694e+02,-1.344171e+02,-1.490895e+02,-1.406685e+02,-1.552886e+02,-1.969091e+02,-2.602947e+02,-3.277238e+02,-3.718586e+02,-4.055628e+02,-4.422238e+02,-4.882998e+02,-5.127863e+02,-5.146588e+02,-5.146588e+02,-5.146588e+02,-5.146588e+02,-5.146588e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.064415e+01,5.481032e+01,9.163914e+01,1.013268e+02,1.006242e+02,1.142910e+02,1.539637e+02,1.684812e+02,1.528910e+02,1.452557e+02,1.729723e+02,1.914766e+02,1.946960e+02,1.885519e+02,1.717513e+02,1.508813e+02,1.240434e+02,8.732497e+01,3.505142e+01,2.610532e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.915915e+00,4.742496e+01,5.954005e+01,5.055405e+01,3.324946e+01,1.676060e+01,-4.861687e+01,-7.726477e+01,-8.632141e+01,-7.969234e+01,-6.281791e+01,-4.660763e+01,-2.402962e+01,4.062449e-01,2.322938e+01,4.563821e+01,5.502328e+01,5.082742e+01,2.893550e+01,2.498935e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.742808e+00,3.653001e+01,3.510915e+01,2.260572e+01,3.328812e+00,-7.065800e+00,1.096410e+01,1.210514e+01,8.217936e+00,-5.331205e+00,-2.464448e+01,-4.075606e+01,-4.662215e+01,-5.358143e+01,-5.332737e+01,-3.432814e+01,-6.909282e+00,1.281975e+01,2.037354e+01,2.317608e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.183414e+00,2.389295e+01,1.864803e+01,1.134050e+01,2.353876e+00,-1.045223e+00,-2.673766e+01,-3.809655e+01,-4.563550e+01,-6.043815e+01,-8.470331e+01,-9.459589e+01,-9.529800e+01,-8.326614e+01,-6.181850e+01,-5.211391e+01,-3.043190e+01,-1.012359e+01,1.112563e+01,2.073256e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.315209e+00,1.138235e+01,1.389312e+00,-5.647428e+00,-5.910343e+00,-5.629536e+00,-2.039043e+01,-1.754038e+01,-4.899017e+00,1.216840e+01,9.852382e+00,1.570689e+00,-6.458331e+00,-8.966488e+00,-1.790416e+01,-2.155087e+01,-2.003565e+01,-1.489936e+01,2.721157e+00,1.774665e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.230371e+00,5.668403e-01,-1.001239e+01,-1.533593e+01,-1.161027e+01,-1.138042e+01,-2.880116e+01,-3.762914e+01,-3.880551e+01,-2.015926e+01,-4.270803e+00,-7.544606e-01,1.964942e+00,8.777336e+00,4.559391e+00,5.552590e+00,-3.083122e+00,-1.035803e+01,-3.810318e+00,1.432227e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.030786e+00,-7.577969e+00,-7.454638e+00,-2.451146e+00,3.752923e+00,5.528131e+00,-3.372430e+01,-4.211895e+01,-4.465454e+01,-4.153134e+01,-3.801826e+01,-3.877882e+01,-4.168197e+01,-3.931668e+01,-1.612570e+01,-9.461229e-01,-3.393996e-01,-7.074805e+00,-7.932715e+00,1.057327e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.177388e+00,-1.278599e+01,-3.112407e+00,8.254791e+00,1.509938e+01,1.624114e+01,9.767740e-01,2.221336e+00,2.057335e+00,-4.487440e+00,-1.133244e+01,-1.271133e+01,-1.247337e+01,-1.756338e+01,-1.967584e+01,-1.733064e+01,-1.006412e+01,-8.364834e+00,-9.517612e+00,6.617846e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.289342e+00,-1.542591e+01,-1.189777e+01,-7.658081e+00,-1.210048e+00,-2.224267e+00,-1.836653e+01,-1.605470e+01,-7.680899e+00,-8.987744e+00,-2.033630e+01,-2.355403e+01,-2.291732e+01,-1.754653e+01,-1.636383e+01,-2.152711e+01,-1.702936e+01,-9.983385e+00,-8.841604e+00,2.573094e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
