Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41,Coeff 42,Coeff 43,Coeff 44
-5.364650e+02,-5.364650e+02,-5.364650e+02,-5.364650e+02,-5.364349e+02,-5.364650e+02,-5.364650e+02,-5.364510e+02,-5.364650e+02,-5.364650e+02,-5.364650e+02,-5.364650e+02,-5.364650e+02,-5.364650e+02,-5.364650e+02,-5.364650e+02,-5.145189e+02,-4.651326e+02,-4.113590e+02,-3.851747e+02,-3.934248e+02,-4.237149e+02,-2.647633e+02,-1.800521e+02,-1.561713e+02,-1.579868e+02,-1.625042e+02,-1.830872e+02,-2.101744e+02,-2.387155e+02,-2.517670e+02,-2.638067e+02,-3.081209e+02,-3.813102e+02,-4.566276e+02,-5.180375e+02,-5.364650e+02,-5.364650e+02,-5.364650e+02,-5.364473e+02,-5.364650e+02,-5.355659e+02,-5.328481e+02,-5.355466e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.248695e-02,0.000000e+00,0.000000e+00,2.172019e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.994276e+01,8.911095e+01,1.336533e+02,1.420673e+02,1.332812e+02,1.104175e+02,1.601705e+02,1.784957e+02,1.695378e+02,1.643488e+02,1.824599e+02,2.011234e+02,2.110103e+02,2.040680e+02,1.847943e+02,1.713667e+02,1.482146e+02,1.136223e+02,6.948367e+01,1.895083e+01,0.000000e+00,0.000000e+00,0.000000e+00,-2.496245e-02,0.000000e+00,1.211666e+00,3.825894e+00,5.661004e-01
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.240150e-02,0.000000e+00,0.000000e+00,-1.922603e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.679012e+01,6.244579e+01,5.522400e+01,3.662805e+01,3.788921e+01,4.022743e+01,-3.091956e+01,-5.345581e+01,-5.773672e+01,-5.836737e+01,-4.790094e+01,-3.019514e+01,-2.230658e+01,-2.297058e+01,-3.682965e+01,-4.379513e+01,-3.079009e+01,-1.066123e+01,9.924236e+00,9.757955e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.495681e-02,0.000000e+00,1.037731e+00,2.285410e+00,-3.315134e-01
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.225671e-02,0.000000e+00,0.000000e+00,-6.410507e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.194281e+01,3.533824e+01,1.457553e+01,1.236937e+01,2.056611e+01,2.267153e+01,5.663727e+00,8.232404e+00,1.004341e+01,4.208430e+00,-1.778189e+01,-3.318073e+01,-4.108444e+01,-3.443540e+01,-1.337753e+01,-5.075730e+00,3.477251e+00,1.721947e+00,8.444170e+00,1.044987e+01,0.000000e+00,0.000000e+00,0.000000e+00,-2.494742e-02,0.000000e+00,7.663317e-01,2.009178e+00,-3.997462e-01
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.205465e-02,0.000000e+00,0.000000e+00,1.781115e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.594424e+01,1.308452e+01,8.204039e+00,1.324805e+01,1.376138e+01,1.393455e+01,-2.378604e+01,-4.463334e+01,-5.819678e+01,-6.870344e+01,-8.396515e+01,-9.161011e+01,-7.745967e+01,-4.648365e+01,-1.753905e+01,-4.275716e+00,8.366961e+00,1.884532e+01,1.893212e+01,1.068842e+01,0.000000e+00,0.000000e+00,0.000000e+00,2.493521e-02,0.000000e+00,4.233236e-01,8.223043e-01,-6.145805e-01
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.179747e-02,0.000000e+00,0.000000e+00,1.033747e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.433283e+00,-4.371346e+00,-1.690714e+00,-5.251068e+00,-1.049317e+01,-5.696470e+00,-3.151541e+01,-2.323946e+01,-2.238933e+00,1.794944e+01,1.887584e+01,7.515874e+00,-7.017548e+00,-2.005541e+01,-2.851910e+01,-2.786132e+01,-2.402544e+01,-1.194713e+01,-2.630001e-01,2.237846e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.491735e-02,0.000000e+00,4.134255e-02,-7.534028e-01,-7.219031e-01
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.148363e-02,0.000000e+00,0.000000e+00,-1.553416e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.048938e+00,-1.375515e+01,-1.263297e+01,-5.905066e+00,-4.046888e+00,-5.088861e+00,-3.302943e+01,-3.908943e+01,-3.315704e+01,-1.119578e+01,-4.038494e-01,5.893247e+00,4.696480e+00,-5.820330e+00,-8.670166e+00,-8.971200e+00,-1.735098e+01,-2.057017e+01,-1.022200e+01,-4.186587e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.489669e-02,0.000000e+00,-3.433405e-01,-4.416601e-01,2.939348e-01
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.111175e-02,0.000000e+00,0.000000e+00,-1.376208e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.659881e+00,-1.407603e+01,-6.201033e+00,6.942880e+00,9.111097e+00,-1.106794e+00,-3.807291e+01,-5.078048e+01,-5.104600e+01,-4.583344e+01,-4.390151e+01,-4.416733e+01,-3.768311e+01,-2.433527e+01,-1.227147e+01,-8.202524e+00,-7.905407e+00,3.309345e-02,5.918201e-01,-2.796549e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.487228e-02,0.000000e+00,-6.943096e-01,-2.400397e-01,1.137049e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.068769e-02,0.000000e+00,0.000000e+00,1.250185e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-7.304143e+00,-1.308199e+01,3.356497e+00,4.342629e+00,-1.790492e+00,-1.287435e+01,-6.780368e+00,-5.036087e+00,-4.179354e+00,-2.426698e+00,-3.378316e+00,-1.150205e+01,-1.613338e+01,-1.490752e+01,-1.921297e+01,-1.484348e+01,-6.583340e+00,7.828345e-01,-3.571203e+00,-3.090174e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.484697e-02,0.000000e+00,-9.784946e-01,-2.031379e+00,5.871557e-01
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.020324e-02,0.000000e+00,0.000000e+00,1.651790e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.069298e+01,-1.740653e+01,-6.416468e+00,-4.913097e+00,-6.528560e+00,-1.529913e+01,-1.192066e+01,-1.110364e+01,-1.090314e+01,-1.987831e+01,-2.386829e+01,-2.833700e+01,-2.735735e+01,-2.781963e+01,-3.297010e+01,-3.053637e+01,-2.314123e+01,-1.817241e+01,-1.461855e+01,-7.099412e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.481222e-02,0.000000e+00,-1.169313e+00,-3.271289e+00,-6.409572e-02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.966776e-02,0.000000e+00,0.000000e+00,-8.859365e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.283528e+01,-2.227882e+01,-2.438210e+01,-1.297968e+01,-3.661978e+00,-7.201787e+00,-1.679467e+01,-1.228946e+01,1.398417e-01,-4.140054e+00,-8.231031e+00,-7.474161e+00,-1.065379e+01,-1.092918e+01,-8.718166e+00,-1.325561e+01,-1.564912e+01,-9.306403e+00,-4.868122e+00,-5.942351e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.477659e-02,0.000000e+00,-1.249217e+00,-3.199997e+00,-2.223520e-01
