Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30
-4.674202e+02,-4.512859e+02,-4.540821e+02,-4.605486e+02,-4.642780e+02,-4.642876e+02,-4.613109e+02,-4.470716e+02,-4.303793e+02,-3.974247e+02,-2.366219e+02,-1.611102e+02,-1.255040e+02,-1.038650e+02,-9.083903e+01,-1.089575e+02,-9.832991e+01,-7.863394e+01,-8.007664e+01,-1.165995e+02,-1.753179e+02,-2.584268e+02,-3.264956e+02,-3.801093e+02,-4.330537e+02,-4.622930e+02,-4.642944e+02,-4.681984e+02,-4.647648e+02,-4.697531e+02
1.831080e+01,3.284417e+01,3.252073e+01,2.884835e+01,2.536218e+01,2.528910e+01,2.930661e+01,4.740612e+01,7.055672e+01,1.021298e+02,1.235426e+02,1.093697e+02,9.629272e+01,8.552090e+01,6.830524e+01,5.412120e+01,4.642644e+01,5.689041e+01,8.547559e+01,1.238865e+02,1.551539e+02,1.715211e+02,1.527847e+02,1.084093e+02,6.019544e+01,2.788450e+01,2.479409e+01,2.021135e+01,2.428382e+01,2.095947e+01
2.571788e+00,2.920318e+00,6.719381e+00,1.230005e+01,1.158497e+01,1.144826e+01,1.543875e+01,2.925933e+01,5.045681e+01,5.760423e+01,8.458351e+00,-8.084093e+00,-2.689632e+01,-3.487598e+01,-2.537143e+01,-4.880383e+00,-6.122184e+00,-2.314466e+01,-2.963283e+01,-2.873570e+01,-1.184153e+01,1.387231e+01,2.604647e+01,2.776211e+01,2.690902e+01,1.431345e+01,1.051448e+01,8.589367e+00,1.093977e+01,1.403928e+01
-1.823039e+00,-5.565475e+00,-4.661715e+00,2.952089e+00,2.187988e+00,2.015117e+00,6.749084e+00,1.680658e+01,3.384092e+01,2.997484e+01,2.522344e+01,1.091897e+01,-1.276604e+01,-2.611467e+01,-2.772626e+01,-3.238585e+01,-3.223281e+01,-3.612585e+01,-5.063763e+01,-6.110140e+01,-5.358041e+01,-4.704233e+01,-3.109042e+01,-1.429110e+01,2.145710e+00,6.159294e+00,1.973705e+00,3.339581e+00,4.406203e+00,8.931807e+00
4.692291e+00,6.694696e+00,3.050460e+00,5.604843e+00,2.679599e+00,2.282521e+00,7.814852e+00,1.445806e+01,2.581321e+01,1.875131e+01,-1.367753e+01,-2.259604e+01,-2.178634e+01,-2.862943e+01,-3.224470e+01,-3.182040e+01,-3.395222e+01,-3.311388e+01,-3.594101e+01,-4.019065e+01,-3.597056e+01,-2.348883e+01,-1.220115e+01,-6.741634e+00,-4.627414e+00,6.680487e+00,3.533407e+00,6.721232e+00,7.819350e+00,8.332831e+00
8.833115e+00,1.530560e+01,1.306502e+01,1.193220e+01,8.710876e+00,8.045218e+00,1.308731e+01,1.478932e+01,2.071574e+01,1.248205e+01,-1.199843e+01,-6.190802e+00,-1.020397e+00,1.029761e+01,2.695378e+01,2.937978e+01,3.683602e+01,4.323860e+01,3.851458e+01,3.707162e+01,3.299574e+01,1.567935e+01,6.522116e+00,5.182526e+00,-2.717511e+00,1.007365e+01,8.730827e+00,1.115043e+01,1.299842e+01,1.035371e+01
5.844631e+00,1.144359e+01,1.297401e+01,1.298910e+01,1.267251e+01,1.239457e+01,1.556627e+01,1.148972e+01,1.331546e+01,7.601044e+00,-1.792616e+01,-2.787534e+01,-3.408455e+01,-3.744014e+01,-4.083802e+01,-3.719176e+01,-3.652791e+01,-3.484079e+01,-4.021140e+01,-4.132992e+01,-3.992085e+01,-2.672402e+01,-1.022263e+01,-2.063348e+00,-1.483314e+00,1.132875e+01,1.033793e+01,1.082622e+01,1.264534e+01,1.152431e+01
2.566290e+00,6.038081e+00,6.471228e+00,8.467610e+00,1.132328e+01,1.227360e+01,1.359385e+01,6.303910e+00,5.094096e+00,2.808340e+00,8.561525e+00,1.984224e+01,2.755002e+01,2.542974e+01,2.270909e+01,2.356974e+01,2.433060e+01,2.155100e+01,1.151356e+01,8.115765e+00,-1.031761e+00,-8.007948e+00,-1.385429e+01,-9.712151e+00,-9.324725e-01,1.031863e+01,7.865628e+00,7.628775e+00,8.096649e+00,1.027362e+01
2.822843e+00,4.580225e+00,1.078898e+00,3.025630e+00,6.467742e+00,8.437690e+00,9.028364e+00,2.341194e+00,-1.221908e+00,-1.834876e-01,-3.869872e+00,-7.406085e+00,1.544597e+00,9.685385e+00,8.137398e+00,8.171119e+00,9.176896e+00,9.226782e+00,4.569377e+00,6.020644e-01,2.719037e+00,4.436426e+00,3.360622e+00,-3.370706e+00,8.255638e-01,7.984624e+00,4.603471e+00,5.421726e+00,4.502660e+00,7.317322e+00
2.223000e+00,1.134143e+00,-2.476435e+00,-1.150867e+00,9.795775e-01,2.775151e+00,3.295641e+00,-2.407311e+00,-7.147640e+00,-1.386599e+00,-5.353134e+00,-1.054802e+01,-1.399495e+01,-6.728007e+00,1.151858e+01,2.017368e+01,2.420533e+01,2.494637e+01,2.357568e+01,2.252506e+01,1.683295e+01,1.279010e+01,1.309754e+01,4.292760e+00,1.785729e+00,4.324393e+00,1.885050e+00,4.203574e+00,3.406446e+00,4.030420e+00
-1.179322e+00,-4.438588e+00,-5.611259e+00,-4.755787e+00,-3.304749e+00,-2.191171e+00,-2.279189e+00,-1.047369e+01,-1.468933e+01,-3.810244e+00,3.001629e+00,-1.742049e-01,-1.050710e+01,-2.127886e+01,-2.413732e+01,-2.831898e+01,-2.808256e+01,-2.070450e+01,-1.283603e+01,-5.707308e+00,2.920408e+00,6.181278e+00,3.967276e+00,1.202242e+00,2.887768e-01,3.259349e-01,-7.394612e-01,2.316522e+00,2.805055e+00,1.541918e+00
-2.093930e+00,-3.886933e+00,-6.248138e+00,-7.175634e+00,-4.862484e+00,-3.508101e+00,-5.151007e+00,-1.818802e+01,-2.091325e+01,-8.446557e+00,6.817771e+00,1.047684e+01,1.187558e+01,1.474993e+01,1.493390e+01,7.766704e+00,3.623820e+00,8.797004e+00,1.173106e+01,1.008600e+01,6.794871e+00,2.307332e+00,-6.751348e+00,-5.791521e+00,-1.792477e+00,-2.085080e+00,-2.257558e+00,5.976912e-01,1.634659e+00,7.372888e-01
2.039855e+00,2.778523e+00,-2.842872e+00,-6.147277e+00,-2.760835e+00,-4.982328e-01,-3.950258e+00,-1.929987e+01,-2.114371e+01,-1.564617e+01,-1.597581e+01,-1.334795e+01,-5.316009e+00,-9.948669e+00,-1.320290e+01,-1.245941e+01,-1.954372e+01,-2.249798e+01,-1.641185e+01,-1.318488e+01,-7.637337e+00,-2.985216e+00,-6.041904e+00,-7.714478e+00,-2.785480e+00,-2.427396e+00,-9.084036e-01,9.751099e-01,8.902397e-01,1.689029e+00
