Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26
-4.853636e+02,-4.747823e+02,-4.758059e+02,-4.759273e+02,-4.418137e+02,-4.000587e+02,-3.884199e+02,-4.016183e+02,-2.800957e+02,-1.831262e+02,-1.297586e+02,-9.184545e+01,-8.442977e+01,-1.036712e+02,-1.030085e+02,-7.507554e+01,-6.561600e+01,-7.666213e+01,-9.712109e+01,-1.314886e+02,-2.107954e+02,-3.067311e+02,-3.708936e+02,-4.291116e+02,-4.673190e+02,-4.834884e+02
2.538925e+01,3.430305e+01,3.179804e+01,3.272434e+01,7.257014e+01,1.130491e+02,1.258661e+02,1.189940e+02,1.378207e+02,1.143369e+02,1.019367e+02,9.306425e+01,6.994100e+01,5.206710e+01,4.263979e+01,4.414754e+01,5.618264e+01,7.235837e+01,1.045081e+02,1.325148e+02,1.582524e+02,1.644138e+02,1.296006e+02,7.702749e+01,4.134481e+01,2.613676e+01
1.403141e+01,1.187031e+01,7.771039e+00,1.040865e+01,3.604659e+01,4.916739e+01,5.684183e+01,6.605313e+01,1.573726e+01,-8.359005e+00,-2.865971e+01,-4.573897e+01,-4.392616e+01,-2.190578e+01,-1.471051e+01,-3.704280e+01,-5.076241e+01,-4.293312e+01,-2.660684e+01,-1.673563e+01,-8.792530e+00,1.197555e+01,2.097521e+01,1.777824e+01,1.344382e+01,1.136082e+01
4.671997e+00,-2.209033e+00,-5.570242e+00,-3.030874e+00,1.560418e+01,2.542421e+01,3.214042e+01,3.949472e+01,1.437398e+01,4.982516e-01,-2.431902e+01,-3.131947e+01,-2.563697e+01,-2.182157e+01,-1.790235e+01,-1.948785e+01,-2.881190e+01,-3.327908e+01,-4.367288e+01,-4.697121e+01,-3.617157e+01,-2.921138e+01,-2.094546e+01,-7.684385e+00,-1.208694e+00,8.872925e-01
2.246986e+00,-1.410921e+00,-1.374301e+00,-7.337576e-01,1.208477e+01,2.534687e+01,3.095423e+01,3.016159e+01,-5.893685e+00,-2.343335e+01,-1.978392e+01,-1.995339e+01,-2.521526e+01,-2.781181e+01,-3.759688e+01,-3.592404e+01,-2.777100e+01,-2.842541e+01,-3.181512e+01,-3.053170e+01,-2.148597e+01,-8.996623e+00,-1.001722e+00,9.247247e-02,1.589832e+00,2.931729e-01
5.307138e+00,6.380131e+00,9.034554e+00,7.795469e+00,7.886026e+00,8.124836e+00,8.805405e+00,1.092757e+01,-4.861511e+00,-1.173647e+00,1.234648e+01,2.216603e+01,3.195312e+01,3.389110e+01,3.865002e+01,4.044833e+01,4.017587e+01,3.752785e+01,2.813746e+01,2.422643e+01,2.179249e+01,7.518118e+00,1.150456e+01,3.116086e+00,7.229572e+00,5.605434e+00
9.032339e+00,1.246326e+01,1.378402e+01,1.159444e+01,3.725010e-01,-1.091853e+01,-1.470194e+01,-6.518471e+00,-2.366902e+01,-4.033447e+01,-3.863290e+01,-4.060990e+01,-4.280388e+01,-4.243768e+01,-3.899458e+01,-4.296246e+01,-4.907478e+01,-4.322838e+01,-4.313771e+01,-4.611142e+01,-4.374817e+01,-1.673116e+01,-2.889750e+00,-4.400148e+00,7.917318e+00,9.890305e+00
9.661594e+00,1.361209e+01,1.128920e+01,8.747581e+00,-3.753433e+00,-7.037247e+00,-1.006814e+01,-5.519670e+00,9.990199e+00,1.873467e+01,2.735054e+01,2.564202e+01,2.448997e+01,2.887324e+01,3.031706e+01,2.823000e+01,2.392551e+01,1.775733e+01,8.981615e+00,4.763665e+00,-2.822707e+00,-1.330137e+01,-7.582073e+00,-7.981646e-01,7.856979e+00,9.501337e+00
6.287924e+00,9.053887e+00,5.299909e+00,2.951147e+00,-7.801047e+00,-3.115098e+00,-2.127322e+00,-4.263332e+00,2.195195e+00,5.407289e+00,1.271720e+01,1.570057e+01,1.396060e+01,1.124319e+01,9.432322e+00,9.872602e+00,1.487604e+01,1.607252e+01,1.039319e+01,6.611776e+00,8.536133e+00,8.400629e+00,8.268437e+00,1.089323e+01,8.034512e+00,4.860533e+00
4.528908e-01,3.869367e-01,-1.378980e+00,-2.815165e+00,-1.566847e+01,-1.819669e+01,-1.606306e+01,-1.702743e+01,-1.203990e+01,-1.797191e+01,-2.251834e+01,-1.620161e+01,-4.969173e+00,6.782222e+00,9.643984e+00,7.776098e+00,1.295071e+01,1.894329e+01,1.550434e+01,8.150530e+00,7.033731e+00,8.981874e+00,8.345641e+00,7.658282e+00,3.123755e+00,-1.214407e+00
-4.802486e+00,-6.520302e+00,-6.201025e+00,-6.689136e+00,-1.929227e+01,-2.435516e+01,-2.521333e+01,-2.292226e+01,-7.832099e-01,-5.637990e+00,-1.432812e+01,-1.813252e+01,-2.196646e+01,-2.035214e+01,-2.037722e+01,-2.068999e+01,-1.914552e+01,-1.383716e+01,-7.973367e+00,-1.045200e+01,-1.319593e+01,-1.004036e+01,-1.061655e+01,-7.110431e+00,-6.010067e+00,-5.226775e+00
-6.580615e+00,-6.471666e+00,-6.522440e+00,-6.810046e+00,-1.339241e+01,-5.368361e+00,-8.010996e+00,-9.192208e+00,1.552956e+01,9.073954e+00,1.642894e+01,1.528881e+01,1.069777e+01,6.867673e+00,5.126875e+00,4.214234e+00,9.339817e-01,4.948794e+00,7.184674e+00,6.596255e+00,8.218496e-01,-5.059339e+00,-1.187644e+01,-8.153143e+00,-1.044673e+01,-5.365690e+00
-4.389006e+00,-1.614425e+00,-3.067912e+00,-3.217334e+00,-6.866566e+00,7.008633e+00,5.723854e+00,1.388576e+00,-1.846402e+01,-1.465084e+01,3.127301e+00,2.544172e+00,-2.622473e+00,-5.704376e+00,-7.546028e+00,-1.115012e+01,-7.357611e+00,-2.005754e+00,5.728181e+00,9.802488e+00,1.546863e+01,9.690471e+00,1.331176e+00,5.195232e+00,-6.617489e+00,-3.107566e+00
