Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29
-4.635690e+02,-4.491673e+02,-4.594855e+02,-4.569359e+02,-4.561087e+02,-4.639807e+02,-4.647217e+02,-4.631146e+02,-4.546286e+02,-3.100961e+02,-1.804306e+02,-1.410460e+02,-1.261263e+02,-1.099374e+02,-1.170271e+02,-1.320448e+02,-1.157166e+02,-9.830431e+01,-9.917463e+01,-1.085796e+02,-1.527253e+02,-2.375050e+02,-3.250061e+02,-3.846429e+02,-4.411225e+02,-4.628005e+02,-4.631107e+02,-4.656948e+02,-4.966941e+02
5.065958e+01,6.189301e+01,5.499632e+01,5.987065e+01,5.989098e+01,5.167193e+01,5.343831e+01,5.495523e+01,6.528268e+01,1.199323e+02,1.177279e+02,1.077274e+02,1.034283e+02,1.004058e+02,8.901186e+01,8.261574e+01,7.396455e+01,7.905722e+01,1.003304e+02,1.309434e+02,1.548632e+02,1.781721e+02,1.690667e+02,1.300126e+02,7.773711e+01,5.379223e+01,5.248203e+01,4.851956e+01,2.079071e+01
6.635713e+00,5.161554e+00,9.509287e+00,1.340366e+01,1.108203e+01,8.875889e+00,1.474013e+01,1.464683e+01,2.152388e+01,-1.718617e+00,-1.943387e+01,-1.775719e+01,-2.183797e+01,-3.154245e+01,-2.299743e+01,-9.196529e+00,-1.558612e+01,-3.351091e+01,-4.148847e+01,-3.179226e+01,-1.559878e+01,7.095863e+00,2.091346e+01,2.627061e+01,2.166464e+01,1.112628e+01,1.015077e+01,7.247066e+00,6.695943e+00
-9.760130e+00,-1.045928e+01,-5.033042e+00,-7.528850e+00,-1.077146e+01,-8.695630e+00,-3.902471e+00,-5.101061e+00,-8.820359e-01,1.498899e+01,1.436404e+01,3.964833e+00,-1.814780e+01,-2.527763e+01,-2.221745e+01,-1.972485e+01,-2.225557e+01,-2.919273e+01,-3.941274e+01,-4.668547e+01,-4.538997e+01,-4.001721e+01,-2.852046e+01,-1.932886e+01,-6.914261e+00,-8.267257e+00,-5.574090e+00,-4.935075e+00,2.095588e+00
1.171845e+00,5.573708e+00,7.743628e+00,1.361849e+00,1.747706e-01,3.029858e+00,2.719184e+00,1.514002e+00,4.679028e+00,2.781389e+00,-1.603062e+01,-2.354605e+01,-2.197684e+01,-1.737789e+01,-1.705103e+01,-1.505843e+01,-2.337334e+01,-3.191012e+01,-3.213937e+01,-3.223912e+01,-2.740874e+01,-1.342708e+01,-2.689819e+00,-2.788537e+00,-8.979650e-01,9.755700e-01,6.067513e+00,8.642758e+00,6.421600e+00
1.117609e+01,1.126949e+01,1.315002e+01,1.091739e+01,1.275681e+01,1.434418e+01,1.175711e+01,1.069320e+01,1.382864e+01,2.364485e-01,3.383697e+00,8.472815e+00,1.390392e+01,1.643348e+01,2.618237e+01,3.610574e+01,4.390680e+01,4.285903e+01,4.020920e+01,3.592188e+01,3.066617e+01,2.689192e+01,1.767154e+01,1.060863e+01,8.099262e+00,1.258300e+01,1.531564e+01,1.517350e+01,8.641754e+00
1.290032e+01,5.672470e+00,5.140028e+00,8.474930e+00,1.082739e+01,1.054643e+01,1.081643e+01,8.893275e+00,1.188103e+01,-1.047593e+01,-2.633521e+01,-3.200095e+01,-3.448565e+01,-3.765222e+01,-4.012299e+01,-3.539859e+01,-3.481426e+01,-4.090763e+01,-4.585405e+01,-4.451048e+01,-3.890280e+01,-2.435079e+01,-3.825997e+00,-1.916106e+00,4.545689e+00,1.221309e+01,1.166329e+01,8.019501e+00,5.590333e+00
1.436752e+01,7.244764e+00,1.981640e+00,6.174479e+00,6.792131e+00,4.614443e+00,7.589559e+00,4.339005e+00,5.059379e+00,-2.300255e+00,8.575860e+00,1.926570e+01,2.246189e+01,1.619186e+01,1.450075e+01,1.448667e+01,1.514878e+01,1.173511e+01,5.403986e+00,1.083317e+00,-1.133221e+00,-8.069592e+00,-6.901891e+00,-9.769667e+00,9.935629e-01,8.179987e+00,7.117347e+00,3.835202e+00,2.406610e+00
1.160454e+01,8.472854e+00,5.435177e+00,8.804699e+00,9.468941e+00,6.493360e+00,7.278802e+00,3.802696e+00,-7.817103e-01,-1.430416e+01,-1.622977e+01,-8.746469e+00,5.845790e+00,1.175102e+01,9.581121e+00,8.454678e-01,2.272102e+00,4.833773e+00,2.595319e+00,-9.661354e-01,1.237935e+00,3.668047e-01,5.435733e+00,8.569475e-01,4.908567e+00,6.945503e+00,5.794651e+00,4.795184e+00,6.432216e-01
3.170409e-01,-1.320779e+00,2.995724e+00,6.044166e+00,9.653614e+00,8.128904e+00,4.080780e+00,1.685854e+00,-8.056118e+00,-1.000288e+01,-7.777541e+00,-7.201200e+00,-1.299141e+01,-9.782704e+00,7.978633e+00,1.737857e+01,1.749259e+01,1.817089e+01,1.784803e+01,1.976288e+01,1.693407e+01,1.518299e+01,1.009199e+01,7.773267e+00,6.967854e+00,4.047165e+00,1.127959e+00,5.803311e-01,-1.832489e+00
