Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38
-5.102824e+02,-5.035961e+02,-5.033283e+02,-5.032948e+02,-5.052531e+02,-5.027710e+02,-4.962876e+02,-4.841885e+02,-4.730785e+02,-4.421433e+02,-2.469323e+02,-1.478768e+02,-1.120400e+02,-1.193797e+02,-1.359386e+02,-1.299118e+02,-9.901482e+01,-9.235851e+01,-1.082861e+02,-1.359086e+02,-1.855056e+02,-2.460737e+02,-3.133747e+02,-3.760955e+02,-4.499966e+02,-4.971935e+02,-5.052531e+02,-5.088205e+02,-5.085916e+02,-5.084388e+02,-5.091743e+02,-5.112189e+02,-5.089083e+02,-5.079260e+02,-5.092056e+02,-5.093151e+02,-5.084672e+02,-5.113208e+02
1.995945e+01,2.775808e+01,2.780944e+01,2.774883e+01,2.581175e+01,2.873896e+01,3.663836e+01,5.302158e+01,6.635826e+01,8.804111e+01,6.790315e+01,6.512956e+01,8.287863e+01,8.870141e+01,8.201859e+01,7.848659e+01,7.688388e+01,8.213311e+01,9.392508e+01,1.128221e+02,1.342924e+02,1.523207e+02,1.569359e+02,1.298798e+02,7.560837e+01,3.384462e+01,2.501485e+01,2.042639e+01,2.102030e+01,2.177922e+01,2.086016e+01,1.837224e+01,2.106463e+01,2.236602e+01,2.105168e+01,2.076382e+01,2.220782e+01,1.863136e+01
1.825057e+01,2.213323e+01,2.161110e+01,2.085497e+01,2.098201e+01,2.247889e+01,2.732191e+01,4.270723e+01,5.569144e+01,6.106714e+01,1.859211e+01,-1.218859e+01,-3.617693e+01,-4.519782e+01,-3.285344e+01,-3.750896e+01,-5.298464e+01,-5.768513e+01,-5.592422e+01,-4.762674e+01,-2.759790e+01,-1.132607e+01,5.412877e+00,1.787925e+01,2.266888e+01,2.246235e+01,1.853357e+01,1.515149e+01,1.645870e+01,1.830041e+01,1.768383e+01,1.614437e+01,1.743325e+01,1.849146e+01,1.832904e+01,1.777655e+01,1.979636e+01,1.727582e+01
1.579401e+01,1.585116e+01,1.445992e+01,1.268632e+01,1.509347e+01,1.503341e+01,1.645814e+01,3.013351e+01,4.487096e+01,4.341485e+01,1.870119e+01,-1.160069e+01,-4.006479e+01,-5.007738e+01,-4.845602e+01,-4.696784e+01,-4.640570e+01,-5.620005e+01,-5.906879e+01,-5.886930e+01,-5.112030e+01,-4.449807e+01,-4.150603e+01,-2.433630e+01,1.486942e+00,1.235850e+01,1.178738e+01,9.967929e+00,1.203980e+01,1.445029e+01,1.413157e+01,1.350852e+01,1.330017e+01,1.401861e+01,1.492361e+01,1.427448e+01,1.679949e+01,1.523169e+01
1.299905e+01,1.120526e+01,8.377647e+00,6.097168e+00,1.003428e+01,8.911225e+00,7.747770e+00,1.715312e+01,2.846651e+01,2.403907e+01,3.281845e+00,4.462505e+00,5.650098e+00,8.267582e+00,4.507777e+00,-2.796169e+00,-5.433247e+00,-6.469833e+00,-1.201432e+01,-1.627129e+01,-8.118567e+00,4.178747e+00,1.379021e+01,6.740601e+00,7.248936e+00,6.517934e+00,7.926426e+00,7.611785e+00,9.863029e+00,1.180667e+01,1.153555e+01,1.132048e+01,1.015525e+01,1.052271e+01,1.183226e+01,1.148396e+01,1.401513e+01,1.277674e+01
1.019882e+01,8.714579e+00,4.936459e+00,2.454089e+00,6.764606e+00,5.251968e+00,2.999638e+00,7.299239e+00,1.683253e+01,1.893352e+01,2.028189e+01,1.843728e+01,2.563832e+01,3.234816e+01,3.293377e+01,3.066994e+01,2.999268e+01,2.887226e+01,3.536446e+01,3.340139e+01,2.805268e+01,2.660552e+01,2.609851e+01,1.994463e+01,4.165299e+00,4.581321e+00,7.704682e+00,8.567006e+00,1.007818e+01,1.086462e+01,1.028151e+01,9.835423e+00,8.393367e+00,8.483093e+00,9.533401e+00,9.854325e+00,1.171822e+01,1.022047e+01
7.594603e+00,7.305397e+00,3.746938e+00,1.415545e+00,5.155037e+00,3.741662e+00,1.520606e+00,1.452895e+00,1.188748e+01,1.091753e+01,-2.116876e+01,-3.355671e+01,-3.850239e+01,-4.257839e+01,-4.134286e+01,-3.956361e+01,-4.105470e+01,-4.972871e+01,-4.987689e+01,-4.604382e+01,-4.193838e+01,-3.988564e+01,-3.114331e+01,-1.278603e+01,-7.325986e+00,6.296778e+00,9.269648e+00,1.088443e+01,1.122725e+01,1.086966e+01,9.796168e+00,8.660246e+00,7.278716e+00,7.215631e+00,7.853705e+00,8.923288e+00,9.697498e+00,7.846489e+00
5.292458e+00,5.686943e+00,3.185598e+00,1.783637e+00,4.504881e+00,3.486729e+00,1.442035e+00,-2.497545e+00,3.387424e+00,2.173801e+00,8.949215e-01,9.587948e+00,2.112621e+01,2.467816e+01,2.433739e+01,2.521854e+01,3.006873e+01,3.205508e+01,3.029933e+01,2.759165e+01,2.253420e+01,1.531742e+01,-1.114405e+00,-4.991789e+00,-3.556862e+00,9.525895e+00,9.768803e+00,1.172991e+01,1.147090e+01,1.049783e+01,9.109442e+00,7.170607e+00,5.728484e+00,5.645382e+00,6.273196e+00,7.808397e+00,7.633432e+00,5.863466e+00
3.374366e+00,3.587673e+00,2.907521e+00,2.515280e+00,4.174756e+00,3.888121e+00,1.706827e+00,-4.468612e+00,-2.529586e+00,-1.394940e+00,-2.061516e+01,-2.365632e+01,-1.838498e+01,-8.107062e+00,-1.241240e+00,3.470105e+00,2.514269e+00,4.984141e+00,2.301532e+00,-1.394171e+00,-4.585271e+00,3.931401e+00,8.536255e+00,4.010410e+00,9.021454e+00,9.377258e+00,7.488970e+00,9.482214e+00,9.699269e+00,8.845077e+00,7.519596e+00,5.047770e+00,3.246970e+00,3.262026e+00,4.415842e+00,5.935512e+00,5.443312e+00,4.374475e+00
1.932500e+00,1.789661e+00,2.829437e+00,3.094053e+00,3.833326e+00,4.756484e+00,2.105608e+00,-5.523294e+00,-4.161775e+00,4.262276e+00,5.509681e+00,1.021509e+00,4.938296e+00,6.539789e+00,1.293979e+01,1.877583e+01,1.764962e+01,2.217850e+01,2.181460e+01,1.907672e+01,1.670004e+01,1.717842e+01,1.973549e+01,8.217424e+00,5.481222e+00,4.022703e+00,2.963260e+00,4.845648e+00,6.128483e+00,6.010699e+00,4.992405e+00,2.528129e+00,2.873559e-01,5.111153e-01,2.362347e+00,3.472124e+00,3.333116e+00,3.370139e+00
1.037839e+00,1.094953e+00,2.452554e+00,3.239698e+00,3.297682e+00,5.781390e+00,2.522518e+00,-8.047231e+00,-1.088137e+01,-2.941856e+00,-5.387399e+00,-9.227335e+00,-1.251058e+01,-1.461039e+01,-2.033805e+01,-1.976010e+01,-1.982010e+01,-1.525124e+01,-1.579522e+01,-1.585476e+01,-8.120492e+00,-1.421222e+00,-1.187922e+01,-1.371900e+01,-9.441545e+00,-2.154459e+00,-1.637205e+00,2.212746e-01,2.226356e+00,2.908669e+00,2.128752e+00,2.082799e-01,-2.168096e+00,-1.630567e+00,5.740356e-01,1.178335e+00,1.598562e+00,2.745303e+00
6.767636e-01,1.337827e+00,1.922300e+00,2.567421e+00,2.339181e+00,6.137294e+00,2.629320e+00,-1.042341e+01,-1.534869e+01,-1.824714e+01,-1.565573e+01,-1.051209e+01,-1.412914e+01,-2.303706e+01,-2.788039e+01,-2.883501e+01,-1.963719e+01,-1.048262e+01,-6.644946e+00,-1.304208e+01,-1.917017e+01,-1.942000e+01,-1.391365e+01,-1.193091e+01,-1.131990e+01,-4.801616e+00,-4.210003e+00,-2.117623e+00,-2.180884e-01,5.269479e-01,-2.729969e-01,-1.400615e+00,-3.391137e+00,-2.489764e+00,-4.881744e-01,-1.758945e-01,3.998817e-01,2.333718e+00
7.176243e-01,1.436032e+00,8.155774e-01,7.199034e-01,7.694680e-01,4.833968e+00,1.564129e+00,-1.146757e+01,-1.388497e+01,-1.887427e+01,-1.919604e+01,-1.191104e+01,-1.128732e+01,-1.110924e+01,-1.538875e+01,-1.803967e+01,-1.883174e+01,-1.308289e+01,-4.422713e+00,1.360681e+00,4.580146e+00,3.208488e+00,9.879204e+00,7.641381e+00,-1.836468e+00,-5.058006e+00,-4.188634e+00,-1.650805e+00,-4.953767e-01,-7.662055e-01,-1.780785e+00,-2.202554e+00,-3.403770e+00,-2.242661e+00,-7.478597e-01,-3.765462e-01,-3.233897e-01,1.952052e+00
