Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32
-5.587595e+02,-5.587595e+02,-5.575381e+02,-5.563585e+02,-5.587349e+02,-5.429739e+02,-5.031850e+02,-4.701522e+02,-4.085345e+02,-2.396397e+02,-1.655384e+02,-1.343789e+02,-1.155113e+02,-1.118099e+02,-1.227281e+02,-1.351264e+02,-1.557009e+02,-2.080469e+02,-2.816966e+02,-3.644670e+02,-4.241299e+02,-4.830765e+02,-5.403389e+02,-5.584634e+02,-5.587595e+02,-5.587595e+02,-5.587595e+02,-5.587595e+02,-5.587595e+02,-5.587595e+02,-5.587595e+02,-5.587595e+02
0.000000e+00,0.000000e+00,-3.140449e-01,-5.949639e-01,-7.200673e-03,2.157421e+01,6.984692e+01,9.826347e+01,1.200250e+02,1.579318e+02,1.777458e+02,1.874991e+02,1.549580e+02,1.406332e+02,1.615096e+02,2.066328e+02,2.288617e+02,2.330284e+02,2.181403e+02,1.830085e+02,1.414484e+02,8.559718e+01,2.444337e+01,4.115233e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,-1.610523e+00,-3.181561e+00,-3.178447e-02,1.940350e+01,5.100728e+01,5.122874e+01,2.574363e+01,-3.966044e+01,-6.877850e+01,-8.276820e+01,-6.645525e+01,-6.208506e+01,-7.963915e+01,-8.987434e+01,-7.294867e+01,-4.554264e+01,-1.328700e+01,2.091210e+01,3.992526e+01,3.905065e+01,2.027328e+01,3.905473e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,8.978781e-01,1.706148e+00,2.036652e-02,1.603877e+01,3.244477e+01,2.697595e+01,2.663834e+00,7.961421e+00,-2.392907e-01,-3.252441e+01,-5.524685e+01,-5.226821e+01,-5.364890e+01,-4.425146e+01,-4.496915e+01,-5.739447e+01,-7.005002e+01,-6.147321e+01,-2.863221e+01,2.393131e+00,1.498233e+01,3.563733e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,1.277121e+00,2.569125e+00,2.334819e-02,1.182345e+01,1.435111e+01,1.376874e+01,1.494638e+01,1.405289e+01,-3.031525e+00,-1.968923e+01,-2.748180e+01,-3.374895e+01,-4.595059e+01,-6.657706e+01,-7.369023e+01,-7.032338e+01,-6.351617e+01,-4.823786e+01,-2.826387e+01,-6.316469e+00,9.785616e+00,3.101607e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,-1.355564e+00,-2.592366e+00,-3.003787e-02,7.171600e+00,-4.520070e+00,-9.553371e+00,-1.919255e+01,-2.872556e+01,-1.610948e+01,-3.483872e+00,2.845333e+00,-1.896514e-01,-5.834377e+00,-4.962161e+00,-8.551223e+00,-1.347777e+01,-9.701139e+00,3.266274e+00,3.227171e+00,1.330969e+00,5.142382e+00,2.534641e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,-7.755883e-01,-1.642517e+00,-1.090582e-02,2.513490e+00,-1.689077e+01,-2.480712e+01,-2.335294e+01,-1.725936e+01,-1.934830e+01,-1.884039e+01,-1.754265e+01,-8.710098e+00,-2.788397e+00,3.371148e+00,1.213897e+01,1.951188e+01,1.869746e+01,1.562333e+01,1.313526e+01,3.555653e+00,1.089406e+00,1.882055e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,1.624051e+00,3.139488e+00,3.455531e-02,-1.758970e+00,-1.771284e+01,-1.486634e+01,3.270625e+00,-3.985753e+00,-1.451537e+01,-2.453987e+01,-2.426134e+01,-2.573277e+01,-2.892712e+01,-4.124217e+01,-4.918871e+01,-4.624510e+01,-3.279758e+01,-1.722766e+01,-5.899522e+00,-5.949535e+00,-2.158817e+00,1.165870e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,1.784129e-01,5.283675e-01,-3.407776e-03,-5.338895e+00,-1.457294e+01,-2.137933e+00,-3.345394e+00,-8.617723e+00,-2.639800e+00,-7.648231e+00,-1.766965e+01,-2.686970e+01,-3.237108e+01,-2.496353e+01,-2.353128e+01,-3.103210e+01,-3.400066e+01,-2.650345e+01,-2.268531e+01,-1.536229e+01,-4.155166e+00,4.102945e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,-1.668414e+00,-3.281476e+00,-3.314374e-02,-8.036570e+00,-1.584866e+01,-1.007252e+01,-1.504968e+01,-1.255613e+01,-7.990127e+00,-5.971838e+00,6.958232e-01,6.160596e+00,1.772758e+00,-7.822028e+00,-7.056973e+00,-4.185647e+00,-5.031654e+00,-1.018279e+01,-1.679194e+01,-1.362592e+01,-4.773814e+00,-3.591439e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,4.288756e-01,6.228768e-01,1.713667e-02,-9.792830e+00,-1.811890e+01,-2.419588e+01,-2.484740e+01,-2.272572e+01,-2.167776e+01,-2.300122e+01,-1.672784e+01,-9.247709e+00,-1.199394e+01,-8.075219e+00,-5.899852e+00,-7.960401e+00,-7.766294e+00,4.165504e-01,-1.062580e+00,-4.711634e+00,-4.634522e+00,-1.116451e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,1.486800e+00,3.009158e+00,2.604534e-02,-1.067249e+01,-1.586668e+01,-2.180426e+01,-1.298562e+01,1.930856e+00,-2.431992e+00,-7.410946e+00,-9.933994e+00,-3.065567e+00,3.409641e+00,1.069890e+00,2.606776e+00,8.301075e+00,8.128019e+00,8.627348e+00,2.820155e+00,-8.329353e-01,-4.760905e+00,-1.836028e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,-9.606627e-01,-1.658754e+00,-2.792524e-02,-1.083975e+01,-1.328593e+01,-1.183298e+01,-1.588161e+01,-2.362481e+00,-2.477194e+00,-7.818288e+00,-1.150771e+01,-1.202890e+01,-9.948521e+00,-2.977760e+00,-2.294502e+00,-2.649720e+00,2.341019e+00,-2.146965e+00,-6.613114e+00,-6.263571e+00,-5.728219e+00,-2.493590e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
