Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36
-4.877806e+02,-4.675486e+02,-4.630359e+02,-4.624003e+02,-4.632939e+02,-4.651150e+02,-4.592852e+02,-4.096921e+02,-3.265582e+02,-2.650831e+02,-2.330972e+02,-2.142693e+02,-1.495300e+02,-8.962722e+01,-7.822298e+01,-7.394012e+01,-6.531534e+01,-5.770333e+01,-5.572779e+01,-5.096507e+01,-4.967150e+01,-3.051580e+01,-2.339755e+01,-5.442264e+01,-1.346835e+02,-2.250547e+02,-3.000455e+02,-3.675464e+02,-4.279633e+02,-4.617263e+02,-4.596213e+02,-4.595736e+02,-4.653355e+02,-4.638610e+02,-4.619935e+02,-4.635299e+02
6.126406e+01,7.693597e+01,8.193796e+01,8.286787e+01,8.256499e+01,8.180057e+01,9.030131e+01,1.362293e+02,1.649479e+02,1.537722e+02,1.263346e+02,1.068302e+02,9.224683e+01,7.200365e+01,4.982448e+01,4.969918e+01,5.435322e+01,5.477106e+01,5.262877e+01,5.869374e+01,6.196788e+01,6.600423e+01,7.908701e+01,9.650072e+01,1.140813e+02,1.235189e+02,1.260442e+02,1.333142e+02,1.071545e+02,8.318620e+01,8.541370e+01,8.765921e+01,8.111616e+01,8.208464e+01,8.230310e+01,8.195922e+01
1.846592e+01,1.408376e+01,1.605977e+01,1.630688e+01,1.554121e+01,1.894530e+01,2.790171e+01,5.131871e+01,4.548846e+01,3.281487e+01,2.106647e+01,1.065219e+01,-3.024677e+00,-9.810452e+00,-1.633991e+01,-2.349989e+01,-2.839437e+01,-4.229326e+01,-4.822111e+01,-4.381382e+01,-4.986559e+01,-6.142603e+01,-7.031841e+01,-6.585193e+01,-4.729815e+01,-2.104489e+01,-8.361973e+00,-3.277193e+00,1.082609e+01,1.706087e+01,1.711814e+01,2.117241e+01,1.781814e+01,1.878566e+01,1.718626e+01,2.166858e+01
4.791103e+00,-3.652291e+00,-3.889212e+00,-5.090788e+00,-8.481837e+00,-2.540781e+00,4.803514e+00,2.921189e+01,4.680704e+01,5.204971e+01,5.274138e+01,5.123415e+01,2.153547e+01,1.912457e+00,-8.567281e+00,-1.902397e+01,-1.832996e+01,-1.850910e+01,-2.081711e+01,-1.554489e+01,-1.186370e+01,-1.150810e+01,-1.863670e+01,-1.662233e+01,-1.158960e+01,-1.039273e+01,-1.164190e+01,-1.289407e+01,-8.612479e+00,-2.915793e+00,-3.823667e+00,-3.630368e+00,-6.198318e+00,-3.474358e+00,-7.054907e-01,4.877752e+00
1.690791e+01,1.487682e+01,1.465059e+01,1.352487e+01,9.959365e+00,1.347538e+01,1.521026e+01,1.859452e+01,1.168531e+01,-4.449049e-01,7.730985e-01,7.026943e+00,-9.830870e+00,-1.530490e+01,-1.236090e+01,-2.798000e+00,2.945941e+00,9.272678e+00,7.732898e+00,5.443208e+00,1.135551e+01,1.121651e+01,8.179541e+00,9.218370e+00,1.508607e+01,1.612734e+01,1.056350e+01,1.324910e+01,1.403142e+01,1.313007e+01,1.449714e+01,1.015963e+01,6.779664e+00,9.449244e+00,1.534784e+01,1.477509e+01
2.213214e+01,2.395631e+01,2.417363e+01,2.499358e+01,2.391975e+01,2.333952e+01,1.858278e+01,6.334959e-01,-1.988251e+01,-1.825672e+01,-7.747603e+00,3.262561e+00,1.960245e+01,2.561271e+01,2.932754e+01,3.008243e+01,3.197128e+01,3.675418e+01,3.037905e+01,2.417179e+01,2.147527e+01,2.358798e+01,2.697046e+01,2.520229e+01,2.554498e+01,1.488258e+01,8.828289e+00,1.250085e+01,2.120013e+01,2.041434e+01,2.366823e+01,2.035306e+01,1.923879e+01,2.320355e+01,2.355744e+01,1.926620e+01
1.333709e+01,1.604068e+01,1.466172e+01,1.540238e+01,1.786607e+01,1.763295e+01,9.128899e+00,-3.957574e+00,7.928439e+00,6.802015e+00,-3.693561e+00,-1.303077e+01,-2.141612e+01,-3.199671e+01,-2.751211e+01,-2.410067e+01,-2.219811e+01,-1.871620e+01,-2.034065e+01,-1.780987e+01,-1.506900e+01,-1.592238e+01,-1.815503e+01,-1.622826e+01,-1.316242e+01,1.560678e-01,3.778757e+00,1.494553e+01,1.439216e+01,1.264047e+01,1.504381e+01,1.476533e+01,1.645401e+01,2.354762e+01,1.816819e+01,1.557999e+01
7.292814e+00,1.107004e+01,7.764632e+00,4.999917e+00,1.051776e+01,1.325502e+01,2.460550e+00,-1.213111e+01,-2.497397e+00,4.038890e+00,5.725618e+00,8.770615e+00,2.665092e+01,3.325769e+01,3.959287e+01,4.619901e+01,5.127469e+01,5.069527e+01,4.317461e+01,3.230785e+01,3.128223e+01,3.166311e+01,2.979168e+01,2.734708e+01,2.513310e+01,1.748361e+01,1.217496e+01,7.779435e+00,4.928494e+00,6.430249e+00,7.365893e+00,8.637541e+00,1.112944e+01,1.554658e+01,1.106235e+01,9.036928e+00
9.725665e+00,1.281533e+01,9.979638e+00,4.938823e+00,9.498299e+00,1.138518e+01,-7.005057e-01,-2.129918e+01,-2.776334e+01,-2.592349e+01,-2.187816e+01,-1.940954e+01,-1.930842e+01,-1.739485e+01,-1.612880e+01,-1.502377e+01,-1.492375e+01,-1.624430e+01,-1.974022e+01,-2.552841e+01,-2.477547e+01,-2.677509e+01,-2.497904e+01,-2.845368e+01,-2.859870e+01,-2.223910e+01,-1.386429e+01,-4.569942e+00,5.978174e-01,5.187392e+00,5.082011e+00,7.807361e+00,1.224302e+01,1.049140e+01,6.296700e+00,5.407259e+00
1.127861e+01,9.134949e+00,7.311418e+00,4.235285e+00,5.625126e+00,4.345842e+00,-5.336870e+00,-1.707189e+01,-3.695243e-01,9.608166e+00,1.625038e+01,1.929690e+01,8.037720e+00,7.482924e+00,7.603104e+00,6.422756e+00,6.863208e+00,7.666608e+00,5.121291e+00,3.027146e+00,5.862241e+00,6.392366e+00,2.266634e+00,-2.621293e+00,-5.971458e+00,-8.311821e+00,-5.131074e+00,1.326547e+00,2.091630e+00,2.716834e+00,2.884185e+00,5.679541e+00,1.018505e+01,7.407199e+00,1.680666e+00,3.139671e+00
6.643980e+00,-4.476840e-01,-2.079578e+00,-1.799183e+00,-1.387833e+00,-2.970922e+00,-8.556110e+00,-1.145251e+01,-1.405361e+01,-1.059610e+01,-1.117933e+01,-1.498374e+01,-1.108143e+01,-6.639245e-01,-1.925635e-01,-1.331103e+00,-4.525917e+00,-8.103834e+00,-7.939459e+00,-6.150590e+00,-8.768589e+00,-9.601858e+00,-8.693878e+00,-8.522718e+00,-1.613090e+01,-1.199112e+01,-5.576739e+00,-2.595920e+00,-6.703104e-01,-5.156530e-01,1.584269e+00,2.588914e+00,2.510204e+00,8.928564e-01,-1.683523e+00,-1.569368e+00
-7.075125e-02,-4.234446e+00,-3.876715e+00,-2.310972e+00,-2.543757e+00,-3.488889e+00,-7.844208e+00,-9.292516e+00,3.132108e+00,1.309088e+01,1.670204e+01,1.442317e+01,1.385976e+01,1.246769e+01,1.542902e+01,1.853143e+01,1.173916e+01,5.014249e+00,7.838148e+00,2.679418e+00,-5.094229e-01,-8.200889e+00,-9.373228e+00,-2.441186e+00,2.346544e+00,5.412427e+00,-1.334630e+00,-4.420988e+00,-2.652513e+00,6.656216e-01,2.488550e+00,2.212999e+00,2.117671e-01,-1.410890e+00,-2.055615e-01,-9.130198e-01
-3.295575e+00,-4.253607e-01,2.679203e+00,2.652754e+00,9.697220e-01,-4.208371e-02,-3.192151e+00,-7.092295e+00,-1.931998e+00,-8.517740e+00,-1.771985e+01,-2.130305e+01,-1.559125e+01,-6.803153e+00,-6.726135e-01,1.508672e+00,5.253159e+00,-8.653980e-02,-5.061045e+00,-1.069864e+01,-1.490006e+01,-1.628691e+01,1.165409e+00,1.756160e+01,2.937484e+01,2.648425e+01,1.084949e+01,3.779676e-01,4.464520e+00,5.122974e+00,2.933379e+00,1.638181e+00,3.091687e+00,3.288426e+00,3.596637e+00,6.100101e+00
