Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26
-4.721279e+02,-4.523447e+02,-4.715422e+02,-4.866980e+02,-4.495674e+02,-3.413817e+02,-1.892435e+02,-8.832520e+01,-5.666671e+01,-6.860098e+01,-9.685662e+01,-8.285345e+01,-7.142609e+01,-8.108994e+01,-1.153608e+02,-1.627906e+02,-2.099039e+02,-2.920833e+02,-3.814963e+02,-4.426258e+02,-4.828113e+02,-4.940428e+02,-4.948563e+02,-4.963611e+02,-4.927896e+02,-5.150194e+02
8.864735e+01,1.041216e+02,1.073005e+02,1.008803e+02,1.269942e+02,1.213129e+02,1.224059e+02,1.047082e+02,7.310003e+01,5.171424e+01,5.372303e+01,5.641764e+01,7.208743e+01,8.457449e+01,9.946188e+01,1.186461e+02,1.299773e+02,1.476543e+02,1.453568e+02,1.225655e+02,9.652670e+01,8.927019e+01,9.211208e+01,9.096853e+01,9.118892e+01,7.631795e+01
-2.108416e+00,-5.250501e+00,3.350119e+00,1.213825e+01,3.392881e+01,1.650388e+01,-1.451355e+01,-3.828532e+01,-4.898959e+01,-5.157059e+01,-4.511589e+01,-5.925253e+01,-7.181854e+01,-6.870510e+01,-5.577221e+01,-5.431302e+01,-5.487432e+01,-4.300551e+01,-3.171458e+01,-1.334484e+01,-1.652724e-02,6.227242e+00,9.036270e+00,8.913303e+00,3.681308e+00,5.063914e+00
-5.479564e+00,-1.102744e+01,-7.274771e+00,4.925134e-01,2.583867e+01,5.002796e+01,3.700763e+01,2.335546e+01,1.936510e+01,1.590294e+01,7.876263e+00,8.718846e-01,-1.032725e+01,-1.445557e+01,-1.441028e+01,-1.442118e+01,-2.003913e+01,-2.897404e+01,-2.470367e+01,-2.332845e+01,-8.447069e+00,-1.614057e+00,-4.212525e+00,-2.354654e+00,-5.279972e+00,-9.219151e+00
1.846982e+01,1.155814e+01,1.005946e+01,1.692545e+01,2.416472e+01,8.487536e+00,-3.302757e+01,-4.569362e+01,-4.021539e+01,-2.809274e+01,-1.849630e+01,-2.122672e+01,-2.228152e+01,-2.590735e+01,-2.894209e+01,-2.416860e+01,-1.844894e+01,-1.449096e+01,-3.081910e+00,1.469477e+00,8.936702e+00,9.785819e+00,8.963325e+00,1.286634e+01,1.184794e+01,7.361876e+00
4.718194e+00,2.078705e+00,5.948137e+00,9.948679e+00,1.282770e+01,1.352455e+01,2.029425e+01,2.272624e+01,3.002564e+01,4.818202e+01,5.491374e+01,6.701636e+01,6.752679e+01,7.238225e+01,7.243093e+01,6.163089e+01,4.790775e+01,2.358845e+01,-2.115510e-01,3.988372e+00,1.015040e+01,1.086388e+01,1.079735e+01,1.130043e+01,7.797806e+00,8.293009e+00
9.389880e+00,1.059818e+01,6.713535e+00,3.183344e+00,5.435876e+00,2.881158e+00,-3.463380e+01,-5.648223e+01,-5.710665e+01,-5.277666e+01,-5.669923e+01,-5.678598e+01,-5.772980e+01,-5.481524e+01,-4.957838e+01,-4.895592e+01,-4.559889e+01,-2.956662e+01,-4.155834e+00,7.476799e+00,1.066657e+01,9.416867e+00,6.704093e+00,3.610635e+00,8.761679e-01,1.280005e+00
3.293123e+00,5.817973e+00,6.766994e+00,5.057827e+00,3.287772e+00,1.728014e+01,2.696210e+01,3.832249e+01,4.457415e+01,4.964494e+01,4.708770e+01,4.398272e+01,4.249113e+01,4.161086e+01,3.778130e+01,3.176134e+01,2.308372e+01,1.118984e+01,3.116304e-01,6.802517e+00,6.984888e+00,1.437893e+00,1.519463e+00,5.579785e-01,4.621611e-01,1.831974e+00
-1.366664e+01,-1.013949e+01,-4.302550e+00,-2.227852e+00,-1.230435e+01,-2.535076e+01,-3.274751e+01,-3.922056e+01,-3.732539e+01,-2.744650e+01,-2.284024e+01,-2.839164e+01,-2.862601e+01,-2.557472e+01,-2.643835e+01,-2.514873e+01,-2.162480e+01,-1.240893e+01,1.163377e+00,4.408545e+00,1.516583e+00,-3.267239e-01,2.299122e+00,3.752265e+00,2.917676e+00,4.209348e+00
4.396945e-02,-3.233256e+00,-1.086973e+01,-1.138252e+01,-1.311139e+01,-5.956975e+00,-7.627328e+00,1.654663e+00,8.662100e+00,1.086779e+01,1.639883e+01,1.735431e+01,2.100840e+01,2.636191e+01,2.237451e+01,1.641664e+01,1.062234e+01,2.702715e+00,3.048934e+00,3.547297e+00,-2.892028e+00,5.997586e-02,3.116604e+00,4.121512e+00,2.556962e+00,1.637104e+00
-8.296694e+00,-1.181565e+01,-9.143650e+00,-8.832919e+00,-1.538744e+01,-2.580674e+01,-9.238087e+00,-1.171711e+00,-2.602174e+00,-1.089816e+01,-1.822704e+01,-1.866799e+01,-1.931836e+01,-1.986164e+01,-1.718213e+01,-5.437071e+00,-1.182248e+00,-9.575427e-01,3.724650e+00,8.038605e-01,-4.558331e+00,-4.534657e+00,-1.056081e+00,-1.217438e+00,-2.826470e+00,-4.655787e+00
-9.931519e+00,-8.722971e+00,-8.751410e+00,-7.308126e+00,-1.623710e+01,-8.282955e-01,1.112015e+00,5.370403e+00,1.309654e+01,1.057936e+01,5.728574e+00,3.282719e-01,-3.277779e+00,-7.135368e+00,-7.863172e+00,-1.386645e+01,-1.743215e+01,-1.140571e+01,3.855266e+00,1.815353e+00,1.964015e+00,-2.830735e+00,-4.244704e+00,-5.381019e+00,-7.472455e+00,-1.134343e+01
-1.848589e+01,-1.617163e+01,-8.186735e+00,-1.077648e+01,-2.660303e+01,-3.095446e+01,-1.657199e+01,-1.693045e+01,-1.976279e+01,-2.369263e+01,-1.514806e+01,-6.987747e+00,-8.692645e-01,7.413275e+00,1.297002e+01,1.917115e+01,1.942086e+01,1.979412e+01,6.240689e+00,1.756005e-01,2.206678e+00,-1.855788e+00,-5.722279e+00,-8.071535e+00,-1.041654e+01,-1.430386e+01
