Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24
-5.039120e+02,-4.871702e+02,-4.556025e+02,-3.898953e+02,-3.238730e+02,-2.625681e+02,-2.066401e+02,-1.288423e+02,-7.393393e+01,-5.717227e+01,-7.867001e+01,-8.952708e+01,-8.143883e+01,-8.560255e+01,-1.020301e+02,-1.404368e+02,-1.966324e+02,-2.696476e+02,-3.582295e+02,-4.358967e+02,-4.695872e+02,-4.681619e+02,-4.627992e+02,-4.649314e+02
7.402467e+01,8.463750e+01,1.225554e+02,1.569791e+02,1.593098e+02,1.456122e+02,1.239901e+02,9.251465e+01,6.151667e+01,4.389946e+01,5.350113e+01,5.920502e+01,6.599495e+01,8.332127e+01,1.107031e+02,1.376670e+02,1.630616e+02,1.809028e+02,1.738328e+02,1.290329e+02,9.603133e+01,8.769420e+01,8.519942e+01,8.713061e+01
1.695978e+01,1.045251e+01,3.620541e+01,4.400814e+01,2.333068e+01,-2.267879e+00,-1.871461e+01,-2.777312e+01,-3.235519e+01,-4.185907e+01,-3.700642e+01,-3.555273e+01,-4.509038e+01,-5.955061e+01,-6.123631e+01,-5.198499e+01,-3.679524e+01,-9.530450e+00,1.117765e+01,1.348972e+01,2.782117e+00,-4.291133e+00,-4.475626e+00,-2.155512e+00
-7.849931e+00,-1.261557e+01,2.661811e+00,2.475280e+01,3.729513e+01,3.897475e+01,4.194774e+01,3.118400e+01,1.413897e+01,1.427137e+01,4.851371e+00,1.951344e+00,5.776505e+00,2.697689e+00,-4.660184e+00,-9.551764e+00,-1.441149e+01,-2.221488e+01,-1.796572e+01,-1.870342e+01,-2.065491e+01,-1.723726e+01,-1.251051e+01,-9.881479e+00
1.838820e+00,4.115789e+00,8.304097e+00,-7.230748e+00,-2.846289e+01,-3.996125e+01,-3.364559e+01,-3.226612e+01,-3.042204e+01,-2.943562e+01,-2.793279e+01,-3.139349e+01,-3.426263e+01,-3.752735e+01,-3.916791e+01,-3.885796e+01,-2.850877e+01,-1.471667e+01,-5.630176e+00,3.131071e+00,5.660672e+00,5.637351e+00,4.296936e+00,7.057335e+00
1.132818e+01,1.218714e+01,7.316181e+00,-2.319644e+00,-1.914951e+00,-6.507936e+00,-1.685274e+00,7.351235e+00,2.012320e+01,3.204397e+01,4.256673e+01,4.881123e+01,5.328275e+01,4.838884e+01,4.600326e+01,3.849171e+01,2.575572e+01,2.090979e+01,9.621173e+00,1.009293e+01,1.808272e+01,1.690653e+01,1.092075e+01,1.168477e+01
7.605225e+00,5.983182e+00,-2.670783e+00,4.327273e-01,1.496389e+01,1.275804e+01,-7.519547e+00,-2.983082e+01,-3.616683e+01,-3.490565e+01,-3.769344e+01,-4.096305e+01,-3.624427e+01,-3.267080e+01,-2.495934e+01,-1.717560e+01,-1.919943e+01,-1.380925e+01,-3.810039e+00,-1.768829e-01,9.476559e+00,9.698948e+00,2.590377e+00,3.782451e+00
4.071350e+00,3.979171e+00,-5.745037e+00,-1.030638e+01,-1.340777e+01,-3.115188e+00,8.859924e+00,2.432690e+01,2.391711e+01,2.390495e+01,2.499347e+01,2.917707e+01,2.867939e+01,2.603528e+01,2.053148e+01,1.284313e+01,4.674911e+00,3.907284e+00,-7.474262e+00,-4.762779e+00,3.751383e+00,5.046478e+00,8.335412e+00,9.712336e+00
6.423780e+00,7.134665e+00,-2.148275e+00,-7.413716e-01,-1.749294e+00,-1.379055e+00,-5.319981e+00,-1.477778e+01,-1.096969e+01,-5.601656e+00,-5.090334e+00,-1.444222e+01,-2.173293e+01,-2.152859e+01,-2.078301e+01,-2.053769e+01,-1.962444e+01,-1.129505e+01,-2.421372e+00,5.247219e-01,7.360613e+00,3.032528e+00,1.343325e+00,9.749717e+00
4.118054e+00,3.193184e+00,-5.818716e+00,-9.718233e+00,-8.358932e+00,-3.650464e+00,-2.028858e+00,3.471386e+00,2.392005e+00,4.137375e+00,6.345016e+00,1.409521e+01,1.653611e+01,1.812488e+01,1.174776e+01,6.697189e+00,6.830073e+00,4.610090e+00,2.550427e+00,2.485804e+00,7.054778e+00,-2.210935e-01,-5.263795e+00,1.399086e+00
