Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39
-5.318427e+02,-5.318427e+02,-5.318427e+02,-5.318427e+02,-5.318427e+02,-5.318427e+02,-5.318427e+02,-5.318427e+02,-5.301819e+02,-4.835658e+02,-4.243354e+02,-3.604022e+02,-3.036880e+02,-2.660645e+02,-2.273114e+02,-1.166845e+02,-8.519559e+01,-1.185314e+02,-1.347635e+02,-1.530766e+02,-1.829323e+02,-2.301119e+02,-3.122020e+02,-3.782735e+02,-4.252112e+02,-4.696576e+02,-5.144991e+02,-5.308840e+02,-5.318427e+02,-5.318427e+02,-5.318427e+02,-5.318427e+02,-5.318427e+02,-5.318427e+02,-5.318427e+02,-5.318427e+02,-5.318427e+02,-5.318427e+02,-5.318427e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.301245e+00,6.190167e+01,1.087154e+02,1.308723e+02,1.508461e+02,1.636988e+02,1.689219e+02,1.590218e+02,1.505209e+02,1.641605e+02,2.092071e+02,2.380983e+02,2.408272e+02,2.258688e+02,1.937263e+02,1.543503e+02,1.151541e+02,7.090616e+01,2.152676e+01,1.332198e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.160626e+00,4.587274e+01,4.924909e+01,1.534044e+01,-1.388283e+01,-3.381271e+01,-5.248540e+01,-5.285094e+01,-5.889548e+01,-7.476701e+01,-7.914458e+01,-6.251934e+01,-4.544625e+01,-3.029499e+01,-4.463658e-01,2.750758e+01,3.800203e+01,3.284721e+01,1.444389e+01,1.262472e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.932887e+00,2.705449e+01,2.093845e+01,1.625719e+01,1.064224e+01,1.038581e+01,1.594455e+01,1.678864e+01,-1.490319e+00,-4.520717e+01,-7.761090e+01,-7.730524e+01,-7.561963e+01,-8.319782e+01,-7.900272e+01,-5.167122e+01,-2.114297e+01,8.991183e-01,7.450727e+00,1.149418e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.627663e+00,1.113394e+01,-4.173397e+00,-1.407661e+01,-2.122872e+01,-2.019608e+01,-1.760452e+01,-3.702445e+01,-3.685058e+01,-4.563884e+01,-6.574280e+01,-8.024348e+01,-7.509563e+01,-6.822086e+01,-5.042680e+01,-4.369015e+01,-2.952331e+01,-7.753012e+00,3.659182e+00,9.976019e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.257831e+00,-4.552763e-01,-4.521194e+00,-1.663681e+01,-2.561045e+01,-3.242674e+01,-4.294751e+01,-2.585798e+01,-1.773565e+01,-5.526270e+00,-3.435172e+00,-1.015887e+01,-1.546663e+01,-7.141563e+00,1.221893e+00,-5.936288e-01,-4.371921e+00,1.522406e+00,3.035772e+00,8.130913e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.389714e-01,-9.413739e+00,3.183307e+00,2.147225e+01,2.339402e+01,1.947092e+01,-1.197099e+01,-5.687565e+01,-5.521256e+01,-2.875050e+01,-8.339656e+00,8.279175e+00,1.679432e+01,1.844251e+01,1.278106e+01,1.737280e+01,1.534070e+01,1.024721e+01,3.205194e+00,6.031671e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.886553e-01,-1.714012e+01,-1.990725e+01,-1.239036e+01,-1.762291e+01,-2.125376e+01,-2.738742e+01,-1.762827e+01,-1.945924e+01,-1.710532e+01,-2.406145e+01,-3.094949e+01,-2.467065e+01,-1.996425e+01,-1.031737e+01,4.205164e+00,1.048588e+01,6.454167e+00,2.069327e+00,3.759553e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-7.430248e-02,-2.277863e+01,-3.439601e+01,-4.240902e+01,-4.480493e+01,-3.926860e+01,-1.514474e+01,-2.721094e+00,-3.982592e+00,-9.881388e+00,-1.477664e+01,-1.762741e+01,-1.929403e+01,-2.229869e+01,-1.983469e+01,-1.190055e+01,-7.392075e+00,-5.754571e+00,-3.420295e-01,1.400533e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-5.306883e-01,-2.448008e+01,-3.083062e+01,-2.874665e+01,-2.524348e+01,-1.550990e+01,-1.068233e+00,2.347391e-01,1.901111e+00,2.224154e+00,-1.324586e+00,-1.078152e+01,-1.560033e+01,-1.328120e+01,-1.067030e+01,-1.472581e+01,-1.789322e+01,-1.404793e+01,-2.339473e+00,-9.585495e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
