Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41
-5.047481e+02,-5.047481e+02,-5.047481e+02,-5.047481e+02,-5.047481e+02,-5.047481e+02,-5.047481e+02,-5.047481e+02,-5.047481e+02,-5.047481e+02,-5.047481e+02,-5.047481e+02,-5.047481e+02,-4.989588e+02,-4.149856e+02,-3.417428e+02,-2.910872e+02,-2.394632e+02,-1.389589e+02,-9.818513e+01,-1.111272e+02,-1.388392e+02,-1.666512e+02,-2.178252e+02,-2.765222e+02,-3.417540e+02,-4.081266e+02,-4.636532e+02,-5.001502e+02,-5.047481e+02,-5.047481e+02,-5.047481e+02,-5.047481e+02,-5.047481e+02,-5.047481e+02,-5.047481e+02,-5.047481e+02,-5.047481e+02,-5.047481e+02,-5.047481e+02,-5.047481e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.986365e+00,9.662416e+01,1.296306e+02,1.454724e+02,1.589752e+02,1.553809e+02,1.370952e+02,1.626085e+02,2.201463e+02,2.386097e+02,2.310251e+02,2.063634e+02,1.649162e+02,1.052959e+02,4.920010e+01,6.222355e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.394149e+00,4.094305e+01,1.482242e+01,-1.513093e+01,-3.981598e+01,-6.658391e+01,-6.646407e+01,-8.049316e+01,-8.030345e+01,-4.981708e+01,-1.638803e+01,7.836043e+00,3.076981e+01,3.668993e+01,2.800608e+01,5.442583e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.442823e+00,3.011513e-01,-4.038340e+00,-4.624796e+00,5.990189e+00,8.856379e+00,-7.559204e+00,-5.541856e+01,-7.308585e+01,-8.012244e+01,-8.516307e+01,-8.315569e+01,-5.615507e+01,-1.777120e+01,6.893098e+00,4.326793e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.183700e+00,-1.780882e+01,-2.933829e+01,-2.603762e+01,-1.935982e+01,-2.034039e+01,-1.528670e+01,-4.083966e+01,-6.179756e+01,-6.652425e+01,-6.812524e+01,-6.190706e+01,-5.053237e+01,-2.823455e+01,-4.129066e+00,3.095028e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.684289e+00,-9.936857e+00,-1.195216e+01,-1.844864e+01,-3.520704e+01,-3.597304e+01,-2.572043e+01,-1.761723e+01,-2.026917e+01,-2.387776e+01,-1.555749e+01,-2.242241e+00,-3.161466e+00,-7.020333e+00,-3.693895e+00,1.961381e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.024323e+00,9.412379e-01,2.077498e+01,2.409839e+01,7.527321e+00,-3.264798e+01,-4.448520e+01,-2.856354e+01,-1.796403e+00,1.111204e+01,1.341267e+01,1.691524e+01,2.041811e+01,1.332764e+01,1.951140e+00,1.075336e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.910815e-01,-7.888363e+00,-1.642865e+01,-1.774620e+01,-1.211019e+01,-8.194437e+00,-1.487465e+01,-1.404316e+01,-2.600235e+01,-2.624654e+01,-1.907829e+01,-7.978043e+00,9.240664e+00,1.415557e+01,5.185620e+00,4.842588e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.425647e+00,-1.986483e+01,-3.170616e+01,-3.595192e+01,-2.148772e+01,-1.753638e+01,-1.303900e+01,-1.011193e+01,-1.630922e+01,-2.861176e+01,-2.481816e+01,-1.689580e+01,-8.062943e+00,1.288663e+00,2.732327e+00,1.281246e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.038687e+00,-2.830493e+01,-2.168775e+01,-1.823112e+01,-1.702495e+01,-1.528311e+01,-8.156840e-01,8.042858e+00,2.080406e+00,-5.557565e+00,-1.247147e+01,-1.207639e+01,-1.311080e+01,-1.022129e+01,-3.185247e+00,-1.325691e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
