Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38
-5.108230e+02,-5.108230e+02,-5.108230e+02,-5.108230e+02,-5.108230e+02,-5.108230e+02,-5.108230e+02,-5.108230e+02,-5.108230e+02,-5.108230e+02,-4.726978e+02,-3.813092e+02,-3.071314e+02,-2.681671e+02,-2.600882e+02,-2.613985e+02,-1.726526e+02,-1.168568e+02,-1.240748e+02,-1.434950e+02,-1.382936e+02,-1.629599e+02,-2.159777e+02,-2.836653e+02,-3.406682e+02,-3.845404e+02,-4.359573e+02,-4.888198e+02,-5.103129e+02,-5.104962e+02,-5.099605e+02,-5.096583e+02,-5.103241e+02,-5.108230e+02,-5.108230e+02,-5.108230e+02,-5.108230e+02,-5.108230e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.036794e+01,1.198174e+02,1.486229e+02,1.578752e+02,1.532542e+02,1.453004e+02,1.440807e+02,1.282603e+02,1.381069e+02,1.801774e+02,2.170028e+02,2.341167e+02,2.266309e+02,2.026746e+02,1.610637e+02,1.262988e+02,7.968579e+01,2.708117e+01,7.100412e-01,4.247260e-01,1.124106e+00,1.519764e+00,6.497133e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.089877e+01,4.470082e+01,7.641937e+00,-1.751997e+01,-3.131483e+01,-3.546910e+01,-5.505357e+01,-5.938985e+01,-8.046431e+01,-1.012676e+02,-9.281041e+01,-7.307861e+01,-4.194694e+01,-4.894697e+00,1.044165e+01,2.076557e+01,2.431027e+01,1.731615e+01,6.764251e-01,3.186387e-01,8.525481e-01,1.157558e+00,4.910209e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.839947e+01,2.676326e+01,2.057055e+01,1.389797e+01,1.309581e+01,2.257527e+01,3.478984e+01,3.138659e+01,-5.082682e+00,-4.765897e+01,-7.504903e+01,-8.762799e+01,-9.450693e+01,-9.100541e+01,-6.656656e+01,-4.393178e+01,-1.504211e+01,7.091734e+00,6.215892e-01,1.610056e-01,4.476070e-01,6.166479e-01,2.546609e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.597224e+01,7.648042e-01,-7.792196e+00,-1.542181e+01,-1.718025e+01,-1.152802e+01,-1.500308e+01,-1.124092e+01,-1.374241e+01,-3.067490e+01,-4.617493e+01,-5.633280e+01,-5.459467e+01,-5.005273e+01,-4.070637e+01,-3.357819e+01,-1.621689e+01,8.214700e-01,5.472802e-01,-2.267438e-02,-2.713799e-02,-1.909935e-02,-2.188063e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.568078e+00,9.138848e-01,-1.261437e+01,-1.983905e+01,-2.729661e+01,-3.229948e+01,-4.439737e+01,-4.389703e+01,-2.667897e+01,-1.265388e+01,-1.197649e+01,-1.995704e+01,-1.239909e+01,6.455647e+00,9.511667e+00,6.241222e+00,4.024692e+00,-6.288775e-01,4.558623e-01,-2.026863e-01,-4.971857e-01,-6.511772e-01,-2.947628e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.426116e+00,1.995367e+01,3.362976e+01,3.039412e+01,2.516959e+01,1.919465e+01,-3.195541e+01,-5.421710e+01,-4.453426e+01,-1.604908e+01,-2.999451e+00,9.677164e+00,1.295777e+01,1.336466e+01,1.970415e+01,2.099623e+01,1.593120e+01,4.163540e-01,3.502451e-01,-3.499085e-01,-8.888384e-01,-1.181756e+00,-5.207539e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-8.566723e+00,-8.316969e+00,-8.119825e+00,-1.306390e+01,-1.698267e+01,-1.570866e+01,-4.929689e+00,-6.043965e+00,-1.426082e+01,-2.091496e+01,-2.595727e+01,-3.048507e+01,-1.886452e+01,-1.067993e+01,-2.460619e-01,6.272285e+00,9.347898e+00,1.065254e+00,2.337852e-01,-4.405264e-01,-1.140792e+00,-1.528875e+00,-6.640942e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.333696e+01,-2.722921e+01,-3.772003e+01,-3.666926e+01,-3.624953e+01,-3.006398e+01,-2.803121e+01,-2.671405e+01,-1.949326e+01,-1.439717e+01,-2.271415e+01,-3.342290e+01,-3.147207e+01,-1.626637e+01,-1.126738e+01,-9.022206e+00,-3.034141e+00,2.062793e-01,1.101815e-01,-4.598758e-01,-1.213751e+00,-1.639152e+00,-7.021651e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.656364e+01,-1.500291e+01,-4.804895e+00,-7.001872e+00,-6.250048e+00,-5.846638e+00,-1.643379e+01,-4.286312e+00,1.221665e+01,1.302184e+01,3.929185e+00,1.448231e+00,-3.253906e+00,-5.252473e+00,-7.294583e+00,-1.027348e+01,-7.504824e+00,-1.277122e+00,-1.664430e-02,-4.048353e-01,-1.096594e+00,-1.496016e+00,-6.290755e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
