Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38
-5.144011e+02,-4.992473e+02,-4.997339e+02,-4.991535e+02,-4.981016e+02,-4.999767e+02,-5.012954e+02,-5.009012e+02,-5.025945e+02,-5.066127e+02,-4.837403e+02,-2.094187e+02,-1.158043e+02,-1.032686e+02,-1.256926e+02,-1.439947e+02,-1.420651e+02,-1.335376e+02,-1.154730e+02,-9.893625e+01,-1.010608e+02,-1.137384e+02,-1.090837e+02,-9.215189e+01,-9.402834e+01,-7.334156e+01,-6.297791e+01,-1.091362e+02,-2.176375e+02,-3.066381e+02,-3.914840e+02,-4.599395e+02,-4.889401e+02,-4.934402e+02,-4.995901e+02,-5.029628e+02,-5.045587e+02,-5.169919e+02
3.106416e+01,4.643562e+01,4.499695e+01,4.281693e+01,4.423100e+01,4.459046e+01,4.345740e+01,4.313557e+01,4.214552e+01,3.830459e+01,5.624908e+01,1.028695e+02,8.679644e+01,5.950139e+01,4.343902e+01,4.285624e+01,4.538729e+01,4.369258e+01,4.423617e+01,4.492422e+01,4.445733e+01,4.787273e+01,4.290353e+01,4.425495e+01,4.588251e+01,7.205634e+01,1.081581e+02,1.195172e+02,1.277179e+02,1.256806e+02,1.190736e+02,7.441286e+01,5.093000e+01,4.873828e+01,4.455265e+01,4.020911e+01,4.101253e+01,3.008018e+01
1.659139e+01,2.047131e+01,1.701565e+01,1.016995e+01,1.171204e+01,1.680918e+01,1.699280e+01,1.624613e+01,1.664215e+01,1.747695e+01,1.549752e+01,-1.192579e+01,-1.660327e+01,-1.841868e+01,-8.418139e+00,-3.792458e-01,-5.069593e+00,-1.326977e+01,-2.754793e+01,-4.087265e+01,-3.848477e+01,-2.545876e+01,-2.245830e+01,-3.299739e+01,-4.082945e+01,-6.234020e+01,-8.110791e+01,-7.797118e+01,-4.118047e+01,-8.676477e+00,-1.961287e+00,-7.161368e-01,6.516737e+00,1.241150e+01,1.661341e+01,1.402635e+01,1.930223e+01,1.970129e+01
7.416470e+00,5.388817e+00,1.454977e-01,-6.164236e+00,-4.271065e+00,9.691638e-01,1.878737e+00,2.823805e+00,1.646000e+00,6.966625e+00,-4.487025e+00,-6.735876e+01,-6.164587e+01,-5.702859e+01,-5.341788e+01,-4.679300e+01,-5.000995e+01,-5.564116e+01,-5.854634e+01,-6.074910e+01,-6.102444e+01,-5.527187e+01,-5.085631e+01,-4.983215e+01,-4.732794e+01,-5.861087e+01,-7.241268e+01,-7.278351e+01,-7.264333e+01,-6.034649e+01,-5.115118e+01,-3.242080e+01,-1.438044e+01,-5.111441e+00,2.200044e+00,2.511673e+00,6.722384e+00,1.005369e+01
7.264014e+00,6.662220e+00,2.455338e+00,1.679570e+00,3.357804e+00,4.913018e+00,6.209845e+00,7.662030e+00,4.528244e+00,1.041787e+01,-4.080886e+00,-3.994330e+01,-4.059317e+01,-3.339286e+01,-2.441515e+01,-2.065544e+01,-1.432814e+01,-1.405492e+01,-1.697083e+01,-1.685761e+01,-1.356217e+01,-1.217786e+01,-1.276164e+01,-1.278725e+01,-1.504787e+01,-2.341725e+01,-3.101547e+01,-2.705754e+01,-8.405104e+00,-1.296644e+00,-4.377569e+00,-9.444651e+00,-7.019119e-01,3.734090e+00,6.654611e+00,8.730894e+00,7.569133e+00,5.535831e+00
9.507704e+00,1.091004e+01,1.095196e+01,1.420082e+01,1.500734e+01,1.461533e+01,1.680614e+01,1.532886e+01,1.270421e+01,1.516031e+01,9.526625e+00,4.645734e+01,5.436070e+01,5.749123e+01,6.271393e+01,5.893694e+01,6.038899e+01,6.555524e+01,6.906598e+01,7.072791e+01,7.099474e+01,6.721227e+01,6.794814e+01,6.708371e+01,6.645516e+01,6.649244e+01,5.946756e+01,5.439346e+01,4.743530e+01,3.410603e+01,2.142601e+01,1.903459e+01,1.997118e+01,1.682398e+01,1.438865e+01,1.513222e+01,1.159669e+01,5.447959e+00
8.155425e+00,7.860829e+00,1.180317e+01,1.401988e+01,1.381002e+01,1.499486e+01,1.864398e+01,1.462214e+01,1.263985e+01,1.183973e+01,1.182991e+01,-3.934182e+01,-4.159394e+01,-3.641631e+01,-2.711473e+01,-2.520438e+01,-2.978766e+01,-3.476757e+01,-3.596852e+01,-3.507330e+01,-3.464677e+01,-3.262496e+01,-3.132734e+01,-3.396935e+01,-3.461810e+01,-3.683056e+01,-4.059718e+01,-3.878876e+01,-2.976964e+01,-1.498996e+01,7.718771e+00,2.039563e+01,2.174787e+01,1.619450e+01,1.363431e+01,1.108624e+01,1.081724e+01,6.092878e+00
4.927983e+00,1.667876e+00,5.773223e+00,4.802325e+00,2.836343e+00,5.942708e+00,1.107196e+01,8.709000e+00,5.009848e+00,4.038114e+00,2.462149e+00,1.252345e+01,2.498230e+01,3.490740e+01,4.093813e+01,3.898079e+01,3.652323e+01,3.818030e+01,4.098720e+01,4.699955e+01,4.886456e+01,4.594196e+01,4.309077e+01,4.444614e+01,4.362039e+01,3.915513e+01,3.223486e+01,2.630919e+01,2.348724e+01,2.429570e+01,5.101123e+00,6.639479e+00,7.635928e+00,6.401031e+00,7.365163e+00,2.425669e+00,5.989506e+00,4.902978e+00
4.326632e+00,5.106874e-01,1.820648e+00,-8.019984e-01,-5.607391e+00,-2.386690e+00,3.381042e+00,4.554447e+00,-3.876401e-01,-1.987296e-01,6.086132e+00,-7.543195e-01,-5.477527e+00,-5.034173e+00,-9.410067e+00,-1.316605e+01,-1.598835e+01,-1.699937e+01,-1.947719e+01,-2.207133e+01,-2.433723e+01,-2.469781e+01,-1.964495e+01,-1.646713e+01,-1.728123e+01,-2.006096e+01,-1.872539e+01,-2.031164e+01,-2.383256e+01,-2.354889e+01,-8.692527e+00,-2.472983e+00,-4.304775e+00,3.150886e-01,2.882964e+00,-2.346873e+00,8.224356e-01,2.243112e+00
6.143075e+00,4.384274e+00,2.641555e+00,9.975204e-02,-6.165176e+00,-3.308344e+00,9.580669e-01,3.266292e+00,1.256895e+00,1.455880e+00,9.561146e+00,2.793521e+01,3.172563e+01,2.676697e+01,1.696229e+01,1.418282e+01,1.523183e+01,1.848629e+01,1.624331e+01,1.297085e+01,1.385348e+01,2.068211e+01,2.229017e+01,1.762857e+01,1.590499e+01,1.458396e+01,7.018500e+00,-2.825179e+00,-6.697006e+00,-6.809485e+00,-3.831209e+00,-5.125114e+00,-5.859072e+00,9.650793e-01,1.852958e+00,-2.576820e+00,-2.334849e+00,-1.286920e-01
