Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35
-5.347654e+02,-5.247988e+02,-5.232352e+02,-5.196548e+02,-4.936422e+02,-2.398689e+02,-1.433043e+02,-1.342310e+02,-1.448893e+02,-1.618461e+02,-1.725155e+02,-1.699121e+02,-1.588460e+02,-1.528583e+02,-1.599260e+02,-1.642893e+02,-1.649963e+02,-1.523122e+02,-1.401845e+02,-1.057571e+02,-8.792287e+01,-8.103447e+01,-8.308853e+01,-8.888762e+01,-1.234078e+02,-1.953037e+02,-2.895936e+02,-3.773616e+02,-4.393228e+02,-4.804737e+02,-4.995668e+02,-5.118821e+02,-5.148179e+02,-5.142721e+02,-5.154860e+02
3.052850e+01,3.978505e+01,4.115537e+01,4.534242e+01,5.138052e+01,1.052230e+02,9.435210e+01,6.444614e+01,3.853371e+01,4.046361e+01,4.193578e+01,3.881178e+01,4.385551e+01,4.666470e+01,4.540847e+01,4.106327e+01,4.713243e+01,4.820429e+01,4.338503e+01,4.969698e+01,5.982285e+01,6.265722e+01,6.284966e+01,7.458690e+01,8.999628e+01,1.020227e+02,1.190873e+02,1.136834e+02,9.817084e+01,7.118321e+01,5.893059e+01,4.983663e+01,5.026604e+01,5.053819e+01,5.045791e+01
1.643954e+01,1.735101e+01,1.757448e+01,1.983156e+01,1.016559e+01,-2.443361e+01,-2.063053e+01,-1.398049e+01,-8.027641e+00,-2.015058e+00,6.304416e+00,8.874665e+00,4.142976e+00,1.032757e+00,-3.022168e+00,-1.069251e+01,-1.557923e+01,-2.106844e+01,-3.134115e+01,-4.653201e+01,-6.781987e+01,-7.764263e+01,-7.475836e+01,-8.326714e+01,-8.383290e+01,-6.914566e+01,-3.442541e+01,-2.348198e+01,-1.821660e+01,-2.519372e+00,8.606041e+00,1.320471e+01,2.020829e+01,2.045388e+01,2.253430e+01
7.770493e+00,6.185703e+00,6.700034e+00,7.170337e+00,1.246109e+01,-1.953995e+01,-2.650795e+01,-2.734855e+01,-2.292832e+01,-2.914409e+01,-3.376001e+01,-3.209710e+01,-3.767128e+01,-4.107457e+01,-3.912979e+01,-2.745102e+01,-2.296124e+01,-2.481597e+01,-2.007988e+01,-2.229848e+01,-2.609665e+01,-2.576215e+01,-2.510519e+01,-2.682326e+01,-2.966702e+01,-3.806844e+01,-4.524649e+01,-3.841754e+01,-3.906997e+01,-2.460132e+01,-9.688228e+00,-1.766846e+00,3.713263e+00,5.440577e+00,6.946939e+00
8.564392e+00,9.958958e+00,1.121009e+01,1.061240e+01,-8.649262e-01,-2.552444e+01,-2.735356e+01,-2.099368e+01,-1.425114e+01,-1.807840e+01,-2.137054e+01,-1.894624e+01,-1.321561e+01,-1.226819e+01,-1.101293e+01,-1.462026e+01,-1.602977e+01,-2.097510e+01,-1.758702e+01,-1.320575e+01,-1.962896e+01,-2.132361e+01,-2.217949e+01,-2.236092e+01,-2.475302e+01,-1.709402e+01,-6.752161e+00,4.502247e+00,3.564752e+00,1.193418e+00,5.785279e+00,9.054745e+00,7.335721e+00,9.604944e+00,9.640279e+00
1.189381e+01,1.449961e+01,1.465515e+01,1.383148e+01,4.978955e+00,1.632078e+01,3.089192e+01,4.002401e+01,5.132043e+01,4.890144e+01,4.316016e+01,4.466512e+01,4.911774e+01,5.089819e+01,5.066828e+01,5.340001e+01,5.388021e+01,5.884316e+01,5.850561e+01,6.338556e+01,6.619640e+01,6.828049e+01,7.084302e+01,6.537481e+01,6.108059e+01,5.254140e+01,3.849546e+01,2.248468e+01,1.910310e+01,1.818434e+01,1.740823e+01,1.898112e+01,1.438553e+01,1.455469e+01,1.519648e+01
1.043256e+01,1.040727e+01,7.763762e+00,7.417480e+00,1.475282e+01,-2.156937e+01,-3.437753e+01,-3.190072e+01,-2.664008e+01,-2.476820e+01,-2.770920e+01,-3.693975e+01,-3.875633e+01,-3.981422e+01,-3.941407e+01,-3.321531e+01,-3.029137e+01,-2.854931e+01,-3.219587e+01,-3.966241e+01,-3.996335e+01,-3.789601e+01,-3.734689e+01,-4.205716e+01,-4.065165e+01,-3.595985e+01,-2.602918e+01,-8.596797e+00,8.301754e+00,1.113464e+01,9.384701e+00,1.226537e+01,1.121069e+01,9.460001e+00,1.139373e+01
5.246034e+00,3.597167e+00,-9.273260e-01,-8.599577e-01,-1.097805e+01,1.213220e+00,1.327036e+01,2.150344e+01,3.108520e+01,2.570752e+01,2.387867e+01,2.656866e+01,2.753583e+01,3.337000e+01,3.529007e+01,3.220448e+01,2.901511e+01,3.340494e+01,3.809213e+01,4.024878e+01,3.848851e+01,4.360733e+01,4.614202e+01,4.411795e+01,3.876096e+01,3.107222e+01,2.375823e+01,1.901368e+01,8.642653e+00,4.635825e+00,-1.059857e+00,3.136584e-01,1.972226e+00,1.302675e+00,2.638653e+00
2.391104e+00,2.798792e+00,-1.056624e+00,-1.393856e+00,-8.627321e+00,-1.735945e+01,-1.596774e+01,-1.067226e+01,-1.228836e+01,-1.690576e+01,-2.090366e+01,-1.996045e+01,-2.072141e+01,-2.187309e+01,-2.043207e+01,-2.243876e+01,-2.272326e+01,-2.378817e+01,-2.066547e+01,-2.086651e+01,-2.183488e+01,-2.094456e+01,-2.010304e+01,-1.890821e+01,-2.210958e+01,-1.983963e+01,-1.511301e+01,-1.708489e+00,9.929325e+00,5.105985e+00,-1.270549e+00,-2.074512e+00,-3.081411e+00,-1.964302e+00,-1.778476e+00
3.937927e+00,6.402514e+00,4.621327e+00,3.610839e+00,1.052370e+01,2.504864e+01,3.359419e+01,3.450368e+01,2.695248e+01,2.288397e+01,2.576175e+01,2.753967e+01,2.632189e+01,2.377389e+01,2.748861e+01,3.360288e+01,3.194970e+01,2.708913e+01,2.558230e+01,2.039153e+01,1.614917e+01,6.975223e+00,2.819319e+00,-4.374963e+00,-9.618946e+00,-1.349519e+01,-1.253620e+01,-1.151604e+01,-4.509292e+00,5.135846e-01,1.378866e+00,2.585216e+00,-2.410960e+00,-2.416038e+00,-1.459906e+00
5.956630e+00,6.412414e+00,6.170312e+00,5.537531e+00,-1.004359e+00,-1.530895e+01,-2.223475e+01,-2.733872e+01,-2.722966e+01,-2.918374e+01,-2.743654e+01,-2.386749e+01,-2.309925e+01,-2.002949e+01,-2.530292e+01,-3.244909e+01,-2.955917e+01,-2.538698e+01,-2.755516e+01,-2.715025e+01,-2.527798e+01,-2.423869e+01,-2.635912e+01,-2.822633e+01,-2.406929e+01,-2.310857e+01,-2.168196e+01,-1.620021e+01,-1.376549e+01,-6.819276e+00,-1.149071e+00,2.934547e+00,-1.170143e+00,-3.747229e+00,-1.361551e+00
4.800561e+00,4.054169e-01,7.602177e-01,1.739772e+00,-2.796284e+00,-2.223826e+00,7.331479e+00,1.005591e+01,1.103119e+01,6.892631e+00,5.530802e+00,4.990917e+00,5.722147e+00,5.572115e+00,4.608686e+00,6.607940e+00,4.585735e+00,1.556001e+00,2.308875e+00,6.893800e+00,4.987025e+00,-2.215128e+00,-8.366398e+00,-1.194952e+01,-9.611744e+00,-9.279377e+00,-6.635139e+00,-4.991387e+00,-7.029007e+00,-7.161952e+00,-5.930161e+00,-3.548410e+00,-1.460303e+00,-3.597269e+00,-1.817814e+00
1.865117e+00,-5.671484e+00,-4.908339e+00,-2.308386e+00,2.994834e+00,-1.256021e+01,-2.300047e+01,-2.293267e+01,-1.914356e+01,-1.741358e+01,-1.876323e+01,-1.774663e+01,-1.926637e+01,-1.915152e+01,-2.423977e+01,-2.309162e+01,-2.097958e+01,-1.917122e+01,-1.065849e+01,-1.633329e+01,-2.138276e+01,-2.356564e+01,-2.853682e+01,-2.607185e+01,-8.709857e+00,8.132187e+00,1.470500e+01,6.684083e+00,-1.525040e+00,-3.282869e+00,-7.312227e+00,-8.769810e+00,-1.102055e+00,4.930432e-01,2.740440e-01
