Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40
-5.073675e+02,-4.916865e+02,-4.912709e+02,-4.919920e+02,-4.882905e+02,-4.867520e+02,-3.068197e+02,-1.602267e+02,-1.269634e+02,-1.387300e+02,-1.545838e+02,-1.474546e+02,-1.404410e+02,-1.433835e+02,-1.394120e+02,-1.342877e+02,-1.328040e+02,-1.268246e+02,-1.178498e+02,-9.671580e+01,-8.097501e+01,-7.033589e+01,-5.722643e+01,-4.185321e+01,-8.161903e+01,-1.697999e+02,-2.413092e+02,-3.302556e+02,-4.239918e+02,-4.660273e+02,-4.833112e+02,-4.847121e+02,-4.824834e+02,-4.822218e+02,-4.776459e+02,-4.776239e+02,-4.776833e+02,-4.809381e+02,-4.833210e+02,-4.976196e+02
3.950202e+01,5.143610e+01,5.214629e+01,5.109993e+01,5.509316e+01,5.731348e+01,1.284952e+02,1.233377e+02,1.035231e+02,7.533334e+01,6.662877e+01,6.477881e+01,6.167363e+01,5.782659e+01,5.929229e+01,5.237028e+01,5.641365e+01,5.648114e+01,5.519199e+01,5.332259e+01,5.513482e+01,5.821594e+01,6.896485e+01,8.616104e+01,1.088582e+02,1.241691e+02,1.063915e+02,1.125579e+02,9.828940e+01,7.190628e+01,5.566251e+01,5.334528e+01,5.656224e+01,5.371489e+01,5.919230e+01,5.923755e+01,5.994302e+01,5.945582e+01,5.880605e+01,4.663535e+01
1.682860e+01,1.183275e+01,1.206621e+01,1.231752e+01,1.375113e+01,1.448807e+01,-2.283576e+00,-8.005622e+00,-5.946021e+00,-1.099526e+00,5.527012e+00,9.044441e+00,7.373012e+00,6.092854e+00,2.861583e+00,-8.061031e+00,-1.199216e+01,-1.969317e+01,-2.510320e+01,-3.448918e+01,-4.236076e+01,-5.417450e+01,-6.181349e+01,-7.662164e+01,-7.646381e+01,-4.463345e+01,-3.578925e+01,-3.713716e+01,-1.042324e+01,1.097313e+01,1.351475e+01,1.250793e+01,1.333795e+01,8.497050e+00,1.291285e+01,1.222752e+01,1.426165e+01,1.574212e+01,1.425523e+01,1.288277e+01
5.340300e+00,-2.772135e+00,-4.003307e+00,-1.017752e+00,-1.372764e+00,-4.571538e+00,-3.851229e+01,-5.956252e+01,-6.294138e+01,-5.400192e+01,-4.812063e+01,-4.340101e+01,-4.446997e+01,-4.023469e+01,-4.029305e+01,-4.031993e+01,-3.879346e+01,-3.617526e+01,-3.005878e+01,-2.984969e+01,-3.372713e+01,-3.154130e+01,-3.092627e+01,-3.355171e+01,-3.710310e+01,-4.259389e+01,-3.138429e+01,-3.126384e+01,-2.924937e+01,-6.240796e+00,5.912710e-01,6.857610e-01,2.077271e+00,-2.271258e+00,-1.932832e+00,-1.093361e+00,1.051008e+00,1.401533e+00,-1.384264e+00,-7.913575e-01
8.651091e+00,9.580564e+00,8.166933e+00,1.146576e+01,1.064290e+01,4.665472e+00,-2.238520e+01,-3.438940e+01,-3.411980e+01,-2.099593e+01,-9.265697e+00,-7.104877e+00,-1.074787e+01,-1.068166e+01,-6.022920e+00,-7.119613e+00,-9.108129e+00,-5.350414e+00,-8.335880e+00,-1.226670e+01,-1.127612e+01,-9.615643e+00,-1.752101e+01,-2.410316e+01,-2.191647e+01,-8.883499e+00,5.622239e-01,4.944661e+00,3.147949e+00,9.873220e+00,8.530548e+00,6.758059e+00,1.188046e+01,8.418311e+00,5.461670e+00,9.295877e+00,8.820192e+00,8.981587e+00,9.789303e+00,9.061474e+00
1.197220e+01,1.777444e+01,1.955186e+01,1.938454e+01,1.806199e+01,1.378992e+01,2.631290e+01,4.686559e+01,5.561198e+01,5.912598e+01,5.814247e+01,5.991168e+01,5.535826e+01,5.629362e+01,5.980164e+01,5.627825e+01,5.324479e+01,5.656150e+01,6.174528e+01,5.859314e+01,5.863287e+01,6.152707e+01,5.894912e+01,5.263453e+01,4.768983e+01,4.024806e+01,3.480572e+01,2.117813e+01,1.098034e+01,1.838447e+01,2.061661e+01,1.729653e+01,1.893157e+01,2.080613e+01,2.563432e+01,2.829427e+01,2.348252e+01,1.915622e+01,1.902804e+01,1.834601e+01
5.809971e+00,7.976327e+00,1.407766e+01,1.143683e+01,8.747092e+00,8.023534e+00,-1.692451e+01,-3.630405e+01,-4.494780e+01,-4.345196e+01,-3.945660e+01,-4.489483e+01,-4.526504e+01,-4.734457e+01,-4.705045e+01,-4.872584e+01,-4.471837e+01,-4.220108e+01,-4.065582e+01,-3.987480e+01,-3.605151e+01,-3.059569e+01,-2.909981e+01,-3.266672e+01,-2.803571e+01,-1.899494e+01,-1.432754e+01,-7.714119e+00,6.926010e+00,1.053592e+01,1.068714e+01,6.534044e+00,3.651437e+00,6.483702e+00,1.857490e+01,1.992918e+01,1.289222e+01,1.053523e+01,1.228077e+01,1.318397e+01
-2.228924e+00,-2.723354e+00,4.034128e+00,3.040892e+00,-2.780861e-01,-1.697004e-01,-6.340211e+00,9.944209e-01,8.834877e+00,1.517604e+01,2.228325e+01,2.761802e+01,2.856266e+01,2.773463e+01,3.019287e+01,3.412309e+01,3.295960e+01,3.532083e+01,3.635770e+01,3.635949e+01,3.713725e+01,3.891588e+01,4.043349e+01,3.669281e+01,2.954193e+01,2.641775e+01,3.633514e+01,2.935044e+01,1.306161e+01,6.892814e+00,-5.860617e-01,-4.350601e+00,-7.845186e+00,-7.697682e+00,1.345323e-01,1.958530e+00,-3.370700e+00,-1.515697e-01,3.854935e+00,2.429100e+00
-1.735981e+00,-2.587829e-01,2.336433e+00,3.181979e+00,1.872867e+00,1.053514e+00,-4.832123e+00,-1.330958e+01,-1.563542e+01,-1.755307e+01,-1.854939e+01,-1.744459e+01,-1.693441e+01,-1.543964e+01,-1.268599e+01,-1.392431e+01,-1.750857e+01,-1.728009e+01,-1.564778e+01,-1.550013e+01,-1.494005e+01,-1.095886e+01,-9.112185e+00,-1.551991e+01,-2.319700e+01,-2.491915e+01,-1.358669e+01,-1.707624e+00,1.093275e+01,6.972879e+00,6.203820e+00,4.179970e+00,2.376341e+00,4.407645e+00,3.440250e+00,4.146113e+00,3.074042e+00,4.119397e+00,3.373495e+00,-2.627604e+00
4.515492e+00,6.167415e+00,4.062551e+00,3.352149e+00,4.990854e+00,5.821233e+00,2.221506e+01,3.951190e+01,4.315060e+01,3.282933e+01,2.451457e+01,2.542035e+01,2.436810e+01,2.323929e+01,2.184058e+01,2.562950e+01,2.499831e+01,2.340852e+01,1.961274e+01,2.029100e+01,2.182988e+01,1.410746e+01,5.949204e+00,-4.349125e+00,-1.222251e+01,-1.305276e+01,-1.053672e+01,-1.257927e+01,-2.885240e+00,-4.026332e+00,3.350688e+00,2.862207e+00,5.319613e+00,7.301654e+00,9.604019e-02,-5.624298e-01,8.675607e-01,1.401200e+00,1.257910e+00,-2.291534e+00
