Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29
-4.961150e+02,-4.798867e+02,-4.807054e+02,-4.801028e+02,-4.793375e+02,-4.796957e+02,-4.787022e+02,-4.312449e+02,-2.563134e+02,-1.542694e+02,-1.106652e+02,-1.121618e+02,-1.271431e+02,-1.129079e+02,-7.403902e+01,-6.356708e+01,-8.427865e+01,-1.124024e+02,-1.478776e+02,-1.970522e+02,-2.603380e+02,-3.289189e+02,-3.880124e+02,-4.484579e+02,-4.740583e+02,-4.766465e+02,-4.766624e+02,-4.771528e+02,-4.769790e+02
2.981979e+01,4.484184e+01,4.361429e+01,4.460083e+01,4.435908e+01,4.346653e+01,4.480183e+01,8.937254e+01,1.355258e+02,1.125926e+02,8.594782e+01,6.866289e+01,6.464857e+01,4.997775e+01,4.191168e+01,5.164850e+01,7.417166e+01,1.082011e+02,1.415860e+02,1.652239e+02,1.777653e+02,1.705082e+02,1.304992e+02,7.958956e+01,5.242928e+01,4.765766e+01,4.737490e+01,4.887373e+01,4.938018e+01
1.507919e+01,1.570730e+01,1.431878e+01,1.526549e+01,1.324798e+01,1.251430e+01,1.283335e+01,1.564779e+01,-1.529827e+01,-3.497922e+01,-4.195301e+01,-3.457641e+01,-2.526285e+01,-1.940465e+01,-3.717131e+01,-4.310245e+01,-3.104875e+01,-2.927885e+01,-3.270425e+01,-1.542894e+01,2.037714e+00,1.500777e+01,2.489991e+01,3.053284e+01,1.997567e+01,1.486521e+01,1.413710e+01,1.807380e+01,1.909781e+01
5.775199e+00,3.082342e-01,-1.620148e+00,-1.244766e+00,-2.190817e+00,-7.748898e-01,-2.731178e+00,-2.165439e+01,-4.055314e+01,-2.445802e+01,-1.952192e+01,-2.281977e+01,-3.397484e+01,-2.824556e+01,-2.659043e+01,-3.523936e+01,-4.498883e+01,-5.578337e+01,-5.275302e+01,-4.995216e+01,-3.974254e+01,-3.068047e+01,-1.809666e+01,4.776497e-01,-1.505285e+00,-3.053150e+00,-3.956895e+00,-2.124402e+00,-1.116646e+00
5.559969e+00,3.447785e+00,6.543458e-01,8.711041e-01,3.229603e+00,7.030016e+00,3.541728e+00,-1.067118e+01,-3.385114e+01,-4.289950e+01,-3.953533e+01,-3.600720e+01,-2.528874e+01,-2.081857e+01,-2.387683e+01,-2.258680e+01,-2.095337e+01,-2.998365e+01,-3.423035e+01,-2.230082e+01,-9.073667e+00,5.004779e-01,6.015992e-02,-1.598680e+00,-2.597954e+00,2.516996e-01,-6.752580e-01,-2.245834e+00,-2.143960e+00
7.641889e+00,9.125813e+00,7.085985e+00,8.728504e+00,1.273380e+01,1.591737e+01,1.316110e+01,6.667448e+00,2.674348e+01,4.479258e+01,4.878517e+01,5.186369e+01,5.103878e+01,5.146585e+01,4.361239e+01,3.495484e+01,3.870740e+01,3.816614e+01,3.617058e+01,3.062981e+01,1.878800e+01,1.306847e+01,9.757832e+00,2.471075e+00,4.346560e+00,8.277635e+00,7.279316e+00,6.216015e+00,5.855634e+00
6.242478e+00,7.599519e+00,9.443646e+00,1.316680e+01,1.527560e+01,1.480976e+01,1.359546e+01,1.067818e-01,-3.516374e+01,-4.341056e+01,-4.152165e+01,-4.158762e+01,-4.242813e+01,-4.440862e+01,-4.814226e+01,-4.866296e+01,-4.740954e+01,-4.637614e+01,-4.884387e+01,-3.865358e+01,-2.102495e+01,-7.401589e+00,-6.410824e+00,-3.042191e-01,6.474170e+00,9.418140e+00,8.928364e+00,1.039170e+01,1.134334e+01
3.338085e+00,4.362026e+00,1.010847e+01,1.393616e+01,1.296379e+01,9.438252e+00,8.738833e+00,-1.154624e+01,-1.558986e+01,2.640028e+00,1.390327e+01,2.302309e+01,2.373470e+01,2.268406e+01,1.679902e+01,1.355415e+01,1.338725e+01,8.907264e+00,3.885406e+00,5.965706e+00,-5.242693e-02,-1.132332e+01,-1.412962e+01,-2.585655e+00,4.195817e+00,6.851007e+00,8.238646e+00,9.367707e+00,1.157870e+01
2.785574e+00,4.765752e+00,9.369609e+00,1.060036e+01,8.397306e+00,5.050141e+00,4.574921e+00,-5.680169e+00,5.596729e+00,1.112987e+00,6.277788e+00,1.075598e+01,9.397953e+00,1.013164e+01,6.657631e+00,3.273946e+00,5.206285e+00,4.025790e-01,-2.884438e+00,-2.577919e-02,2.092000e+00,1.517278e+00,-3.317040e+00,1.314000e+00,3.364911e+00,5.347846e+00,9.131586e+00,7.690162e+00,7.769177e+00
2.988125e+00,4.529949e+00,3.623847e+00,2.300319e+00,8.386678e-01,-2.271219e-01,6.730410e-01,6.235286e+00,1.365226e+01,1.772582e+01,1.677547e+01,1.550769e+01,2.065191e+01,2.097251e+01,1.854714e+01,1.765498e+01,2.486264e+01,2.623697e+01,2.705341e+01,2.854998e+01,2.159079e+01,1.163264e+01,4.781787e+00,4.742806e+00,3.598296e+00,3.291614e+00,7.711817e+00,5.344711e+00,6.789787e-01
