Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27
-5.017370e+02,-4.840593e+02,-4.881854e+02,-4.863791e+02,-4.850500e+02,-4.791855e+02,-4.504665e+02,-2.446838e+02,-1.400113e+02,-1.006176e+02,-9.714138e+01,-1.024630e+02,-9.466277e+01,-9.651587e+01,-1.092381e+02,-1.411362e+02,-1.946223e+02,-2.618969e+02,-3.488023e+02,-4.166779e+02,-4.627888e+02,-4.798786e+02,-4.852552e+02,-4.848926e+02,-4.870255e+02,-4.880137e+02,-5.057064e+02
5.976004e+01,7.189118e+01,7.061090e+01,6.985699e+01,6.767508e+01,7.022485e+01,8.634027e+01,1.177257e+02,9.731252e+01,6.227831e+01,4.585349e+01,5.151345e+01,4.797685e+01,5.770235e+01,7.535435e+01,8.856781e+01,1.055103e+02,1.136767e+02,1.191360e+02,1.120141e+02,9.387189e+01,8.058034e+01,7.943341e+01,7.974218e+01,7.669741e+01,7.637979e+01,6.527359e+01
7.257143e+00,8.788273e+00,8.759094e+00,6.433379e+00,4.130341e+00,1.280070e-01,-5.966681e+00,-1.414070e+01,-3.157162e+01,-3.758297e+01,-3.175363e+01,-2.885908e+01,-3.154696e+01,-3.695238e+01,-3.822588e+01,-3.039254e+01,-2.122343e+01,-1.866743e+01,-2.514303e+01,-1.426722e+01,3.581420e+00,5.877377e+00,1.262209e+01,1.148982e+01,1.081517e+01,1.142710e+01,1.723153e+01
2.388204e+00,5.147918e+00,2.326922e+00,5.459945e+00,7.930779e+00,7.785123e+00,1.269773e+01,-2.799419e+01,-3.110436e+01,-2.389022e+01,-1.511336e+01,-1.140688e+01,-1.374346e+01,-2.465055e+01,-2.563620e+01,-2.422585e+01,-2.079700e+01,-1.545736e+01,-1.778922e+01,-2.162259e+01,-1.174970e+01,-4.376408e+00,1.060825e+00,-1.387529e+00,1.119239e+00,1.503572e+00,4.006211e+00
1.152983e+01,8.283327e+00,7.286259e+00,1.360319e+01,1.521486e+01,1.666709e+01,2.121942e+01,-4.544437e+01,-4.448508e+01,-3.500537e+01,-2.961135e+01,-2.920169e+01,-3.277296e+01,-3.551703e+01,-3.960026e+01,-4.050660e+01,-3.073427e+01,-2.328411e+01,-1.216952e+01,2.613625e+00,9.053570e+00,1.532686e+01,1.707454e+01,1.620089e+01,1.724377e+01,1.761449e+01,1.626822e+01
1.331116e+01,8.422486e+00,6.800677e+00,1.007257e+01,1.315915e+01,1.013240e+01,5.363418e+00,4.981424e+01,7.009773e+01,7.593925e+01,8.253746e+01,8.930681e+01,9.420770e+01,9.115945e+01,8.938071e+01,8.254507e+01,7.498296e+01,5.429713e+01,2.778692e+01,1.783237e+01,1.186770e+01,1.517781e+01,1.528629e+01,1.744526e+01,1.649625e+01,1.623731e+01,2.169127e+01
6.008360e+00,3.552177e+00,1.824132e+00,1.991323e+00,7.368311e+00,8.870224e+00,8.532601e+00,-3.414491e+01,-6.099963e+01,-6.507651e+01,-5.842320e+01,-5.729059e+01,-5.955466e+01,-5.270236e+01,-4.657533e+01,-4.397278e+01,-4.380186e+01,-3.408641e+01,-5.128019e+00,8.452095e-01,2.800560e+00,6.074917e+00,4.088947e+00,8.393765e+00,9.902750e+00,9.619637e+00,1.450800e+01
1.539607e+00,-2.611276e+00,-3.616652e+00,-2.718533e+00,-1.574286e+00,2.283304e+00,8.827687e-01,-3.205922e+00,8.025079e+00,2.227089e+01,2.885710e+01,2.264885e+01,2.507292e+01,2.720889e+01,2.564286e+01,2.210680e+01,1.768438e+01,8.778301e+00,1.614936e+00,-7.541489e+00,-1.961913e+00,2.189579e+00,-1.280682e+00,3.553253e+00,6.552896e+00,7.804584e+00,4.604372e+00
8.122205e+00,4.186651e+00,2.567779e+00,4.409533e+00,1.358095e+00,-1.604331e+00,-7.723327e+00,-2.378109e+01,-1.384149e+01,-6.806737e+00,-1.088197e+01,-2.126217e+01,-2.064955e+01,-1.780988e+01,-1.540044e+01,-1.454331e+01,-1.117331e+01,-1.121782e+01,-4.689124e+00,-7.072786e-01,-2.753436e+00,-8.368113e-01,-2.319132e+00,7.601891e-01,4.722404e-01,1.793415e+00,1.203948e-02
5.483226e+00,1.869895e+00,3.115582e+00,3.689346e+00,9.286400e-01,-1.418976e-01,1.831482e+00,1.237147e+01,2.909420e+01,3.449849e+01,2.506479e+01,2.765328e+01,2.428759e+01,1.968468e+01,1.963526e+01,1.235713e+01,1.191474e+01,2.134036e+00,-9.261346e+00,-1.313791e+00,-5.521379e-01,-1.405890e+00,4.597000e-01,1.043521e+00,-2.932362e+00,-2.006697e+00,2.292347e+00
