Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25
-5.171885e+02,-4.933994e+02,-4.942928e+02,-4.942936e+02,-4.981477e+02,-5.011586e+02,-4.921378e+02,-2.598698e+02,-1.429229e+02,-1.011653e+02,-1.116917e+02,-1.228003e+02,-1.160301e+02,-1.123600e+02,-1.173148e+02,-1.463159e+02,-1.874068e+02,-2.526467e+02,-3.450800e+02,-4.169418e+02,-4.649623e+02,-4.843611e+02,-4.918214e+02,-4.910228e+02,-5.005337e+02
5.043303e+01,6.550481e+01,6.461501e+01,6.940079e+01,7.219479e+01,7.061880e+01,7.272396e+01,1.123429e+02,9.114670e+01,6.063081e+01,5.088874e+01,5.365427e+01,5.209242e+01,5.996072e+01,7.835111e+01,9.570749e+01,1.051886e+02,1.148429e+02,1.326007e+02,1.231560e+02,9.155541e+01,7.749739e+01,7.322463e+01,7.576588e+01,6.609624e+01
1.205045e+01,7.242507e+00,6.046680e+00,8.374439e+00,1.570531e+01,1.789170e+01,8.568812e+00,-2.478698e+01,-3.628887e+01,-4.343840e+01,-4.017609e+01,-3.492671e+01,-3.723228e+01,-4.898270e+01,-5.765600e+01,-4.604456e+01,-3.330401e+01,-2.668777e+01,-1.820299e+01,-7.564477e+00,-1.232058e+00,5.520319e+00,8.944132e+00,1.211181e+01,8.834154e+00
1.779728e+00,1.806915e+00,1.765073e+00,-1.830437e+00,-2.553895e-01,2.145418e+00,-2.568363e+00,-5.035967e+01,-3.814805e+01,-2.401338e+01,-1.594123e+01,-8.920386e+00,-7.253291e+00,-8.347736e+00,-1.459807e+01,-1.543938e+01,-1.889859e+01,-2.297731e+01,-2.479508e+01,-2.774565e+01,-1.509810e+01,-2.915815e+00,-5.961251e-01,-2.517450e-01,-9.555415e-01
3.636737e+00,6.995558e+00,1.015156e+01,1.266237e+01,1.353344e+01,1.440607e+01,1.556563e+01,-3.756124e+01,-4.482990e+01,-4.589716e+01,-4.301412e+01,-3.907298e+01,-3.849028e+01,-4.087443e+01,-4.514895e+01,-4.333246e+01,-3.786217e+01,-2.197633e+01,-5.093225e+00,3.723055e+00,1.090706e+01,1.693191e+01,1.788842e+01,1.663596e+01,1.621861e+01
1.490794e+01,1.207575e+01,1.554259e+01,1.702484e+01,1.611699e+01,1.562596e+01,1.554828e+01,5.425901e+01,7.141071e+01,8.172935e+01,8.431172e+01,9.019039e+01,9.430489e+01,9.644594e+01,9.016093e+01,8.026523e+01,6.898761e+01,6.024934e+01,3.511873e+01,1.660858e+01,1.293254e+01,1.107385e+01,1.467576e+01,1.574806e+01,1.601536e+01
1.433331e+01,6.153874e+00,8.955729e+00,6.133407e+00,4.510525e+00,2.802415e+00,4.941053e-01,-5.041827e+01,-6.863187e+01,-7.024437e+01,-7.229796e+01,-6.809986e+01,-6.169425e+01,-5.737159e+01,-5.741008e+01,-5.262356e+01,-5.513518e+01,-4.399701e+01,-1.222536e+01,5.648314e+00,4.992750e+00,2.610022e-01,2.574533e+00,5.442134e+00,3.819723e+00
2.840912e+00,-4.384386e+00,-2.942693e+00,-3.437371e+00,-1.947708e+00,-2.909361e+00,-3.783399e+00,-1.013928e+01,9.905790e+00,1.952966e+01,2.332959e+01,2.956847e+01,2.640890e+01,2.333017e+01,2.137604e+01,2.582094e+01,2.239429e+01,1.556373e+01,1.030785e+01,2.407481e+00,4.325633e+00,5.385576e+00,2.919943e+00,4.100090e+00,-1.310167e+00
5.915207e+00,5.416432e+00,2.358710e+00,-8.739732e-01,-6.684152e-01,1.620414e+00,3.668408e+00,-1.543353e+01,-1.705706e+01,-1.793938e+01,-1.926654e+01,-1.632034e+01,-1.728067e+01,-1.908768e+01,-1.943299e+01,-1.363706e+01,-1.146532e+01,-7.786068e+00,-1.087432e+00,-6.126344e+00,-8.920670e-03,6.398363e+00,3.971355e+00,3.036397e+00,-7.390366e-01
4.183651e+00,3.163726e+00,-8.317013e-01,-2.419124e+00,-2.359312e-01,4.441975e+00,6.166628e+00,1.901485e+01,3.195795e+01,3.196459e+01,2.711559e+01,2.707909e+01,2.269678e+01,1.812177e+01,1.284534e+01,8.779406e+00,4.659832e+00,1.345429e+00,-4.143283e+00,-4.513268e+00,-3.113067e+00,-1.131431e+00,2.092181e-01,-5.542463e-01,1.784514e+00
-1.780379e-01,-5.801888e+00,-7.196858e+00,-6.986095e+00,-2.071663e+00,2.383146e+00,3.997385e+00,3.877119e+01,2.794382e+01,1.035036e+01,-9.915872e-01,-5.904407e+00,-5.896349e+00,1.003065e+00,3.298527e+00,9.216011e+00,1.513957e+01,1.949264e+01,1.602806e+01,4.279028e+00,4.050836e+00,-1.176079e+00,7.449895e-01,8.714281e-01,4.332803e+00
