Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27
-4.326895e+02,-3.825865e+02,-3.680399e+02,-3.606003e+02,-3.217818e+02,-2.820787e+02,-1.944994e+02,-1.387486e+02,-1.304040e+02,-1.344499e+02,-1.202056e+02,-1.062033e+02,-1.000224e+02,-1.214489e+02,-1.780733e+02,-2.501918e+02,-3.143387e+02,-3.817816e+02,-4.318315e+02,-4.478840e+02,-4.511931e+02,-4.568261e+02,-4.595648e+02,-4.627066e+02,-4.555701e+02,-4.424649e+02,-4.286950e+02
9.912546e+01,1.215981e+02,1.231707e+02,1.205736e+02,1.126159e+02,1.175066e+02,1.483669e+02,1.365093e+02,1.247931e+02,1.200625e+02,1.204594e+02,1.315314e+02,1.338647e+02,1.310261e+02,1.404214e+02,1.511435e+02,1.416253e+02,1.224366e+02,9.740231e+01,8.802331e+01,8.417969e+01,7.796883e+01,7.328554e+01,7.267511e+01,8.045289e+01,8.768394e+01,9.403040e+01
4.432782e-01,-1.542599e+01,-2.283420e+01,-2.607724e+01,-3.794574e+01,-5.013915e+01,-5.718410e+01,-5.470739e+01,-5.413343e+01,-6.346844e+01,-7.779951e+01,-9.086250e+01,-8.964163e+01,-7.436513e+01,-5.596695e+01,-3.669357e+01,-3.175286e+01,-2.483224e+01,-1.198980e+01,-2.368504e+00,2.102464e+00,6.940187e+00,1.246667e+00,-2.173685e-01,2.588316e+00,1.811177e+00,-1.032744e+00
4.139752e+00,5.632588e+00,1.166234e+01,1.883420e+01,3.488516e+01,4.537545e+01,1.191621e+01,-1.178247e+01,-1.260575e+01,1.392989e+00,3.700714e+00,-3.167601e+00,-1.166544e+01,-1.034084e+01,-5.846812e+00,-8.980402e+00,-1.499408e+01,-2.012889e+01,-1.430411e+01,-7.265360e+00,1.006084e+00,8.206768e+00,2.577208e+00,-8.102464e-01,4.589998e+00,6.991209e+00,6.522102e+00
1.556658e+01,1.451715e+01,1.640700e+01,1.927930e+01,1.134572e+01,9.618282e+00,-1.628275e+01,-2.712522e+01,-2.740719e+01,-1.724021e+01,-1.400557e+01,-1.738557e+01,-2.382516e+01,-2.108759e+01,-9.713511e+00,-1.087523e+01,-1.048179e+01,-1.399950e+00,9.190191e+00,4.055474e+00,4.097350e+00,1.418644e+00,-1.008214e+00,-1.487496e+00,8.896856e+00,7.449605e+00,2.154168e+00
1.327151e+01,1.375748e+01,9.559508e+00,7.916619e+00,1.497024e+01,1.798575e+01,4.432364e+01,6.648930e+01,7.474730e+01,7.719644e+01,8.230712e+01,8.386005e+01,8.209745e+01,7.802925e+01,6.288812e+01,3.659006e+01,2.332617e+01,1.599344e+01,2.097169e+01,1.684558e+01,1.328366e+01,1.601427e+01,1.954146e+01,1.600917e+01,2.082228e+01,1.923652e+01,1.525906e+01
1.174392e+01,1.568208e+01,1.226331e+01,6.788910e+00,1.405361e+01,1.081837e+01,-1.017512e+01,-3.541943e+01,-3.668540e+01,-3.935266e+01,-4.367832e+01,-4.390981e+01,-4.545518e+01,-4.224033e+01,-2.621033e+01,-1.544546e+01,-3.991324e+00,1.070627e+01,1.256818e+01,1.477019e+01,9.489452e+00,1.230830e+01,1.474196e+01,1.715123e+01,1.850711e+01,1.766236e+01,1.686113e+01
1.508362e+01,6.885813e+00,2.471551e+00,9.392297e-01,-9.768039e+00,-1.664028e+01,-1.101661e+01,7.030359e+00,1.617646e+01,1.989217e+01,1.600853e+01,1.111610e+01,1.249421e+01,1.320371e+01,7.457610e+00,-2.632240e+00,-1.090523e+01,-7.664453e+00,-3.211628e+00,-1.442201e+00,-4.839894e+00,-1.154595e+01,-1.484012e+01,-3.765016e+00,-3.440521e+00,-7.259102e+00,-7.135938e+00
2.232653e+01,2.120893e+01,1.744397e+01,1.481723e+01,7.149281e+00,7.648405e+00,7.722456e-01,-1.374586e+00,5.042115e-01,8.432425e+00,1.430075e+01,1.585389e+01,1.354156e+01,1.139544e+01,6.277338e+00,8.501374e+00,1.069706e+01,1.041838e+01,9.212536e+00,7.175227e+00,8.504924e+00,8.236342e+00,7.907941e+00,1.135030e+01,7.614341e+00,7.976475e+00,9.529333e+00
4.810438e+00,9.621464e+00,8.397857e+00,3.568828e+00,5.505317e+00,-7.282540e-01,8.784444e-01,1.593811e+01,1.496001e+01,9.869701e+00,7.571337e+00,7.359381e-01,4.837390e+00,4.686181e+00,-3.359020e+00,2.565091e+00,8.752983e+00,1.093201e+01,1.213252e+01,8.505150e+00,3.592016e+00,4.427129e+00,7.065454e+00,6.699822e+00,6.611122e+00,7.779536e+00,5.710315e+00
