Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26
-5.047605e+02,-4.828971e+02,-4.574561e+02,-3.863318e+02,-3.329795e+02,-3.159227e+02,-3.073811e+02,-2.474810e+02,-1.867349e+02,-1.358474e+02,-1.052517e+02,-8.897486e+01,-6.074020e+01,-4.817489e+01,-7.049979e+01,-1.188660e+02,-1.952349e+02,-2.973768e+02,-3.730211e+02,-4.273893e+02,-4.721609e+02,-4.804836e+02,-4.841636e+02,-4.829874e+02,-4.822298e+02,-4.944810e+02
4.451911e+01,6.471032e+01,7.498956e+01,5.698964e+01,3.729511e+01,3.888455e+01,5.277670e+01,1.112666e+02,1.228172e+02,9.783142e+01,7.493319e+01,6.417589e+01,7.265024e+01,9.031068e+01,1.108896e+02,1.430975e+02,1.691650e+02,1.777508e+02,1.551952e+02,1.059749e+02,6.587820e+01,5.959832e+01,5.852679e+01,6.189541e+01,6.470257e+01,5.389146e+01
2.078080e+01,2.263807e+01,8.996296e+00,9.448288e+00,1.207049e+00,-3.635591e-01,6.191305e+00,-1.096313e+01,-2.629681e+01,-3.979247e+01,-3.960471e+01,-3.664243e+01,-5.181298e+01,-5.838019e+01,-5.145155e+01,-3.265889e+01,-1.581510e+01,8.294485e+00,1.612158e+01,3.926788e+00,3.882631e+00,6.832067e+00,1.106275e+01,1.620956e+01,2.004158e+01,1.993652e+01
4.994602e+00,7.020795e-01,-2.179018e+00,4.721341e+00,9.685213e+00,1.042180e+01,8.448246e+00,-2.884011e+01,-2.750504e+01,-1.933883e+01,-2.090797e+01,-2.157701e+01,-3.240413e+01,-4.623800e+01,-5.675241e+01,-5.443855e+01,-4.980693e+01,-3.173571e+01,-2.527121e+01,-2.940287e+01,-1.482461e+01,-9.595475e+00,-7.018785e+00,-4.373471e+00,-4.273808e+00,-1.831904e+00
4.815138e+00,4.613482e+00,4.694290e+00,1.166446e+01,1.389341e+01,1.406958e+01,1.244356e+01,-4.497953e+00,-2.983233e+01,-4.018366e+01,-3.050795e+01,-2.505937e+01,-2.318363e+01,-2.458231e+01,-3.623401e+01,-3.936183e+01,-3.253387e+01,-1.735631e+01,-1.901186e+00,-2.002024e+00,5.743401e+00,7.459402e+00,6.052412e+00,4.005538e+00,5.484462e-01,-4.251065e-01
1.110619e+01,1.215524e+01,7.612105e+00,-5.223989e+00,-1.170580e+01,-1.687317e+01,-1.198822e+01,1.437355e+01,4.398038e+01,5.167163e+01,5.353468e+01,5.239882e+01,4.775670e+01,4.940611e+01,4.658848e+01,4.819108e+01,4.156537e+01,1.838269e+01,7.389015e+00,1.088777e+01,1.773561e+01,1.875050e+01,1.733303e+01,1.372900e+01,1.245477e+01,1.158090e+01
1.285755e+01,1.144933e+01,9.356079e+00,1.400052e+01,1.934877e+01,1.979291e+01,2.316051e+01,2.336014e+01,-1.112387e+01,-2.514358e+01,-2.797961e+01,-3.392226e+01,-3.954597e+01,-4.457194e+01,-4.772857e+01,-4.684087e+01,-3.573248e+01,-1.288731e+01,-1.464165e+00,-1.984797e+00,1.101269e+01,1.517901e+01,1.408716e+01,1.244804e+01,1.517190e+01,1.807233e+01
9.382761e+00,8.570442e+00,4.487051e+00,5.003485e+00,7.503186e+00,6.020323e+00,5.774899e+00,-7.677898e+00,1.019282e+01,3.250562e+01,3.621950e+01,3.016384e+01,2.527735e+01,2.215555e+01,2.178887e+01,1.853588e+01,1.687896e+01,4.725762e+00,-2.250014e+00,-1.573252e+00,8.756805e+00,1.327732e+01,9.598661e+00,9.442007e+00,1.118086e+01,1.454848e+01
6.140202e+00,7.550408e+00,5.005964e+00,6.868029e-01,-3.253098e+00,-8.913877e+00,-1.341796e+01,-1.986547e+01,3.673244e-02,7.561264e+00,7.289370e+00,1.615124e+00,2.399998e+00,1.305570e+00,3.170958e+00,2.711295e+00,8.187304e+00,1.122750e+01,1.006970e+01,1.217173e+01,1.260941e+01,1.346748e+01,9.901754e+00,9.480526e+00,6.362390e+00,5.634951e+00
4.747995e+00,5.080423e+00,4.182165e+00,7.337335e+00,1.007744e+01,1.334621e+01,9.230152e+00,-7.431262e-01,3.238107e-01,9.742786e+00,3.856032e+00,-3.472850e+00,1.660942e+00,8.954886e+00,1.360821e+01,1.663654e+01,1.237302e+01,8.328369e+00,1.137094e+01,9.929543e+00,6.017576e+00,5.461023e+00,7.320329e+00,7.049265e+00,9.669433e-01,-3.158001e+00
2.409323e+00,9.087498e-01,-6.836466e+00,-2.500455e+01,-2.378838e+01,-2.010551e+01,-1.591034e+01,-9.033012e+00,-1.147936e+01,-2.307785e+01,-3.087574e+01,-3.038685e+01,-2.604713e+01,-2.028874e+01,-1.898895e+01,-1.718015e+01,-7.210491e+00,-4.450583e-02,-4.547284e+00,-4.588623e+00,-6.730313e+00,-4.788605e+00,1.362564e-02,4.668006e-01,-5.145138e+00,-8.838723e+00
-1.440724e+00,-1.649257e+00,-4.952872e+00,-5.461526e+00,-6.875417e+00,-8.720224e+00,-7.974925e+00,-1.171713e+01,-1.798814e+01,-1.412999e+01,-9.197062e+00,1.797895e+00,6.796835e+00,7.053457e+00,-9.502879e-01,-9.199587e+00,-1.194143e+01,-1.278499e+01,-1.000481e+01,-7.329089e+00,-7.945683e+00,-5.726648e+00,-5.631633e+00,-5.773477e+00,-9.473537e+00,-1.045594e+01
-3.675054e+00,-2.362842e+00,1.022919e+00,-1.879384e+00,-2.232002e+00,2.972864e+00,3.910259e+00,-8.744214e+00,-1.512497e+01,-2.113912e+01,-2.085520e+01,-1.680199e+01,-1.381199e+01,-1.012493e+01,-5.879285e+00,-5.392944e+00,-2.514321e+00,1.878279e+00,-5.024558e+00,-9.251589e-01,6.676868e-01,-1.005227e+00,-7.318135e+00,-8.694480e+00,-9.574030e+00,-8.090740e+00
