Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28
-5.014966e+02,-4.840789e+02,-4.105066e+02,-3.294203e+02,-2.912304e+02,-2.589994e+02,-2.300387e+02,-2.088813e+02,-1.972639e+02,-1.842246e+02,-1.510101e+02,-1.100672e+02,-9.956718e+01,-8.532961e+01,-6.678805e+01,-6.578276e+01,-9.702835e+01,-1.700227e+02,-2.484917e+02,-3.270738e+02,-3.964443e+02,-4.453709e+02,-4.610594e+02,-4.645704e+02,-4.701876e+02,-4.783240e+02,-4.785746e+02,-4.859789e+02
4.937334e+01,6.154893e+01,7.305478e+01,5.464878e+01,3.173991e+01,1.380019e+01,1.708619e+01,3.890761e+01,6.190647e+01,9.868997e+01,9.701093e+01,7.029257e+01,6.353740e+01,6.210331e+01,7.735931e+01,1.062376e+02,1.228774e+02,1.387903e+02,1.534726e+02,1.601212e+02,1.360414e+02,9.509954e+01,7.521349e+01,7.023354e+01,6.420200e+01,6.058136e+01,6.429939e+01,6.309117e+01
1.857246e+01,1.321110e+01,-1.411749e+01,-2.282319e+01,-2.033899e+01,-1.187995e+01,-5.842219e+00,-7.748797e-01,4.317627e-02,-1.258774e+01,-2.003513e+01,-1.960868e+01,-2.768606e+01,-4.113279e+01,-6.354492e+01,-6.501606e+01,-5.085604e+01,-2.507181e+01,5.989354e+00,9.429347e+00,7.560948e+00,1.196491e+01,5.478093e+00,4.914448e+00,4.571080e+00,1.012764e+01,1.575147e+01,2.125158e+01
-1.381911e+00,-5.262284e+00,-2.487681e+00,8.625423e+00,1.682161e+01,2.376915e+01,1.955091e+01,1.479350e+01,1.246771e+01,-1.563188e+01,-1.649504e+01,-1.600342e+01,-2.149919e+01,-2.333909e+01,-2.858609e+01,-4.090873e+01,-4.693037e+01,-4.525887e+01,-3.487450e+01,-2.784530e+01,-3.218011e+01,-1.840508e+01,-1.558879e+01,-1.261147e+01,-9.227377e+00,-5.096471e+00,-4.477421e+00,-8.524994e-01
-8.968710e-01,4.991313e+00,2.666173e+01,2.969044e+01,1.836027e+01,4.330934e+00,9.466558e-01,1.137154e+01,1.001670e+01,-1.116733e+01,-4.029894e+01,-4.495596e+01,-4.025239e+01,-4.301386e+01,-3.537843e+01,-3.435322e+01,-3.607679e+01,-3.198853e+01,-2.000586e+01,-5.433173e+00,-5.707567e-01,-1.265009e+00,-3.113722e+00,-2.887392e+00,-3.005249e+00,-1.899458e-01,-1.774983e+00,2.171783e+00
8.260429e+00,1.243862e+01,2.969004e+00,-4.615803e+00,-3.690327e+00,2.596277e+00,5.678288e+00,2.729248e+00,2.120576e+00,2.371994e+01,5.607643e+01,5.307933e+01,4.758757e+01,4.625853e+01,4.686080e+01,4.456176e+01,3.908110e+01,3.157285e+01,2.513889e+01,1.850238e+01,1.468497e+01,1.223134e+01,1.511384e+01,1.471280e+01,1.153431e+01,1.605816e+01,1.527022e+01,1.316620e+01
1.239474e+01,9.303396e+00,7.009635e+00,7.353283e+00,1.241563e+00,5.014885e-01,6.697208e-01,1.395933e-01,3.049639e+00,7.478463e+00,-2.729988e+01,-3.369753e+01,-3.137161e+01,-3.106105e+01,-3.432578e+01,-3.410760e+01,-3.064252e+01,-2.605811e+01,-2.448779e+01,-1.076122e+01,2.981611e+00,7.648340e+00,1.534978e+01,1.384138e+01,1.230575e+01,1.460585e+01,1.398367e+01,1.316491e+01
9.877581e+00,8.228170e+00,1.457326e+01,1.917099e+01,1.985159e+01,1.412176e+01,7.292448e+00,-3.508925e+00,-7.833888e+00,-4.257443e+00,1.373839e+01,2.491053e+01,3.134985e+01,3.370301e+01,2.692395e+01,1.795279e+01,1.547199e+01,1.089317e+01,9.967175e+00,3.083236e+00,2.441633e+00,6.245168e+00,7.144481e+00,4.106469e+00,3.501009e+00,1.712762e+00,-1.112624e+00,6.970902e+00
6.005928e+00,9.553272e+00,1.877864e+01,1.501519e+01,7.735639e+00,3.199608e+00,-2.071035e-01,-2.262718e+00,-7.959435e+00,-1.120146e+01,-5.025688e+00,5.658780e+00,7.596109e+00,3.467386e+00,1.053364e+01,9.396254e+00,8.150282e+00,6.050892e+00,6.891636e+00,9.056406e+00,1.163838e+01,1.228356e+01,9.636712e+00,9.556520e+00,1.174458e+01,8.297148e+00,2.313885e+00,5.036023e+00
2.986235e+00,4.436145e+00,4.799699e+00,8.993787e+00,9.018624e+00,6.414240e+00,5.286024e+00,-1.809376e+00,-1.068973e+01,-1.123744e+01,6.576359e+00,1.404616e+01,9.184254e+00,4.438216e+00,9.164352e+00,8.331637e+00,8.747076e+00,7.580465e+00,8.494584e+00,5.766315e+00,2.257668e+00,4.844089e+00,8.258690e-01,1.135873e+00,7.534935e+00,6.771930e+00,5.302130e+00,2.941252e+00
-5.811207e-01,-3.785061e+00,-1.906969e+01,-2.147809e+01,-1.807545e+01,-1.366408e+01,-8.150169e+00,-5.585588e+00,-9.933722e+00,-1.097825e+01,-1.763950e+01,-2.521130e+01,-3.609249e+01,-3.019281e+01,-2.739536e+01,-2.285021e+01,-2.055703e+01,-1.334405e+01,-8.228359e+00,-1.312945e+01,-1.669024e+01,-1.184526e+01,-1.158196e+01,-1.147395e+01,-7.506130e+00,-4.066505e+00,1.408493e+00,1.091372e+00
-4.457321e+00,-6.427086e+00,-3.825531e+00,-2.691955e+00,-3.974266e-01,-6.643119e-01,1.324198e-01,8.485032e-01,-7.441512e-02,-6.199709e+00,-7.564183e+00,-9.215967e+00,-6.758755e+00,5.029828e+00,3.400418e+00,3.604089e+00,-1.276617e+00,-9.717716e+00,-8.188297e+00,-7.907598e+00,-1.560675e+01,-1.417499e+01,-5.641342e+00,-2.971828e+00,-3.495314e+00,-1.829526e+00,2.128457e-01,-1.541613e+00
-5.644159e+00,-5.328797e+00,9.722800e+00,1.270055e+01,1.063027e+01,5.317832e+00,4.790257e+00,3.189909e+00,6.627916e+00,-3.866994e+00,-2.152225e+01,-2.528697e+01,-1.857124e+01,-1.488379e+01,-7.897200e+00,-1.076020e+00,2.615893e+00,1.793144e+00,1.609378e+00,1.338809e+00,-4.217469e+00,-8.148859e+00,-3.609686e+00,-1.302380e+00,-3.141507e+00,-3.792770e+00,-7.366524e+00,-6.471190e+00
