Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32
-4.995323e+02,-4.791341e+02,-4.815823e+02,-4.770782e+02,-4.375772e+02,-4.105320e+02,-3.973849e+02,-3.807611e+02,-3.705825e+02,-3.193521e+02,-2.575313e+02,-2.162007e+02,-2.061482e+02,-2.084452e+02,-2.066127e+02,-2.033590e+02,-1.760246e+02,-1.113680e+02,-7.169564e+01,-5.920890e+01,-7.233706e+01,-1.018416e+02,-1.359350e+02,-1.887484e+02,-2.455020e+02,-3.124875e+02,-3.901455e+02,-4.525178e+02,-4.867307e+02,-4.885507e+02,-4.806860e+02,-4.876746e+02
3.173437e+01,4.903011e+01,5.396698e+01,6.016763e+01,7.577966e+01,8.795800e+01,9.393892e+01,9.635666e+01,1.036072e+02,1.536452e+02,1.796033e+02,1.651909e+02,1.476346e+02,1.347061e+02,1.228816e+02,1.238433e+02,1.118736e+02,7.861646e+01,6.981789e+01,7.921885e+01,9.044540e+01,8.733926e+01,9.504349e+01,1.099131e+02,1.306772e+02,1.487673e+02,1.335117e+02,8.883591e+01,5.645834e+01,5.191195e+01,5.742350e+01,5.214768e+01
-7.966543e+00,-7.280983e+00,2.907987e+00,8.243433e+00,-3.071645e+00,-6.057725e+00,-1.332215e+01,-2.473821e+01,-2.494445e+01,-2.897225e+01,-4.031024e+01,-5.432455e+01,-6.107194e+01,-5.693775e+01,-5.642963e+01,-5.684654e+01,-5.656831e+01,-5.683901e+01,-7.623270e+01,-8.544946e+01,-7.679730e+01,-6.355297e+01,-5.141764e+01,-3.974747e+01,-2.648029e+01,-1.554500e+01,3.256900e-01,1.640781e+01,1.288704e+01,8.393822e+00,8.593405e+00,1.126652e+01
-3.308757e+00,-5.791490e+00,-5.372578e+00,-5.347128e+00,-4.902625e+00,-2.656960e-01,6.160642e-01,6.600312e+00,3.944422e+00,-3.311518e+01,-4.978876e+01,-5.001144e+01,-3.911341e+01,-2.677487e+01,-2.144087e+01,-1.733539e+01,-1.580451e+01,-2.478764e+01,-3.429383e+01,-3.921628e+01,-4.235735e+01,-3.750848e+01,-4.312540e+01,-5.190304e+01,-5.280773e+01,-5.215704e+01,-3.625443e+01,-1.606919e+01,-6.523787e+00,-5.599428e+00,-2.853760e+00,3.478108e-01
1.980349e+01,1.964045e+01,1.066887e+01,4.027774e+00,4.624097e-01,-4.012603e+00,1.584025e+00,1.019295e+01,6.694779e+00,-1.098782e+01,-1.320061e+01,-2.019024e+01,-1.960042e+01,-1.491464e+01,-1.973027e+01,-1.823758e+01,-2.140550e+01,-1.998622e+01,-1.318605e+01,-1.072627e+01,-1.281431e+01,-2.106702e+01,-2.557092e+01,-1.960196e+01,-5.730935e+00,2.824159e+00,2.706435e-01,-3.339980e+00,3.901821e+00,6.498254e+00,7.679364e+00,4.951833e+00
2.086638e+01,2.003413e+01,1.407467e+01,8.743103e+00,4.991313e+00,-1.674955e+00,1.559365e+00,7.751013e+00,1.118987e+01,1.940510e+01,3.372330e+01,4.737581e+01,5.215096e+01,5.976893e+01,6.069257e+01,6.093871e+01,6.961434e+01,6.713746e+01,6.190249e+01,5.984541e+01,5.796173e+01,5.750488e+01,5.555648e+01,4.885945e+01,3.511453e+01,1.909395e+01,1.336280e+01,1.016369e+01,1.756531e+01,1.528202e+01,9.978802e+00,6.009337e+00
4.214601e+00,5.176661e+00,9.307665e+00,1.058184e+01,5.642483e+00,8.725358e-01,3.914078e+00,1.264246e+01,1.967156e+01,2.206227e+01,8.546577e+00,-1.154401e+01,-1.839863e+01,-1.536309e+01,-1.639971e+01,-1.585441e+01,-2.473089e+01,-3.439048e+01,-3.472598e+01,-3.295293e+01,-2.928983e+01,-2.955718e+01,-2.610493e+01,-2.459078e+01,-1.805619e+01,-5.161843e+00,-2.457946e-01,5.539414e+00,1.766567e+01,1.394755e+01,8.805124e+00,8.263739e+00
-9.540260e-01,1.586434e+00,6.279777e+00,1.130867e+01,1.286748e+01,7.314006e+00,5.205584e+00,3.401754e+00,3.566035e+00,-7.307003e+00,-8.030002e+00,-4.590571e+00,-6.368287e-01,4.296632e+00,8.644491e+00,8.815121e+00,1.846721e+01,2.617504e+01,3.020786e+01,2.682322e+01,2.265809e+01,1.691593e+01,1.862659e+01,1.693133e+01,1.406689e+01,2.209171e+00,-4.898898e+00,-1.403422e+00,9.369035e+00,1.078068e+01,9.669943e+00,9.927912e+00
1.071166e+00,2.854954e+00,1.640321e+00,3.415792e+00,3.761458e+00,9.031655e-01,3.314343e+00,-1.960353e+00,-6.897925e+00,-1.451517e+01,-1.057599e+01,4.120859e+00,1.119509e+01,6.478387e+00,6.294535e-01,-1.589882e+00,-5.637886e+00,-1.466966e+01,-1.534041e+01,-1.402361e+01,-9.351646e+00,-5.983624e+00,-4.051491e+00,-7.838605e+00,-1.016042e+01,-9.745995e+00,-3.292358e+00,-2.506212e+00,1.651687e+00,6.294126e+00,5.642946e+00,5.362226e+00
-4.214868e+00,-9.268906e-01,-4.313089e-01,-4.732982e+00,-1.759052e+01,-1.823277e+01,-9.130358e+00,-4.326216e+00,-6.809549e+00,-1.876863e+00,3.759991e+00,8.999620e+00,7.636739e+00,-3.774220e+00,-7.507661e+00,-8.841269e+00,-7.259022e+00,-3.603553e+00,-2.073777e+00,-2.668112e+00,-1.109721e+01,-1.958675e+01,-1.858782e+01,-1.612174e+01,-1.293130e+01,-1.450046e+01,-1.202546e+01,-4.808771e+00,-2.911612e+00,-7.632715e-01,7.048374e-01,7.424418e-01
-5.188877e+00,-1.806404e+00,1.936436e-01,-4.193197e+00,-7.976342e+00,-1.070341e+01,-2.727156e+00,4.924993e+00,2.043022e+00,1.293020e+01,1.838571e+01,1.023852e+01,2.718774e+00,-1.632203e+00,-8.524801e-01,3.687716e+00,2.846086e+00,-4.684583e+00,-1.319641e+01,-2.104475e+01,-2.451156e+01,-2.562423e+01,-2.539504e+01,-2.221437e+01,-1.256988e+01,-1.209052e+01,-1.332784e+01,-7.224204e+00,-3.961456e+00,-5.882733e+00,5.027296e-01,2.175829e-01
-3.925802e+00,-6.920747e+00,-5.467395e+00,-5.057356e+00,-3.350210e+00,-7.096035e+00,-4.024208e-01,1.983314e+00,-4.838784e+00,-7.914919e+00,-9.344505e+00,-1.216361e+01,-1.577629e+01,-1.530470e+01,-1.646825e+01,-1.202311e+01,-9.304216e+00,-3.730730e+00,-1.004232e+01,-2.040413e+01,-2.483945e+01,-1.728543e+01,7.847740e-01,1.281931e+01,1.129634e+01,6.804512e+00,2.279121e-01,-1.906895e+00,-1.046100e+00,-5.850520e+00,-1.419063e+00,-1.602762e+00
-7.729663e+00,-1.214176e+01,-1.000818e+01,-5.189017e+00,-6.815515e+00,-9.986162e+00,-1.202004e+01,-8.846082e+00,-6.989102e+00,-2.010176e+01,-2.840889e+01,-2.426578e+01,-2.083318e+01,-1.510715e+01,-9.269755e+00,-1.662359e+00,-3.027917e+00,-1.446632e+01,-2.446076e+01,-2.302908e+01,-1.038329e+01,1.195270e+01,2.831304e+01,2.924786e+01,2.255072e+01,1.149173e+01,9.453724e+00,7.467010e+00,3.844335e+00,-2.147414e+00,-4.411414e+00,-3.538415e+00
