Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35
-4.947348e+02,-4.748568e+02,-4.493045e+02,-4.065082e+02,-3.588210e+02,-2.708619e+02,-2.260813e+02,-2.031998e+02,-1.777461e+02,-1.656700e+02,-1.273902e+02,-1.166210e+02,-1.261144e+02,-1.287468e+02,-1.450543e+02,-1.498955e+02,-1.405572e+02,-1.335264e+02,-1.318406e+02,-1.208706e+02,-1.103588e+02,-9.591921e+01,-8.901155e+01,-1.010305e+02,-1.478192e+02,-2.215096e+02,-3.020229e+02,-3.681369e+02,-4.267469e+02,-4.647783e+02,-4.786557e+02,-4.810568e+02,-4.830598e+02,-4.842284e+02,-5.018251e+02
4.261845e+01,5.967841e+01,7.912722e+01,7.521318e+01,5.428021e+01,3.013221e+01,1.893869e+01,3.587149e+01,8.117682e+01,1.031057e+02,9.682068e+01,8.317676e+01,7.371011e+01,7.482117e+01,6.845723e+01,6.514441e+01,7.090054e+01,7.543967e+01,7.533652e+01,6.515051e+01,6.197149e+01,6.352239e+01,8.318443e+01,1.026299e+02,1.083719e+02,1.149512e+02,1.345159e+02,1.282438e+02,9.354625e+01,6.208144e+01,5.332555e+01,5.069678e+01,4.922387e+01,4.786829e+01,3.252085e+01
2.154830e+01,2.211776e+01,1.980023e+01,1.911055e+01,2.002279e+01,8.670800e+00,1.096515e+01,-1.602576e+00,-1.018259e+01,-1.009037e+01,-2.841053e+01,-2.596501e+01,-1.980518e+01,-2.116652e+01,-1.743070e+01,-1.803311e+01,-2.496188e+01,-2.359058e+01,-1.632517e+01,-2.697356e+01,-3.977168e+01,-6.193037e+01,-7.999548e+01,-8.798582e+01,-7.276018e+01,-4.636981e+01,-1.700327e+01,-7.737668e+00,-3.811256e+00,3.961294e+00,1.405448e+01,1.499228e+01,1.587254e+01,1.345604e+01,1.408157e+01
4.252094e+00,1.308021e+00,-6.129665e+00,-1.657740e+01,-1.677863e+01,-3.092461e+00,7.968107e+00,-8.851452e+00,-4.712459e+01,-6.388043e+01,-5.988465e+01,-5.631078e+01,-5.179754e+01,-5.455075e+01,-5.077699e+01,-5.143451e+01,-5.426405e+01,-5.191093e+01,-4.496366e+01,-4.366117e+01,-3.672951e+01,-3.440054e+01,-3.537088e+01,-3.313765e+01,-3.088404e+01,-3.627521e+01,-4.556339e+01,-4.773295e+01,-3.969271e+01,-1.740560e+01,-3.737909e+00,-3.340204e+00,-1.679878e+00,-1.893443e+00,4.879343e+00
-2.725480e+00,-8.559121e-02,-8.215254e+00,5.486717e-01,2.520514e+00,-1.276580e+01,-1.427052e+01,-9.859005e+00,-1.060950e+01,-2.158149e+01,-3.243547e+01,-3.121673e+01,-2.413264e+01,-2.325318e+01,-2.030887e+01,-1.790894e+01,-1.564187e+01,-1.346300e+01,-1.409214e+01,-1.422011e+01,-1.634683e+01,-2.083308e+01,-3.082112e+01,-3.614458e+01,-3.566404e+01,-1.849863e+01,-3.403468e-01,2.409351e+00,-9.447685e+00,1.357415e+00,4.923123e+00,2.698991e+00,2.978643e+00,5.864667e+00,7.586477e+00
-3.992589e+00,4.705868e+00,1.389361e+00,-5.747564e+00,-3.010652e-01,-2.724348e+00,9.404209e-01,1.831525e+01,3.526921e+01,4.904982e+01,5.653991e+01,5.416032e+01,5.406953e+01,5.130358e+01,4.735534e+01,5.311492e+01,6.392113e+01,6.970706e+01,6.583997e+01,6.428904e+01,6.476460e+01,6.644496e+01,6.465022e+01,6.527400e+01,6.802975e+01,4.900459e+01,2.060888e+01,9.639369e+00,1.894329e+01,1.775512e+01,1.573738e+01,1.720907e+01,1.613591e+01,1.584478e+01,1.160114e+01
-4.783935e+00,3.551463e+00,5.491898e+00,1.056566e+01,7.450485e+00,5.102954e+00,3.168694e+00,1.176235e+01,1.973712e+01,-3.125594e+00,-2.622316e+01,-2.663096e+01,-2.558763e+01,-2.679211e+01,-2.764903e+01,-3.058634e+01,-3.168677e+01,-3.078796e+01,-3.485004e+01,-3.987194e+01,-3.848022e+01,-3.173981e+01,-3.040270e+01,-2.884818e+01,-2.763503e+01,-2.406776e+01,-1.034042e+01,9.274765e+00,1.395207e+01,1.165334e+01,1.180896e+01,1.488885e+01,1.502093e+01,1.293187e+01,1.047263e+01
-4.060844e+00,-9.629136e-01,-2.550601e+00,-6.423601e+00,-2.456595e+00,5.657958e+00,7.661245e+00,-2.297970e+00,-1.149276e+01,-5.053021e-02,1.541791e+01,1.873516e+01,2.052461e+01,2.155283e+01,1.987126e+01,2.008026e+01,2.551531e+01,2.787850e+01,2.825157e+01,3.133177e+01,2.960361e+01,2.712215e+01,2.552074e+01,2.152090e+01,1.779998e+01,1.119040e+01,8.724303e-01,4.500457e-01,-8.929598e-02,2.187843e-01,3.721251e+00,5.726978e+00,8.152720e+00,6.298433e+00,6.882058e+00
5.188410e-01,3.160840e+00,1.525563e+00,5.710740e+00,-6.104169e+00,-2.448730e+01,-2.599771e+01,-2.835592e+01,-2.933689e+01,-1.863627e+01,-1.667539e+01,-1.663686e+01,-1.923936e+01,-2.173615e+01,-2.579091e+01,-2.771036e+01,-2.079574e+01,-1.788167e+01,-2.169854e+01,-2.557408e+01,-2.361924e+01,-2.214351e+01,-1.886863e+01,-1.814013e+01,-1.898898e+01,-9.738897e+00,-1.999958e+00,7.930208e-01,-1.868018e+00,-1.790707e+00,1.903756e+00,1.646986e+00,4.533499e+00,3.946785e+00,3.970271e+00
6.061625e+00,9.989968e+00,1.020471e+01,1.222327e+01,1.465657e+01,6.848113e-01,-7.710032e+00,-7.877697e+00,5.196988e+00,1.660220e+01,1.936032e+01,2.436236e+01,2.767294e+01,2.914804e+01,2.683557e+01,1.872640e+01,1.694694e+01,1.961726e+01,1.759076e+01,1.729771e+01,1.588188e+01,1.094436e+01,6.967327e+00,-1.214789e+00,-8.542383e+00,-1.803549e+01,-2.030379e+01,-8.192816e+00,-1.189220e-01,-7.677450e-01,2.375093e+00,-1.542422e-01,1.302506e+00,2.607069e+00,1.720287e+00
