Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38
-5.155236e+02,-5.001700e+02,-5.030055e+02,-5.008211e+02,-5.036827e+02,-4.875705e+02,-4.592049e+02,-4.413720e+02,-4.202823e+02,-3.831133e+02,-2.789095e+02,-2.189124e+02,-1.922223e+02,-1.728857e+02,-1.785744e+02,-1.782427e+02,-1.734029e+02,-1.657557e+02,-1.613581e+02,-1.469599e+02,-1.228785e+02,-9.480624e+01,-6.319615e+01,-4.890288e+01,-7.082165e+01,-1.426812e+02,-2.213290e+02,-2.952719e+02,-3.779689e+02,-4.467581e+02,-4.904945e+02,-4.953639e+02,-4.955746e+02,-5.009384e+02,-4.965553e+02,-4.919084e+02,-4.935659e+02,-5.077421e+02
4.934733e+01,6.098859e+01,5.952057e+01,6.171239e+01,5.911412e+01,6.846474e+01,8.202679e+01,8.312756e+01,6.404205e+01,5.570110e+01,1.128974e+02,1.280955e+02,1.251960e+02,1.081352e+02,1.027289e+02,9.627151e+01,9.366364e+01,9.149861e+01,9.044046e+01,7.756963e+01,7.390336e+01,7.516820e+01,8.542129e+01,9.931931e+01,1.082441e+02,1.123621e+02,1.327397e+02,1.489457e+02,1.423708e+02,1.017988e+02,6.813271e+01,6.201108e+01,6.460690e+01,6.167910e+01,6.332690e+01,6.725135e+01,6.755428e+01,5.799438e+01
1.310546e+01,9.473297e+00,9.795532e+00,1.014103e+01,1.105137e+01,7.159283e+00,4.868679e+00,6.281148e+00,7.278562e+00,8.381550e-01,-1.231880e+01,-4.085014e+00,-6.509583e+00,-1.723627e+01,-2.155310e+01,-2.403364e+01,-2.660708e+01,-2.640574e+01,-2.977253e+01,-3.714042e+01,-5.537699e+01,-7.300795e+01,-9.276599e+01,-1.093524e+02,-1.109712e+02,-8.434276e+01,-5.444115e+01,-2.600235e+01,-1.584119e+01,-6.583515e+00,3.256071e+00,1.950089e+00,6.913650e+00,1.173494e+01,7.957556e+00,9.835117e+00,1.462142e+01,1.823417e+01
9.213433e-01,-4.509547e+00,-7.696127e+00,-8.731911e+00,-5.020141e+00,-8.413486e+00,-1.355921e+01,-1.144249e+01,-3.435904e+00,9.462254e+00,-4.761463e+01,-6.858461e+01,-5.853584e+01,-4.539304e+01,-3.472383e+01,-2.262353e+01,-2.070119e+01,-1.707359e+01,-2.061411e+01,-2.063688e+01,-2.074123e+01,-1.665361e+01,-2.192635e+01,-3.482332e+01,-3.726422e+01,-3.043320e+01,-3.068021e+01,-3.998589e+01,-4.165711e+01,-3.245544e+01,-1.588915e+01,-1.102782e+01,-1.040008e+01,-2.897565e+00,-4.472714e+00,-1.050473e+00,4.010910e+00,4.516630e+00
1.005132e+01,1.044455e+01,5.463397e+00,3.934409e+00,7.195560e+00,9.213505e+00,1.032151e+01,1.824471e+01,1.841501e+01,1.719849e+01,-7.039626e+00,-2.616038e+01,-3.746928e+01,-3.408607e+01,-2.631723e+01,-2.307890e+01,-1.939539e+01,-2.257280e+01,-2.641666e+01,-2.619690e+01,-2.454628e+01,-2.287291e+01,-2.954826e+01,-3.091147e+01,-2.975900e+01,-2.327903e+01,-1.226663e+01,-1.709829e+00,8.278143e+00,7.257033e+00,8.688443e+00,1.168325e+01,7.343863e+00,1.326412e+01,1.541854e+01,1.718988e+01,1.868913e+01,1.332224e+01
1.609882e+01,1.778946e+01,1.610343e+01,1.449546e+01,1.514372e+01,1.239179e+01,7.892954e+00,7.704148e+00,6.866152e+00,2.465246e-01,1.769077e+01,4.755535e+01,6.820767e+01,7.044792e+01,6.737910e+01,6.645413e+01,6.415638e+01,6.540376e+01,6.392242e+01,6.568557e+01,6.550470e+01,6.551160e+01,6.680711e+01,6.931116e+01,7.079625e+01,6.970981e+01,4.302026e+01,2.723618e+01,2.184430e+01,2.637980e+01,2.544543e+01,2.198866e+01,1.840569e+01,2.151012e+01,2.253649e+01,2.180406e+01,2.175722e+01,1.974055e+01
1.339115e+01,1.450428e+01,1.387646e+01,1.235905e+01,1.105352e+01,7.023088e+00,8.968233e+00,1.066614e+01,6.627896e+00,6.181201e+00,7.769915e+00,-1.219419e+01,-2.854462e+01,-3.566575e+01,-3.818547e+01,-4.049033e+01,-3.549804e+01,-3.353214e+01,-3.801556e+01,-4.031256e+01,-4.093044e+01,-3.877814e+01,-3.942210e+01,-4.670601e+01,-4.721190e+01,-3.526937e+01,-2.361955e+01,-1.462912e+01,1.841784e+00,1.210927e+01,1.679710e+01,1.452278e+01,1.374030e+01,1.290140e+01,1.210554e+01,1.584105e+01,1.650428e+01,1.585052e+01
9.703476e+00,1.307059e+01,9.773413e+00,9.067002e+00,7.160263e+00,7.202571e+00,1.139598e+01,8.852515e+00,1.418347e+01,1.355984e+01,4.790767e-01,1.045713e+01,2.008184e+01,3.010641e+01,3.489394e+01,3.419547e+01,3.600653e+01,3.915394e+01,3.456836e+01,3.597396e+01,3.280096e+01,3.277290e+01,2.940096e+01,2.522638e+01,2.350566e+01,1.765135e+01,6.299896e+00,-7.526391e-01,-1.704608e+00,2.186850e+00,5.696247e+00,8.537505e+00,8.223839e+00,4.943321e+00,5.856241e+00,1.397450e+01,1.370955e+01,1.003086e+01
7.507823e+00,1.167970e+01,8.990334e+00,9.958431e+00,8.497595e+00,7.470645e+00,7.967462e+00,-8.152324e-01,-3.801724e+00,-1.341312e+01,-3.984818e+01,-3.656488e+01,-2.798369e+01,-1.907854e+01,-1.020888e+01,-1.167020e+01,-1.490508e+01,-1.489960e+01,-1.356278e+01,-2.033580e+01,-2.426103e+01,-2.304424e+01,-1.990890e+01,-2.142767e+01,-2.417614e+01,-1.610595e+01,-4.124835e+00,-7.175390e-01,2.406495e+00,2.449705e+00,5.085234e+00,5.178106e+00,4.775910e+00,3.234442e+00,7.068016e+00,1.095959e+01,9.218424e+00,8.486397e+00
6.381951e+00,7.628790e+00,7.626974e+00,9.251396e+00,9.735428e+00,7.131604e+00,7.061842e+00,4.850037e+00,6.205741e+00,4.176739e+00,4.393514e+00,1.404976e+01,2.770733e+01,2.852432e+01,2.517533e+01,2.370485e+01,1.781126e+01,1.505055e+01,1.679988e+01,1.762463e+01,2.015387e+01,1.952586e+01,1.110217e+01,4.027984e+00,-2.273602e+00,-8.565073e+00,-1.794700e+01,-1.933398e+01,-7.948360e+00,-3.393898e+00,5.236028e+00,-1.477131e-01,4.289182e-01,4.936353e-01,5.032310e+00,5.022932e+00,2.907534e+00,5.670167e+00
