Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36
-5.163589e+02,-5.163589e+02,-5.163589e+02,-5.163589e+02,-5.160372e+02,-5.149577e+02,-5.075244e+02,-4.953872e+02,-4.846557e+02,-4.838335e+02,-4.818870e+02,-4.544513e+02,-3.719808e+02,-2.390508e+02,-1.698594e+02,-1.472343e+02,-1.400889e+02,-1.472341e+02,-1.786829e+02,-2.360214e+02,-3.199932e+02,-3.841715e+02,-4.289530e+02,-4.656765e+02,-4.961566e+02,-5.162435e+02,-5.163589e+02,-5.163589e+02,-5.163589e+02,-5.163589e+02,-5.163589e+02,-5.163589e+02,-5.163589e+02,-5.163589e+02,-5.163589e+02,-5.163589e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.790359e-02,1.045404e-01,-2.172766e-01,-2.347700e+00,-4.438065e+00,-3.359832e+00,-1.251409e+00,1.850801e+01,9.473958e+01,1.777709e+02,1.762441e+02,1.712891e+02,1.878672e+02,2.084348e+02,2.161266e+02,2.104739e+02,1.854938e+02,1.453081e+02,1.016070e+02,6.148997e+01,2.663342e+01,1.606382e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.516197e-01,-1.926089e+00,-1.178167e+01,-2.677765e+01,-3.878417e+01,-3.938360e+01,-3.902665e+01,-4.396308e+01,-3.104761e+01,-3.976786e+01,-6.519688e+01,-8.311340e+01,-8.308710e+01,-6.681676e+01,-4.503191e+01,-1.413676e+01,2.655040e+01,5.221680e+01,5.005831e+01,3.700804e+01,2.128861e+01,1.524498e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.329102e-02,-2.975456e-01,5.174109e-01,5.746642e+00,9.650051e+00,6.542250e+00,5.046138e+00,-6.128404e+00,-1.992426e+01,-4.177554e+01,-2.723457e+01,-2.874663e+01,-4.231292e+01,-5.497940e+01,-5.909156e+01,-6.530713e+01,-6.249275e+01,-2.667978e+01,4.601679e-01,1.159368e+01,1.379904e+01,1.391104e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.414067e-01,1.765385e+00,9.808609e+00,1.936470e+01,2.461549e+01,2.456707e+01,2.031782e+01,4.623794e+00,-1.010581e+01,-4.606778e+01,-6.783199e+01,-7.752991e+01,-8.406837e+01,-8.871761e+01,-8.296687e+01,-7.711996e+01,-7.137945e+01,-5.027095e+01,-2.343822e+01,-4.258180e+00,5.860092e+00,1.210705e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.374256e-01,4.445055e-01,-4.777511e-01,-6.059097e+00,-7.329819e+00,-3.117349e+00,-7.481023e+00,-2.074584e+01,-2.509909e+01,-1.796333e+01,-1.258264e+01,-1.104203e+01,-1.374687e+01,-1.921616e+01,-2.101410e+01,-1.769102e+01,-2.400064e+01,-3.047032e+01,-2.127704e+01,-9.381231e+00,-8.787908e-01,9.893974e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.245508e-01,-1.516834e+00,-7.010237e+00,-1.040965e+01,-1.064882e+01,-1.116397e+01,-8.434752e+00,-1.027303e+01,-1.197059e+01,-1.787212e+00,4.616648e-02,5.829539e+00,1.194599e+01,1.288250e+01,1.704004e+01,1.841171e+01,7.579160e+00,-7.800757e+00,-1.046523e+01,-9.749266e+00,-5.257849e+00,7.346592e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.894933e-01,-5.216790e-01,5.192946e-02,3.370752e+00,3.589605e-01,-3.014674e+00,2.715924e+00,1.785874e+00,-1.234064e+01,-2.443656e+01,-3.052996e+01,-3.094873e+01,-3.156387e+01,-3.208450e+01,-2.981977e+01,-2.636525e+01,-1.545939e+01,-6.986123e+00,-7.386588e+00,-1.099687e+01,-6.883117e+00,4.550977e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.013093e-01,1.206598e+00,3.953103e+00,3.021078e+00,2.522121e+00,3.978524e+00,4.451783e+00,7.334915e-02,-1.915973e+01,-3.747189e+01,-3.442440e+01,-3.066161e+01,-2.952926e+01,-3.378392e+01,-3.260077e+01,-3.098095e+01,-2.988120e+01,-1.977428e+01,-1.401144e+01,-1.333109e+01,-6.159053e+00,1.601587e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.387107e-01,5.146852e-01,6.288603e-01,5.112050e-01,5.082139e+00,6.174304e+00,5.713268e+00,4.859354e+00,-1.072460e+01,-2.055826e+01,-2.419555e+01,-1.787059e+01,-1.381763e+01,-1.645760e+01,-1.496671e+01,-1.136016e+01,-1.458024e+01,-2.510669e+01,-2.049650e+01,-1.308581e+01,-4.082616e+00,-1.401917e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
