Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28
-4.750897e+02,-4.559172e+02,-4.338629e+02,-3.682886e+02,-3.282800e+02,-3.284118e+02,-3.053974e+02,-1.572951e+02,-1.026933e+02,-8.666272e+01,-6.886875e+01,-7.763004e+01,-9.413704e+01,-6.903259e+01,-7.523508e+01,-1.054039e+02,-1.479593e+02,-2.114649e+02,-3.001997e+02,-3.900454e+02,-4.467695e+02,-4.607975e+02,-4.651593e+02,-4.667397e+02,-4.637869e+02,-4.664844e+02,-4.700033e+02,-4.713955e+02
6.062534e+01,7.599088e+01,9.985674e+01,1.363083e+02,1.520393e+02,1.554323e+02,1.741934e+02,1.459531e+02,1.076179e+02,7.344569e+01,6.236685e+01,5.809744e+01,7.135638e+01,8.539742e+01,9.963943e+01,1.133141e+02,1.338154e+02,1.589107e+02,1.545425e+02,1.228227e+02,7.746300e+01,6.791003e+01,6.481938e+01,6.438602e+01,6.772125e+01,6.650375e+01,6.214513e+01,6.374971e+01
2.053467e+01,1.889812e+01,3.382487e+01,3.029345e+01,2.122940e+01,2.332642e+01,2.024019e+01,-1.397349e+00,-1.617894e+00,-6.815727e+00,-1.351070e+01,-1.392675e+01,-1.604687e+01,-3.360539e+01,-4.207743e+01,-3.503631e+01,-2.016623e+01,-1.460418e+01,1.209177e+00,4.699377e+00,5.929136e+00,9.735798e+00,9.336233e+00,1.142750e+01,1.428738e+01,1.791699e+01,1.534056e+01,2.024576e+01
1.844735e-01,-2.455904e+00,9.103489e+00,1.284806e+01,1.815207e+01,1.786544e+01,-3.343905e+00,-1.957531e+01,-2.944312e+01,-2.651019e+01,-2.748764e+01,-2.600733e+01,-1.800690e+01,-2.320090e+01,-3.472781e+01,-3.903867e+01,-3.857130e+01,-3.459403e+01,-2.687196e+01,-1.991084e+01,-1.070252e+01,-7.855219e+00,-1.132946e+01,-9.734437e+00,-6.919928e+00,-1.557359e+00,-1.603177e+00,-9.585465e-01
4.181860e+00,7.366174e+00,1.528363e+01,-3.433337e+00,-7.950200e+00,-2.570130e-01,3.868652e+00,-2.018796e+01,-1.896961e+01,-2.074984e+01,-2.182437e+01,-1.955599e+01,-1.718427e+01,-1.890580e+01,-2.268368e+01,-2.045814e+01,-1.629345e+01,-9.032019e+00,2.493020e+00,1.024141e+01,8.402149e+00,7.712634e+00,3.179588e+00,3.620704e+00,2.413094e+00,4.824128e+00,6.267653e+00,2.074323e+00
1.270873e+01,1.452141e+01,2.366569e+01,2.309819e+01,1.733372e+01,1.918764e+01,2.736465e+01,5.660868e+01,5.164136e+01,4.157538e+01,3.846299e+01,4.140661e+01,4.463623e+01,4.612341e+01,4.190648e+01,3.640957e+01,3.324036e+01,3.422659e+01,2.520906e+01,1.038052e+01,9.264858e+00,1.269554e+01,1.414161e+01,1.662144e+01,9.423387e+00,7.645155e+00,7.634210e+00,4.950941e+00
1.379118e+01,1.244444e+01,2.201169e+01,4.294242e+01,4.163452e+01,4.251562e+01,2.148605e+01,-2.679667e+01,-3.439304e+01,-4.506023e+01,-4.645375e+01,-4.321017e+01,-3.749224e+01,-4.226698e+01,-4.561674e+01,-4.324363e+01,-4.327013e+01,-4.332940e+01,-2.985831e+01,-1.132873e+01,-4.500787e+00,3.001101e+00,9.611930e+00,1.404845e+01,7.017886e+00,3.246880e+00,1.166990e+00,1.186211e+00
9.785881e+00,1.086305e+01,1.077750e+01,1.439140e+01,1.085860e+01,1.514700e+01,6.369114e+00,1.101027e+01,1.322067e+01,1.415368e+01,1.953175e+01,2.188622e+01,2.242812e+01,1.905080e+01,1.328161e+01,1.001835e+01,8.134625e+00,2.907952e+00,-5.612788e+00,-8.304260e+00,-4.449318e+00,1.095200e+00,6.528963e+00,9.154915e+00,6.911242e+00,3.262156e+00,2.946165e+00,1.706418e+00
6.299398e+00,1.034953e+01,4.069988e-01,5.018919e+00,1.309968e+01,1.217081e+01,1.926520e+00,-4.227146e+00,-1.767846e+00,9.389013e+00,1.499227e+01,6.128202e+00,3.596557e+00,8.194136e+00,9.637822e+00,5.532421e+00,-2.451395e+00,-7.391381e+00,-9.123507e+00,3.939829e+00,5.335642e+00,6.267893e+00,8.563610e+00,9.732168e+00,8.359230e+00,6.107172e+00,9.627167e+00,6.589196e+00
3.743172e+00,6.050644e+00,-1.022582e+01,-1.212248e+01,-5.891048e-01,4.915720e+00,1.316170e+01,2.287499e+01,2.619409e+01,1.973791e+01,1.422186e+01,1.370271e+01,1.076783e+01,1.148622e+01,1.282636e+01,1.264395e+01,1.025286e+01,4.173113e+00,2.828576e+00,4.897872e+00,4.587734e+00,3.557413e+00,3.492983e+00,6.406272e+00,3.673035e+00,4.578522e+00,7.523801e+00,5.375889e+00
