Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26
-4.833325e+02,-4.630014e+02,-4.652323e+02,-4.616937e+02,-4.619034e+02,-4.539492e+02,-4.106085e+02,-2.192995e+02,-1.148481e+02,-7.900971e+01,-8.401118e+01,-1.030070e+02,-1.000031e+02,-1.018202e+02,-1.364029e+02,-1.824979e+02,-2.507097e+02,-3.372160e+02,-4.040176e+02,-4.455473e+02,-4.614760e+02,-4.617367e+02,-4.578249e+02,-4.600369e+02,-4.610202e+02,-4.711331e+02
7.337103e+01,8.580215e+01,8.508829e+01,8.876256e+01,8.799588e+01,9.679820e+01,1.314543e+02,1.212642e+02,9.220132e+01,6.102337e+01,5.044826e+01,5.603879e+01,6.387547e+01,7.450503e+01,1.001135e+02,1.287022e+02,1.399797e+02,1.449323e+02,1.260105e+02,9.921706e+01,8.559615e+01,8.773550e+01,8.850981e+01,8.553368e+01,8.538103e+01,7.952500e+01
1.787011e+01,1.023988e+01,1.305421e+01,1.477357e+01,1.373424e+01,1.873957e+01,2.784793e+01,3.337096e+01,1.553168e+01,3.186386e+00,2.439246e+00,5.494945e+00,3.518706e+00,-9.720241e+00,-1.622302e+01,-1.670800e+01,-1.522904e+01,-8.735047e+00,-2.222928e+00,7.908797e+00,1.271383e+01,1.376464e+01,8.075901e+00,6.673036e+00,9.062165e+00,1.367961e+01
-3.253018e-01,-3.836284e+00,-1.125105e+00,-6.847497e-01,2.113626e-01,5.379406e+00,1.289591e+01,-1.297598e+01,-3.088346e+01,-3.767590e+01,-3.261965e+01,-2.415469e+01,-2.170309e+01,-2.062106e+01,-1.922200e+01,-2.272745e+01,-2.527805e+01,-2.100914e+01,-2.065044e+01,-9.647675e+00,2.905845e+00,-1.216035e+00,-3.839750e+00,-3.085751e+00,6.599146e-02,2.274283e+00
1.367340e+01,1.688743e+01,1.730976e+01,1.641740e+01,2.080432e+01,2.812870e+01,2.895406e+01,-2.873571e+01,-4.062102e+01,-3.968120e+01,-2.697647e+01,-1.946270e+01,-2.815802e+01,-3.229488e+01,-2.853437e+01,-1.863939e+01,-1.045282e+01,1.015211e+00,7.054201e+00,1.245225e+01,1.463089e+01,1.333511e+01,1.865268e+01,1.902473e+01,1.919558e+01,1.751954e+01
2.126837e+01,1.847134e+01,1.767425e+01,1.707303e+01,2.210876e+01,2.726368e+01,2.650289e+01,6.005293e+01,6.930727e+01,7.474535e+01,7.583237e+01,7.090611e+01,7.716144e+01,7.582284e+01,7.805059e+01,6.905708e+01,5.156294e+01,2.400197e+01,1.563256e+01,1.649425e+01,9.397348e+00,1.289835e+01,1.790224e+01,1.678804e+01,1.445664e+01,1.603184e+01
1.447191e+01,9.586156e+00,9.424886e+00,1.082399e+01,1.143089e+01,1.095566e+01,1.044963e+01,-3.216388e+01,-4.577226e+01,-4.913255e+01,-5.269404e+01,-4.459536e+01,-4.574424e+01,-5.051899e+01,-4.822255e+01,-4.562978e+01,-3.149487e+01,-8.852078e+00,8.603350e+00,8.895801e+00,5.662314e+00,7.404500e+00,6.344928e+00,5.925394e+00,7.540146e+00,9.654230e+00
7.045604e+00,7.079399e+00,9.466980e+00,1.155505e+01,7.231890e+00,3.332563e+00,-1.509565e+00,9.895468e-02,1.139790e+01,2.236348e+01,2.660242e+01,3.188649e+01,3.653447e+01,3.193707e+01,3.143450e+01,2.276526e+01,1.101248e+01,3.845411e+00,1.764931e+00,4.652575e+00,5.555262e+00,4.701038e+00,2.723557e+00,3.688315e+00,1.063515e+01,9.952477e+00
2.467789e+00,2.578608e+00,7.287070e+00,8.681917e+00,4.004933e+00,-9.916989e-01,-6.356917e+00,-2.124764e+01,-2.151032e+01,-1.271739e+01,-8.537608e+00,-8.931068e+00,-7.211838e+00,-9.791811e+00,-8.700096e+00,-3.200238e+00,-6.298867e-01,9.129754e-01,9.811468e-01,5.114223e+00,4.357719e+00,1.099791e+00,5.465527e-01,1.685612e+00,5.751005e+00,6.849059e+00
-1.245391e+00,-1.230860e+00,1.956858e+00,1.992420e+00,1.328405e-01,-6.454619e+00,-5.471005e+00,7.976044e+00,1.750958e+01,2.491583e+01,2.289816e+01,1.757370e+01,1.403436e+01,1.291378e+01,1.509996e+01,1.445550e+01,7.755401e+00,3.729273e+00,3.067522e+00,7.517608e+00,7.410896e+00,3.101040e+00,9.156386e-01,2.841577e+00,7.834842e-01,1.617887e+00
