Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41,Coeff 42
-4.743976e+02,-4.622516e+02,-4.662199e+02,-4.725616e+02,-4.770695e+02,-4.794669e+02,-4.710558e+02,-4.652233e+02,-4.552678e+02,-4.347039e+02,-3.387970e+02,-2.048427e+02,-1.593764e+02,-1.657759e+02,-1.719832e+02,-1.619059e+02,-1.615240e+02,-1.524216e+02,-1.322636e+02,-1.111715e+02,-9.567324e+01,-8.768277e+01,-9.171165e+01,-9.068812e+01,-8.419915e+01,-7.600411e+01,-8.922291e+01,-1.353565e+02,-2.058174e+02,-2.699954e+02,-3.468706e+02,-4.074069e+02,-4.488904e+02,-4.779002e+02,-4.869401e+02,-4.831108e+02,-4.758503e+02,-4.743158e+02,-4.724462e+02,-4.701770e+02,-4.755518e+02,-4.803105e+02
3.686172e+01,4.410493e+01,4.510262e+01,4.518664e+01,4.347283e+01,4.383353e+01,5.446752e+01,6.025076e+01,6.456044e+01,7.945336e+01,1.553544e+02,1.680276e+02,1.497349e+02,1.204528e+02,1.098774e+02,1.081919e+02,1.113270e+02,1.123838e+02,1.092124e+02,1.069686e+02,1.054794e+02,1.076635e+02,1.012381e+02,9.238297e+01,9.331825e+01,1.027043e+02,1.202189e+02,1.255618e+02,1.234159e+02,1.300912e+02,1.190648e+02,8.883438e+01,5.652473e+01,3.791673e+01,3.536110e+01,4.118074e+01,4.480297e+01,4.295714e+01,4.534889e+01,4.667594e+01,4.314471e+01,4.046190e+01
-1.654077e+00,-1.662492e+00,5.218825e+00,1.159139e+01,1.264840e+01,1.713374e+01,2.472323e+01,2.565910e+01,1.687869e+01,1.456213e+01,1.001683e+01,-2.783511e+01,-4.198309e+01,-4.867861e+01,-5.017314e+01,-4.927585e+01,-5.159515e+01,-5.610309e+01,-6.723762e+01,-8.582909e+01,-9.202909e+01,-8.378931e+01,-8.699382e+01,-9.506366e+01,-1.085439e+02,-1.301083e+02,-1.391640e+02,-1.234637e+02,-8.839233e+01,-6.368843e+01,-3.158793e+01,-1.758728e+01,-1.188403e+01,2.211922e+00,1.406586e+01,1.979570e+01,1.415616e+01,7.090037e+00,6.001130e+00,4.007075e+00,5.337934e+00,7.924435e+00
-8.992968e+00,-3.904861e+00,-5.982246e-01,9.840742e-01,1.058704e+00,3.771327e+00,8.527010e+00,6.574978e+00,6.512953e-01,-2.883670e+00,-2.302055e+01,-2.542017e+01,-2.506842e+01,-2.169209e+01,-2.023408e+01,-2.315089e+01,-2.105239e+01,-1.929837e+01,-1.580688e+01,-1.492269e+01,-1.440526e+01,-1.537107e+01,-1.281071e+01,-8.696345e+00,-6.650319e+00,-1.831441e+01,-2.995900e+01,-2.310496e+01,-2.029936e+01,-2.817245e+01,-3.387452e+01,-2.974747e+01,-1.931631e+01,-3.496243e+00,6.321120e+00,9.291384e+00,4.985004e+00,3.307825e-01,-4.311548e+00,-8.384830e+00,-9.709713e+00,-9.342444e+00
-2.334572e+00,1.431450e+00,-1.313327e-01,6.600345e-01,5.339718e+00,6.877284e+00,1.023945e+01,8.441642e+00,1.251515e+01,1.127415e+01,-4.806205e+00,-2.183834e+01,-2.868978e+01,-2.294646e+01,-2.255992e+01,-2.249231e+01,-1.127509e+01,-3.615771e+00,-7.034708e+00,-1.272777e+01,-1.605853e+01,-1.846190e+01,-1.619644e+01,-8.380795e+00,-2.703617e+00,-8.656969e+00,-1.130494e+01,-5.122538e+00,-2.727093e+00,3.916760e+00,1.115979e+01,1.132606e+01,1.353403e+01,1.276163e+01,1.164590e+01,9.918888e+00,1.368724e+01,1.657198e+01,1.664644e+01,1.413649e+01,6.508799e+00,7.330117e-01
7.749390e+00,8.456422e+00,4.041759e+00,3.133543e+00,8.304344e+00,1.190553e+01,1.369624e+01,1.318531e+01,1.967080e+01,2.258874e+01,-2.468861e+00,1.605305e+00,1.138307e+01,2.895395e+01,3.015849e+01,3.262000e+01,3.236456e+01,3.986659e+01,4.858174e+01,4.932465e+01,5.016541e+01,4.638171e+01,4.954121e+01,5.396186e+01,4.679161e+01,4.227835e+01,4.079317e+01,4.426987e+01,4.179996e+01,3.172713e+01,2.234650e+01,2.213012e+01,2.705747e+01,1.964434e+01,1.552051e+01,1.130878e+01,1.941032e+01,2.525150e+01,3.338138e+01,3.589266e+01,2.880490e+01,2.245892e+01
1.361539e+01,1.269592e+01,1.132204e+01,1.066406e+01,1.015262e+01,1.142375e+01,9.663623e+00,1.029824e+01,1.543777e+01,2.271504e+01,-1.648616e+01,-3.753258e+01,-3.696706e+01,-1.491446e+01,-9.725399e+00,-1.503747e+01,-1.518555e+01,-1.376774e+01,-1.841998e+01,-1.571616e+01,-1.148845e+01,-1.615305e+01,-1.879305e+01,-1.289310e+01,-1.157740e+01,-1.438391e+01,-1.360522e+01,-1.119720e+01,-6.970976e+00,-2.158396e+00,-1.167628e+00,9.510939e+00,1.665089e+01,1.436155e+01,1.313961e+01,1.066715e+01,1.600507e+01,1.598536e+01,2.444186e+01,2.963548e+01,3.316222e+01,3.295975e+01
1.462579e+01,9.904656e+00,1.299650e+01,1.729881e+01,1.506803e+01,1.015527e+01,4.556757e+00,5.602570e+00,1.111900e+01,1.973639e+01,-8.713713e+00,-9.595407e+00,4.011497e+00,2.433046e+01,2.647483e+01,2.784930e+01,2.578984e+01,2.658120e+01,3.138756e+01,3.534713e+01,3.658615e+01,3.965043e+01,3.258055e+01,2.885831e+01,2.961807e+01,2.375765e+01,1.861435e+01,1.258165e+01,7.341819e+00,6.157148e-01,4.806088e+00,7.209666e+00,1.002543e+01,9.569765e+00,8.301036e+00,8.335581e+00,7.996581e+00,1.372863e+00,3.097314e+00,7.988692e+00,1.951965e+01,2.394480e+01
1.393113e+01,1.260074e+01,1.532220e+01,1.793036e+01,1.711467e+01,1.214451e+01,4.927236e+00,3.910423e+00,5.329124e+00,1.313881e+01,1.278211e+01,1.731899e+01,1.831679e+01,2.550603e+01,2.473324e+01,2.154760e+01,1.606161e+01,1.076358e+01,1.030221e+01,7.449017e+00,4.478385e+00,5.329598e+00,-3.134923e+00,-7.858163e+00,-7.524796e+00,-1.161961e+01,-1.337927e+01,-1.162037e+01,-7.793701e+00,-1.208634e+01,-5.793497e+00,3.629413e+00,6.944318e+00,3.903166e+00,2.327639e+00,2.224774e+00,-4.542383e-01,-5.750843e+00,-8.103343e+00,-4.167448e+00,2.323898e+00,4.789627e+00
4.429426e+00,7.657564e+00,1.058166e+01,1.185032e+01,1.370904e+01,1.435483e+01,7.001031e+00,1.455086e+00,-4.891449e+00,-5.451704e+00,1.269859e+00,4.699739e+00,3.333045e+00,-4.234432e+00,-1.035477e+01,-1.139931e+01,-9.110880e+00,-9.088385e+00,-1.283739e+01,-1.327962e+01,-1.226840e+01,-3.772866e+00,-6.665346e+00,-1.146934e+01,-1.338850e+01,-2.087123e+01,-2.839943e+01,-3.699207e+01,-3.631932e+01,-4.235476e+01,-3.342088e+01,-1.165916e+01,-5.290227e+00,-3.736338e+00,-2.625617e+00,-3.995960e+00,-3.269630e+00,-2.928188e+00,-3.284351e+00,-3.055391e+00,-6.890456e+00,-9.059395e+00
