Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34
-5.035051e+02,-5.035051e+02,-5.035051e+02,-5.035051e+02,-4.855739e+02,-4.459237e+02,-4.258322e+02,-4.376049e+02,-4.483773e+02,-2.460577e+02,-1.640496e+02,-1.616987e+02,-1.703571e+02,-1.542413e+02,-1.679510e+02,-2.164263e+02,-2.831759e+02,-3.409722e+02,-3.713253e+02,-3.958492e+02,-4.282314e+02,-4.615410e+02,-4.893553e+02,-5.035051e+02,-5.035051e+02,-5.035051e+02,-5.035051e+02,-5.035051e+02,-5.035051e+02,-5.035051e+02,-5.035051e+02,-5.035051e+02,-5.035051e+02,-5.035051e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.443266e+01,7.477011e+01,9.722057e+01,8.527938e+01,7.311673e+01,1.740694e+02,1.806216e+02,1.611681e+02,1.566989e+02,1.779332e+02,1.921065e+02,1.967920e+02,1.933503e+02,1.675777e+02,1.432672e+02,1.199150e+02,8.980994e+01,5.542313e+01,1.936907e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.176323e+01,5.784068e+01,6.662136e+01,6.511934e+01,5.993375e+01,-1.317955e+01,-3.980573e+01,-4.972625e+01,-5.064190e+01,-5.332416e+01,-4.033838e+01,-1.490525e+01,2.266265e+01,4.268020e+01,4.777369e+01,4.862833e+01,5.111578e+01,4.477606e+01,1.752098e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.765897e+01,3.773931e+01,3.431438e+01,4.116072e+01,4.187647e+01,-1.056000e+01,-6.510622e+00,-9.670074e+00,-1.411005e+01,-2.973070e+01,-4.337956e+01,-5.423990e+01,-5.932677e+01,-4.566212e+01,-2.816710e+01,-9.656562e+00,1.420962e+01,3.027472e+01,1.468568e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.258384e+01,2.096168e+01,1.358415e+01,2.141572e+01,2.309792e+01,-1.883728e+01,-4.992598e+01,-6.762556e+01,-7.836301e+01,-8.921632e+01,-9.388712e+01,-9.164487e+01,-7.335413e+01,-5.993583e+01,-4.406635e+01,-2.491025e+01,-4.286703e+00,1.534958e+01,1.118930e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.089835e+00,9.714479e+00,6.294988e+00,9.059978e+00,6.999902e+00,3.095524e+00,9.761970e+00,8.034708e+00,7.966027e-02,-6.141447e+00,-8.476938e+00,-1.513373e+01,-1.576777e+01,-2.455945e+01,-1.850916e+01,-9.853647e+00,-5.789453e+00,2.792437e+00,7.413916e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.738584e+00,1.794638e+00,4.350548e+00,1.886602e+00,-4.629354e+00,6.600063e-01,-5.317248e-01,-2.975798e+00,3.189628e+00,7.152719e+00,9.796394e+00,1.423647e+01,5.922908e+00,3.179096e+00,3.472401e+00,3.144818e+00,-3.066434e+00,-5.898706e+00,3.739406e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.975932e+00,-6.249040e+00,-1.365480e+00,-4.453374e+00,-1.169829e+01,-3.471621e+01,-3.773722e+01,-3.455970e+01,-2.900860e+01,-2.977516e+01,-2.910974e+01,-3.037904e+01,-1.765879e+01,-2.875930e+00,-4.440270e-01,-2.183414e+00,-5.468019e+00,-1.052184e+01,4.887251e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-6.691233e+00,-1.549730e+01,-1.292890e+01,-1.230514e+01,-1.525966e+01,-3.140194e+01,-2.664978e+01,-2.534681e+01,-2.265640e+01,-1.979906e+01,-1.486607e+01,-1.668063e+01,-1.443328e+01,-1.615119e+01,-1.689660e+01,-1.607613e+01,-1.168489e+01,-1.178755e+01,-2.114295e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-9.217377e+00,-2.356038e+01,-2.472214e+01,-2.023758e+01,-1.670266e+01,-1.142365e+01,-1.973216e+01,-2.448232e+01,-2.543333e+01,-2.643091e+01,-3.011593e+01,-2.609074e+01,-2.047373e+01,-1.978061e+01,-2.331946e+01,-2.184603e+01,-1.511770e+01,-1.087072e+01,-3.967828e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.054919e+01,-2.672161e+01,-2.953549e+01,-2.474364e+01,-1.710096e+01,5.564705e+00,1.381146e+01,1.171052e+01,1.074067e+01,3.805774e+00,-7.875925e+00,-1.838760e+01,-2.162714e+01,-1.478409e+01,-1.526434e+01,-1.604311e+01,-1.309945e+01,-9.036626e+00,-5.092873e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.084915e+01,-2.333951e+01,-2.515367e+01,-2.364664e+01,-1.695720e+01,-1.082684e+01,-1.069238e+01,-8.092926e+00,-1.645628e+00,2.258183e+00,4.291670e+00,5.058707e+00,-1.148565e+00,-1.450138e+00,-5.674416e+00,-8.072641e+00,-9.206338e+00,-7.327816e+00,-5.613342e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.040464e+01,-1.558287e+01,-1.577662e+01,-1.822107e+01,-1.635059e+01,-1.442326e+01,-1.127120e+01,-4.345774e+00,-6.417708e-01,4.318713e+00,3.438525e+00,2.262673e+00,4.363078e+00,2.094073e+00,-5.421729e+00,-6.009013e+00,-7.834681e+00,-6.319677e+00,-5.720596e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
