Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31
-5.217065e+02,-5.217065e+02,-5.217065e+02,-5.217065e+02,-5.217065e+02,-5.127522e+02,-4.775644e+02,-4.523186e+02,-4.495300e+02,-4.608943e+02,-2.971472e+02,-1.851844e+02,-1.609633e+02,-1.834463e+02,-1.708124e+02,-1.474876e+02,-1.617024e+02,-2.178779e+02,-3.045038e+02,-3.554291e+02,-3.828373e+02,-4.129622e+02,-4.508807e+02,-4.931042e+02,-5.213067e+02,-5.217065e+02,-5.217065e+02,-5.217065e+02,-5.217065e+02,-5.217065e+02,-5.217065e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.237216e+01,5.958375e+01,8.867881e+01,8.845240e+01,7.574651e+01,1.629139e+02,1.948369e+02,1.887941e+02,1.585720e+02,1.586814e+02,1.817440e+02,1.946837e+02,1.936617e+02,1.787775e+02,1.636845e+02,1.479550e+02,1.203961e+02,8.250506e+01,3.707467e+01,5.575085e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.151415e+01,5.194609e+01,6.775853e+01,6.066331e+01,5.354367e+01,-1.336024e+01,-4.479227e+01,-5.586893e+01,-6.026502e+01,-6.726189e+01,-6.508304e+01,-4.708184e+01,-2.754593e+01,3.747539e+00,2.613076e+01,4.348666e+01,4.663155e+01,4.275769e+01,2.862322e+01,5.341301e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.013404e+01,4.110171e+01,4.638885e+01,3.775161e+01,3.252884e+01,-1.595750e+01,-1.464281e+01,-1.753730e+01,-1.424483e+01,-1.601995e+01,-3.163875e+01,-3.766593e+01,-4.774635e+01,-5.845715e+01,-5.504719e+01,-3.614153e+01,-1.412595e+01,7.761438e+00,1.868224e+01,4.959055e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.303684e+00,2.813359e+01,2.624259e+01,2.055714e+01,1.534144e+01,-2.320649e+00,-3.857812e+01,-6.189325e+01,-7.145758e+01,-7.382539e+01,-8.890228e+01,-9.591109e+01,-8.410969e+01,-5.909710e+01,-4.957861e+01,-4.815678e+01,-3.101144e+01,-6.645128e+00,9.947186e+00,4.439126e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.117810e+00,1.432000e+01,6.740783e+00,3.392985e+00,7.081555e-01,2.133441e+00,2.136449e+00,2.533798e+00,3.126531e+00,8.469827e+00,6.820312e+00,2.629507e-02,-5.541831e+00,-8.170511e+00,-1.103036e+01,-1.804285e+01,-1.696257e+01,-6.248942e+00,2.879085e+00,3.796317e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.688653e+00,1.752364e+00,-6.367434e+00,-7.874105e+00,-7.034805e+00,-2.079563e+00,4.703067e+00,5.242688e+00,4.314130e+00,4.338692e+00,6.606924e+00,9.534599e+00,1.122779e+01,3.216003e+00,1.285079e+00,2.611137e+00,-4.479323e+00,-6.298939e+00,-3.134170e+00,3.048738e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.139551e+00,-7.970352e+00,-1.007675e+01,-7.857819e+00,-6.304582e+00,-2.205138e+01,-3.141145e+01,-3.722357e+01,-3.795645e+01,-3.952417e+01,-4.054314e+01,-4.336855e+01,-4.441799e+01,-2.889290e+01,-1.558641e+01,-6.088804e+00,-8.640390e+00,-1.293436e+01,-7.880139e+00,2.217561e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.401963e+00,-1.480322e+01,-1.169365e+01,-6.590662e+00,-5.642636e+00,-2.645364e+01,-2.423762e+01,-2.493467e+01,-2.142621e+01,-1.830170e+01,-2.005299e+01,-1.818666e+01,-1.836935e+01,-2.383346e+01,-2.539095e+01,-2.268831e+01,-1.822237e+01,-1.908859e+01,-1.009773e+01,1.326233e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.811269e+00,-1.918860e+01,-1.737592e+01,-1.427065e+01,-1.173975e+01,-1.838761e+01,-2.416361e+01,-2.194423e+01,-2.101221e+01,-2.202201e+01,-2.501392e+01,-2.160734e+01,-2.010467e+01,-1.448545e+01,-1.763678e+01,-2.197044e+01,-1.770510e+01,-1.656497e+01,-9.165010e+00,3.998669e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
