Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22
-5.013556e+02,-4.836430e+02,-4.797151e+02,-4.713498e+02,-4.444943e+02,-2.814960e+02,-1.657781e+02,-1.132997e+02,-9.779246e+01,-8.243733e+01,-9.553369e+01,-1.081078e+02,-1.241438e+02,-1.821147e+02,-2.514540e+02,-3.400926e+02,-4.060974e+02,-4.553109e+02,-4.750452e+02,-4.881577e+02,-4.936829e+02,-4.914798e+02
4.515750e+01,6.267893e+01,6.890291e+01,8.012706e+01,1.029905e+02,1.456341e+02,1.481121e+02,1.243929e+02,8.918452e+01,6.689424e+01,7.166727e+01,9.612743e+01,1.046200e+02,1.192616e+02,1.408813e+02,1.426186e+02,1.220602e+02,9.255586e+01,7.987317e+01,6.953967e+01,6.528465e+01,6.594405e+01
9.066093e+00,1.007002e+01,1.057888e+01,2.307603e+01,3.269220e+01,-9.485235e+00,-3.367325e+01,-4.844633e+01,-4.978970e+01,-5.608386e+01,-6.056714e+01,-5.991604e+01,-5.407825e+01,-3.692733e+01,-1.901956e+01,-7.467560e+00,-4.927471e+00,3.704659e+00,1.115292e+01,1.517117e+01,1.608410e+01,1.346804e+01
7.222522e+00,1.578196e+00,-6.595666e-01,1.383973e+01,3.001000e+01,1.947018e+01,-5.677431e+00,-2.369551e+01,-1.814835e+01,-3.372763e+00,5.345070e-01,-8.659152e+00,-1.314658e+01,-1.446716e+01,-1.695553e+01,-2.012424e+01,-2.551762e+01,-2.070619e+01,-1.064646e+01,6.094435e-01,1.448811e+00,-3.099499e+00
-5.617468e+00,-5.134582e+00,7.473614e-01,1.260366e+01,2.808350e+01,1.363310e+01,-3.612263e+00,-1.205205e+01,-2.414142e+01,-3.810892e+01,-4.117229e+01,-3.981269e+01,-3.708002e+01,-3.553989e+01,-3.334058e+01,-2.191652e+01,-4.148264e+00,-4.773232e-02,7.337112e+00,1.465377e+01,1.283847e+01,7.845627e+00
7.368204e+00,7.671659e+00,8.461762e+00,1.477495e+01,2.359035e+01,1.535966e+01,2.425681e+01,2.973471e+01,3.786010e+01,5.416209e+01,6.527777e+01,7.035719e+01,6.898363e+01,6.354430e+01,4.458399e+01,1.875953e+01,1.531370e+01,1.603445e+01,2.055021e+01,1.674310e+01,1.518142e+01,1.329607e+01
1.773477e+01,1.511975e+01,9.413956e+00,9.986818e+00,1.593736e+01,-1.549006e+01,-3.110778e+01,-4.110850e+01,-4.928049e+01,-5.308661e+01,-5.346318e+01,-5.103438e+01,-4.464827e+01,-4.010872e+01,-2.684798e+01,-5.808606e+00,7.329943e+00,1.390134e+01,1.525526e+01,7.172958e+00,7.936388e+00,7.309336e+00
-2.278230e+00,-3.554312e+00,-9.195069e-01,-3.012360e+00,-1.705542e-01,-1.621042e+00,-4.444629e+00,6.006640e+00,1.575605e+01,2.520233e+01,2.450601e+01,1.649200e+01,1.700305e+01,1.037748e+01,-4.895889e+00,-1.482669e+01,-7.371093e+00,6.853144e+00,8.250820e+00,4.789000e+00,6.898013e+00,5.014109e+00
9.378544e+00,5.705748e+00,5.071046e+00,3.432202e+00,5.615393e+00,1.836602e+00,4.069017e+00,1.222719e+01,1.424512e+01,1.137022e+01,5.802649e+00,4.861235e+00,8.688368e+00,1.092366e+01,9.085094e+00,6.851061e+00,2.386191e+00,8.040509e+00,8.315525e+00,5.912956e+00,8.731764e+00,9.183741e+00
1.699860e+01,1.460136e+01,9.705055e+00,3.081542e+00,1.561970e+00,3.396534e+00,8.209927e+00,8.564232e+00,-7.100358e-01,-7.590230e+00,-4.705460e+00,-3.940748e+00,-4.428039e+00,-4.907818e+00,2.614646e-01,9.989790e+00,6.054191e+00,5.977831e+00,4.725190e+00,1.372384e+00,4.755870e+00,6.295231e+00
-4.728539e+00,-5.557153e+00,-3.312793e+00,-1.548054e+01,-2.072318e+01,-2.024613e+01,-1.935219e+01,-2.407390e+01,-2.981713e+01,-2.717862e+01,-1.840343e+01,-4.346653e+00,-1.462599e+00,-4.399231e+00,-1.075679e+00,1.772563e+00,-1.802916e+00,-3.711045e+00,-4.035412e+00,-4.286087e+00,-1.847355e+00,-2.184781e+00
9.927984e-01,-4.892893e+00,-5.494326e+00,-1.486894e+01,-1.552754e+01,-1.150567e+01,-1.003956e+01,-5.239943e+00,-6.494202e+00,-6.232666e+00,-2.691137e+00,2.257674e+00,2.149295e+00,-6.197574e+00,-1.362223e+01,-8.639041e+00,-4.911686e+00,-8.363234e+00,-9.178613e+00,-6.876439e+00,-6.303154e+00,-5.070764e+00
2.349254e+00,2.334512e-01,-1.215227e+00,-9.762335e+00,-1.119321e+01,-2.325249e+01,-3.131266e+01,-3.592097e+01,-3.816521e+01,-3.742529e+01,-3.548141e+01,-2.803202e+01,-2.515119e+01,-1.679566e+01,-6.162896e+00,-1.107647e-01,-2.068535e+00,-8.051698e+00,-8.891240e+00,-6.817789e+00,-6.766963e+00,-3.900838e+00
