Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27
-5.055274e+02,-4.900869e+02,-4.908790e+02,-4.881179e+02,-4.892553e+02,-4.864223e+02,-4.787682e+02,-4.411930e+02,-2.697768e+02,-1.556254e+02,-1.136452e+02,-9.648198e+01,-6.895425e+01,-6.825448e+01,-1.013240e+02,-1.614447e+02,-2.097673e+02,-2.896234e+02,-3.702577e+02,-4.260407e+02,-4.703455e+02,-4.879127e+02,-4.958030e+02,-5.000245e+02,-5.008909e+02,-4.995759e+02,-5.039629e+02
3.502600e+01,5.124772e+01,5.647813e+01,5.354177e+01,4.948878e+01,4.747053e+01,5.716029e+01,8.609530e+01,1.265623e+02,1.304805e+02,1.230209e+02,8.505730e+01,7.121382e+01,8.315755e+01,1.042218e+02,1.198187e+02,1.304886e+02,1.373803e+02,1.309300e+02,1.049713e+02,7.409267e+01,6.369772e+01,6.181995e+01,5.934956e+01,5.878636e+01,6.055452e+01,5.625545e+01
8.509569e+00,8.813644e+00,1.108004e+01,1.101893e+01,1.382139e+01,9.444167e+00,1.513087e+01,2.384221e+01,-2.784688e+01,-4.475175e+01,-4.755902e+01,-5.565884e+01,-7.184673e+01,-7.475146e+01,-6.842793e+01,-5.944342e+01,-4.666403e+01,-2.757621e+01,-1.453975e+01,-3.807015e+00,5.452678e+00,9.890368e+00,1.471465e+01,1.637155e+01,1.496072e+01,1.538034e+01,1.478196e+01
2.050117e+01,1.340718e+01,4.884841e+00,1.089144e+01,1.866820e+01,2.036605e+01,2.491522e+01,4.533590e+01,3.904386e+01,-2.940124e+00,-3.626644e+01,-2.570063e+01,-1.995573e+01,-2.824157e+01,-2.887965e+01,-2.969220e+01,-3.099680e+01,-2.678993e+01,-2.579930e+01,-2.229205e+01,-9.486105e+00,-5.327876e+00,-2.761827e+00,-7.596129e-01,-3.304259e+00,-5.379644e+00,-3.897469e+00
-5.786304e+00,-1.947464e+00,-1.322292e+00,-5.536819e+00,-1.116795e+01,-7.634067e+00,-1.383658e+00,2.103387e+01,3.051307e+00,-1.937848e+01,-2.397081e+01,-2.826292e+01,-3.363102e+01,-3.984686e+01,-3.926274e+01,-3.836873e+01,-2.982907e+01,-2.319142e+01,-1.816404e+01,-1.200737e+01,-5.271497e+00,-3.463436e-01,4.556169e+00,7.078860e+00,6.548382e+00,4.056370e+00,5.332178e+00
-3.917214e+00,3.132914e+00,1.085751e+01,5.327518e+00,-1.677633e+00,3.351111e+00,7.742379e+00,2.474502e+01,2.069951e+01,3.327415e+01,4.827892e+01,5.974839e+01,6.439523e+01,6.974019e+01,7.668460e+01,6.477895e+01,5.487223e+01,3.815222e+01,8.438379e+00,7.504202e+00,1.167679e+01,1.150263e+01,1.157025e+01,1.353609e+01,1.432272e+01,1.450173e+01,1.547921e+01
2.075481e+01,1.942469e+01,2.020396e+01,1.656053e+01,1.842746e+01,2.081939e+01,2.265100e+01,3.688279e+01,4.564905e-02,-2.073336e+01,-3.684115e+01,-4.524003e+01,-5.607500e+01,-5.530245e+01,-4.879195e+01,-4.310625e+01,-4.213351e+01,-2.248905e+01,1.371075e+00,1.267786e+01,1.659019e+01,1.251806e+01,7.771760e+00,6.464590e+00,7.036664e+00,9.702070e+00,1.178616e+01
-1.121557e-01,-2.613525e+00,-2.798442e-01,-4.239085e+00,-4.197200e+00,-9.485146e+00,-1.325810e+01,-7.462048e+00,-2.163045e+01,-1.740520e+01,-1.028957e+01,6.674470e+00,1.595333e+01,1.907467e+01,1.618697e+01,1.221892e+01,5.933362e+00,-2.926717e+00,-8.659046e+00,-3.363824e+00,-1.618780e+00,1.461164e+00,2.556590e+00,-6.109799e-01,-1.005896e+00,2.242311e+00,5.382090e+00
8.577998e-01,-2.007846e+00,1.158949e+00,3.606119e+00,6.299056e+00,3.978452e+00,-5.395906e+00,-4.369302e+00,9.696228e+00,6.491846e+00,9.198469e+00,1.055613e+01,1.428008e+01,1.643674e+01,1.109406e+01,1.466960e+01,2.101681e+01,1.668061e+01,9.440231e+00,8.628471e+00,3.240645e+00,5.094351e+00,6.213208e+00,3.848987e+00,9.412965e-01,4.616413e+00,6.396263e+00
2.052711e+01,1.421847e+01,1.016522e+01,9.961004e+00,1.797591e+01,2.135485e+01,1.207746e+01,1.220381e+01,-4.491622e+00,3.293274e+00,4.551453e+00,-2.036318e+00,-1.602110e+00,-9.361334e-01,-1.309571e+00,-9.380558e-01,-1.132737e+00,1.385951e-02,7.589365e+00,1.425039e+01,7.581038e+00,5.805006e+00,6.836073e+00,6.433125e+00,5.529212e+00,9.287971e+00,7.888900e+00
