Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38
-5.077081e+02,-4.845545e+02,-4.826811e+02,-4.805026e+02,-4.761428e+02,-4.755938e+02,-3.565457e+02,-2.289471e+02,-1.667813e+02,-1.424237e+02,-1.213350e+02,-1.179875e+02,-1.239632e+02,-1.256227e+02,-1.295681e+02,-1.283696e+02,-1.208378e+02,-1.193701e+02,-1.127473e+02,-1.035627e+02,-8.364107e+01,-5.523935e+01,-4.025560e+01,-4.732495e+01,-7.498180e+01,-1.369058e+02,-2.370102e+02,-3.217141e+02,-4.042106e+02,-4.663786e+02,-4.820175e+02,-4.768230e+02,-4.761214e+02,-4.828329e+02,-4.846063e+02,-4.804068e+02,-4.859261e+02,-4.885338e+02
7.096068e+01,8.622533e+01,8.677478e+01,9.211902e+01,9.704858e+01,9.541972e+01,1.100427e+02,1.019911e+02,1.028841e+02,9.999638e+01,8.282359e+01,7.713116e+01,6.768405e+01,6.536698e+01,6.309741e+01,6.133685e+01,5.750038e+01,5.126614e+01,5.400816e+01,5.540819e+01,4.900818e+01,5.139129e+01,5.103863e+01,6.306782e+01,9.610536e+01,1.150204e+02,1.239694e+02,1.231773e+02,1.240896e+02,9.492065e+01,8.719802e+01,9.239073e+01,9.460741e+01,8.918576e+01,8.742889e+01,8.832576e+01,8.487936e+01,8.293216e+01
2.639569e+01,2.052571e+01,1.975582e+01,2.694018e+01,2.915683e+01,2.453962e+01,3.493450e+01,2.363053e+01,1.645092e+01,5.126644e+00,2.150202e+00,1.061631e+01,1.435461e+01,2.159148e+01,1.915147e+01,1.273359e+01,9.789965e+00,5.469894e+00,5.714612e+00,1.461969e+00,-1.184024e+01,-2.787141e+01,-3.705141e+01,-4.782925e+01,-5.551147e+01,-4.447751e+01,-2.235859e+01,-1.201475e+01,-1.374574e+01,6.340862e+00,1.850348e+01,2.254197e+01,2.510179e+01,2.618298e+01,2.367740e+01,1.898047e+01,2.142693e+01,2.365614e+01
4.822197e+00,3.856813e+00,5.123158e+00,9.726268e+00,1.015514e+01,7.037868e+00,4.027962e+01,2.358360e+01,-7.668225e+00,-1.789503e+01,-1.365461e+01,-1.383092e+01,-1.600848e+01,-1.607477e+01,-1.209820e+01,-9.550775e+00,-1.308230e+01,-1.516523e+01,-1.639178e+01,-8.636992e+00,-5.925596e+00,-1.398915e+01,-1.375117e+01,-2.110807e+01,-1.978421e+01,-1.702744e+01,-2.031863e+01,-1.718297e+01,-1.481490e+01,-7.080724e+00,3.368468e+00,8.773620e+00,1.007354e+01,1.091627e+01,7.147663e+00,6.556520e+00,9.198750e+00,1.147946e+01
1.045302e+01,1.740233e+01,1.869175e+01,2.047153e+01,1.984487e+01,2.029446e+01,1.818551e+01,1.810494e+01,1.469445e+01,1.139510e+01,4.864001e+00,6.105494e+00,4.412686e+00,2.863730e+00,5.522597e+00,4.705146e+00,-4.271907e-01,1.947935e+00,7.544053e+00,6.976192e+00,2.739968e+00,1.319768e+00,-3.626477e+00,-3.024762e+00,2.679316e+00,1.412685e+01,1.895627e+01,1.791021e+01,1.985186e+01,1.980946e+01,1.928415e+01,2.391163e+01,2.477940e+01,2.043851e+01,1.930974e+01,2.562449e+01,2.657702e+01,2.320045e+01
1.946110e+01,2.012590e+01,1.870798e+01,1.932203e+01,1.679053e+01,1.795367e+01,1.555497e+01,2.542577e+01,3.404412e+01,3.779646e+01,3.786230e+01,3.681800e+01,3.905111e+01,3.952536e+01,4.194297e+01,4.349718e+01,4.472981e+01,4.446603e+01,4.687607e+01,5.413673e+01,5.853069e+01,6.079732e+01,6.270956e+01,6.557736e+01,6.160027e+01,5.767136e+01,4.038734e+01,2.630834e+01,2.243633e+01,2.222614e+01,2.045572e+01,2.347197e+01,2.354218e+01,1.939943e+01,2.024673e+01,2.659453e+01,2.688529e+01,2.157456e+01
1.887971e+01,1.460924e+01,1.076871e+01,1.103552e+01,8.071319e+00,6.735622e+00,-1.496881e+01,-2.718701e+01,-2.878513e+01,-3.479462e+01,-3.189837e+01,-2.768669e+01,-3.068086e+01,-3.720357e+01,-3.559238e+01,-3.890543e+01,-4.301900e+01,-4.549357e+01,-4.263705e+01,-4.251125e+01,-5.045792e+01,-4.515187e+01,-3.656162e+01,-3.554387e+01,-2.857027e+01,-2.101576e+01,-8.332764e+00,-2.602087e+00,1.125255e+01,1.098909e+01,1.111792e+01,1.147214e+01,1.213566e+01,1.380471e+01,1.266094e+01,1.462463e+01,1.380229e+01,9.232029e+00
1.233549e+01,1.211604e+01,7.761256e+00,8.860235e+00,8.244993e+00,4.601631e+00,-1.329318e+01,-6.754814e+00,5.597309e+00,2.139772e+01,3.314845e+01,3.273763e+01,3.223129e+01,3.499255e+01,3.740200e+01,3.554557e+01,4.179488e+01,4.988155e+01,4.701980e+01,5.098923e+01,5.318717e+01,5.418610e+01,5.718913e+01,4.961279e+01,4.519007e+01,3.713293e+01,2.825888e+01,1.841282e+01,1.046477e+01,1.178257e+01,8.288562e+00,5.828377e+00,8.189926e+00,1.155820e+01,9.200693e+00,9.133348e+00,8.128753e+00,1.483364e+00
6.702152e+00,1.078647e+01,8.518978e+00,7.455273e+00,9.377097e+00,6.634462e+00,-7.204024e+00,-5.353699e+00,-1.882668e+00,3.801048e+00,7.619644e+00,8.785410e+00,8.196361e+00,6.128301e+00,2.518106e+00,1.528729e+00,-7.273587e-01,-2.717222e+00,-6.610822e+00,-3.478997e+00,-8.443935e-01,-6.974501e+00,-6.952534e+00,-1.208583e+01,-1.551727e+01,-4.913545e+00,2.109021e+00,3.343597e+00,1.201557e+01,1.519816e+01,1.047772e+01,9.959602e+00,1.070229e+01,1.057784e+01,9.343589e+00,1.003175e+01,1.098307e+01,6.952521e+00
6.227870e+00,1.004933e+01,8.402679e+00,2.095912e+00,3.999532e+00,4.021060e+00,1.198095e+01,1.103078e+01,5.379110e+00,3.151062e+00,8.153048e+00,9.993916e+00,1.243244e+01,1.095556e+01,1.175424e+01,1.131593e+01,1.531287e+01,2.296138e+01,2.082204e+01,1.570336e+01,1.935161e+01,1.657368e+01,1.032567e+01,6.579569e+00,-2.678635e+00,-7.996392e+00,-1.865502e+00,3.376868e-02,5.844471e+00,8.333054e+00,8.798308e+00,1.103574e+01,1.048246e+01,9.158983e+00,8.389149e+00,1.008454e+01,1.253929e+01,1.472859e+01
8.338796e+00,8.624096e+00,4.860741e+00,-1.063473e+00,-2.286143e+00,-1.974236e+00,-1.683390e+01,-2.068842e+01,-1.357813e+01,-9.468834e+00,-1.402930e+01,-1.828968e+01,-2.213034e+01,-2.365136e+01,-2.043782e+01,-1.420051e+01,-9.845069e+00,-6.720406e+00,-1.311893e+01,-1.566283e+01,-2.053944e+01,-2.517121e+01,-2.688186e+01,-2.977228e+01,-3.519397e+01,-3.090033e+01,-2.119766e+01,-1.231478e+01,-5.386918e+00,-2.108804e+00,5.965705e-01,2.218133e+00,3.989426e+00,5.141061e+00,2.825289e+00,4.720380e+00,6.325022e+00,8.767252e+00
5.602263e+00,2.241069e+00,9.926334e-01,-7.798890e-01,-3.328982e+00,-4.596247e+00,-1.003157e+00,-2.741962e+00,6.362771e-01,-7.667595e-01,-1.653274e+00,1.441269e-01,1.936974e+00,5.559614e+00,6.021956e+00,8.318251e+00,8.448156e+00,1.022054e+01,8.162537e+00,2.238639e+00,4.075262e-01,-6.244450e+00,-1.228378e+01,-9.037419e+00,-2.816002e+00,-1.748313e+00,1.772844e+00,2.456556e-01,-6.896162e+00,-5.701152e+00,-6.534634e+00,-5.280887e+00,-2.732999e+00,-6.713933e-01,-3.411815e+00,-3.117331e+00,-4.017963e+00,-1.948381e+00
