Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37
-5.089080e+02,-4.909101e+02,-4.951954e+02,-4.988507e+02,-4.957919e+02,-4.983731e+02,-5.016242e+02,-4.999560e+02,-5.005952e+02,-5.013212e+02,-4.677028e+02,-3.598284e+02,-2.908175e+02,-2.697397e+02,-2.419248e+02,-1.840038e+02,-1.673934e+02,-1.963804e+02,-1.917384e+02,-1.797455e+02,-1.770905e+02,-1.525951e+02,-1.316101e+02,-1.246209e+02,-1.502117e+02,-1.958578e+02,-2.354365e+02,-2.872134e+02,-3.567737e+02,-4.264169e+02,-4.817912e+02,-4.953278e+02,-4.946325e+02,-4.963073e+02,-4.974445e+02,-4.982079e+02,-4.978188e+02
3.231770e+01,4.939796e+01,4.673754e+01,4.135563e+01,4.279510e+01,4.038854e+01,3.919237e+01,4.026646e+01,4.027850e+01,4.061732e+01,7.205729e+01,1.289678e+02,1.480660e+02,1.483079e+02,1.691932e+02,1.844881e+02,1.652478e+02,1.328144e+02,1.204032e+02,1.166499e+02,1.240765e+02,1.283042e+02,1.247750e+02,1.261127e+02,1.333400e+02,1.498217e+02,1.612380e+02,1.467040e+02,1.238252e+02,9.452995e+01,5.475343e+01,4.471206e+01,4.605521e+01,4.641508e+01,4.577477e+01,4.340438e+01,4.280386e+01
1.231461e+01,1.572421e+01,1.856192e+01,1.396099e+01,1.083412e+01,1.045040e+01,1.513223e+01,1.368304e+01,1.443116e+01,1.600754e+01,2.031159e+01,-1.118665e+01,-3.718266e+01,-4.660381e+01,-4.984331e+01,-6.467024e+01,-7.349856e+01,-7.520015e+01,-8.289095e+01,-9.283916e+01,-9.868460e+01,-1.029163e+02,-1.119979e+02,-1.178010e+02,-1.064198e+02,-9.149779e+01,-7.866417e+01,-5.258704e+01,-2.484838e+01,-5.965150e+00,8.506063e+00,1.405298e+01,1.550274e+01,1.908860e+01,2.031402e+01,1.639315e+01,1.450279e+01
1.975055e+00,1.847880e+00,5.625551e+00,3.958043e+00,8.503721e-01,1.500554e+00,8.178238e+00,5.070769e+00,4.011935e+00,3.508136e+00,4.100240e-01,-3.870149e+00,4.974279e+00,6.803144e+00,-9.345261e+00,-2.496062e+01,-2.805702e+01,-1.931776e+01,-1.420567e+01,-1.689289e+01,-3.087574e+01,-2.988578e+01,-2.024338e+01,-8.726310e+00,-5.474126e+00,-1.885949e+01,-2.342039e+01,-2.105215e+01,-2.304243e+01,-2.417087e+01,-6.996527e+00,3.682778e+00,2.921505e+00,4.623902e+00,6.588036e+00,4.413838e+00,3.541276e+00
3.965373e+00,7.510089e+00,8.433054e+00,9.315380e+00,1.016944e+01,1.192985e+01,1.680640e+01,1.337326e+01,9.780374e+00,6.535213e+00,1.285170e+01,1.393402e+01,8.816129e+00,8.883904e+00,-1.056314e+00,-1.312776e+01,-1.527833e+01,-9.207720e-01,4.521931e+00,4.372710e+00,6.817294e+00,9.162375e+00,6.570259e+00,6.555029e-01,5.002429e-01,5.501979e+00,1.918929e+01,2.361677e+01,1.300928e+01,8.089426e+00,7.951674e+00,1.425800e+01,9.822247e+00,7.939095e+00,8.442076e+00,1.064958e+01,1.110498e+01
6.819142e+00,1.128416e+01,1.029084e+01,1.029608e+01,1.274823e+01,1.588069e+01,1.873928e+01,1.587355e+01,1.246206e+01,9.891197e+00,1.911533e+01,1.395681e+01,1.296364e+01,1.502871e+01,7.171035e+00,-1.989825e+00,4.976710e+00,2.528949e+01,2.852052e+01,2.725648e+01,3.183368e+01,3.332891e+01,3.744592e+01,4.217887e+01,4.567978e+01,2.963711e+01,1.987093e+01,2.305348e+01,1.657468e+01,1.574306e+01,1.749798e+01,2.033471e+01,1.647667e+01,1.417193e+01,1.192155e+01,1.658636e+01,1.558136e+01
4.837986e+00,8.242245e+00,7.304519e+00,4.467811e+00,3.661602e+00,5.670701e+00,6.853662e+00,5.493495e+00,4.739196e+00,4.834749e+00,4.552944e+00,3.861375e+00,5.122930e+00,6.232613e+00,-1.343629e+00,-1.747013e+01,-2.552342e+01,-2.323193e+01,-2.304296e+01,-1.985801e+01,-1.427423e+01,-1.833596e+01,-1.868361e+01,-1.752250e+01,-1.413819e+01,-7.992265e+00,-7.839993e+00,-1.191157e+01,-3.186734e+00,4.832471e+00,9.289467e+00,1.098437e+01,1.418379e+01,1.276855e+01,8.995442e+00,1.175243e+01,7.988398e+00
3.428818e+00,7.483479e+00,6.506135e+00,3.008687e+00,-1.055074e+00,-3.333764e+00,-4.126740e+00,-3.519894e+00,-2.580602e+00,-1.884142e+00,-1.122073e+01,-1.285099e+01,-2.124025e+01,-2.635373e+01,-3.098940e+01,-1.764088e+01,-7.702065e+00,-4.919649e+00,-1.637028e+00,4.562973e+00,1.287379e+01,1.876229e+01,1.626018e+01,1.344986e+01,1.021390e+01,8.281731e+00,8.129719e+00,4.296583e+00,2.945994e+00,3.813342e+00,9.789473e-01,1.658558e-01,8.735004e+00,6.753227e+00,4.693114e+00,4.231979e+00,5.650640e-01
6.160235e+00,8.483768e+00,6.475812e+00,5.236728e+00,2.670835e+00,-2.864049e+00,-3.804777e+00,-2.563841e+00,-2.600277e+00,-3.171800e+00,-1.314348e+01,-5.265425e+00,2.125156e+00,8.897827e-01,-4.540587e+00,-5.122890e+00,-6.460967e+00,9.601243e-01,2.048285e+00,-3.288293e-01,-3.338945e+00,-5.325715e+00,-6.325641e+00,-4.843893e+00,-5.858450e+00,-5.902835e+00,-4.323170e+00,-7.465880e+00,-1.031499e+01,1.795132e+00,1.537864e+00,-5.174085e-01,3.964781e+00,1.889988e+00,3.639612e+00,2.945473e+00,2.715212e+00
7.931843e+00,4.195987e+00,8.165956e-01,1.540880e+00,2.912917e+00,-1.478439e+00,5.437090e-01,2.268559e-01,-1.550723e+00,-2.082795e+00,-8.152689e+00,-8.128710e+00,-6.477665e+00,-7.866753e+00,-1.097115e+01,-7.951588e+00,-8.274682e+00,-8.082165e+00,-1.565908e+01,-1.824394e+01,-1.590373e+01,-1.416400e+01,-2.043472e+01,-2.894872e+01,-3.305816e+01,-3.017294e+01,-2.961291e+01,-2.810019e+01,-1.940645e+01,-6.406509e+00,4.571440e-01,2.255402e+00,-9.613650e-01,-9.368455e-01,3.141809e+00,4.783049e+00,7.636081e+00
