Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27
-4.692889e+02,-4.450879e+02,-4.453045e+02,-4.435972e+02,-4.456376e+02,-4.429430e+02,-4.279941e+02,-4.054863e+02,-3.461061e+02,-2.710369e+02,-1.604418e+02,-1.103923e+02,-1.140404e+02,-1.316367e+02,-1.330322e+02,-1.276109e+02,-1.119843e+02,-1.215377e+02,-1.673766e+02,-2.128182e+02,-2.668193e+02,-3.411144e+02,-4.057185e+02,-4.421138e+02,-4.507404e+02,-4.528714e+02,-4.746218e+02
7.450247e+01,8.937444e+01,8.861215e+01,8.848588e+01,8.719751e+01,8.997161e+01,1.061550e+02,1.230918e+02,1.477489e+02,1.635218e+02,1.863635e+02,1.705498e+02,1.414647e+02,1.283958e+02,1.242885e+02,1.298247e+02,1.384597e+02,1.468196e+02,1.544782e+02,1.585334e+02,1.620882e+02,1.470566e+02,1.148182e+02,9.044331e+01,8.451692e+01,8.164111e+01,7.026428e+01
8.971777e+00,2.191476e+00,-1.954411e-01,-1.999107e+00,-1.657717e+00,2.571203e-01,8.716290e+00,7.832784e+00,-1.033103e+01,-2.620520e+01,-4.044380e+01,-5.786256e+01,-6.048548e+01,-5.110203e+01,-5.397322e+01,-6.952742e+01,-7.729164e+01,-5.964364e+01,-3.865750e+01,-3.322459e+01,-2.931081e+01,-1.720800e+01,4.072069e-01,5.997918e+00,5.550419e+00,3.989829e+00,9.878256e+00
5.655689e-01,-2.918258e+00,-6.246045e+00,-7.326253e+00,-7.889874e+00,-6.999709e+00,-1.616023e-01,5.011048e+00,1.123262e+01,2.820927e+00,-2.473808e+01,-2.705623e+01,-1.656039e+01,-9.064894e+00,-1.085623e+01,-2.498837e+01,-3.385412e+01,-3.741606e+01,-4.077818e+01,-3.880869e+01,-3.981770e+01,-3.415844e+01,-1.458796e+01,-1.856116e+00,2.299117e-01,4.264563e-01,-3.187870e+00
1.801042e+01,1.609708e+01,1.364985e+01,1.253489e+01,1.219853e+01,1.110562e+01,1.970498e+01,3.565074e+01,4.613734e+01,2.445021e+01,-2.923624e+01,-3.600519e+01,-2.997546e+01,-2.324094e+01,-2.247668e+01,-2.990486e+01,-3.667442e+01,-3.987003e+01,-4.385540e+01,-3.770673e+01,-2.870710e+01,-2.740038e+01,-1.612534e+01,3.423025e+00,1.166688e+01,1.191320e+01,6.033057e+00
1.717924e+01,1.064157e+01,7.683440e+00,8.441710e+00,1.151960e+01,1.128038e+01,1.875406e+01,3.109673e+01,4.552966e+01,5.143894e+01,5.065292e+01,6.154144e+01,7.183522e+01,6.985690e+01,7.736554e+01,8.445100e+01,8.449654e+01,7.905382e+01,6.049681e+01,4.778118e+01,3.125039e+01,6.147576e+00,-1.144090e-01,7.778636e+00,1.212924e+01,1.054241e+01,1.086416e+01
1.009427e+01,5.535472e+00,1.976808e+00,3.499112e+00,7.598358e+00,7.923179e+00,1.078841e+01,1.419501e+01,1.881287e+01,1.613784e+01,-1.840150e+01,-3.576464e+01,-4.373596e+01,-4.664267e+01,-4.150548e+01,-3.648414e+01,-4.182607e+01,-4.023139e+01,-3.480868e+01,-2.521782e+01,-1.017281e+01,1.385947e+01,1.974217e+01,1.468217e+01,1.241554e+01,1.003853e+01,1.064776e+01
8.808069e+00,5.742616e+00,4.863351e+00,5.622655e+00,5.425685e+00,2.920022e+00,1.094791e+00,1.557215e+00,-9.627546e+00,-9.220768e+00,-1.168619e+01,-7.017237e+00,9.239313e+00,2.148990e+01,1.775684e+01,1.633520e+01,1.784963e+01,2.147561e+01,1.941200e+01,8.788099e+00,1.647095e+00,1.688782e+00,3.056184e+00,3.742406e+00,4.629792e+00,4.367401e+00,5.505032e+00
5.188000e+00,3.018212e+00,3.625017e+00,5.592888e+00,2.853704e+00,4.658316e-01,-4.010511e+00,-1.519774e+00,-1.000016e+00,-4.798766e+00,-2.002022e+01,-1.762375e+01,-1.125108e+01,-4.781473e+00,-4.143833e+00,-4.249235e+00,-6.302438e+00,-8.447830e+00,-1.215192e+01,-1.458678e+01,-9.395350e+00,-2.347379e+00,1.275806e+00,1.174640e+00,1.735917e+00,1.753261e+00,2.841114e+00
-1.197849e+00,1.464585e+00,1.530128e+00,2.446949e+00,1.223406e+00,7.935063e-01,-6.334456e+00,-6.911447e+00,-4.812313e+00,-2.704923e+00,-4.405430e+00,4.795552e-01,6.645843e+00,5.599024e+00,4.973452e+00,3.220250e+00,3.171264e+00,4.767384e+00,3.772202e+00,-2.269519e+00,-8.238565e+00,-5.773875e-02,7.133410e+00,4.388790e+00,2.837669e+00,2.315292e+00,2.003722e+00
