Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30
-5.219203e+02,-5.219203e+02,-5.219203e+02,-5.219203e+02,-5.219203e+02,-5.219203e+02,-4.982802e+02,-3.842710e+02,-2.889437e+02,-2.382369e+02,-1.709215e+02,-1.195171e+02,-1.426080e+02,-1.578281e+02,-1.404145e+02,-1.501231e+02,-1.928944e+02,-2.754701e+02,-3.761060e+02,-4.282844e+02,-4.620623e+02,-5.033746e+02,-5.207681e+02,-5.219203e+02,-5.219203e+02,-5.219203e+02,-5.219203e+02,-5.219203e+02,-5.219203e+02,-5.219203e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.104061e+01,1.016628e+02,1.381162e+02,1.528739e+02,1.774067e+02,1.637941e+02,1.480086e+02,1.767373e+02,2.230871e+02,2.364250e+02,2.304590e+02,2.001791e+02,1.467170e+02,1.028319e+02,6.967007e+01,2.283320e+01,1.604774e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.524255e+01,-4.926943e+00,-5.811143e+01,-7.554895e+01,-6.495003e+01,-4.798032e+01,-4.691152e+01,-8.228972e+01,-8.335049e+01,-6.445924e+01,-4.251136e+01,-1.444588e+01,2.486407e+01,3.779601e+01,3.487061e+01,1.458420e+01,1.531186e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.866286e+01,1.684880e+00,-1.095107e+01,-7.283377e+00,-1.117790e+01,-2.506303e+01,-3.913670e+01,-7.320741e+01,-7.546335e+01,-6.776697e+01,-6.992252e+01,-7.672337e+01,-5.467339e+01,-1.479808e+01,2.189488e+00,5.889328e+00,1.411076e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.253008e+01,1.124628e+01,7.365023e+00,-2.332512e+00,-3.905912e+01,-5.510593e+01,-5.583582e+01,-6.083780e+01,-7.112929e+01,-6.999437e+01,-6.450198e+01,-5.427355e+01,-5.004579e+01,-2.736311e+01,-1.219643e+01,5.842969e-01,1.248158e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.107372e+00,1.386019e+01,2.193667e+00,1.376486e+00,-1.938765e+01,-1.889477e+01,-1.659005e+01,-9.259741e+00,-1.689376e+01,-2.538452e+01,-2.351669e+01,-1.214608e+01,-6.020247e+00,-1.156685e+01,-8.582483e+00,-3.716670e-01,1.047483e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.307981e+00,2.052669e+01,3.468980e+01,3.894090e+01,1.471326e+01,-9.820616e+00,-1.467048e+01,-7.173926e+00,-3.745873e+00,1.649496e+00,9.600359e+00,9.133928e+00,1.614286e+01,3.216206e+00,6.384344e-01,1.146421e+00,8.152456e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-8.559325e+00,-2.161277e+01,-1.820925e+01,-2.337494e+01,-2.180200e+01,-1.538260e+01,-1.475345e+01,-1.322990e+01,-2.051436e+01,-2.362392e+01,-1.162229e+01,1.383905e+00,3.398915e+00,2.358994e+00,4.053917e+00,2.403693e+00,5.586244e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.337071e+01,-4.570416e+01,-5.341315e+01,-5.307694e+01,-4.057241e+01,-3.902238e+01,-2.900405e+01,-1.538289e+01,-1.172969e+01,-1.755799e+01,-2.028123e+01,-1.627145e+01,-1.525892e+01,-6.107040e+00,-1.014350e-01,1.897208e+00,2.855337e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.471330e+01,-2.058939e+01,-1.383640e+01,-1.659412e+01,-3.609222e+00,2.702751e+00,-6.249127e-02,-9.570927e+00,-1.582596e+01,-1.998998e+01,-2.588554e+01,-2.830551e+01,-1.711652e+01,-9.540881e+00,-6.142623e+00,2.725437e-02,4.394099e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
