Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28
-5.244603e+02,-5.244603e+02,-5.244603e+02,-5.244603e+02,-5.244603e+02,-4.742568e+02,-3.905824e+02,-3.257435e+02,-2.786338e+02,-2.058277e+02,-1.771475e+02,-1.893189e+02,-1.800328e+02,-1.628486e+02,-1.865775e+02,-2.485978e+02,-3.250471e+02,-3.932137e+02,-4.350690e+02,-4.744628e+02,-5.064514e+02,-5.210591e+02,-5.244603e+02,-5.244603e+02,-5.244603e+02,-5.244603e+02,-5.244603e+02,-5.244603e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.782313e+01,1.140013e+02,1.377124e+02,1.571728e+02,2.024458e+02,2.043819e+02,1.830047e+02,1.838494e+02,2.070799e+02,2.201224e+02,2.134525e+02,1.889485e+02,1.385599e+02,1.006863e+02,6.151273e+01,2.416538e+01,4.743134e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.941696e+01,1.404557e+01,-1.541378e+01,-3.218602e+01,-4.212273e+01,-6.277250e+01,-6.827711e+01,-7.957095e+01,-8.134626e+01,-5.878501e+01,-2.273722e+01,2.017984e+01,3.869833e+01,4.302023e+01,3.921546e+01,2.063906e+01,4.544767e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.323209e+00,-7.486165e+00,1.166622e+00,2.907657e+00,-1.830986e+01,-3.314536e+01,-3.807706e+01,-4.629572e+01,-6.028287e+01,-6.526672e+01,-7.500041e+01,-6.853726e+01,-3.544288e+01,-6.214118e+00,1.570820e+01,1.585411e+01,4.220788e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.342186e+00,-5.622978e+00,1.460324e+00,-2.036487e+00,-4.021849e+01,-5.120294e+01,-5.062024e+01,-5.269959e+01,-6.472485e+01,-6.637428e+01,-6.076944e+01,-5.808267e+01,-4.460577e+01,-2.134506e+01,1.002540e+00,1.091603e+01,3.780913e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.755869e+00,1.568939e+01,7.626200e+00,2.040711e+00,-2.643385e+01,-2.779636e+01,-8.708328e+00,-4.816010e+00,-1.631470e+01,-2.683669e+01,-2.105925e+01,-1.218032e+01,-1.276280e+01,-8.654681e+00,-2.767828e+00,6.624621e+00,3.238301e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.044687e+01,3.162203e+01,4.337186e+01,4.548920e+01,2.132196e+01,3.650875e+00,-1.931854e+00,-1.775936e+00,3.482122e+00,1.120899e+01,1.002366e+01,8.765329e+00,1.104499e+01,7.622854e+00,-6.250853e-01,3.260421e+00,2.609124e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.566770e+00,-5.252505e+00,-7.847250e-01,-8.076779e+00,-2.207914e+01,-2.847976e+01,-2.815016e+01,-2.518671e+01,-2.529756e+01,-1.842262e+01,-5.604618e+00,-3.242340e+00,6.098885e+00,1.064562e+01,8.276506e-01,6.814965e-01,1.912048e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.092657e+01,-2.590517e+01,-2.974717e+01,-3.633633e+01,-3.213729e+01,-3.538351e+01,-2.699848e+01,-1.537810e+01,-1.549072e+01,-2.148204e+01,-2.253653e+01,-1.738342e+01,-1.061859e+01,1.449181e+00,-1.546303e+00,-1.387511e+00,1.167623e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.614427e+01,-1.508494e+01,-2.677126e+00,-2.278569e+00,-5.507043e-02,-1.371200e+01,-1.618396e+01,-1.401787e+01,-1.631445e+01,-1.791143e+01,-2.167225e+01,-1.972054e+01,-1.912094e+01,-9.842664e+00,-6.532924e+00,-3.093897e+00,3.976451e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.418835e+01,-3.624757e+01,-3.021549e+01,-2.717607e+01,-1.085229e+01,-3.805314e+00,4.804793e+00,8.845161e+00,2.809085e+00,-3.026180e+00,-8.162929e+00,-1.478526e+01,-1.707689e+01,-1.650336e+01,-1.112813e+01,-4.391514e+00,-3.755580e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.055445e+01,-4.829041e+01,-5.453856e+01,-4.636300e+01,-2.448234e+01,-1.750578e+01,-1.088235e+01,-7.374357e+00,-2.763395e+00,2.816385e+00,-6.083199e+00,-1.096468e+01,-1.179876e+01,-1.832198e+01,-1.335546e+01,-5.181165e+00,-1.129808e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.866488e+01,-2.214895e+01,-2.613684e+01,-1.901949e+01,-7.894061e+00,-7.769985e+00,-1.028627e+01,-2.152010e+01,-2.535863e+01,-1.999390e+01,-1.369075e+01,-1.257133e+01,-9.776177e+00,-1.732905e+01,-1.318708e+01,-5.516919e+00,-1.843770e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
