Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32
-4.630487e+02,-4.436928e+02,-4.447285e+02,-4.476770e+02,-4.429661e+02,-4.403090e+02,-4.469260e+02,-4.556792e+02,-4.656888e+02,-4.697496e+02,-4.687294e+02,-4.286712e+02,-3.866370e+02,-3.698655e+02,-3.561177e+02,-2.927298e+02,-2.271493e+02,-1.928370e+02,-1.739415e+02,-1.323782e+02,-9.139883e+01,-9.039888e+01,-1.369551e+02,-2.070923e+02,-2.760360e+02,-3.318294e+02,-3.949934e+02,-4.557546e+02,-4.736116e+02,-4.737931e+02,-4.699425e+02,-4.779623e+02
4.485149e+01,6.316319e+01,6.474548e+01,6.277171e+01,6.385073e+01,6.564645e+01,6.196801e+01,5.432414e+01,4.142240e+01,3.784091e+01,3.787517e+01,7.753882e+01,1.133485e+02,1.256369e+02,1.372931e+02,1.464563e+02,1.459955e+02,1.426744e+02,1.322376e+02,8.655739e+01,7.829651e+01,1.027715e+02,1.325430e+02,1.519032e+02,1.509050e+02,1.448745e+02,1.029872e+02,5.158558e+01,3.691222e+01,3.707242e+01,3.997312e+01,3.254483e+01
1.027463e+01,1.296839e+01,1.844524e+01,2.118126e+01,1.476112e+01,1.327902e+01,1.874720e+01,1.893203e+01,9.400587e+00,9.728884e+00,7.237237e+00,1.941077e+01,2.685615e+01,2.640655e+01,2.846061e+01,7.604427e+00,-3.248212e+01,-5.425285e+01,-5.668600e+01,-3.285197e+01,-3.194619e+01,-2.526599e+01,-1.484205e+01,-3.238612e+00,1.073615e+01,7.469455e+00,6.859478e+00,1.201594e+01,1.514573e+01,1.703651e+01,1.576985e+01,1.487999e+01
-8.955936e+00,-1.122398e+01,-7.524064e+00,-3.025482e+00,-6.946729e+00,-8.171014e+00,-1.940473e+00,-2.316061e-01,-5.115032e+00,-3.171926e+00,-6.131654e+00,3.003949e-02,1.024823e+01,1.216983e+01,9.618746e+00,2.004806e+01,2.327383e+01,1.554625e+01,-5.262198e+00,-3.014303e+01,-5.162553e+01,-6.589752e+01,-6.823206e+01,-4.777039e+01,-2.882498e+01,-3.114295e+01,-2.412577e+01,-5.761513e+00,1.122190e+00,5.226545e+00,3.277975e+00,4.375570e+00
-4.184215e+00,-1.809192e+00,-2.539786e+00,-2.839243e+00,1.175963e+00,4.111690e+00,3.937360e+00,1.229605e+00,1.362231e+00,2.359940e+00,1.393010e+00,1.565695e+01,2.659382e+01,2.888231e+01,2.490204e+01,2.481043e-03,-1.567728e+01,-1.476659e+01,-8.375584e+00,-7.168352e+00,-9.204945e+00,-1.404021e+01,-1.975010e+01,-2.320154e+01,-3.773286e+00,9.397261e+00,4.520656e+00,3.692362e+00,1.750640e+00,5.732111e+00,5.897681e+00,5.584377e+00
7.868604e+00,1.177986e+01,9.887379e+00,3.622349e+00,9.598158e+00,1.478490e+01,1.152828e+01,5.538971e+00,9.791727e+00,9.756920e+00,9.970013e+00,2.099670e+01,1.999597e+01,1.578991e+01,1.225042e+01,5.578111e+00,-6.908515e+00,-6.362881e+00,3.484569e+00,1.776039e+01,2.978241e+01,3.356273e+01,3.123333e+01,2.832536e+01,2.210926e+01,1.891666e+01,1.807636e+01,1.384352e+01,9.200909e+00,1.060483e+01,1.111468e+01,1.071519e+01
1.243332e+01,1.232426e+01,1.083370e+01,5.392740e+00,7.170624e+00,9.240295e+00,9.295389e+00,5.067043e+00,1.085160e+01,1.033069e+01,9.334126e+00,5.907712e+00,5.748122e+00,-1.091989e-01,-8.723118e+00,-1.675134e+00,-3.693411e-01,-8.003746e+00,-1.978006e+01,-3.544966e+01,-4.150039e+01,-4.148313e+01,-4.231585e+01,-3.602314e+01,-2.725487e+01,-9.144635e+00,-1.090295e+00,9.433401e+00,1.404656e+01,1.383173e+01,1.190250e+01,1.231772e+01
1.045778e+01,9.087733e+00,5.204413e+00,4.929623e+00,4.112631e+00,2.553377e+00,5.852631e+00,6.672532e+00,1.072349e+01,8.975910e+00,7.407074e+00,-3.997869e+00,-2.098652e-01,-2.897872e+00,-8.008323e+00,-1.415973e+01,-8.200350e+00,-3.805086e+00,4.920046e+00,1.122879e+01,8.566364e+00,9.910596e+00,6.235286e+00,7.543298e+00,2.493335e+00,-3.563984e+00,-1.014078e+01,2.555454e+00,1.393662e+01,1.402221e+01,1.042308e+01,9.802438e+00
7.372776e+00,9.530630e+00,3.228944e+00,3.657124e+00,4.055893e+00,3.565549e+00,6.584975e+00,1.152823e+01,1.263172e+01,9.494123e+00,9.595434e+00,-4.276111e-01,-6.129656e+00,-7.311458e+00,-3.172109e+00,5.063638e+00,7.151867e+00,1.053821e+01,1.283045e+01,6.089794e+00,5.485857e+00,4.497938e+00,-1.922014e+00,-4.651648e+00,3.432007e+00,9.048820e+00,7.202782e+00,5.298331e+00,1.035885e+01,9.878978e+00,7.698294e+00,5.316299e+00
3.308879e+00,6.414369e+00,3.013914e+00,-2.968433e-01,1.056880e+00,3.246748e+00,5.226918e+00,1.055855e+01,1.096583e+01,8.758369e+00,9.083996e+00,-5.706582e-01,-1.085527e+01,-1.331318e+01,-1.229093e+01,-7.381240e+00,-1.222172e+00,7.736999e+00,1.972617e+01,2.481138e+01,2.830779e+01,2.849334e+01,2.698083e+01,2.136501e+01,2.312410e+01,2.357268e+01,2.009456e+01,9.547318e+00,4.172642e+00,1.971959e+00,2.692182e+00,2.455393e-01
