Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25
-4.865603e+02,-4.719844e+02,-4.632651e+02,-4.341796e+02,-3.857740e+02,-3.098844e+02,-2.077053e+02,-1.200557e+02,-6.946358e+01,-4.796784e+01,-5.823107e+01,-7.820272e+01,-5.180669e+01,-4.437360e+01,-6.527986e+01,-1.234961e+02,-2.063672e+02,-3.051378e+02,-3.749145e+02,-4.294904e+02,-4.572649e+02,-4.587371e+02,-4.576953e+02,-4.611984e+02,-4.653733e+02
4.413980e+01,5.825665e+01,7.100903e+01,1.031651e+02,9.608699e+01,7.311451e+01,6.509827e+01,5.680330e+01,4.149832e+01,3.408618e+01,3.825465e+01,5.485982e+01,6.585484e+01,8.129050e+01,1.033760e+02,1.287007e+02,1.500425e+02,1.607996e+02,1.404691e+02,9.499136e+01,6.975577e+01,6.920556e+01,6.788945e+01,6.197140e+01,5.833732e+01
1.324559e+01,1.577031e+01,2.881908e+01,5.549907e+01,6.164677e+01,6.297912e+01,3.896083e+01,4.863719e+00,-1.452960e+01,-2.641147e+01,-2.057041e+01,-1.175670e+01,-3.285960e+01,-4.984091e+01,-3.833279e+01,-1.414813e+01,5.700534e+00,1.283348e+01,1.286822e+01,1.321147e+01,1.358580e+01,1.632869e+01,1.251325e+01,7.192709e+00,4.674224e+00
-3.290968e+00,-5.835412e+00,5.686145e+00,2.642470e+01,2.634910e+01,3.421302e+01,4.914354e+01,4.455522e+01,2.298701e+01,2.176859e+00,-1.402598e+01,-2.931344e+01,-3.667396e+01,-5.428646e+01,-6.168726e+01,-6.277595e+01,-5.324398e+01,-2.771338e+01,-2.576690e+01,-1.950888e+01,-7.154472e+00,-2.955851e+00,-5.368833e+00,-5.509892e+00,-1.137999e+01
7.560546e-01,-2.192310e-01,7.679215e+00,2.334917e+01,2.041955e+01,-1.618608e+01,-5.120287e+01,-6.100748e+01,-5.364743e+01,-3.671110e+01,-2.929788e+01,-2.450273e+01,-2.768000e+01,-2.814763e+01,-2.849969e+01,-2.735239e+01,-1.565601e+01,1.475132e+00,2.858984e+00,-1.284204e+00,8.203796e+00,9.675162e+00,9.865961e+00,1.166717e+01,5.155410e+00
8.053637e+00,9.006357e+00,1.284343e+01,2.870372e+01,4.507883e+01,5.041269e+01,4.309828e+01,2.275043e+01,1.491947e+01,2.226378e+01,3.261642e+01,4.474032e+01,4.213739e+01,4.066250e+01,4.019712e+01,3.754905e+01,3.110904e+01,1.278586e+01,1.477991e+01,1.392089e+01,1.967479e+01,1.731878e+01,1.734616e+01,1.735415e+01,1.452995e+01
6.606920e+00,7.990526e+00,9.027962e+00,1.781353e+01,6.454895e+00,-4.411695e+00,-4.980627e+00,-1.169770e+01,-1.907118e+01,-2.326800e+01,-2.516948e+01,-2.643536e+01,-3.549212e+01,-3.685499e+01,-3.612550e+01,-3.736356e+01,-2.859658e+01,-9.714575e+00,2.436276e+00,8.592020e+00,1.293119e+01,1.014341e+01,1.147436e+01,1.032033e+01,8.698003e+00
3.163081e+00,3.881478e+00,3.073509e+00,1.203594e+01,1.666843e+01,-2.541403e+00,-1.286445e+01,3.662551e+00,2.036824e+01,3.596549e+01,3.881207e+01,3.345627e+01,2.335193e+01,1.923168e+01,1.690825e+01,1.253854e+01,3.176440e+00,-1.651150e+00,8.983842e-01,4.891459e+00,5.056953e+00,4.189808e+00,7.847024e+00,8.642559e+00,4.753375e+00
5.971167e+00,3.634241e+00,4.718468e-01,4.822549e+00,1.206832e+01,1.098021e+01,-6.849808e+00,-6.786346e+00,-1.401695e+00,2.625447e+00,6.701917e+00,4.453650e+00,4.360872e+00,5.015363e+00,6.190182e+00,2.688921e+00,2.475128e+00,6.010473e+00,9.761657e+00,8.353493e+00,4.983798e+00,4.925025e+00,8.053381e+00,9.034776e+00,5.841032e+00
9.272750e+00,3.251721e+00,-2.370740e+00,-4.672710e+00,-1.038652e+01,-8.207971e+00,-1.617334e+00,5.200295e+00,9.363909e+00,3.649240e+00,-7.623322e-01,1.300783e-01,3.561157e+00,7.188009e+00,7.964622e+00,6.624282e+00,5.847504e+00,7.697279e+00,3.161905e+00,4.881632e+00,4.964664e+00,5.463876e+00,3.664230e+00,1.591607e+00,4.133999e+00
3.916934e+00,-1.310356e+00,-7.186856e+00,-9.234548e+00,-7.543425e+00,-1.991547e+01,-1.682604e+01,-9.132279e+00,-1.537720e+01,-1.986482e+01,-2.121468e+01,-2.374803e+01,-2.487061e+01,-2.345449e+01,-2.075192e+01,-1.313753e+01,-3.986371e+00,-1.290746e+01,-1.309900e+01,-4.691830e+00,6.694458e-01,3.263221e+00,5.974774e-02,-4.830797e+00,1.158480e+00
-6.102143e+00,-6.349915e+00,-1.029965e+01,-1.695829e+01,-2.105984e+01,-1.319326e+01,-4.236011e+00,2.308733e+00,-3.557403e-01,5.665829e+00,9.039877e+00,3.795613e+00,4.155929e-01,-3.164388e+00,-4.684556e+00,-8.336492e+00,-1.015727e+01,-7.953249e+00,-1.254475e+01,-8.338253e+00,-4.762317e+00,-9.988487e-01,-5.651891e-03,-1.870413e+00,3.482113e-01
-9.207050e+00,-6.503807e+00,-9.955095e+00,-1.837446e+01,-1.842549e+01,-1.344020e+01,-1.924929e+01,-2.599190e+01,-3.539648e+01,-3.352256e+01,-2.387891e+01,-1.714422e+01,-1.385461e+01,-1.208872e+01,-9.262993e+00,-1.330879e+01,-1.336174e+01,-3.980745e+00,-2.278285e+00,-6.822353e+00,-8.955494e+00,-6.390973e+00,-2.147752e+00,-1.638508e+00,-2.775619e+00
