Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41
-3.709654e+02,-3.464575e+02,-3.491017e+02,-3.475920e+02,-3.506977e+02,-3.541261e+02,-3.483150e+02,-3.500769e+02,-3.725167e+02,-3.951092e+02,-3.735345e+02,-3.468757e+02,-3.309551e+02,-3.019765e+02,-2.549211e+02,-2.056507e+02,-1.785645e+02,-1.776678e+02,-1.812525e+02,-1.747724e+02,-1.731723e+02,-1.593513e+02,-1.597612e+02,-1.749132e+02,-1.750650e+02,-1.757826e+02,-1.789496e+02,-1.744671e+02,-1.712270e+02,-1.687542e+02,-1.718734e+02,-1.897728e+02,-2.164670e+02,-2.635439e+02,-3.508543e+02,-4.140742e+02,-4.364842e+02,-4.452099e+02,-4.486686e+02,-4.545465e+02,-4.648722e+02
8.263501e+01,9.524489e+01,9.709711e+01,1.030534e+02,9.987712e+01,1.001517e+02,1.041295e+02,1.016725e+02,9.535826e+01,9.760271e+01,1.267723e+02,1.526740e+02,1.599053e+02,1.533516e+02,1.522640e+02,1.513008e+02,1.446296e+02,1.410077e+02,1.439570e+02,1.473579e+02,1.537040e+02,1.477845e+02,1.410677e+02,1.367380e+02,1.275232e+02,1.261738e+02,1.241822e+02,1.255776e+02,1.215789e+02,1.051037e+02,9.993079e+01,1.056649e+02,1.093814e+02,1.173332e+02,1.166710e+02,8.940331e+01,7.285197e+01,6.800698e+01,6.498381e+01,6.012004e+01,5.537518e+01
-1.991836e+01,-2.152899e+01,-2.076823e+01,-2.011304e+01,-1.843177e+01,-1.573806e+01,-1.311135e+01,-1.542211e+01,-1.191425e+01,6.417473e+00,2.251501e+01,2.633376e+01,2.492009e+01,1.140691e+01,-7.043088e+00,-3.516489e+01,-4.904034e+01,-5.767015e+01,-6.554315e+01,-7.013292e+01,-6.941277e+01,-7.757533e+01,-7.719427e+01,-7.280285e+01,-7.267112e+01,-7.250941e+01,-7.511346e+01,-8.264491e+01,-8.665500e+01,-9.393700e+01,-9.194078e+01,-8.966556e+01,-8.890572e+01,-7.151070e+01,-2.603076e+01,-2.242479e+00,1.930345e-01,6.541159e+00,6.261938e+00,7.397577e+00,1.589000e+01
1.242562e+01,1.297333e+01,6.829925e+00,2.171867e+00,8.077845e+00,8.614530e+00,1.250570e+01,1.365020e+01,1.007968e+01,4.602514e+00,1.141253e+01,8.443447e+00,8.173163e+00,1.909736e+01,2.447478e+01,1.928550e+01,-6.232862e-01,-1.700314e+01,-2.355741e+01,-2.834641e+01,-4.151989e+01,-4.169032e+01,-3.539724e+01,-3.471647e+01,-3.068590e+01,-3.084187e+01,-3.430570e+01,-3.702491e+01,-3.413267e+01,-2.890202e+01,-2.250028e+01,-2.708396e+01,-3.319291e+01,-3.680537e+01,-3.815263e+01,-2.755625e+01,-1.973314e+01,-1.298931e+01,-1.165202e+01,-7.991228e+00,-2.452383e+00
6.361454e-01,-6.094766e+00,-3.924337e+00,1.871293e+00,3.572847e+00,7.662525e-01,1.639997e+00,5.401601e+00,1.238339e+01,1.218937e+01,1.976234e+01,2.162450e+01,2.080592e+01,2.283678e+00,-1.852202e+01,-2.064791e+01,-1.542979e+01,-2.103596e+00,8.371031e+00,1.082249e+01,1.453234e+01,1.492187e+01,1.377951e+01,7.009011e+00,2.257535e+00,1.919481e+00,1.264185e+00,3.059288e+00,4.779976e+00,-1.212303e+00,-2.973478e+00,-1.310586e+00,-1.214054e+00,3.611251e+00,6.741414e+00,-2.220765e+00,8.986657e-01,1.477040e+00,4.680133e+00,7.467517e+00,3.231688e+00
5.612526e+00,1.542114e+00,5.278093e+00,1.446796e+01,1.585531e+01,1.321213e+01,1.840329e+01,2.019883e+01,1.261480e+01,9.028412e+00,6.446033e+00,9.946852e+00,2.073716e+01,1.535522e+01,7.144190e+00,-2.797307e+00,-3.581032e+00,6.761559e+00,2.009979e+01,3.296632e+01,4.155074e+01,3.926384e+01,3.839680e+01,3.764285e+01,4.377596e+01,4.538087e+01,4.342336e+01,4.169865e+01,4.172699e+01,4.870512e+01,5.374937e+01,5.121336e+01,4.352845e+01,3.515989e+01,2.391925e+01,1.195771e+01,1.223729e+01,1.060915e+01,1.348637e+01,1.459276e+01,9.761578e+00
1.480174e+01,1.358334e+01,1.037915e+01,1.272613e+01,1.424813e+01,1.577493e+01,2.177591e+01,2.012190e+01,1.094888e+01,-1.154185e+00,-3.863542e+00,3.596779e+00,6.811416e+00,1.120273e+01,1.079924e+01,1.132509e+01,7.542159e+00,-3.921910e+00,-1.110987e+01,-1.303978e+01,-1.471502e+01,-1.753073e+01,-1.846038e+01,-1.765789e+01,-2.200335e+01,-2.084861e+01,-1.495310e+01,-1.031626e+01,-1.327282e+01,-1.987239e+01,-2.196240e+01,-1.790713e+01,-1.536402e+01,-1.310040e+01,-6.565549e+00,2.912669e+00,1.042489e+01,9.972040e+00,8.817292e+00,8.228307e+00,7.011546e+00
-5.301026e+00,1.835070e-01,4.052115e+00,6.562436e+00,2.441521e+00,-3.097878e+00,-6.769243e+00,-7.514995e+00,-4.121843e+00,-5.594094e+00,-3.912021e+00,1.715573e+00,-4.987438e+00,-1.237916e+01,-1.132505e+01,-9.246755e-02,1.214909e+01,1.987283e+01,1.850477e+01,2.017229e+01,2.749511e+01,2.711363e+01,1.916564e+01,1.631110e+01,1.733009e+01,1.893151e+01,2.377608e+01,2.798752e+01,2.898922e+01,2.197881e+01,2.077673e+01,1.865136e+01,1.481797e+01,9.457960e+00,4.385086e+00,4.525958e+00,1.008212e+01,9.909461e+00,6.936643e+00,5.285460e+00,2.739298e+00
-4.454518e+00,1.997558e+00,6.060755e+00,1.089561e+01,1.320482e+01,1.125809e+01,5.738744e+00,1.325359e+01,1.231987e+01,6.574817e+00,-2.784224e+00,-1.577009e+00,-1.051346e+00,-2.253812e+00,3.058491e+00,5.338489e+00,7.501119e-01,2.287974e+00,5.462884e+00,5.419008e+00,2.652890e+00,-2.531316e+00,-8.254754e+00,-6.295801e+00,-7.479616e-01,9.458466e-01,-2.995559e+00,-3.296323e+00,-9.795360e-01,1.700533e+00,6.038005e+00,5.478222e+00,3.963785e+00,1.813028e+00,-1.563964e+00,2.537253e+00,5.915700e+00,6.842242e+00,6.633954e+00,5.294500e+00,2.066274e+00
6.091871e+00,4.264884e+00,-3.447835e-01,-6.310987e+00,-7.270887e+00,-2.129842e+00,-3.108027e+00,7.939928e-01,4.223193e+00,-8.776630e-01,-8.356626e+00,-4.052642e+00,-9.205068e+00,-1.698922e+01,-1.219404e+01,5.615264e+00,1.037659e+01,1.392697e+00,-5.409473e+00,-7.382635e+00,-1.890081e+00,3.322631e+00,1.098505e+00,-5.945208e+00,-1.031950e+01,-8.737587e+00,-5.561124e+00,-1.432257e+00,-1.240249e+00,-9.077194e+00,-1.488603e+01,-2.003749e+01,-2.047606e+01,-2.465311e+01,-1.910884e+01,-9.430110e+00,-4.551725e+00,-7.526416e-01,8.532015e-01,2.198468e-01,1.662623e+00
