Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41,Coeff 42
-5.021134e+02,-4.822001e+02,-4.825583e+02,-4.846936e+02,-4.884014e+02,-4.761805e+02,-4.338694e+02,-3.928530e+02,-3.637918e+02,-2.983166e+02,-2.367305e+02,-1.898734e+02,-1.666994e+02,-1.595583e+02,-1.427088e+02,-1.358394e+02,-1.396286e+02,-1.438593e+02,-1.442375e+02,-1.407072e+02,-1.416597e+02,-1.390169e+02,-1.173563e+02,-1.172577e+02,-1.169689e+02,-1.003119e+02,-1.002719e+02,-8.951680e+01,-7.890638e+01,-1.028749e+02,-1.493454e+02,-2.087484e+02,-2.942379e+02,-3.907598e+02,-4.523822e+02,-4.845433e+02,-4.900481e+02,-4.916040e+02,-4.935668e+02,-4.946509e+02,-4.989410e+02,-4.987792e+02
4.850590e+01,6.345407e+01,6.514644e+01,6.414717e+01,6.158068e+01,7.415054e+01,9.458595e+01,1.087253e+02,1.116971e+02,1.156823e+02,1.175362e+02,1.146160e+02,1.005920e+02,9.734702e+01,1.006971e+02,1.006354e+02,9.886453e+01,9.907410e+01,9.441854e+01,9.343809e+01,9.178682e+01,8.963094e+01,9.210432e+01,8.711269e+01,8.836253e+01,8.547515e+01,8.210784e+01,8.982521e+01,9.544794e+01,1.053033e+02,1.128593e+02,1.220788e+02,1.214509e+02,1.075562e+02,8.017978e+01,6.134139e+01,5.757167e+01,5.530400e+01,5.517914e+01,5.520342e+01,5.178007e+01,5.181997e+01
1.677760e+01,1.553069e+01,1.584373e+01,1.471996e+01,1.807517e+01,3.341746e+01,5.018534e+01,5.271349e+01,4.698711e+01,3.512566e+01,6.708917e+00,-2.303109e+01,-3.182385e+01,-3.749814e+01,-4.808832e+01,-5.410089e+01,-5.915429e+01,-5.510368e+01,-5.306119e+01,-5.820235e+01,-6.248171e+01,-6.310597e+01,-6.758083e+01,-6.898654e+01,-7.023260e+01,-8.320737e+01,-8.645695e+01,-8.981790e+01,-1.054192e+02,-9.908678e+01,-8.214742e+01,-6.001485e+01,-4.231776e+01,-2.902221e+01,-8.353852e+00,9.698166e+00,1.209155e+01,1.031056e+01,1.277575e+01,1.493133e+01,1.616791e+01,1.688814e+01
3.645732e+00,-1.698666e+00,-4.932708e+00,-6.309715e+00,1.197355e-01,2.004938e+01,3.756188e+01,3.535619e+01,3.920885e+01,4.989071e+01,4.892259e+01,3.669820e+01,2.257234e+01,5.897568e+00,-6.742337e+00,-1.302610e+01,-2.027936e+01,-1.991926e+01,-1.748080e+01,-1.911530e+01,-2.577548e+01,-2.463304e+01,-2.706785e+01,-2.911442e+01,-2.516904e+01,-2.542200e+01,-2.643641e+01,-2.345315e+01,-1.546066e+01,-1.075842e+01,-1.334766e+01,-1.634409e+01,-2.345039e+01,-2.965255e+01,-2.424247e+01,-5.300074e+00,-2.660900e+00,-2.770513e+00,-2.341975e+00,-6.208580e-01,2.249763e+00,5.105360e+00
9.449408e+00,4.177406e+00,2.150614e+00,4.088886e+00,7.252368e+00,1.961994e+01,1.159521e+01,-2.345543e+00,-1.315622e+01,-4.649374e+01,-6.755231e+01,-6.198188e+01,-5.633618e+01,-4.819764e+01,-4.493552e+01,-4.219022e+01,-3.476197e+01,-2.923183e+01,-2.588128e+01,-2.662849e+01,-2.861516e+01,-2.310176e+01,-2.373767e+01,-2.381595e+01,-2.587860e+01,-2.963855e+01,-2.833961e+01,-2.863222e+01,-2.921239e+01,-2.644765e+01,-2.104346e+01,-1.420888e+01,-3.657008e+00,1.148656e+01,1.071206e+01,1.116224e+01,1.038759e+01,1.200961e+01,1.004445e+01,1.028646e+01,1.210206e+01,1.522377e+01
1.723958e+01,1.657487e+01,1.577367e+01,1.672725e+01,1.425879e+01,2.242509e+01,3.553659e+01,4.272760e+01,4.580257e+01,5.169221e+01,3.219378e+01,1.787609e+01,2.323602e+01,3.819341e+01,4.833902e+01,5.194308e+01,5.401115e+01,5.886700e+01,5.841555e+01,5.417796e+01,5.268053e+01,6.149473e+01,6.259833e+01,6.236431e+01,6.325928e+01,6.384647e+01,6.279209e+01,6.857375e+01,7.093674e+01,7.101767e+01,6.801642e+01,5.158410e+01,3.594364e+01,2.436494e+01,2.563265e+01,1.999504e+01,1.909553e+01,2.083372e+01,1.889684e+01,1.952645e+01,2.071614e+01,2.041251e+01
1.331960e+01,1.279219e+01,1.533743e+01,1.471927e+01,9.226111e+00,8.754998e+00,1.027269e+01,8.339346e+00,1.184295e+01,7.400005e+00,-4.019878e+00,-1.107172e+01,-2.031713e+01,-2.494329e+01,-3.132248e+01,-3.633546e+01,-3.894023e+01,-4.245941e+01,-4.447040e+01,-4.792942e+01,-4.976542e+01,-4.653147e+01,-4.475548e+01,-4.403840e+01,-4.259105e+01,-4.233750e+01,-4.240847e+01,-4.080941e+01,-3.874040e+01,-3.573129e+01,-2.821261e+01,-2.331861e+01,-1.867309e+01,-1.711933e+00,7.657356e+00,1.201117e+01,1.377144e+01,1.415646e+01,1.248339e+01,1.435122e+01,1.523619e+01,1.288227e+01
5.401597e+00,4.498219e+00,7.160120e+00,5.628461e+00,1.787895e+00,-7.235718e+00,-1.568292e+01,-9.813060e+00,-7.195003e+00,-1.391351e+01,-1.282578e+01,4.920875e+00,2.995690e+01,3.594102e+01,3.860976e+01,4.116778e+01,4.483340e+01,4.212434e+01,4.091621e+01,4.289976e+01,4.630317e+01,4.818922e+01,4.941928e+01,4.871820e+01,4.624847e+01,4.670210e+01,4.438861e+01,4.013644e+01,3.594238e+01,2.829563e+01,2.325227e+01,1.984304e+01,8.467619e+00,-2.157490e+00,-1.434515e+00,4.346293e+00,6.454941e+00,5.645917e+00,3.490204e+00,4.910742e+00,6.266966e+00,6.915345e+00
5.188604e+00,9.667772e+00,5.206078e+00,2.630563e-01,1.023852e+00,-5.387557e+00,1.868729e+00,7.787951e+00,7.402615e+00,1.602058e+01,1.629796e+01,1.764805e+01,1.412124e+01,4.317043e+00,3.505099e+00,2.563448e+00,4.268343e+00,2.106072e+00,1.115538e-01,-6.957556e-01,-3.584215e+00,-3.181794e+00,-5.242285e+00,-1.003910e+01,-9.801319e+00,-1.217277e+01,-1.661889e+01,-1.499428e+01,-8.626181e+00,-6.096448e+00,-7.099002e+00,-6.262440e+00,-2.656198e+00,3.716501e+00,5.937382e+00,3.102702e+00,2.754045e+00,1.560286e+00,-8.470309e-02,2.656814e-01,4.846467e+00,8.300846e+00
5.602952e+00,7.237357e+00,1.903105e+00,-1.745531e+00,1.052454e+00,-9.055699e+00,-8.015169e+00,-8.873317e+00,-1.546048e+01,-2.414268e+01,-1.552769e+01,-6.667585e+00,-5.665083e+00,-1.332851e+01,-1.502292e+01,-1.373988e+01,-8.873042e+00,-4.678156e-01,9.161084e-01,-1.523652e+00,-9.819427e-01,-1.229912e+00,1.327872e+00,4.286469e+00,4.178595e+00,2.273829e+00,2.042035e+00,7.652920e-01,-5.109143e+00,-1.901950e+01,-2.346342e+01,-1.858986e+01,-1.803675e+01,-1.076651e+01,2.702729e+00,1.618239e+00,-4.525306e-01,-1.653758e+00,-1.799256e+00,-7.329549e-01,5.829867e+00,6.905014e+00
2.610913e+00,9.617115e-01,-7.943261e-01,-1.560489e+00,-7.224060e-01,-1.102104e+01,-2.023340e+01,-2.940465e+01,-3.321329e+01,-1.596153e+01,7.335048e-01,1.420941e+01,1.748247e+01,5.234002e+00,-5.064984e+00,-6.976081e+00,-6.925141e+00,-1.609094e+00,-6.178538e+00,-9.166920e+00,-9.705364e+00,-9.242017e+00,-1.449088e+01,-1.886135e+01,-1.914798e+01,-1.556345e+01,-1.596535e+01,-1.443133e+01,-6.580783e+00,-3.388094e+00,-1.488528e+00,8.475894e-01,8.968584e-02,-8.167735e+00,-3.061381e+00,-7.322864e-01,-2.028565e+00,-2.639449e+00,-3.415272e+00,-1.202300e+00,1.182111e+00,-2.326203e+00
2.205082e-01,1.791411e+00,1.210046e+00,6.040409e-01,-6.245505e-01,-6.817917e+00,-3.005376e+00,-7.301547e+00,-1.346694e+01,-1.422743e+01,-4.682949e+00,3.406669e+00,5.014051e+00,9.549730e+00,9.979397e+00,8.628124e+00,6.149046e+00,4.641685e+00,3.812738e+00,2.652508e+00,-5.218470e-01,6.952838e-01,9.650040e-01,-2.026221e+00,-1.173618e+00,1.686898e-01,-1.115268e+00,-3.114382e+00,-6.929793e+00,-9.302029e+00,-6.822713e+00,-1.052303e+01,-1.077593e+01,-2.187959e+00,-1.314981e+00,-1.220877e+00,-1.400622e+00,-8.150970e-01,-3.369963e+00,-2.257464e+00,-5.479779e+00,-1.127943e+01
-1.509103e+00,-8.890314e-01,4.822215e-01,7.655135e-01,-9.923994e-01,-1.461790e+01,-1.895135e+01,-1.839656e+01,-1.976111e+01,-2.101434e+01,-2.212840e+01,-3.192125e+01,-3.530619e+01,-2.611779e+01,-1.791676e+01,-1.479355e+01,-1.485924e+01,-1.412366e+01,-1.506218e+01,-1.262409e+01,-1.023113e+01,-1.445115e+01,-1.604828e+01,-1.773402e+01,-1.080197e+01,-1.146032e+01,-1.247666e+01,-1.144958e+01,-8.133184e+00,-5.476889e+00,-5.570932e+00,-1.182270e+01,-9.178029e+00,-4.376275e+00,-1.656607e+00,-1.763520e+00,-2.505287e+00,-1.481637e+00,-2.550670e+00,-3.535674e+00,-7.135840e+00,-1.199427e+01
