Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37
-5.021438e+02,-4.828492e+02,-4.818272e+02,-4.755168e+02,-4.181902e+02,-3.549866e+02,-3.041964e+02,-2.671203e+02,-2.420624e+02,-2.045208e+02,-1.560017e+02,-1.213426e+02,-1.206270e+02,-1.279240e+02,-1.234450e+02,-1.206139e+02,-1.252201e+02,-1.297051e+02,-1.225084e+02,-1.192124e+02,-1.116915e+02,-9.924020e+01,-1.000822e+02,-1.143029e+02,-1.125407e+02,-8.851649e+01,-9.097939e+01,-1.172859e+02,-1.507602e+02,-2.180386e+02,-3.203134e+02,-3.899034e+02,-4.219516e+02,-4.362368e+02,-4.391242e+02,-4.404476e+02,-4.538445e+02
2.896420e+01,4.682949e+01,4.685793e+01,5.531370e+01,8.654327e+01,8.503752e+01,7.331047e+01,6.986121e+01,6.762694e+01,6.584118e+01,6.772897e+01,6.852631e+01,6.928601e+01,6.892336e+01,7.147205e+01,7.211510e+01,6.835990e+01,6.735974e+01,6.170820e+01,5.812275e+01,5.405726e+01,5.779682e+01,5.744574e+01,5.959174e+01,5.734142e+01,5.703899e+01,6.323207e+01,7.966431e+01,1.004331e+02,1.163706e+02,1.255380e+02,1.126737e+02,8.182393e+01,6.474036e+01,6.145258e+01,6.604640e+01,6.039664e+01
1.819167e+01,1.887373e+01,1.609715e+01,2.419805e+01,5.660356e+01,6.720853e+01,6.651072e+01,6.555533e+01,5.928867e+01,4.008050e+01,9.254068e+00,-1.679173e+01,-2.564661e+01,-2.917342e+01,-3.552391e+01,-2.913430e+01,-1.913358e+01,-1.966493e+01,-2.473625e+01,-3.064707e+01,-3.902036e+01,-4.089510e+01,-3.411710e+01,-2.789083e+01,-3.377810e+01,-4.715162e+01,-5.512433e+01,-5.297829e+01,-5.128620e+01,-4.241429e+01,-1.964164e+01,-7.104681e+00,-1.299699e+01,-9.997677e+00,-9.997545e+00,-3.647536e+00,2.424847e+00
1.131377e+01,4.232661e+00,2.456854e-01,8.615614e+00,2.662082e+01,3.542014e+01,4.010045e+01,3.491882e+01,3.112108e+01,3.449928e+01,2.183705e+01,1.067396e+01,3.209081e+00,-9.489853e+00,-2.099743e+01,-2.001852e+01,-1.953555e+01,-2.201442e+01,-2.558954e+01,-3.024117e+01,-2.827299e+01,-2.847153e+01,-2.528736e+01,-2.667334e+01,-2.019675e+01,-1.871695e+01,-1.861889e+01,-2.104394e+01,-2.608112e+01,-2.944160e+01,-2.971149e+01,-2.716004e+01,-2.283285e+01,-9.705576e+00,-5.006545e+00,-1.017799e+00,2.228073e+00
1.088363e+01,6.731703e+00,4.580356e+00,1.155002e+01,4.007447e+00,-2.056183e+01,-4.436613e+01,-5.656774e+01,-6.434940e+01,-6.701955e+01,-4.709237e+01,-3.677257e+01,-3.089676e+01,-2.917674e+01,-3.003641e+01,-2.361625e+01,-1.783413e+01,-1.564059e+01,-1.763746e+01,-1.809285e+01,-1.603234e+01,-1.482348e+01,-1.751624e+01,-1.371441e+01,-1.111014e+01,-1.539709e+01,-1.624912e+01,-1.859388e+01,-1.980372e+01,-9.681635e+00,4.940333e+00,8.090595e+00,1.177816e+01,1.704806e+01,1.578784e+01,1.961827e+01,1.975718e+01
1.149978e+01,1.083048e+01,1.187271e+01,1.423343e+01,2.675060e+01,4.912150e+01,6.366824e+01,7.204637e+01,7.205637e+01,4.902827e+01,2.694827e+01,2.885391e+01,4.115274e+01,5.174422e+01,6.110043e+01,6.347260e+01,6.082405e+01,6.104059e+01,6.123985e+01,6.213965e+01,6.879138e+01,7.149815e+01,7.402507e+01,7.187518e+01,7.426058e+01,7.261043e+01,6.571516e+01,5.960752e+01,5.476989e+01,4.448149e+01,3.270797e+01,1.536561e+01,1.997363e+01,1.575169e+01,6.936954e+00,1.098930e+01,1.456280e+01
8.456196e+00,7.421122e+00,1.036256e+01,7.168467e+00,-1.259583e+00,-1.594505e+01,-2.504917e+01,-2.986759e+01,-3.167928e+01,-3.256839e+01,-2.807270e+01,-2.803301e+01,-3.308208e+01,-3.833751e+01,-4.198122e+01,-4.483666e+01,-4.833323e+01,-4.449388e+01,-4.380249e+01,-4.396507e+01,-4.392735e+01,-4.886385e+01,-4.941024e+01,-4.536835e+01,-4.085866e+01,-3.844007e+01,-3.709042e+01,-3.429123e+01,-2.913252e+01,-2.635124e+01,-1.154034e+01,3.576308e+00,8.740067e+00,5.626773e+00,3.110795e+00,7.262302e+00,1.076163e+01
3.645076e+00,1.561875e+00,4.506241e+00,-2.580391e+00,-1.136295e+01,-1.010542e+01,-5.183328e+00,-1.774413e+00,2.233981e+00,8.466333e+00,2.064738e+01,3.591741e+01,4.325862e+01,4.498170e+01,4.483940e+01,4.460371e+01,4.189264e+01,3.896693e+01,3.960606e+01,4.035384e+01,4.663191e+01,4.958241e+01,4.599313e+01,4.344924e+01,4.848998e+01,5.084584e+01,4.221992e+01,3.665783e+01,3.156660e+01,2.092311e+01,8.608766e+00,1.680322e+00,5.019449e+00,6.751333e+00,9.935445e+00,1.166568e+01,1.143426e+01
1.500713e+00,-1.800886e-01,1.996371e+00,-7.749857e+00,-1.512932e+01,-8.978138e+00,-5.711747e+00,-5.680191e+00,-4.087977e+00,-8.243901e+00,-9.319749e+00,-1.127042e+01,-1.735454e+01,-1.306205e+01,-1.181074e+01,-1.219498e+01,-1.562799e+01,-2.117168e+01,-2.424334e+01,-2.385215e+01,-2.624222e+01,-2.652975e+01,-3.134291e+01,-3.359912e+01,-3.195689e+01,-2.808520e+01,-2.247907e+01,-1.577893e+01,-1.329816e+01,-1.582121e+01,-1.102978e+01,-4.135917e+00,-2.428168e+00,-5.693723e+00,-6.131214e+00,-3.842048e+00,-1.511731e+00
2.161264e+00,1.835737e+00,3.404584e+00,-8.190607e+00,-1.132511e+01,-1.429397e+01,-1.173037e+01,-5.117535e+00,-6.971622e-02,9.330180e+00,1.206833e+01,1.790967e+00,-2.573703e+00,1.477487e+00,-8.713901e-02,3.608945e+00,7.137756e+00,4.180023e+00,8.133548e+00,1.357376e+01,1.237919e+01,1.135581e+01,7.751219e+00,8.303558e+00,6.432063e+00,6.826855e+00,2.751086e+00,2.139529e+00,-6.015533e+00,-1.686983e+01,-1.583192e+01,-4.808030e+00,-3.097813e+00,-1.080203e+01,-1.456402e+01,-1.293779e+01,-8.309221e+00
