Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30
-4.865081e+02,-4.626389e+02,-4.596267e+02,-4.633360e+02,-4.635743e+02,-4.595384e+02,-4.272585e+02,-3.013121e+02,-2.245266e+02,-1.826644e+02,-1.069548e+02,-5.896917e+01,-3.728757e+01,-1.626650e+01,-2.538584e+01,-6.958558e+01,-1.444717e+02,-2.266803e+02,-3.087340e+02,-3.820006e+02,-4.419490e+02,-4.573103e+02,-4.621732e+02,-4.614030e+02,-4.587222e+02,-4.591560e+02,-4.643955e+02,-4.659581e+02,-4.647183e+02,-4.889672e+02
1.037128e+02,1.092057e+02,1.142885e+02,1.147867e+02,1.132498e+02,1.127658e+02,1.175594e+02,8.216724e+01,7.072260e+01,6.878909e+01,6.502083e+01,5.649306e+01,6.030387e+01,9.651062e+01,1.276080e+02,1.447732e+02,1.585133e+02,1.738239e+02,1.726840e+02,1.528788e+02,1.232722e+02,1.128149e+02,1.120479e+02,1.126495e+02,1.131993e+02,1.109220e+02,1.113771e+02,1.133725e+02,1.127715e+02,9.981030e+01
1.000649e+00,-9.030487e+00,-5.163285e+00,8.605373e-01,2.331307e+00,-4.433158e+00,1.192569e+00,3.662316e+01,3.893801e+01,3.610020e+01,2.926551e+00,-1.921629e+01,-3.922177e+01,-5.313810e+01,-4.242949e+01,-2.638000e+01,-1.396017e+01,-1.464436e+01,-2.189452e+01,-2.269989e+01,-1.247484e+01,-4.636331e+00,1.191532e+00,-1.473832e+00,-6.638021e+00,-7.803726e+00,-4.144061e+00,-7.366622e-01,-2.438538e+00,5.317385e-01
-5.807470e+00,-5.168458e+00,-5.859241e+00,-4.100779e+00,2.452641e+00,-1.987781e+00,5.802835e+00,4.640154e+01,5.809118e+01,6.434171e+01,7.128091e+01,5.066625e+01,6.938971e+00,-3.521349e+01,-4.985042e+01,-4.526692e+01,-4.004580e+01,-2.893638e+01,-2.562832e+01,-2.316867e+01,-7.423116e+00,-2.849052e-01,4.630939e+00,2.110972e+00,-2.476555e+00,-2.723770e+00,-1.639518e+00,-2.724391e+00,-7.621852e-01,1.582097e+00
1.723666e+01,2.112124e+01,2.137061e+01,1.947353e+01,1.840423e+01,1.772760e+01,1.641251e+01,-2.863247e+01,-4.548774e+01,-5.914389e+01,-6.403055e+01,-5.974124e+01,-4.905067e+01,-5.276462e+01,-6.066412e+01,-5.804073e+01,-4.680948e+01,-3.367141e+01,-1.805340e+01,-7.143839e+00,1.515670e+01,1.739786e+01,1.778810e+01,2.102857e+01,2.093533e+01,2.045562e+01,1.752602e+01,1.517575e+01,1.728179e+01,1.691127e+01
1.110851e+01,5.318960e+00,5.229580e+00,8.675515e+00,3.721991e+00,2.845729e+00,2.025675e+01,5.985267e+01,6.860188e+01,6.222021e+01,5.339170e+01,5.593128e+01,7.616641e+01,8.942812e+01,8.761931e+01,8.149957e+01,6.580879e+01,3.996238e+01,1.695367e+01,5.841772e+00,1.065282e+01,4.799126e+00,3.235271e+00,9.595572e+00,1.246765e+01,1.292161e+01,1.097780e+01,9.080631e+00,6.830733e+00,1.044231e+01
6.745144e+00,8.337570e+00,5.190630e+00,8.468813e+00,1.095327e+01,1.026880e+01,9.703001e+00,-1.851968e+01,-2.485670e+01,-2.162187e+01,-2.991841e+01,-4.748705e+01,-4.994375e+01,-4.811349e+01,-5.057816e+01,-5.223063e+01,-4.471765e+01,-2.494467e+01,-3.028955e+00,8.572372e+00,1.727450e+01,1.589899e+01,1.120440e+01,1.516088e+01,1.410290e+01,1.454328e+01,1.522577e+01,1.390331e+01,1.308969e+01,1.482431e+01
4.891643e-01,2.286829e+00,3.148539e+00,2.002132e+00,5.303755e+00,2.334876e+00,-8.902319e+00,-4.716138e+00,7.659403e+00,8.004739e+00,1.666786e+00,1.225280e+01,2.888087e+01,3.520451e+01,3.421418e+01,2.977443e+01,2.532363e+01,1.082479e+01,3.478470e+00,6.840987e+00,3.949167e+00,8.321678e+00,5.832958e+00,8.966901e+00,4.724059e+00,-5.534828e-01,1.518938e+00,2.391351e+00,5.313875e+00,1.181524e+01
5.600401e-01,6.436458e+00,9.521348e+00,8.966325e+00,6.224468e+00,3.395138e+00,1.140678e+00,-1.366866e+01,-1.904744e+01,-2.636525e+01,-4.005429e+01,-3.483846e+01,-2.751502e+01,-2.312679e+01,-2.317955e+01,-2.247144e+01,-1.996411e+01,-1.336149e+01,1.127942e+00,9.737378e+00,8.125381e+00,1.216879e+01,1.270731e+01,1.096487e+01,9.350043e+00,7.507741e+00,1.650733e+00,4.768032e-01,2.337169e+00,3.114216e+00
4.958562e+00,3.722999e+00,2.413824e+00,1.853702e+00,-1.181275e+00,-1.237950e-01,-7.273669e+00,-1.925615e+00,6.377934e+00,1.013228e+01,1.644792e+01,2.844253e+01,3.127106e+01,3.081259e+01,3.061065e+01,2.524747e+01,1.312028e+01,3.660149e+00,7.996158e+00,1.241549e+01,6.642943e+00,7.583735e+00,8.301054e+00,2.354226e+00,3.395973e+00,9.394135e+00,7.293736e+00,5.589056e+00,7.136979e+00,3.390273e+00
