Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32
-5.054167e+02,-5.054167e+02,-5.054167e+02,-5.054167e+02,-5.054167e+02,-5.015717e+02,-4.539590e+02,-3.951978e+02,-3.549096e+02,-3.018346e+02,-2.359177e+02,-1.561803e+02,-1.096711e+02,-8.807678e+01,-9.756335e+01,-1.146401e+02,-1.391948e+02,-1.949928e+02,-2.729473e+02,-3.475115e+02,-3.895026e+02,-4.215636e+02,-4.594157e+02,-4.920812e+02,-5.050612e+02,-5.054167e+02,-5.054167e+02,-5.054167e+02,-5.054167e+02,-5.054167e+02,-5.054167e+02,-5.054167e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.314846e+00,6.022487e+01,7.309245e+01,7.187482e+01,7.520801e+01,9.545297e+01,1.128432e+02,1.067245e+02,1.060929e+02,1.447318e+02,1.905729e+02,2.115658e+02,2.116765e+02,1.927839e+02,1.551142e+02,1.196713e+02,9.149149e+01,5.526227e+01,1.760493e+01,4.960978e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.952881e+00,4.500240e+01,3.393771e+01,1.655619e+01,4.669679e+00,-1.640021e+01,-6.228779e+01,-8.656319e+01,-9.964063e+01,-1.086031e+02,-1.094444e+02,-8.398618e+01,-5.300940e+01,-1.292730e+01,1.983142e+01,2.818008e+01,3.337566e+01,3.293858e+01,1.440326e+01,4.766189e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.369118e+00,3.217638e+01,6.028461e+01,6.908131e+01,8.219245e+01,6.933110e+01,6.658243e+01,6.372693e+01,3.291402e+01,-1.254418e+01,-3.647511e+01,-5.204272e+01,-6.527524e+01,-7.172845e+01,-5.981967e+01,-3.290498e+01,-1.031051e+01,1.256261e+01,1.057720e+01,4.447206e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.591778e+00,1.000366e+01,-5.699866e+00,-1.970860e+01,-3.965860e+01,-6.407914e+01,-6.827618e+01,-4.156887e+01,-1.895050e+01,-2.891494e+01,-4.728508e+01,-5.127267e+01,-4.911374e+01,-4.401460e+01,-4.488200e+01,-3.123859e+01,-1.654358e+01,3.082240e+00,7.398322e+00,4.012453e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.658319e+00,-3.854851e+00,-2.553205e+01,-2.242277e+01,-2.028050e+01,-2.092878e+01,-3.100408e+01,-3.694487e+01,-3.849583e+01,-2.811546e+01,-2.161318e+01,-2.193485e+01,-2.234574e+01,-7.520264e+00,2.836825e+00,-8.931845e-01,-1.005448e+00,1.993702e+00,5.397960e+00,3.473267e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.613503e+00,-8.374611e+00,-2.250831e+00,1.962344e+00,8.159844e+00,1.215733e+01,6.271311e+00,-1.088052e+01,-3.148159e+01,-2.332116e+01,-6.470430e+00,4.768081e-01,5.729117e+00,9.128935e+00,1.503403e+01,1.080058e+01,7.120192e+00,1.264374e+00,4.237017e+00,2.843867e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.071357e-01,-1.482346e+01,-1.614909e+01,-1.752889e+01,-1.330259e+01,-1.186668e+01,-2.250143e+01,-2.537833e+01,-2.847544e+01,-2.794316e+01,-3.363872e+01,-3.179238e+01,-2.489216e+01,-1.742186e+01,-9.874571e+00,-4.144531e+00,-2.142131e+00,-3.007818e+00,3.131426e+00,2.140722e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-6.084778e-01,-1.914181e+01,-1.611747e+01,1.563449e+00,8.673697e+00,-2.756649e+00,-1.609490e+01,-2.037151e+01,-2.654684e+01,-2.682960e+01,-2.363651e+01,-2.425422e+01,-3.493148e+01,-3.537833e+01,-2.809170e+01,-2.064079e+01,-1.549616e+01,-7.967791e+00,1.471386e+00,1.382298e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.681153e+00,-1.898264e+01,-1.384249e+01,-5.291432e+00,-7.264070e+00,-1.878526e+01,-1.230214e+01,-3.711817e+00,9.360586e+00,1.245537e+01,6.525547e+00,1.106816e+00,-6.648871e+00,-1.192203e+01,-1.816150e+01,-2.098464e+01,-1.829498e+01,-9.650624e+00,-7.796008e-01,5.884033e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.661456e+00,-2.152154e+01,-2.479988e+01,-1.908834e+01,-1.485533e+01,-1.539576e+01,-5.898236e+00,-8.362318e+00,-5.191856e+00,4.058169e+00,1.439294e+01,1.215858e+01,5.134190e+00,1.478405e+00,-1.414480e+00,-1.196114e+01,-1.163161e+01,-8.600755e+00,-3.114381e+00,-2.201283e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.505109e+00,-2.182319e+01,-2.432046e+01,-2.013872e+01,-1.876715e+01,-1.741053e+01,-3.045098e+01,-2.107932e+01,-1.108086e+01,-7.078761e+00,-1.156835e+01,-4.253696e+00,-4.343513e+00,-5.533970e+00,-4.102627e-01,-7.072112e+00,-6.719935e+00,-8.608609e+00,-4.873999e+00,-1.022176e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
