Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29
-5.108751e+02,-5.108751e+02,-5.108751e+02,-5.108751e+02,-5.108751e+02,-4.745803e+02,-4.165028e+02,-3.769516e+02,-3.555899e+02,-3.167004e+02,-2.760458e+02,-2.192822e+02,-1.650282e+02,-1.315845e+02,-9.978725e+01,-1.009239e+02,-1.493160e+02,-2.077603e+02,-2.752547e+02,-3.435920e+02,-3.925476e+02,-4.427537e+02,-4.850387e+02,-5.077418e+02,-5.095873e+02,-5.093508e+02,-5.105252e+02,-5.108751e+02,-5.108751e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.180842e+01,7.345146e+01,7.202438e+01,6.018120e+01,6.211579e+01,7.552971e+01,9.749968e+01,1.163160e+02,1.239336e+02,1.377881e+02,1.663241e+02,2.116829e+02,2.120675e+02,1.963682e+02,1.586861e+02,1.195751e+02,7.735237e+01,3.237506e+01,3.749990e+00,1.265994e+00,1.324743e+00,2.982573e-01,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.826140e+01,3.590131e+01,2.713633e+01,1.223461e+01,-1.236185e+00,-7.548388e+00,-2.607340e+01,-7.077914e+01,-9.876617e+01,-9.783632e+01,-9.059332e+01,-8.681927e+01,-4.664226e+01,-1.303533e+01,1.167064e+01,2.743627e+01,3.767738e+01,2.213673e+01,2.134780e+00,3.208801e-02,-5.119312e-01,-1.351227e-01,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.482449e+01,6.176004e+01,8.183232e+01,8.491219e+01,8.791783e+01,8.379730e+01,8.490341e+01,8.357553e+01,5.288750e+01,-7.091740e+00,-4.450105e+01,-5.260900e+01,-6.828535e+01,-7.764708e+01,-6.264089e+01,-2.509171e+01,6.331389e+00,1.103872e+01,5.739167e-01,-9.330055e-01,-1.910191e+00,-4.610607e-01,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.824126e+01,2.450765e+01,6.820620e+00,-1.517040e+01,-3.937388e+01,-6.081417e+01,-7.191797e+01,-4.742899e+01,-2.573850e+01,-2.794977e+01,-3.648841e+01,-4.817638e+01,-5.436972e+01,-4.979898e+01,-4.059716e+01,-2.218982e+01,-7.739203e+00,3.795442e+00,-6.588991e-02,-9.268346e-01,-1.789919e+00,-4.207007e-01,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.818675e-01,-1.401738e+01,-1.802494e+01,-1.756598e+01,-2.281000e+01,-2.897028e+01,-4.546439e+01,-5.557507e+01,-4.475060e+01,-3.386246e+01,-2.345117e+01,-2.607932e+01,-2.402730e+01,-1.268287e+01,-2.491171e+00,-6.242751e+00,-1.147567e+01,1.753225e+00,3.696269e-01,-5.202597e-02,-2.886587e-01,-4.628570e-02,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.011378e+01,-9.687607e+00,-7.001337e-01,6.323011e+00,9.839893e+00,6.596890e+00,5.753053e+00,-3.213671e+00,-1.974760e+01,-2.355899e+01,-1.310064e+01,4.414098e+00,4.227032e+00,-8.120019e-01,8.532643e-01,-2.315370e+00,-8.269442e+00,2.561964e+00,1.234871e+00,8.764350e-01,1.365474e+00,3.646166e-01,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-8.362335e+00,-1.439509e+01,-1.550972e+01,-1.454418e+01,-1.651433e+01,-1.905186e+01,-2.060813e+01,-2.466194e+01,-2.426064e+01,-2.559470e+01,-3.032058e+01,-3.800362e+01,-2.734343e+01,-1.915949e+01,-1.165708e+01,-2.497965e+00,-4.380601e-01,2.371134e+00,1.559336e+00,1.000280e+00,1.852326e+00,4.856730e-01,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.077247e+01,-1.713524e+01,-8.538098e+00,3.067071e+00,7.467019e+00,3.370004e+00,-1.072742e+01,-1.459300e+01,-1.879889e+01,-3.233124e+01,-3.798910e+01,-3.579527e+01,-3.767735e+01,-2.833885e+01,-1.522460e+01,-3.367112e+00,1.933532e+00,-1.201774e+00,7.503519e-01,1.210631e-01,8.198754e-01,2.210328e-01,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.106940e+01,-2.274054e+01,-1.943390e+01,-1.829248e+01,-1.605664e+01,-1.841502e+01,-2.066303e+01,-1.795077e+01,-2.339632e+00,9.245289e+00,1.502146e+01,2.136202e+00,-1.044728e+01,-1.442774e+01,-1.272677e+01,-1.101646e+01,-7.029871e+00,-7.410331e+00,-9.702106e-01,-1.131613e+00,-8.481562e-01,-2.187660e-01,0.000000e+00,0.000000e+00
