Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40
-2.973153e+02,-2.679199e+02,-2.638745e+02,-2.624586e+02,-2.622210e+02,-2.660900e+02,-2.611273e+02,-2.401189e+02,-1.612800e+02,-1.213188e+02,-1.328984e+02,-1.449113e+02,-1.262801e+02,-1.071254e+02,-1.047741e+02,-1.046568e+02,-1.120191e+02,-1.202467e+02,-1.229722e+02,-1.223668e+02,-1.156099e+02,-1.068656e+02,-1.047859e+02,-1.003792e+02,-9.554594e+01,-9.512138e+01,-8.507001e+01,-7.850059e+01,-7.627050e+01,-7.861237e+01,-9.548257e+01,-9.220153e+01,-9.542254e+01,-1.376498e+02,-1.866697e+02,-2.286182e+02,-2.610684e+02,-2.702238e+02,-2.749582e+02,-3.001637e+02
1.131645e+02,1.097783e+02,1.057075e+02,1.060141e+02,1.071577e+02,1.043245e+02,1.030903e+02,1.155555e+02,1.269440e+02,1.265466e+02,1.309127e+02,1.435282e+02,1.377962e+02,1.014829e+02,6.160522e+01,5.286368e+01,5.187958e+01,5.537427e+01,6.176708e+01,5.946014e+01,5.394191e+01,5.104773e+01,5.017100e+01,5.792183e+01,6.215749e+01,6.380584e+01,6.581053e+01,7.724602e+01,8.744554e+01,9.565227e+01,1.025889e+02,1.131526e+02,1.201955e+02,1.220178e+02,1.217034e+02,1.159003e+02,1.070817e+02,1.067700e+02,1.085677e+02,1.005519e+02
-9.389162e+00,-1.187797e+01,-1.310824e+01,-1.072491e+01,-8.506221e+00,-9.616332e+00,-1.368575e+01,-1.295241e+01,-2.184401e+01,-2.620474e+01,-2.663419e+01,-3.021648e+01,-2.850801e+01,-1.759338e+01,-8.957006e+00,-1.373035e+01,-1.236416e+01,-1.029580e+01,-6.254856e+00,-8.313719e+00,-9.891754e+00,-1.537836e+01,-2.013833e+01,-2.704319e+01,-3.010898e+01,-3.588850e+01,-4.218848e+01,-4.649811e+01,-5.855169e+01,-7.418230e+01,-7.790923e+01,-8.780513e+01,-9.037352e+01,-6.902357e+01,-4.496486e+01,-2.551686e+01,-1.744648e+01,-1.729210e+01,-1.953290e+01,-1.900399e+01
6.452156e+00,6.585855e+00,1.261539e+01,1.345676e+01,1.266913e+01,1.525296e+01,1.935660e+01,6.561224e+00,-1.346179e+01,-1.318966e+01,2.232802e+00,2.205179e+01,2.326452e+01,1.567480e+01,-5.291935e+00,-2.189013e+01,-2.662934e+01,-3.073377e+01,-3.429856e+01,-3.748831e+01,-3.893843e+01,-4.140212e+01,-3.860824e+01,-4.110202e+01,-4.361909e+01,-4.856974e+01,-4.898525e+01,-4.690905e+01,-4.293242e+01,-4.487830e+01,-4.208012e+01,-4.639473e+01,-4.821339e+01,-3.931351e+01,-2.999698e+01,-1.565928e+01,-4.450922e+00,-7.859676e+00,-9.966188e+00,-8.162214e+00
9.337774e+00,9.027692e+00,1.069534e+01,1.065172e+01,1.075248e+01,1.073277e+01,8.770056e+00,-1.021745e+00,-2.044648e+01,-2.263780e+01,-1.257123e+01,-5.221417e+00,-2.000393e+01,-2.365232e+01,-1.241453e+01,-6.617581e+00,-1.476529e+00,4.950265e+00,5.578775e+00,6.703279e+00,2.857011e+00,-4.840596e-01,1.116583e-01,-1.393970e-01,-1.891541e-01,-6.323631e-01,-2.213190e+00,-2.739618e-01,-1.611384e+00,-3.366398e+00,-3.801274e-01,-2.428453e+00,6.190872e-02,9.658411e+00,1.465165e+01,1.529875e+01,9.205904e+00,8.180577e+00,1.382990e+01,1.869213e+01
2.607533e+00,6.266038e+00,7.533772e+00,2.417161e+00,3.102253e+00,7.349373e+00,8.388734e+00,-5.500537e-02,-1.443753e+01,-1.664123e+01,-2.350345e+01,-2.481521e+01,-1.811131e+01,-6.506250e+00,1.338460e+01,1.498017e+01,1.692878e+01,1.979076e+01,2.696980e+01,3.133664e+01,2.978149e+01,2.898590e+01,2.926627e+01,2.697521e+01,2.859626e+01,2.897157e+01,3.275952e+01,3.230341e+01,3.273834e+01,3.255741e+01,3.097281e+01,2.733482e+01,2.500714e+01,2.722393e+01,2.955577e+01,1.674141e+01,4.921234e+00,2.776145e+00,4.046699e+00,3.933187e+00
2.720724e+01,2.955098e+01,2.755811e+01,2.020203e+01,2.218323e+01,2.562164e+01,2.669912e+01,2.550068e+01,4.503082e+00,-1.124748e+01,-1.740067e+01,-1.526677e+01,-1.741087e+01,-1.780849e+01,-1.428150e+01,-1.772911e+01,-1.999352e+01,-2.039781e+01,-1.994097e+01,-2.275596e+01,-2.811634e+01,-2.434689e+01,-2.604901e+01,-2.424862e+01,-2.215826e+01,-2.177177e+01,-2.275260e+01,-2.088237e+01,-2.087319e+01,-1.904282e+01,-1.473520e+01,-1.377825e+01,-1.486962e+01,-9.530441e+00,-1.458030e+00,3.547151e+00,1.155652e+01,1.751589e+01,1.798440e+01,1.976390e+01
-8.192537e+00,-5.967860e+00,-8.249193e+00,-1.133635e+01,-1.096793e+01,-8.371918e+00,-1.061752e+01,-7.100753e+00,1.474521e+01,1.871751e+01,1.065657e+01,-5.040808e+00,-2.401087e-02,8.603530e+00,1.101506e+01,1.128773e+01,1.536127e+01,2.205576e+01,2.723877e+01,2.645054e+01,2.727762e+01,3.003622e+01,3.167646e+01,2.871729e+01,3.224480e+01,3.596430e+01,3.774670e+01,3.776227e+01,3.461102e+01,3.059504e+01,2.496411e+01,2.014971e+01,1.663730e+01,1.546745e+01,1.178818e+01,2.395090e+00,8.805020e-01,-9.657785e-01,8.398240e-01,4.355939e+00
1.292954e+01,1.395974e+01,1.541247e+01,1.478420e+01,1.450291e+01,1.437317e+01,1.327144e+01,1.792898e+01,1.538588e+01,1.055424e+01,7.883062e+00,3.808056e+00,2.893435e+00,8.433626e+00,6.520081e+00,1.271712e+00,2.820660e+00,3.008064e+00,2.805758e-01,5.924377e-01,4.542429e-01,4.894809e-01,5.323992e-01,5.271060e-01,-1.886928e-01,-3.021861e+00,-3.811233e+00,8.842535e-01,1.744389e+00,6.943871e+00,8.549967e+00,5.628999e+00,5.125191e+00,1.336072e+00,-1.030971e+00,8.695784e+00,1.271188e+01,1.252944e+01,1.529828e+01,1.851721e+01
4.755697e+00,5.252978e+00,1.041623e+01,6.621736e+00,1.900763e+00,1.193455e+00,2.106074e+00,9.146772e+00,-1.769353e-01,-7.298197e+00,-7.060287e+00,-1.286100e+01,-1.154438e+01,-7.303415e+00,-7.480901e+00,-1.025497e+01,-5.850345e+00,-8.129793e-01,1.932232e-01,1.017932e-01,-1.667640e+00,-1.078883e+00,-2.115716e+00,-3.032264e+00,-5.069725e+00,-6.092721e+00,-9.577904e+00,-6.859386e+00,-9.328348e+00,-1.619148e+01,-2.031305e+01,-1.603224e+01,-1.782603e+01,-1.725311e+01,-1.370967e+01,-2.055219e+00,-2.501268e+00,-4.298673e+00,-4.927090e+00,1.413887e+00
