Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32
-4.866473e+02,-4.689826e+02,-4.673524e+02,-4.568943e+02,-4.329468e+02,-4.238693e+02,-3.436814e+02,-2.577497e+02,-2.017733e+02,-1.420867e+02,-1.124154e+02,-1.232275e+02,-9.801363e+01,-7.433778e+01,-6.838177e+01,-5.929819e+01,-2.926076e+01,-3.760187e+01,-9.605946e+01,-1.868262e+02,-2.765848e+02,-3.685200e+02,-4.326506e+02,-4.634711e+02,-4.719314e+02,-4.751447e+02,-4.728548e+02,-4.706494e+02,-4.718802e+02,-4.721681e+02,-4.745779e+02,-4.833701e+02
6.926512e+01,7.911758e+01,7.892709e+01,8.380426e+01,9.263802e+01,9.718191e+01,1.397845e+02,1.550811e+02,1.392705e+02,1.280223e+02,1.394046e+02,1.494764e+02,1.106891e+02,7.057669e+01,6.418068e+01,7.057643e+01,9.274770e+01,1.135796e+02,1.354926e+02,1.567879e+02,1.626656e+02,1.480538e+02,1.084699e+02,8.347023e+01,7.872296e+01,7.893147e+01,8.049623e+01,8.103303e+01,7.905293e+01,7.798691e+01,7.791908e+01,7.094978e+01
1.577448e+01,8.854223e+00,7.903124e+00,2.311995e+00,-1.407368e+01,-1.954150e+01,-1.747739e+01,-2.807748e+01,-3.739936e+01,-6.238555e+01,-7.542101e+01,-6.799022e+01,-5.675496e+01,-4.223406e+01,-2.645785e+01,-3.400151e+01,-4.957716e+01,-4.118480e+01,-2.806868e+01,-3.260535e+00,5.174724e+00,-2.239110e+00,4.613486e-02,8.234158e+00,1.382666e+01,1.711263e+01,1.470630e+01,1.248831e+01,1.121362e+01,1.067035e+01,1.311603e+01,1.447048e+01
-3.268925e+00,-6.515072e+00,-4.161536e+00,-5.360888e+00,-1.214944e+01,-1.876425e+01,-7.148741e+00,1.140633e+01,3.505478e+01,4.961546e+01,4.995406e+01,5.182708e+01,3.684104e+01,1.813408e+01,-5.761386e-01,-2.522119e+01,-5.318845e+01,-6.365240e+01,-6.679226e+01,-5.425926e+01,-4.540651e+01,-4.266213e+01,-2.921785e+01,-9.058084e+00,-4.239864e+00,-5.874832e+00,-7.640552e+00,-6.528497e+00,-5.389886e+00,-2.710591e+00,-4.848231e+00,-4.025842e+00
8.472328e+00,9.521395e+00,1.275100e+01,1.712763e+01,1.746891e+01,1.243313e+01,-6.304931e+00,-1.921785e+01,-2.502353e+01,-3.342830e+01,-3.955021e+01,-4.364956e+01,-4.966217e+01,-4.452705e+01,-3.100980e+01,-2.556582e+01,-3.819492e+01,-4.550687e+01,-4.436131e+01,-3.829700e+01,-3.006490e+01,-1.463236e+01,-3.292949e+00,8.674874e+00,8.080978e+00,3.208057e+00,5.168614e+00,1.108412e+01,1.416767e+01,1.828119e+01,1.246254e+01,8.411286e+00
1.241966e+01,1.238411e+01,1.376860e+01,1.569699e+01,1.624430e+01,1.376917e+01,6.832642e-01,1.304556e+01,1.674047e+01,1.672656e+01,4.642320e+00,-1.619391e+00,1.072680e+01,1.821189e+01,3.837423e+01,6.570778e+01,7.879884e+01,7.598724e+01,7.349363e+01,5.325864e+01,2.916003e+01,7.478374e+00,9.062996e+00,1.396671e+01,1.394432e+01,1.133992e+01,1.311827e+01,1.725904e+01,1.956013e+01,2.101019e+01,1.833733e+01,1.450993e+01
4.290360e-01,3.629922e+00,4.522779e+00,1.699468e+00,1.044790e+01,1.020737e+01,-1.663121e+01,-2.542313e+01,-2.542451e+01,-2.777500e+01,-2.834510e+01,-2.165403e+01,-2.649323e+01,-3.246319e+01,-4.487156e+01,-5.161695e+01,-5.099548e+01,-5.614408e+01,-5.498087e+01,-3.721244e+01,-2.241160e+01,-5.038892e+00,2.365624e+00,4.893384e+00,6.870803e+00,7.289628e+00,1.011548e+01,9.416494e+00,9.675320e+00,9.442715e+00,9.947465e+00,6.724447e+00
-6.351861e+00,-3.404415e-02,3.475474e+00,2.775974e+00,1.275150e+01,1.473423e+01,-1.374590e+01,-1.582592e+01,-2.014941e+00,-8.929647e-01,-4.292098e+00,-5.475769e+00,2.118700e+01,4.021226e+01,4.599991e+01,3.554761e+01,2.880390e+01,2.620859e+01,2.094974e+01,1.384026e+01,6.295536e+00,-9.756163e-01,2.111466e+00,3.961362e+00,4.838469e+00,3.376587e+00,6.223379e+00,4.664583e+00,6.114575e+00,8.044641e+00,6.532809e+00,1.094991e+00
-5.504646e-01,1.268499e+00,3.551653e+00,8.335826e+00,1.025119e+01,1.165641e+01,2.207015e+01,3.170776e+01,1.696232e+01,7.338469e+00,-5.721303e+00,-1.339874e+01,-2.495531e+01,-1.646892e+01,-4.093657e+00,-5.922272e+00,-1.054275e+01,-1.179082e+01,-1.305938e+01,-1.026893e+01,-4.941743e+00,1.911767e+00,9.120228e+00,6.237265e+00,5.940389e+00,3.760618e+00,2.348036e+00,1.304609e+00,6.652937e+00,1.038078e+01,7.890821e+00,2.745738e+00
2.803647e+00,1.227343e+00,-9.997236e-01,2.759138e+00,1.407961e+00,9.430173e-01,6.457250e+00,1.724135e-01,-3.599000e+00,-3.073104e+00,-5.477875e+00,-1.006888e+01,3.250124e+00,1.911410e+01,1.545611e+01,1.661601e+01,2.365820e+01,2.557413e+01,2.384874e+01,1.474078e+01,8.156938e+00,1.008941e+01,1.296615e+01,8.013803e-02,-2.716784e-01,2.387704e+00,-1.903727e+00,-3.935468e+00,2.862492e+00,5.658913e+00,6.804580e+00,4.153184e+00
-5.070428e+00,-3.117336e+00,-1.159025e+00,5.564525e-01,-9.893713e-01,2.951367e-01,-2.597972e+00,-6.097414e+00,1.292173e-01,5.312778e+00,4.830626e+00,6.467107e+00,-3.064174e+00,-1.495732e+01,-2.483948e+01,-2.142587e+01,-2.454409e+01,-2.376315e+01,-1.314162e+01,1.842496e+00,2.732120e+00,4.459854e+00,1.030301e+01,-3.783037e+00,-3.302924e+00,4.176566e-01,-4.533809e+00,-6.102311e+00,-1.742327e+00,9.437226e-02,3.031140e+00,1.227343e+00
