Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27
-5.097209e+02,-4.977780e+02,-5.004386e+02,-4.999837e+02,-4.901448e+02,-4.385583e+02,-3.140163e+02,-2.075738e+02,-1.444628e+02,-1.156891e+02,-1.072211e+02,-7.723965e+01,-5.452022e+01,-6.122763e+01,-1.083367e+02,-1.837453e+02,-2.704401e+02,-3.633671e+02,-4.218311e+02,-4.696560e+02,-4.926160e+02,-4.974736e+02,-5.016334e+02,-5.030411e+02,-5.000661e+02,-5.025220e+02,-5.066871e+02
3.758034e+01,4.822294e+01,4.694013e+01,4.630164e+01,5.332875e+01,8.945038e+01,1.109069e+02,1.044325e+02,9.326040e+01,6.602013e+01,4.769737e+01,5.151652e+01,7.137509e+01,9.182658e+01,1.097417e+02,1.325591e+02,1.500129e+02,1.383643e+02,1.008521e+02,6.688479e+01,5.371199e+01,5.090578e+01,4.687905e+01,4.635944e+01,4.888131e+01,4.673882e+01,4.262641e+01
1.122071e+01,1.207152e+01,1.454384e+01,1.257285e+01,9.173794e+00,9.043667e+00,-1.856765e+01,-3.772637e+01,-5.357175e+01,-4.729254e+01,-3.134884e+01,-4.730991e+01,-6.384098e+01,-5.822598e+01,-4.295272e+01,-2.625231e+01,-1.842550e+01,-1.515781e+01,-1.071431e+01,2.250312e+00,1.457491e+01,1.701196e+01,1.624862e+01,1.800913e+01,1.774655e+01,1.760910e+01,1.707471e+01
1.503984e+00,1.107459e+00,3.732902e+00,2.429117e+00,-3.029636e+00,8.968641e+00,2.377093e+01,1.841868e+01,1.190752e+01,5.370884e+00,-1.028467e+01,-2.920936e+01,-4.738623e+01,-5.497858e+01,-4.964484e+01,-4.255186e+01,-4.303086e+01,-3.490070e+01,-2.580063e+01,-1.007086e+01,1.926341e+00,3.452794e+00,3.380283e+00,4.643788e+00,3.900406e+00,3.890293e+00,5.185269e+00
1.032511e+01,1.424231e+01,1.447556e+01,1.355453e+01,1.078009e+01,1.912264e+01,1.825390e+01,-7.552114e+00,-2.355298e+01,-2.525199e+01,-2.757378e+01,-2.782192e+01,-3.048662e+01,-3.912304e+01,-3.825388e+01,-2.800743e+01,-1.499350e+01,4.651433e+00,1.097336e+01,1.155066e+01,1.342832e+01,1.282486e+01,1.047798e+01,8.739401e+00,9.852348e+00,8.938438e+00,9.032052e+00
1.706179e+01,2.102913e+01,1.987119e+01,1.857527e+01,1.755540e+01,3.051783e+00,-6.625753e-01,6.301876e+00,1.099712e+01,1.812885e+01,3.271999e+01,5.301448e+01,5.738651e+01,5.968462e+01,6.098623e+01,4.923298e+01,3.657281e+01,2.033629e+01,2.036882e+01,1.860091e+01,1.883013e+01,1.938469e+01,1.563898e+01,1.270635e+01,1.540268e+01,1.472269e+01,1.356974e+01
1.061335e+01,1.025739e+01,9.506889e+00,9.698650e+00,9.663095e+00,-2.212135e+00,-1.340452e+01,-1.954852e+01,-2.462965e+01,-2.994707e+01,-3.687437e+01,-4.134634e+01,-5.056423e+01,-5.539588e+01,-4.961748e+01,-4.473547e+01,-3.161030e+01,-4.163090e+00,2.355775e+00,4.064192e+00,9.701872e+00,9.721740e+00,8.161983e+00,7.588617e+00,9.390184e+00,9.989910e+00,1.075546e+01
3.505798e-03,-2.244936e+00,-1.583211e+00,1.111300e+00,4.070412e-01,1.406646e+00,1.811150e+01,2.954844e+01,3.432797e+01,4.518316e+01,5.059856e+01,4.116682e+01,3.296690e+01,2.716735e+01,2.368842e+01,1.774742e+01,1.243067e+00,-7.244324e+00,-6.179863e+00,-3.748631e+00,6.889296e-01,-3.152000e+00,-1.231332e+00,5.589750e-01,-9.297680e-01,7.133180e-02,4.102184e+00
-4.279432e+00,-4.401412e+00,-2.141239e+00,5.866119e-01,-1.780352e+00,-6.356730e+00,-2.467876e+00,-1.419715e+01,-2.111074e+01,-2.549168e+01,-2.078136e+01,-9.504141e+00,-2.161715e+00,-5.066334e-01,-9.351391e-01,3.778900e+00,3.271941e+00,1.663223e-01,4.980512e+00,6.420836e+00,-6.994730e-01,-4.930363e+00,-2.105581e+00,-3.711196e-01,-4.501364e+00,-5.017415e+00,-8.800231e-01
-3.741443e+00,-1.607492e+00,8.580430e-01,1.315400e+00,-7.978331e-02,-1.113448e+01,-2.016031e+01,-2.040737e+01,-1.212493e+01,9.766186e-01,7.984374e+00,1.108244e+01,1.033093e+01,1.469976e+01,1.789588e+01,8.078186e+00,5.893557e+00,6.263498e-01,7.614302e+00,1.019659e+01,-3.141259e-01,-4.468560e-02,9.968994e-01,2.506302e+00,-2.768804e-01,-2.828560e+00,-1.938772e+00
-4.080224e+00,-1.689238e+00,-1.008973e+00,-2.586557e+00,-2.405460e+00,-4.544810e+00,-3.536711e+00,6.921765e-01,4.339487e+00,1.697901e+00,-1.657277e+01,-2.526445e+01,-2.655560e+01,-2.741152e+01,-1.765638e+01,-4.987839e+00,4.854332e+00,-4.572392e+00,-5.550829e+00,-2.443617e-01,-2.931619e+00,-1.654169e-01,-6.517211e-01,1.560820e+00,2.911441e+00,2.216946e-01,-1.384519e+00
-5.064022e+00,-3.659943e+00,-4.393394e+00,-6.567682e+00,-8.600014e+00,-8.520834e+00,1.935179e+00,2.155291e+00,-5.446866e+00,-1.040087e+01,-9.559798e+00,-5.888759e+00,-3.329137e+00,-1.195632e+01,-1.819088e+01,-1.824851e+01,-1.748241e+01,-1.364962e+01,-1.171030e+01,-7.202511e+00,-6.144102e+00,-5.022056e+00,-5.573856e+00,-4.481508e+00,-8.239478e-01,-1.898511e+00,-3.481648e+00
-3.455873e+00,-3.832307e+00,-3.348780e+00,-3.654414e+00,-7.924081e+00,-1.540865e+01,-3.258847e+01,-3.140895e+01,-3.567299e+01,-3.976912e+01,-3.681137e+01,-3.200422e+01,-2.133030e+01,-9.157194e+00,-1.103161e+01,-2.020409e+01,-1.625459e+01,-1.176506e+01,-6.279556e+00,-4.874705e+00,-4.707414e+00,-5.095181e+00,-5.882565e+00,-8.157365e+00,-5.273174e+00,-5.882535e+00,-6.816742e+00
