Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28
-5.040359e+02,-4.881558e+02,-4.901697e+02,-4.024086e+02,-2.078763e+02,-1.258835e+02,-1.083749e+02,-1.181833e+02,-1.048393e+02,-9.940120e+01,-1.069661e+02,-8.804852e+01,-6.351266e+01,-5.804201e+01,-8.915634e+01,-1.494880e+02,-2.307299e+02,-3.281844e+02,-4.081030e+02,-4.652407e+02,-4.840429e+02,-4.812488e+02,-4.780837e+02,-4.808891e+02,-4.890811e+02,-4.952408e+02,-4.917824e+02,-4.885909e+02
4.612568e+01,5.882192e+01,5.768696e+01,8.875519e+01,9.823209e+01,9.665036e+01,1.098130e+02,1.141942e+02,9.903200e+01,6.831244e+01,5.322429e+01,5.048052e+01,6.692602e+01,9.597676e+01,1.114227e+02,1.309291e+02,1.542132e+02,1.579096e+02,1.241810e+02,7.729607e+01,6.389301e+01,6.677696e+01,6.950699e+01,6.873453e+01,5.883217e+01,5.343129e+01,5.777817e+01,5.959869e+01
1.799316e+01,1.716116e+01,1.689305e+01,7.468452e+00,-2.418272e+01,-3.281715e+01,-3.735219e+01,-4.496253e+01,-5.059634e+01,-3.695120e+01,-2.383775e+01,-3.335259e+01,-5.636962e+01,-5.421532e+01,-4.077467e+01,-2.481958e+01,-1.298360e+01,3.719377e+00,5.319397e+00,9.215391e+00,1.782482e+01,1.914523e+01,1.817077e+01,2.123931e+01,1.588858e+01,1.678272e+01,1.884644e+01,1.787890e+01
5.923873e+00,3.059848e+00,2.608453e+00,-1.885045e+01,-1.970087e+01,1.334853e+00,6.537334e+00,1.117833e+01,1.458834e+01,1.269828e+01,-3.600617e+00,-2.069433e+01,-3.556748e+01,-4.821881e+01,-4.700066e+01,-4.126392e+01,-4.096717e+01,-3.344480e+01,-2.715783e+01,-1.328091e+01,1.178675e-01,1.435977e+00,-1.632084e+00,-9.894832e-01,-1.380943e+00,2.148160e+00,1.434393e+00,3.046474e+00
1.145589e+01,1.170829e+01,1.250320e+01,1.562970e+01,-4.339546e+00,1.518553e-01,3.914016e+00,-1.162300e+01,-2.838194e+01,-3.345495e+01,-2.671214e+01,-2.575866e+01,-2.765221e+01,-3.756257e+01,-4.095357e+01,-3.200163e+01,-1.545063e+01,-1.001455e+00,4.046085e+00,7.851517e+00,9.598073e+00,1.195831e+01,1.063996e+01,6.386649e+00,7.961780e+00,8.456472e+00,7.783247e+00,1.258273e+01
1.630166e+01,1.714639e+01,1.786542e+01,1.307195e+01,1.950272e+01,1.366644e+01,6.198312e+00,6.959516e+00,1.094638e+01,2.322263e+01,3.921580e+01,5.765337e+01,6.242818e+01,6.390080e+01,6.304893e+01,6.113996e+01,5.294505e+01,2.927340e+01,1.769726e+01,2.244149e+01,1.515329e+01,1.791348e+01,1.996679e+01,1.572182e+01,1.644445e+01,1.278513e+01,1.426724e+01,1.745973e+01
9.623473e+00,8.602805e+00,9.659733e+00,-1.895669e+01,-4.069162e+01,-4.742930e+01,-4.431470e+01,-3.799744e+01,-3.439942e+01,-4.029532e+01,-4.160356e+01,-4.457541e+01,-5.148318e+01,-5.181169e+01,-4.953719e+01,-4.842191e+01,-3.665086e+01,-1.139033e+01,3.324342e+00,1.196431e+01,7.021582e+00,8.556586e+00,1.135887e+01,1.141694e+01,1.212004e+01,8.496157e+00,1.084395e+01,1.085873e+01
-5.714568e-01,2.757727e-01,2.029756e+00,-5.274413e+00,-1.546102e+00,1.032978e+01,1.183406e+01,1.302903e+01,3.156577e+01,4.611299e+01,4.619248e+01,3.581410e+01,2.985929e+01,3.249638e+01,2.964637e+01,2.361771e+01,7.737600e+00,-2.798826e+00,-6.588537e+00,-3.458840e+00,-1.848649e+00,-2.455555e+00,-1.813171e+00,1.036048e+00,3.241051e+00,3.607345e+00,5.604151e+00,4.686929e+00
-3.269642e+00,1.029062e+00,3.316247e+00,7.746758e+00,8.903738e-01,-8.590630e+00,-1.075724e+01,-1.205675e+01,-2.205959e+01,-2.982555e+01,-2.088132e+01,-1.479813e+01,-1.242441e+01,-6.412757e+00,-6.334760e+00,-3.596798e+00,-4.918670e+00,-8.819313e+00,-2.713765e+00,-5.912728e+00,-2.621723e+00,-3.884709e+00,-4.578021e+00,-2.547149e+00,-6.412807e-01,2.582079e+00,4.246756e+00,2.742790e+00
2.233996e-01,1.483544e+00,6.069001e+00,1.457140e+01,1.916602e+01,1.569066e+01,5.019928e+00,-9.419886e+00,-2.018395e+00,1.355417e+01,1.678576e+01,1.288556e+01,1.115834e+01,1.200525e+01,1.438031e+01,1.665104e+01,1.273741e+01,3.021173e+00,3.774730e+00,1.841921e+00,1.713226e+00,1.837736e+00,2.125671e+00,2.214787e+00,2.046855e+00,3.664163e+00,3.847172e+00,1.374969e+00
