Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26
-4.657969e+02,-4.536350e+02,-4.497840e+02,-3.622411e+02,-2.645477e+02,-1.781831e+02,-1.101185e+02,-7.083253e+01,-6.462408e+01,-8.608250e+01,-1.215707e+02,-1.413252e+02,-1.432185e+02,-1.515483e+02,-1.808853e+02,-2.345076e+02,-2.932488e+02,-3.382006e+02,-3.860371e+02,-4.312291e+02,-4.473758e+02,-4.450197e+02,-4.362051e+02,-4.408775e+02,-4.477023e+02,-4.601938e+02
2.202354e+01,3.442291e+01,3.916247e+01,8.505230e+01,1.151056e+02,1.246919e+02,9.911375e+01,6.652229e+01,4.654583e+01,4.833372e+01,6.517120e+01,7.502739e+01,9.749105e+01,1.239463e+02,1.537368e+02,1.698552e+02,1.672101e+02,1.482798e+02,1.083733e+02,6.135519e+01,4.169561e+01,4.239032e+01,4.908199e+01,4.462823e+01,3.922861e+01,2.982711e+01
9.228498e+00,1.283041e+01,1.612371e+01,5.842545e+00,-3.134439e+01,-6.297256e+01,-6.801859e+01,-5.553402e+01,-2.861019e+01,-1.283555e+01,-1.307793e+01,-1.066651e+01,-1.502482e+01,-1.828947e+01,-5.506148e+00,1.763712e+01,3.802596e+01,4.790582e+01,4.157355e+01,2.721419e+01,1.529462e+01,1.275529e+01,1.297749e+01,1.170987e+01,1.125047e+01,1.511690e+01
2.524990e+00,1.903177e+00,3.870119e+00,3.585189e+01,4.255949e+01,3.717059e+01,2.816806e+01,1.077381e+01,-6.105640e+00,-1.668635e+01,-2.645813e+01,-2.873716e+01,-3.335904e+01,-3.942278e+01,-5.176488e+01,-4.861455e+01,-3.113454e+01,-1.360485e+01,-2.279546e+00,1.357103e+00,-1.331984e+00,-1.437911e+00,-2.761895e+00,-2.656635e+00,-1.723238e+00,3.601220e+00
4.095022e+00,4.110142e+00,4.837528e+00,3.487540e+01,3.131058e+01,-4.774952e-01,-3.249110e+01,-4.573179e+01,-4.192381e+01,-3.439281e+01,-2.790432e+01,-3.232861e+01,-3.828930e+01,-3.456723e+01,-3.207440e+01,-2.826503e+01,-1.773884e+01,-1.095583e+01,-8.062917e+00,-6.324777e+00,-4.787326e-01,4.821752e+00,7.116855e+00,6.027040e+00,3.341937e+00,5.765487e-01
7.613159e+00,7.915792e+00,7.296755e+00,-8.701706e+00,-6.595630e+00,-1.096402e+01,7.846694e+00,1.417056e+01,1.729154e+01,2.429137e+01,3.362451e+01,3.966926e+01,4.326936e+01,3.893668e+01,3.398759e+01,2.333772e+01,1.094702e+01,2.812588e+00,-3.361541e+00,-4.086386e+00,7.558990e+00,1.357166e+01,1.352534e+01,1.223509e+01,9.391953e+00,3.370305e+00
9.440441e+00,8.514263e+00,6.438310e+00,-3.199004e+01,-3.891004e+01,-4.802935e+01,-6.176906e+01,-6.190211e+01,-5.507565e+01,-5.709872e+01,-5.292260e+01,-5.248517e+01,-5.109404e+01,-5.304168e+01,-5.098260e+01,-3.820235e+01,-2.006639e+01,-1.152362e+01,-7.995101e+00,-9.738314e-01,1.200193e+01,1.332237e+01,9.615206e+00,8.450430e+00,8.773355e+00,7.492022e+00
1.060371e+01,1.000529e+01,6.410061e+00,6.671849e+00,-1.443732e+00,3.511509e+00,2.792533e+01,3.777136e+01,3.734239e+01,3.004674e+01,2.286189e+01,2.006110e+01,1.945947e+01,1.571942e+01,2.300249e+00,-3.665821e+00,-1.279872e+01,-1.444770e+01,-1.187972e+01,2.124880e+00,1.200440e+01,9.895586e+00,6.317230e+00,4.388752e+00,8.632229e+00,1.071069e+01
1.043650e+01,1.227815e+01,7.883145e+00,1.686454e+01,3.193846e+01,4.095468e+01,2.446007e+01,1.331528e+01,1.201852e+01,1.598670e+01,1.163082e+01,7.605392e+00,4.674439e+00,2.994229e+00,-6.049532e+00,-8.738108e+00,-5.252092e+00,-4.497276e+00,-3.556776e+00,5.751117e+00,1.084179e+01,9.432480e+00,1.049693e+01,7.170665e+00,1.141778e+01,1.152509e+01
6.408151e+00,9.735952e+00,6.035500e+00,-2.901916e+01,-3.281042e+01,-2.910005e+01,-1.785857e+01,-2.501045e+00,6.755098e+00,1.652206e+01,2.061657e+01,2.286847e+01,2.745082e+01,2.840631e+01,2.165383e+01,1.878977e+01,2.390310e+01,1.855098e+01,6.883791e+00,6.590240e+00,8.963772e+00,7.699350e+00,9.656319e+00,7.257147e+00,9.533581e+00,8.256767e+00
1.241801e-01,2.046366e+00,-8.303899e-01,-5.816159e+00,1.009862e+01,2.333936e+01,1.694472e+01,2.606047e+00,-5.893108e+00,-1.222863e+01,-1.322010e+01,-1.464030e+01,-9.749720e+00,4.621340e-01,6.964882e+00,7.854758e+00,1.043944e+01,9.665302e+00,5.598385e+00,3.408061e+00,5.512968e+00,1.121336e+00,1.324046e-01,8.530000e-01,1.110787e+00,1.732353e+00
-3.092341e+00,-4.275492e+00,-8.141901e+00,1.027205e+01,3.097355e+01,2.480400e+01,8.052387e+00,7.592278e+00,1.159415e+00,-6.374975e+00,-1.569264e+01,-2.117947e+01,-1.842699e+01,-1.743585e+01,-1.198632e+01,-1.481131e+01,-4.663423e+00,-6.999657e+00,-2.870368e+00,4.080220e-02,1.328292e+00,-4.510519e+00,-6.193901e+00,-2.819200e+00,-4.722878e+00,-3.829695e+00
-1.491128e+00,-5.199906e+00,-1.059999e+01,-2.272028e+01,-3.039601e+01,-3.279776e+01,-1.854114e+01,-1.410552e+01,-1.223039e+01,-9.203298e+00,-1.542770e+01,-2.158576e+01,-2.130841e+01,-2.005235e+01,-6.041289e+00,4.239544e+00,-2.950120e+00,-1.199935e+01,-6.080938e+00,-1.855813e+00,-2.243204e+00,-3.670024e+00,-3.696778e+00,-5.590589e-01,-2.670817e+00,-4.957296e+00
