Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25
-4.732975e+02,-4.626469e+02,-4.579794e+02,-4.204147e+02,-3.277795e+02,-2.453235e+02,-1.834759e+02,-1.337955e+02,-1.025942e+02,-9.178615e+01,-8.927428e+01,-1.154659e+02,-1.182909e+02,-9.904111e+01,-8.954595e+01,-1.015257e+02,-1.349485e+02,-1.989678e+02,-2.631223e+02,-3.183633e+02,-3.657864e+02,-4.228192e+02,-4.576068e+02,-4.620418e+02,-4.690745e+02
1.325336e+01,2.591858e+01,3.110691e+01,6.276038e+01,1.072075e+02,1.208492e+02,1.236757e+02,1.164835e+02,8.120845e+01,5.490067e+01,4.974632e+01,5.566769e+01,5.028850e+01,4.992820e+01,6.864206e+01,9.609149e+01,1.297927e+02,1.544447e+02,1.575423e+02,1.442021e+02,1.161310e+02,6.676686e+01,3.113702e+01,2.699902e+01,1.944958e+01
8.295926e+00,1.585389e+01,1.807167e+01,2.386843e+01,6.422318e+00,-2.029515e+01,-5.149831e+01,-6.888287e+01,-5.604152e+01,-4.231899e+01,-3.994732e+01,-3.206452e+01,-3.468677e+01,-4.219534e+01,-5.399218e+01,-5.579856e+01,-4.730180e+01,-2.309628e+01,1.337947e+01,2.732961e+01,2.743167e+01,2.614769e+01,1.674615e+01,1.720057e+01,1.471831e+01
3.980115e+00,7.429966e+00,7.552031e+00,1.418268e+01,3.319399e+01,2.913461e+01,1.822315e+01,2.258236e+01,1.692418e+01,5.042367e+00,-2.177283e+00,-9.988644e+00,-1.839740e+01,-2.118920e+01,-2.648306e+01,-3.687186e+01,-4.530251e+01,-5.562872e+01,-4.438860e+01,-2.667876e+01,-1.625078e+01,-9.971526e-01,4.707486e+00,8.684624e+00,9.884331e+00
2.622317e+00,4.313123e+00,4.348586e+00,8.894228e+00,2.157674e+01,7.021807e-01,-1.796983e+01,-3.180501e+01,-3.803743e+01,-4.320550e+01,-4.063044e+01,-3.673285e+01,-3.746078e+01,-4.177686e+01,-4.122684e+01,-3.858170e+01,-3.487084e+01,-2.694139e+01,-1.755577e+01,-4.294496e+00,-4.153759e+00,-4.840360e+00,9.199437e-01,5.563843e+00,7.117359e+00
4.089318e+00,5.210266e+00,6.273396e+00,-6.105473e+00,-1.924155e+01,-1.596646e+01,-1.124354e+01,-1.941819e+00,9.146718e+00,2.421675e+01,3.564351e+01,3.889254e+01,4.298370e+01,4.510594e+01,4.301574e+01,4.270441e+01,3.759552e+01,3.396487e+01,2.392256e+01,1.458141e+01,8.939426e+00,-6.743391e-01,3.357967e+00,6.883072e+00,6.712904e+00
6.569842e+00,7.388562e+00,9.190935e+00,-7.522989e+00,-2.608476e+01,-3.168880e+01,-3.293695e+01,-3.722462e+01,-3.973114e+01,-3.799920e+01,-3.567745e+01,-3.051966e+01,-3.508543e+01,-3.653159e+01,-4.122083e+01,-4.624023e+01,-4.154450e+01,-3.556744e+01,-2.674147e+01,-1.339085e+01,-4.288400e+00,-4.983526e-01,6.532240e+00,9.050465e+00,7.204183e+00
8.001350e+00,8.911535e+00,1.086941e+01,3.275268e+00,8.990896e-01,1.075625e+01,2.066075e+01,3.190775e+01,3.984736e+01,3.927255e+01,3.918060e+01,3.451781e+01,3.234919e+01,3.236016e+01,2.451613e+01,1.612465e+01,1.419829e+01,1.193205e+01,1.155917e+00,-6.728740e+00,-1.136434e+01,-1.077263e+00,7.179837e+00,9.273856e+00,6.653808e+00
7.069000e+00,7.901258e+00,1.009127e+01,7.423590e-01,5.633846e+00,1.767011e+01,2.326093e+01,2.433406e+01,1.040085e+01,7.562933e+00,1.246881e+01,1.602313e+01,1.601894e+01,1.390919e+01,1.074410e+01,6.827512e+00,9.698630e+00,8.864428e+00,1.264087e+00,-4.731772e+00,-4.796039e+00,1.920738e+00,5.348550e+00,6.793386e+00,4.094476e+00
3.875655e+00,2.985078e+00,5.805221e+00,-1.309026e+01,-2.266816e+01,-1.843172e+01,-2.192297e+01,-2.392595e+01,-4.507919e+00,2.556729e+00,1.728124e+00,8.620075e-01,1.297068e+00,4.380656e+00,5.024575e+00,6.186379e+00,1.146404e+01,1.069140e+01,1.608405e+01,1.618233e+01,7.903657e+00,4.385717e+00,2.249578e+00,2.475982e+00,1.997949e-01
