Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35
-5.156938e+02,-5.156938e+02,-5.156938e+02,-5.156938e+02,-5.156938e+02,-5.156938e+02,-5.156938e+02,-5.156938e+02,-4.979640e+02,-3.675475e+02,-3.058369e+02,-2.632679e+02,-1.594765e+02,-7.892772e+01,-7.137106e+01,-1.014808e+02,-9.744094e+01,-1.013301e+02,-1.240984e+02,-1.751893e+02,-2.610934e+02,-3.610749e+02,-4.224778e+02,-4.700910e+02,-5.069804e+02,-5.156938e+02,-5.156938e+02,-5.155189e+02,-5.135289e+02,-5.128942e+02,-5.153364e+02,-5.154777e+02,-5.143024e+02,-5.130706e+02,-5.133052e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.336119e+01,1.241841e+02,1.556270e+02,1.554240e+02,1.673590e+02,1.365525e+02,1.143694e+02,1.028981e+02,1.459754e+02,1.988524e+02,2.139478e+02,2.145301e+02,1.937164e+02,1.421125e+02,9.839778e+01,5.309587e+01,9.250120e+00,0.000000e+00,0.000000e+00,-2.123471e-02,2.505547e+00,3.364058e+00,4.802893e-01,1.803859e-01,7.596472e-02,7.043914e-01,1.147528e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.865392e+01,1.765300e+00,-2.568050e+01,-4.972947e+01,-7.997706e+01,-7.179890e+01,-7.834180e+01,-8.574069e+01,-1.063829e+02,-1.073654e+02,-7.786644e+01,-5.144781e+01,-2.045179e+01,1.108829e+01,2.984806e+01,2.760359e+01,2.774220e+00,0.000000e+00,0.000000e+00,-2.438538e-01,1.203466e+00,1.945857e+00,4.072856e-01,-9.233790e-02,-1.244515e+00,-1.075240e+00,-4.387192e-02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.210834e+01,-8.433212e+00,-1.079020e+01,-2.037533e+00,7.822530e+00,-9.949639e-01,-2.816927e+00,-1.359647e+01,-3.545540e+01,-4.227174e+01,-4.613070e+01,-5.190517e+01,-6.357206e+01,-5.024463e+01,-1.638065e+01,5.348286e+00,-1.823626e+00,0.000000e+00,0.000000e+00,6.307888e-02,-2.158585e-02,5.347596e-01,2.937661e-01,-2.879981e-01,6.071049e-01,1.972493e+00,2.120215e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.245949e+00,1.287300e+01,2.993184e+01,2.390936e+01,-4.417458e+00,-1.330604e+01,-1.224955e+01,-1.547942e+01,-4.051456e+01,-6.564330e+01,-7.411955e+01,-7.506754e+01,-6.251310e+01,-4.074054e+01,-1.992431e+01,-4.066965e+00,-2.137403e+00,0.000000e+00,0.000000e+00,2.330299e-01,-5.042039e-01,-1.891698e-01,1.510971e-01,-2.462212e-01,8.033154e-01,1.268458e+00,8.831658e-01
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-5.086553e-01,-2.784401e+01,-3.175910e+01,-3.410398e+01,-2.738260e+01,-1.947972e+01,-1.526145e+01,-1.024702e+01,-4.963337e+00,-1.560173e+01,-2.178732e+01,-2.824934e+01,-2.370098e+01,-4.228365e+00,-6.629556e+00,-4.878745e+00,-3.829278e-01,0.000000e+00,0.000000e+00,-1.030657e-01,-2.201725e-01,-1.782605e-01,-6.447814e-03,-2.827302e-03,-6.879318e-01,-1.940332e+00,-1.974554e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.235920e+00,-5.470228e+01,-6.350548e+01,-5.445086e+01,-5.520889e+01,-5.825508e+01,-4.897830e+01,-3.752000e+01,-1.755496e+01,-9.696550e+00,1.440864e+00,1.415199e+01,1.617844e+01,1.077762e+01,-4.652390e+00,-6.108828e+00,9.346567e-02,0.000000e+00,0.000000e+00,-2.153444e-01,2.296753e-01,-3.921904e-03,-1.631202e-01,2.403759e-01,8.408678e-02,-2.706656e-01,-5.667087e-01
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-5.742550e+00,-1.544650e+01,-1.512685e+01,-1.030159e+01,-1.659877e+01,-4.491040e+00,-3.055566e+00,-8.491698e+00,-2.306489e+01,-3.899482e+01,-3.613857e+01,-3.179690e+01,-1.656006e+01,-9.349171e+00,-1.307724e+01,-9.942364e+00,-1.062112e+00,0.000000e+00,0.000000e+00,1.400178e-01,1.189914e-01,-3.630679e-01,-3.032843e-01,2.828490e-01,5.417869e-01,7.247643e-01,7.525205e-02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-5.531446e+00,9.793927e+00,9.661695e+00,1.664380e+00,-5.911478e-01,-2.493510e+00,-6.609045e-02,-7.215092e+00,-1.847188e+01,-2.446903e+01,-3.254870e+01,-3.264954e+01,-3.219441e+01,-2.126568e+01,-1.570705e+01,-1.121999e+01,-1.392293e+00,0.000000e+00,0.000000e+00,1.913183e-01,-8.091043e-01,-1.489026e+00,-4.129883e-01,9.104006e-02,-1.277879e+00,-2.721420e+00,-2.812846e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.545529e+00,-1.587072e+01,-1.714281e+01,-2.383955e+01,-2.230458e+01,-3.706375e+00,5.711703e+00,1.618041e+01,1.722435e+01,1.725855e+00,-1.089364e+01,-1.149655e+01,-1.244485e+01,-1.621618e+01,-8.025464e+00,-6.588241e+00,5.617449e-01,0.000000e+00,0.000000e+00,-1.728471e-01,-2.112222e+00,-2.924458e+00,-4.813409e-01,-1.745345e-01,-8.541939e-01,-2.335045e+00,-2.457300e+00
