Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36
-5.144416e+02,-5.133663e+02,-5.143862e+02,-5.154276e+02,-5.164119e+02,-5.164119e+02,-5.164119e+02,-5.164119e+02,-5.164119e+02,-5.164119e+02,-5.164119e+02,-4.974949e+02,-3.493724e+02,-2.529763e+02,-2.131602e+02,-1.816803e+02,-1.132927e+02,-8.236653e+01,-1.105868e+02,-1.313922e+02,-1.102119e+02,-1.074922e+02,-1.333079e+02,-1.855833e+02,-2.632443e+02,-3.357335e+02,-3.881165e+02,-4.311138e+02,-4.693394e+02,-5.082019e+02,-5.155441e+02,-5.161152e+02,-5.163021e+02,-5.164119e+02,-5.164119e+02,-5.164119e+02
8.553963e-01,2.264276e+00,1.815931e+00,1.005517e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.439222e+01,1.248230e+02,1.380710e+02,1.436127e+02,1.600162e+02,1.636155e+02,1.404000e+02,1.180991e+02,1.305549e+02,1.756107e+02,2.100632e+02,2.156856e+02,2.117062e+02,1.953423e+02,1.665179e+02,1.336902e+02,9.422542e+01,5.458508e+01,1.060274e+01,1.180728e+00,4.028991e-01,1.490002e-01,0.000000e+00,0.000000e+00,0.000000e+00
-1.408750e+00,-7.858927e-01,-9.874012e-03,1.027801e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.808196e+01,-1.612487e+01,-6.804510e+01,-7.980505e+01,-7.886907e+01,-7.916776e+01,-8.068205e+01,-8.922882e+01,-1.110610e+02,-1.157072e+02,-9.360480e+01,-7.007341e+01,-4.637480e+01,-2.009176e+01,1.074042e+01,3.461308e+01,3.729362e+01,2.809669e+01,7.909744e+00,1.044850e+00,3.544148e-01,1.310705e-01,0.000000e+00,0.000000e+00,0.000000e+00
-6.383012e-01,-1.461450e+00,-8.536698e-01,-7.325547e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.809183e+00,-1.907195e+01,-1.776695e-02,1.754626e+01,1.251279e+01,-4.064523e+00,-1.247796e+01,-8.727345e+00,-2.015352e+01,-3.689444e+01,-4.405815e+01,-4.842791e+01,-6.002041e+01,-7.286124e+01,-6.295537e+01,-3.254812e+01,-6.299148e+00,5.977219e+00,4.383616e+00,8.299779e-01,2.778824e-01,1.027665e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.599790e-02,-1.587895e+00,-1.052887e+00,-1.008460e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.961969e+00,2.900656e+00,7.216780e+00,6.153378e+00,-2.186048e+00,-1.583623e+01,-1.785783e+01,-2.372552e+01,-4.176746e+01,-6.503616e+01,-7.317024e+01,-8.170175e+01,-8.035640e+01,-6.061295e+01,-4.395396e+01,-3.243896e+01,-1.391643e+01,-1.444540e+00,1.046963e+00,5.525501e-01,1.793587e-01,6.633082e-02,0.000000e+00,0.000000e+00,0.000000e+00
-1.470394e+00,-2.633043e+00,-1.520854e+00,-6.618243e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.584736e+00,-2.253053e+01,-3.125977e+01,-2.850728e+01,-1.935022e+01,-1.745996e+01,-1.510001e+01,-1.494538e+01,-5.711455e+00,-8.142728e+00,-1.587655e+01,-2.005023e+01,-1.683038e+01,-6.922900e+00,4.899513e+00,-2.488818e-01,5.858579e-02,6.460841e-01,-1.297845e+00,2.337811e-01,6.664072e-02,2.464508e-02,0.000000e+00,0.000000e+00,0.000000e+00
-1.293719e+00,-1.852075e+00,-1.609605e+00,-6.627210e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-6.070542e+00,-3.909993e+01,-3.804346e+01,-3.707201e+01,-4.708212e+01,-5.528009e+01,-4.938979e+01,-3.888760e+01,-1.786108e+01,-6.193389e+00,-1.706565e+00,6.480937e+00,1.607862e+01,1.816562e+01,1.831636e+01,1.413864e+01,8.147090e+00,1.313645e+00,-2.321615e+00,-1.019992e-01,-5.135109e-02,-1.899086e-02,0.000000e+00,0.000000e+00,0.000000e+00
1.636337e+00,1.374761e+00,-5.287536e-01,2.842405e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-5.919303e+00,-1.743850e+01,-1.823332e+01,-2.788897e+01,-3.519256e+01,-2.834682e+01,-1.732710e+01,-1.798800e+01,-2.967326e+01,-3.604917e+01,-4.602710e+01,-4.238011e+01,-3.779472e+01,-2.228413e+01,-8.540761e+00,1.522511e+00,9.389150e-01,-2.867762e+00,-2.190260e+00,-4.292045e-01,-1.652791e-01,-6.112352e-02,0.000000e+00,0.000000e+00,0.000000e+00
2.493412e+00,2.898957e+00,7.161203e-01,1.646695e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.336707e+00,3.153719e-01,-2.482071e+00,3.924406e+00,1.257518e+01,1.684867e+00,-3.521382e+00,-5.417009e+00,-1.256982e+01,-2.034952e+01,-2.729058e+01,-3.083048e+01,-3.178766e+01,-2.938421e+01,-2.145769e+01,-1.283293e+01,-9.333280e+00,-6.280149e+00,-1.387075e+00,-7.229700e-01,-2.661243e-01,-9.841710e-02,0.000000e+00,0.000000e+00,0.000000e+00
5.215047e-02,1.157439e+00,7.768348e-01,-2.207218e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.701072e+00,-3.265538e+00,-1.670749e-01,-4.731813e+00,-1.128008e+01,-4.606169e+00,1.360018e+00,6.807069e+00,8.018604e+00,5.827323e+00,-5.824803e-01,-8.333688e+00,-6.256804e+00,-3.223820e+00,-1.028399e+01,-1.160737e+01,-9.982318e+00,-3.961313e+00,-4.586400e-01,-9.610711e-01,-3.459139e-01,-1.279259e-01,0.000000e+00,0.000000e+00,0.000000e+00
