Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24
-5.050578e+02,-4.898871e+02,-4.901302e+02,-4.468595e+02,-3.512420e+02,-2.688683e+02,-2.144644e+02,-1.715202e+02,-1.182345e+02,-7.270131e+01,-4.519448e+01,-6.703983e+01,-1.201562e+02,-1.071681e+02,-9.549806e+01,-1.180336e+02,-1.757169e+02,-2.488973e+02,-3.164821e+02,-3.788912e+02,-4.331345e+02,-4.840771e+02,-4.887252e+02,-4.918411e+02
2.247707e+01,3.752214e+01,3.954599e+01,8.426153e+01,1.134412e+02,1.035538e+02,8.604784e+01,6.500626e+01,5.466842e+01,4.018071e+01,1.723731e+01,1.114838e+01,2.485652e+01,3.122540e+01,5.817606e+01,9.120601e+01,1.320518e+02,1.632416e+02,1.611194e+02,1.365916e+02,9.058759e+01,4.376295e+01,3.863564e+01,3.706149e+01
9.316654e+00,1.211788e+01,1.782177e+01,4.286806e+01,3.614915e+01,1.826942e+01,1.414063e-01,-1.297050e+01,-2.494248e+01,-2.973433e+01,-4.158488e+01,-3.920982e+01,-2.822533e+01,-3.903242e+01,-5.699114e+01,-6.096940e+01,-4.132936e+01,-4.941478e+00,1.161501e+01,1.117555e+01,1.416806e+01,1.399606e+01,1.197405e+01,1.544531e+01
9.377662e-01,-2.920970e+00,2.722672e+00,2.546513e+01,3.697941e+01,4.191829e+01,3.661234e+01,2.801394e+01,7.705390e+00,-2.829426e+00,-4.923045e-01,-4.129845e+00,-2.561233e+01,-3.576548e+01,-4.393229e+01,-5.486300e+01,-5.887305e+01,-6.222592e+01,-4.903646e+01,-3.988975e+01,-2.595416e+01,-4.724944e+00,-3.754899e+00,1.476371e+00
1.424420e+00,-1.531717e+00,8.611683e-01,9.474056e+00,1.569557e+01,-1.093130e+00,-2.090411e+01,-2.633213e+01,-4.404957e+01,-4.870931e+01,-4.443584e+01,-4.193518e+01,-3.473944e+01,-4.380523e+01,-3.661385e+01,-3.729946e+01,-3.452439e+01,-2.693962e+01,-1.746927e+01,-1.561480e+01,-1.687171e+01,-4.777273e+00,-1.003426e+00,2.222411e+00
5.552050e+00,5.041255e+00,5.307114e+00,-1.075836e+01,-1.268966e+01,-2.672594e+00,6.598001e+00,9.881870e+00,6.156655e+00,8.044653e+00,2.438405e+01,3.514847e+01,4.150542e+01,5.208430e+01,5.341972e+01,5.500303e+01,4.464738e+01,3.551366e+01,1.802050e+01,2.886187e+00,2.448247e-01,1.784024e+00,8.353859e+00,9.446472e+00
7.451904e+00,7.585238e+00,8.139475e+00,-1.112058e+01,-2.823882e+01,-3.542574e+01,-3.532462e+01,-3.852729e+01,-3.663261e+01,-3.798661e+01,-3.468060e+01,-3.623405e+01,-4.466187e+01,-4.627433e+01,-4.957557e+01,-4.518391e+01,-3.968841e+01,-3.011696e+01,-1.585698e+01,-6.746715e+00,9.162406e-01,4.602933e+00,1.228896e+01,1.303262e+01
6.676489e+00,7.249135e+00,8.045618e+00,-7.454066e+00,8.048921e+00,1.290507e+01,2.030822e+01,2.153762e+01,2.954864e+01,3.662610e+01,3.837881e+01,3.731715e+01,3.632812e+01,2.535902e+01,1.752211e+01,1.662066e+01,1.653867e+01,1.179587e+01,-1.142295e+00,-7.968410e+00,-8.591816e-01,5.048318e+00,1.032977e+01,1.132629e+01
5.339737e+00,6.718381e+00,6.473919e+00,-2.170941e+01,-3.030188e+01,-2.495392e+01,-1.908940e+01,-2.340969e+01,-1.052723e+01,-4.089995e+00,-1.027475e+00,-3.273245e-01,2.646002e+00,-3.859840e+00,-3.159296e+00,-3.274844e+00,3.394788e+00,5.664536e+00,4.816867e+00,4.862675e+00,6.387736e+00,6.361065e+00,6.897619e+00,7.739548e+00
3.701355e+00,4.194085e+00,3.269326e+00,-2.731581e+01,-2.487454e+01,-2.142544e+01,-2.149988e+01,-2.676547e+01,-1.334651e+01,-6.837414e+00,-3.560695e+00,-4.170890e+00,-1.330477e+00,8.930560e+00,1.244620e+01,1.002360e+01,1.140288e+01,1.274776e+01,1.169059e+01,7.076416e+00,1.015280e+01,6.030979e+00,3.215656e+00,3.801346e+00
1.182703e+00,-1.273353e+00,-1.482552e+00,-1.217503e+01,1.088811e+00,2.928022e+00,5.194901e+00,1.552550e+00,-1.011288e+01,-1.773581e+01,-1.888163e+01,-2.513774e+01,-2.848303e+01,-2.128041e+01,-1.554883e+01,-1.457786e+01,-5.921204e+00,-3.525974e+00,-5.699489e+00,-5.398161e+00,2.021791e-01,1.598322e+00,-6.709867e-01,-4.884632e-01
-9.464992e-01,-5.607471e+00,-5.158599e+00,-6.860096e+00,7.834957e+00,6.667290e+00,2.029553e+00,-7.998436e-01,-1.087427e+00,1.151872e+01,1.447791e+01,9.528320e+00,-6.115311e+00,-1.349423e+01,-1.082528e+01,-1.372517e+01,-1.746367e+01,-1.992011e+01,-1.527699e+01,-1.506370e+01,-1.302261e+01,-3.751266e+00,-2.726342e+00,-3.279109e+00
-1.105600e+00,-4.841773e+00,-5.104585e+00,-1.243071e+01,-7.400285e+00,-2.574536e+00,-1.314931e+01,-2.141935e+01,-3.745086e+01,-4.089643e+01,-4.238734e+01,-3.627294e+01,-3.270126e+01,-3.035014e+01,-2.977023e+01,-2.310827e+01,-1.340378e+01,-7.448742e+00,-1.105271e+01,-1.740767e+01,-1.690454e+01,-5.679560e+00,-2.253214e+00,-2.632760e+00
