Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30
-4.848339e+02,-4.697615e+02,-4.668684e+02,-4.601808e+02,-3.804870e+02,-2.832726e+02,-2.100933e+02,-1.674271e+02,-1.450685e+02,-1.323337e+02,-9.741264e+01,-7.626507e+01,-8.640382e+01,-1.134576e+02,-1.067603e+02,-8.240874e+01,-7.495536e+01,-8.738425e+01,-1.167762e+02,-1.593902e+02,-2.215816e+02,-2.949205e+02,-3.648134e+02,-4.350454e+02,-4.728565e+02,-4.732613e+02,-4.748249e+02,-4.753094e+02,-4.737971e+02,-4.820152e+02
1.269656e+01,2.594158e+01,2.864341e+01,3.273075e+01,9.454566e+01,1.073342e+02,8.270117e+01,6.076255e+01,5.136803e+01,4.517756e+01,5.268073e+01,5.505410e+01,3.244154e+01,2.406105e+01,2.693684e+01,2.406662e+01,3.787283e+01,6.005010e+01,8.947825e+01,1.203658e+02,1.481047e+02,1.472993e+02,1.195847e+02,6.398521e+01,2.716801e+01,2.510837e+01,2.524944e+01,2.620516e+01,2.783339e+01,1.859101e+01
9.789080e+00,1.447104e+01,1.384588e+01,1.567816e+01,4.471116e+01,3.143018e+01,1.161055e+01,-5.316958e+00,-1.171023e+01,-2.422530e+00,-6.428893e+00,-1.883787e+01,-2.477857e+01,-2.879195e+01,-3.558145e+01,-5.633627e+01,-6.383808e+01,-6.640102e+01,-5.578740e+01,-3.367175e+01,-1.011037e+01,1.038358e+01,1.358831e+01,2.053807e+01,1.353313e+01,1.035385e+01,1.349074e+01,1.591286e+01,1.643895e+01,1.209683e+01
8.157961e+00,9.091049e+00,6.612063e+00,9.789205e+00,3.690063e+01,2.880639e+01,2.421753e+01,2.027729e+01,1.602308e+01,9.290776e+00,-1.132772e+01,-1.859674e+01,-1.630162e+01,-1.788304e+01,-2.466049e+01,-2.844608e+01,-3.550019e+01,-4.223054e+01,-4.487355e+01,-4.710253e+01,-4.680255e+01,-3.285356e+01,-2.323252e+01,-4.814153e+00,4.454587e+00,2.891992e+00,6.163036e+00,7.829602e+00,7.493539e+00,6.430190e+00
2.589564e+00,4.478351e-01,-6.022345e-01,-1.775135e+00,2.824563e+00,-2.292713e+00,-1.362624e+01,-1.912663e+01,-1.165128e+01,-1.537879e+01,-4.064814e+01,-4.806417e+01,-4.330945e+01,-2.725722e+01,-2.868161e+01,-3.144240e+01,-2.906635e+01,-2.594586e+01,-2.651912e+01,-2.460768e+01,-1.555593e+01,-5.193059e+00,-8.078238e+00,-8.981333e+00,2.711455e+00,3.891108e+00,5.685792e+00,6.532110e+00,5.992016e+00,4.927897e+00
4.863967e+00,8.292578e+00,9.486995e+00,9.812359e+00,-3.060268e+00,9.449766e+00,1.422206e+01,1.676120e+01,2.173473e+01,2.572756e+01,2.451880e+01,1.940109e+01,2.877965e+01,4.440379e+01,4.718526e+01,5.214203e+01,5.384642e+01,4.874131e+01,4.702010e+01,4.115122e+01,3.136755e+01,1.553511e+01,4.437310e+00,-5.957911e+00,6.200918e+00,8.863468e+00,9.169309e+00,1.030202e+01,9.994602e+00,7.370303e+00
6.738608e+00,1.165073e+01,1.431074e+01,1.579383e+01,-1.204009e+01,-3.466677e+01,-4.035654e+01,-4.466375e+01,-4.634406e+01,-4.449780e+01,-3.128855e+01,-2.618557e+01,-2.457508e+01,-2.221683e+01,-2.830007e+01,-2.959941e+01,-3.076663e+01,-3.995780e+01,-4.489393e+01,-4.315257e+01,-3.068645e+01,-1.483857e+01,-7.098846e+00,-5.103393e+00,9.664807e+00,9.040549e+00,9.957279e+00,1.405987e+01,1.404233e+01,1.059096e+01
4.516309e+00,4.952820e+00,7.792706e+00,4.126478e+00,-6.370187e+00,6.267266e+00,1.831335e+01,2.093772e+01,2.363041e+01,2.320588e+01,3.595095e+01,4.110492e+01,4.530563e+01,4.511832e+01,4.023170e+01,3.689268e+01,3.647738e+01,3.157887e+01,2.708099e+01,1.908504e+01,8.464260e+00,-3.005308e+00,-7.598725e+00,7.516470e-01,1.093213e+01,5.076011e+00,7.053961e+00,1.411185e+01,1.429170e+01,1.129704e+01
6.692105e+00,8.229761e+00,9.980217e+00,7.308932e+00,-1.221056e+00,2.499777e+00,-1.565736e+00,-6.285160e+00,-8.187709e+00,-7.033161e+00,4.748840e+00,7.188865e+00,1.026069e+01,1.351534e+01,1.193619e+01,1.080687e+01,1.054832e+01,8.890454e+00,9.628223e+00,1.412975e+01,2.005218e+01,1.774783e+01,1.550450e+01,1.478951e+01,1.096455e+01,4.327476e+00,5.241390e+00,1.034700e+01,1.053687e+01,8.545147e+00
3.660635e+00,2.574935e+00,3.222829e+00,1.214976e+00,-2.023808e+01,-2.265354e+01,-2.520802e+01,-2.777612e+01,-2.642309e+01,-1.989371e+01,-1.528748e+01,-1.112872e+01,-1.546076e+01,-1.275789e+01,-1.322375e+01,-9.696009e+00,-4.485857e+00,5.578247e-01,5.594430e+00,6.507521e+00,4.799519e+00,1.394837e+01,1.703390e+01,1.759764e+01,7.532884e+00,3.966341e+00,4.249255e+00,5.211184e+00,5.041518e+00,3.977662e+00
-7.172677e-01,-3.634510e+00,-4.221705e+00,-1.020920e+01,-1.860353e+01,-1.534616e+01,-1.371215e+01,-1.908845e+01,-1.450450e+01,-1.762980e+01,-3.251939e+01,-3.168050e+01,-3.288521e+01,-3.490819e+01,-3.354276e+01,-2.928118e+01,-2.113452e+01,-1.643527e+01,-1.312322e+01,-1.354407e+01,-1.317782e+01,-1.392064e+01,-2.512830e+00,4.089074e+00,1.757906e+00,2.079886e+00,2.534000e+00,1.217208e+00,5.020542e-01,8.856827e-02
1.830938e-01,1.148283e+00,-5.302122e-01,-4.931222e+00,3.723564e+00,7.677794e+00,9.514107e+00,1.126760e+01,1.416218e+01,2.775266e+00,-4.806165e+00,1.604972e+00,3.825900e+00,-1.669348e+00,-7.487313e+00,-1.144439e+01,-1.247062e+01,-6.825525e+00,1.269299e+00,-4.074267e+00,-3.850161e+00,-5.699862e-01,-5.851539e+00,-7.063784e+00,-1.583176e+00,8.036992e-01,4.879012e-01,-9.379883e-01,-1.517632e+00,-1.678764e+00
-2.569940e+00,-2.294532e+00,-3.363172e+00,-5.364958e+00,-1.360221e+01,-1.568647e+01,-1.955482e+01,-2.092424e+01,-2.344217e+01,-2.520044e+01,-2.576839e+01,-2.640905e+01,-2.299451e+01,-2.829226e+01,-2.371289e+01,-2.149662e+01,-2.176835e+01,-1.693585e+01,-1.058801e+01,-7.443333e+00,-3.127181e+00,-5.899899e+00,-7.819332e+00,-8.890733e+00,-2.873780e+00,-1.404517e+00,-2.424926e+00,-2.212713e+00,-1.277152e+00,-1.526378e+00
