Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28
-4.927879e+02,-4.723367e+02,-4.677329e+02,-4.678838e+02,-4.764065e+02,-4.723530e+02,-3.999352e+02,-2.968683e+02,-2.277456e+02,-1.542955e+02,-9.179236e+01,-7.653789e+01,-8.661850e+01,-8.627185e+01,-8.333165e+01,-9.673923e+01,-1.314843e+02,-1.755445e+02,-2.381787e+02,-3.206127e+02,-3.942366e+02,-4.407191e+02,-4.675659e+02,-4.730088e+02,-4.734659e+02,-4.719510e+02,-4.683582e+02,-4.820846e+02
4.984869e+01,6.505544e+01,6.804059e+01,6.841203e+01,6.132143e+01,6.704472e+01,8.449316e+01,6.816975e+01,5.583527e+01,5.803435e+01,4.662865e+01,2.848759e+01,3.078674e+01,3.489948e+01,4.219158e+01,5.609676e+01,7.533878e+01,9.629913e+01,1.109815e+02,1.220765e+02,1.144917e+02,8.885435e+01,7.271434e+01,6.816008e+01,6.843277e+01,6.983702e+01,7.390724e+01,5.792821e+01
1.886538e+01,1.441286e+01,1.181033e+01,1.242813e+01,1.303280e+01,2.081260e+01,3.885328e+01,4.333434e+01,3.729388e+01,1.907743e+01,1.707813e-01,-5.643864e+00,-1.669831e+00,-6.401846e+00,-1.282484e+01,-1.464766e+01,-1.105422e+01,-9.806911e+00,-6.117821e+00,-4.251148e+00,-7.208030e+00,2.092608e+00,1.975438e+01,2.106824e+01,2.101186e+01,2.284281e+01,2.379216e+01,1.406377e+01
8.273027e+00,3.303619e+00,-1.112302e+00,-2.079658e+00,-1.185035e-01,1.030915e+01,3.380167e+01,5.123116e+01,5.929516e+01,4.977274e+01,3.214803e+01,2.039804e+01,4.862332e-01,-1.552451e+01,-2.045832e+01,-2.416903e+01,-1.966596e+01,-1.843225e+01,-2.618535e+01,-2.837927e+01,-2.709633e+01,-2.008279e+01,1.200989e+00,5.474350e+00,2.012102e+00,5.893529e+00,3.938145e+00,-1.913896e+00
1.627715e+01,1.907257e+01,1.497255e+01,1.175820e+01,1.177065e+01,1.938053e+01,1.509162e+01,-1.471633e+01,-3.815562e+01,-4.657474e+01,-4.764182e+01,-4.587635e+01,-3.806408e+01,-3.436864e+01,-3.240071e+01,-3.606464e+01,-3.567308e+01,-2.785963e+01,-1.836979e+01,-3.376955e+00,9.077024e+00,9.149961e+00,1.353715e+01,1.653454e+01,1.180385e+01,1.372421e+01,1.260698e+01,9.453586e+00
1.936574e+01,2.204543e+01,1.810248e+01,1.372026e+01,1.464534e+01,1.613915e+01,4.497713e+01,5.743407e+01,6.077091e+01,5.895587e+01,4.626092e+01,4.471608e+01,5.039345e+01,6.230292e+01,7.055455e+01,7.160243e+01,7.030209e+01,6.711823e+01,5.695704e+01,3.756831e+01,2.478921e+01,2.191235e+01,1.931667e+01,1.946511e+01,1.839036e+01,1.455066e+01,1.573265e+01,1.600658e+01
1.072171e+01,1.152834e+01,8.878073e+00,5.444734e+00,7.452751e+00,5.799699e+00,-3.703260e+00,-2.818521e+01,-3.790648e+01,-3.394270e+01,-3.995633e+01,-4.359293e+01,-5.036509e+01,-5.344512e+01,-4.728211e+01,-4.746868e+01,-4.809238e+01,-4.605068e+01,-3.800029e+01,-1.549958e+01,3.697167e+00,8.650522e+00,9.562503e+00,9.122211e+00,1.122538e+01,6.364419e+00,6.320362e+00,7.328292e+00
1.771732e+00,4.695458e+00,4.952296e+00,4.290985e+00,3.338787e+00,-2.292567e-01,5.474716e+00,2.405733e+01,3.421444e+01,3.482872e+01,3.737894e+01,3.790205e+01,3.166867e+01,2.805093e+01,2.932979e+01,2.609949e+01,2.518452e+01,2.354827e+01,2.164484e+01,1.232113e+01,1.999154e+00,3.639116e-01,1.700313e+00,3.855841e+00,4.489353e+00,4.755421e+00,1.979180e+00,-6.738392e-01
-3.480045e-01,2.881594e+00,6.056347e+00,7.013218e+00,3.215558e+00,-2.546456e+00,-7.242175e+00,-7.056280e+00,-1.063884e+01,-2.406459e+01,-2.318731e+01,-1.269951e+01,-2.587250e+00,3.288059e+00,4.175488e+00,-1.087512e+00,-6.622388e+00,-9.234984e+00,-5.752645e+00,-5.989261e+00,2.248783e+00,3.747790e+00,4.508573e+00,7.683912e+00,5.192255e+00,7.894074e+00,5.891265e+00,1.159825e+00
6.396465e-01,2.614547e+00,6.699010e+00,6.434894e+00,4.890530e+00,8.863736e-01,-2.163857e+01,-1.919000e+01,-1.817603e+01,-8.368711e+00,3.810395e+00,8.691797e+00,8.676927e+00,1.078168e+01,1.443107e+01,1.579202e+01,1.759065e+01,1.123185e+01,3.587857e+00,1.015910e+00,3.763692e+00,6.634161e+00,1.062878e+01,9.866011e+00,6.225023e+00,5.779220e+00,5.967874e+00,5.096651e+00
