Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36
-4.981907e+02,-4.840466e+02,-4.766938e+02,-4.486634e+02,-4.288040e+02,-4.177824e+02,-3.993081e+02,-3.762629e+02,-2.856284e+02,-1.899822e+02,-1.535923e+02,-1.590276e+02,-1.621392e+02,-1.598123e+02,-1.579433e+02,-1.596880e+02,-1.576001e+02,-1.587525e+02,-1.541357e+02,-1.353466e+02,-1.161583e+02,-9.922235e+01,-1.078134e+02,-1.325973e+02,-1.605412e+02,-2.279231e+02,-3.001363e+02,-3.682997e+02,-4.107361e+02,-4.414700e+02,-4.510812e+02,-4.460898e+02,-4.386143e+02,-4.418557e+02,-4.476587e+02,-4.515366e+02
4.297641e+01,5.503079e+01,6.090834e+01,9.096532e+01,1.134459e+02,1.217980e+02,1.255140e+02,1.327348e+02,1.539411e+02,1.534064e+02,1.370650e+02,1.202889e+02,1.159428e+02,1.136764e+02,1.135733e+02,1.116548e+02,1.146540e+02,1.083793e+02,1.053655e+02,1.065899e+02,1.140716e+02,1.269923e+02,1.300792e+02,1.388221e+02,1.495317e+02,1.534138e+02,1.566136e+02,1.388480e+02,1.063745e+02,7.444081e+01,6.052695e+01,5.967684e+01,6.264477e+01,5.806078e+01,5.342497e+01,5.350391e+01
2.201414e+01,2.035917e+01,2.150706e+01,3.698691e+01,5.422418e+01,5.947707e+01,5.284009e+01,5.167267e+01,1.896677e+01,-2.610023e+01,-4.840725e+01,-5.720993e+01,-5.933270e+01,-5.778276e+01,-5.623589e+01,-5.141563e+01,-5.261633e+01,-5.642408e+01,-5.602549e+01,-6.893008e+01,-8.836465e+01,-1.052957e+02,-9.762152e+01,-8.746275e+01,-7.949796e+01,-4.938473e+01,-1.491343e+01,-1.295022e+00,-3.349514e+00,-1.732928e+00,4.067586e+00,2.611555e+00,2.011089e-01,-1.231753e+00,-3.256015e+00,-7.423888e-01
1.184436e+01,5.758630e+00,8.205812e+00,1.922364e+01,2.771648e+01,3.254435e+01,2.832198e+01,3.121639e+01,2.608376e+01,1.943904e+01,1.812957e+01,1.403520e+01,4.631585e+00,8.198985e-02,2.245436e+00,2.041820e+00,-1.681791e+00,-1.938676e+00,-2.547915e-01,-5.775043e+00,-1.414588e+01,-2.099396e+01,-1.826087e+01,-2.092636e+01,-2.412799e+01,-2.721817e+01,-3.208206e+01,-2.936843e+01,-2.664715e+01,-1.178065e+01,7.306894e+00,1.356424e+01,1.387557e+01,1.789873e+01,1.516400e+01,1.444826e+01
1.463186e+01,1.279569e+01,1.449481e+01,2.372097e+01,2.220474e+01,2.011326e+01,1.369662e+01,6.987664e+00,-3.316872e+01,-5.614477e+01,-5.566769e+01,-3.832028e+01,-3.176714e+01,-3.144361e+01,-2.524793e+01,-2.578883e+01,-2.416736e+01,-2.938323e+01,-3.373534e+01,-3.760163e+01,-3.536217e+01,-3.041262e+01,-3.419966e+01,-3.160938e+01,-2.899552e+01,-1.875217e+01,-7.486213e+00,4.142163e+00,4.831942e+00,-5.600761e-01,-3.768011e+00,-2.588138e+00,2.179640e+00,2.714501e+00,5.335241e+00,6.817132e+00
1.641500e+01,1.673187e+01,1.469435e+01,1.807257e+01,1.482463e+01,8.852960e+00,1.174012e+01,1.105307e+01,-7.971261e+00,-2.336663e+00,1.237886e+01,3.189375e+01,4.152652e+01,4.801847e+01,5.006150e+01,5.016279e+01,5.110347e+01,5.154652e+01,5.629294e+01,6.175186e+01,6.210677e+01,6.189921e+01,6.173940e+01,6.226561e+01,5.532817e+01,4.888279e+01,3.716066e+01,1.734699e+01,1.844033e+01,1.905535e+01,1.297627e+01,1.007970e+01,1.128616e+01,8.902127e+00,1.529153e+01,1.839780e+01
1.015065e+01,7.484549e+00,4.615619e+00,4.574271e+00,-2.541143e+00,-1.009100e+01,-1.227859e+01,-1.664371e+01,-1.876588e+01,-2.319497e+01,-2.299161e+01,-1.723892e+01,-1.728283e+01,-1.772000e+01,-2.197605e+01,-2.327608e+01,-1.950901e+01,-2.679103e+01,-3.539076e+01,-4.327204e+01,-4.071617e+01,-3.856734e+01,-3.874047e+01,-3.331752e+01,-2.599269e+01,-1.700586e+01,-1.098763e+01,-1.948795e+00,4.934979e+00,2.178865e+01,2.720897e+01,2.165995e+01,1.835208e+01,1.763458e+01,2.132759e+01,2.396788e+01
3.148646e+00,-9.132648e-01,-4.650900e+00,-5.200894e+00,-1.048024e+01,-1.266298e+01,-6.704743e+00,2.208545e+00,6.765182e+00,1.529472e+01,2.216970e+01,2.084843e+01,1.936010e+01,1.677882e+01,1.429442e+01,1.814660e+01,2.232745e+01,2.446920e+01,2.772636e+01,2.606389e+01,2.447303e+01,2.942515e+01,2.724208e+01,2.122807e+01,1.277499e+01,2.562886e+00,-3.526333e+00,-2.599803e+00,-2.902092e+00,1.869257e+00,-1.485599e+00,-8.729453e+00,-1.174456e+01,-1.414904e+01,-1.377762e+01,-9.169870e+00
1.803321e+00,1.680515e+00,-5.313452e+00,-1.097378e+01,-1.667718e+01,-1.909695e+01,-1.593660e+01,-7.651927e+00,1.437241e+01,1.480067e+01,2.320718e+01,2.837186e+01,3.110384e+01,2.811277e+01,2.070507e+01,1.774271e+01,1.922381e+01,2.245466e+01,2.099062e+01,1.407513e+01,1.462786e+01,1.787646e+01,1.525375e+01,1.423921e+01,1.878602e+01,1.352896e+01,6.827095e+00,3.377138e+00,6.531164e+00,8.978716e+00,6.087549e+00,5.853114e+00,5.621474e+00,3.769813e+00,5.556777e+00,4.341538e+00
1.662631e+00,5.540239e+00,-2.278677e+00,-1.485095e+01,-2.269715e+01,-2.396511e+01,-2.969449e+01,-3.833980e+01,-2.078150e+01,-1.595201e+01,-1.572594e+01,-2.031012e+01,-2.649885e+01,-2.829181e+01,-2.518662e+01,-2.685467e+01,-2.507585e+01,-2.096338e+01,-2.157444e+01,-2.326674e+01,-2.411616e+01,-2.774459e+01,-2.925853e+01,-2.813832e+01,-3.116056e+01,-2.801529e+01,-1.879399e+01,-4.629897e+00,4.414328e+00,1.266150e+01,1.442830e+01,1.227996e+01,8.408792e+00,1.376846e+01,1.692005e+01,1.184105e+01
