Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32
-4.785266e+02,-4.630842e+02,-4.529583e+02,-3.886796e+02,-3.252920e+02,-2.981736e+02,-2.870203e+02,-2.388405e+02,-1.724536e+02,-1.463890e+02,-1.498945e+02,-1.552374e+02,-1.610137e+02,-1.502029e+02,-1.376622e+02,-1.194647e+02,-1.127975e+02,-1.115180e+02,-1.070197e+02,-1.017584e+02,-8.767413e+01,-8.064850e+01,-8.994320e+01,-1.296335e+02,-1.887381e+02,-2.578625e+02,-3.361835e+02,-3.943342e+02,-4.456479e+02,-4.793828e+02,-4.934040e+02,-4.976604e+02
5.019868e+01,5.963686e+01,7.353922e+01,1.074382e+02,1.197350e+02,1.168549e+02,1.059901e+02,1.121574e+02,1.060884e+02,9.029121e+01,8.274800e+01,8.652426e+01,9.405543e+01,9.843907e+01,9.703362e+01,9.428934e+01,9.112350e+01,8.793053e+01,8.987901e+01,8.782191e+01,8.431938e+01,8.953053e+01,1.021198e+02,1.061079e+02,1.125019e+02,1.184615e+02,1.126039e+02,1.001242e+02,7.555363e+01,5.842322e+01,5.025926e+01,4.795351e+01
1.482917e+01,1.311935e+01,2.441867e+01,3.158986e+01,2.519098e+01,1.919048e+01,1.405045e+01,-3.154649e+00,-2.010575e+01,-3.040555e+01,-3.660610e+01,-3.726163e+01,-4.268896e+01,-4.772828e+01,-5.633117e+01,-7.391418e+01,-8.161638e+01,-8.402803e+01,-8.358162e+01,-8.716705e+01,-8.963382e+01,-9.520367e+01,-1.012585e+02,-8.929335e+01,-6.998793e+01,-5.149348e+01,-2.215548e+01,-7.371822e+00,6.121110e+00,1.427134e+01,1.656508e+01,1.927065e+01
1.095760e+01,9.160057e+00,2.147868e+01,5.101009e+01,5.886683e+01,5.333487e+01,4.759210e+01,2.881748e+01,8.387806e+00,7.504405e+00,1.578270e+01,1.643505e+01,6.924985e+00,-4.660671e+00,-7.316738e+00,-1.295111e+01,-1.377759e+01,-7.363420e+00,-4.759887e-01,2.956364e+00,2.962800e+00,-5.362420e+00,-4.529095e+00,2.211233e+00,7.587159e+00,5.960532e+00,9.915495e-01,-5.571562e+00,-2.321280e+00,8.155255e-01,1.892409e+00,3.635403e+00
-1.657179e+00,-5.991960e+00,2.360158e+00,2.234448e+00,-1.152965e+01,-1.952942e+01,-2.332780e+01,-4.341082e+01,-5.592242e+01,-6.035163e+01,-4.983383e+01,-4.236471e+01,-3.852454e+01,-3.897446e+01,-3.592163e+01,-4.215166e+01,-4.477367e+01,-4.203652e+01,-3.669287e+01,-3.480411e+01,-3.603980e+01,-3.931472e+01,-3.748622e+01,-3.679123e+01,-2.483463e+01,-1.239247e+01,-1.416423e+01,-1.132173e+01,-2.911382e+00,5.945620e+00,8.450630e+00,5.560333e+00
1.845216e+01,1.543727e+01,1.217927e+01,-1.264011e+00,1.463126e+00,2.946983e+00,8.558052e+00,7.304680e+00,4.595284e+00,1.035041e+01,2.884056e+01,4.100672e+01,4.744974e+01,5.085688e+01,5.361425e+01,5.159384e+01,5.119672e+01,5.025466e+01,5.080236e+01,5.093842e+01,5.484547e+01,5.406553e+01,5.539997e+01,5.590295e+01,4.842369e+01,3.864970e+01,2.755466e+01,1.572339e+01,1.673891e+01,1.825739e+01,1.614209e+01,1.174811e+01
2.639938e+01,2.533503e+01,1.562625e+01,6.383776e+00,2.314814e+00,-4.525083e+00,-1.199227e+01,-2.497626e+01,-3.137331e+01,-2.772296e+01,-2.281353e+01,-2.550444e+01,-2.311194e+01,-2.465594e+01,-2.910506e+01,-3.353854e+01,-3.363064e+01,-3.533467e+01,-3.374633e+01,-2.990866e+01,-3.163845e+01,-3.117444e+01,-2.996680e+01,-2.272408e+01,-1.040494e+01,1.702365e+00,1.387025e+01,2.086496e+01,1.763238e+01,1.505200e+01,1.050704e+01,1.090628e+01
-1.194044e+00,-5.598941e+00,-1.554925e+01,-2.277136e+01,-1.417723e+01,-1.159098e+00,1.333217e+01,2.268960e+01,2.407046e+01,2.835486e+01,2.693961e+01,2.246287e+01,1.811755e+01,2.430471e+01,3.130546e+01,3.946683e+01,3.998321e+01,3.757725e+01,4.281499e+01,4.123695e+01,3.815325e+01,4.026842e+01,4.068806e+01,3.473539e+01,1.863039e+01,1.557168e+00,-9.641904e+00,-1.132080e+01,-9.522237e+00,-2.886353e+00,-7.958258e-01,4.895057e+00
5.742360e+00,5.453675e+00,-7.383290e+00,-2.030022e+01,-1.737806e+01,-1.664036e+01,-8.495156e+00,1.256209e+01,1.119010e+01,1.403386e+01,1.513891e+01,1.765891e+01,2.145625e+01,1.715701e+01,1.211996e+01,7.599234e+00,3.042610e+00,5.622849e-01,-5.261194e-01,-8.079876e-01,-5.621474e+00,-7.161242e+00,-6.489382e+00,-1.446067e+00,-3.585601e+00,4.041705e+00,1.326448e+01,6.568920e+00,3.769736e+00,-2.468117e+00,-3.384045e+00,8.677902e-01
4.731778e+00,6.618639e+00,-4.623313e+00,-1.973554e+01,-2.905027e+01,-2.734708e+01,-3.174623e+01,-2.364495e+01,-1.239682e+01,-1.129018e+01,-1.667169e+01,-1.609649e+01,-1.522818e+01,-1.232792e+01,-1.410885e+01,-1.547036e+01,-1.500848e+01,-1.585088e+01,-1.613815e+01,-1.262747e+01,-1.051812e+01,-1.460282e+01,-2.029057e+01,-2.081348e+01,-2.334480e+01,-1.925045e+01,-6.557980e+00,6.427729e-01,8.265705e+00,2.306084e+00,-7.326571e-01,-6.986358e-01
